Club #,coverage supplier,cov supplier item,mabd,shipping type,club action
6514,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
8162,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
8238,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
6344,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
6568,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
6979,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
4973,Prairie Farms,PF,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
6472,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6275,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6418,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8254,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
4791,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6426,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
4870,Prairie Farms,HILAND,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8176,Prairie Farms,HILAND,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8208,Prairie Farms,HILAND,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6348,MDVA,MM,6/13/2025,pallet,sell thru old item numbers - print signs
6414,MDVA,MM,6/13/2025,pallet,sell thru old item numbers - print signs
4797,MDVA,MM,6/14/2025,pallet,sell thru old item numbers - print signs
4917,MDVA,MM,6/14/2025,pallet,sell thru old item numbers - print signs
6311,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6427,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6510,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6254,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6310,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8183,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
4736,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
4738,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
4787,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6309,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6312,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6320,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8243,Prairie Farms,HILAND,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6540,MDVA,MM,6/14/2025,pallet,sell thru old item numbers - print signs
8219,MDVA,MM,6/14/2025,pallet,sell thru old item numbers - print signs
4798,MDVA,MM,6/16/2025,pallet,sell thru old item numbers - print signs
6402,MDVA,MM,6/16/2025,pallet,sell thru old item numbers - print signs
8228,MDVA,MM,6/16/2025,pallet,sell thru old item numbers - print signs
4876,MDVA,MM,6/23/2025,pallet,sell thru old item numbers - print signs
4728,MDVA,MM,6/23/2025,pallet,sell thru old item numbers - print signs
8133,MDVA,MM,6/23/2025,pallet,sell thru old item numbers - print signs
8188,MDVA,MM,6/23/2025,pallet,sell thru old item numbers - print signs
4933,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6385,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8172,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6181,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8146,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
4873,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6413,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6461,Prairie Farms,PF,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
