Store,Type
1,SC
2,SC
4,SC
5,SC
7,SC
9,SC
10,SC
11,SC
12,SC
13,SC
14,SC
15,SC
16,SC
17,SC
18,SC
26,SC
28,SC
29,SC
32,SC
35,SC
40,SC
41,SC
42,SC
45,SC
46,SC
52,SC
56,SC
57,SC
60,SC
68,SC
71,SC
72,SC
73,SC
76,SC
77,SC
78,SC
80,SC
86,SC
94,SC
96,SC
98,SC
102,SC
103,SC
104,SC
108,SC
109,SC
110,SC
112,SC
113,SC
117,SC
119,SC
122,SC
130,SC
137,SC
147,SC
148,SC
151,SC
155,SC
157,SC
159,SC
164,SC
166,SC
167,SC
168,SC
170,SC
171,SC
173,SC
175,SC
179,SC
180,SC
182,SC
184,SC
185,SC
186,SC
192,SC
194,SC
198,SC
201,SC
202,SC
205,SC
206,SC
212,SC
213,SC
214,SC
217,SC
220,SC
221,SC
222,SC
224,SC
228,SC
231,SC
234,SC
239,SC
244,SC
247,SC
256,SC
261,SC
266,SC
267,SC
268,SC
269,SC
275,SC
287,SC
289,SC
290,SC
292,SC
295,SC
298,SC
301,SC
306,SC
308,SC
309,SC
311,SC
314,SC
317,SC
319,SC
323,SC
325,SC
328,SC
329,SC
330,SC
331,SC
335,SC
337,SC
339,SC
343,SC
359,SC
361,SC
363,SC
364,SC
365,SC
371,SC
372,SC
375,SC
379,SC
384,SC
391,SC
392,SC
395,SC
396,SC
397,SC
398,SC
400,SC
402,SC
404,SC
406,SC
408,SC
414,SC
415,SC
416,SC
421,SC
423,SC
426,SC
433,SC
434,SC
435,SC
436,SC
442,SC
447,SC
448,SC
449,SC
451,SC
452,SC
457,SC
458,SC
461,SC
462,SC
463,SC
467,SC
468,SC
469,SC
470,SC
478,SC
479,SC
484,SC
495,SC
499,SC
500,SC
501,SC
504,SC
505,SC
508,SC
510,SC
511,SC
512,SC
513,SC
514,SC
515,SC
517,SC
518,SC
521,SC
524,SC
528,SC
529,SC
530,SC
531,SC
532,SC
533,SC
536,SC
540,SC
547,SC
549,SC
551,SC
555,SC
556,SC
557,SC
558,SC
561,SC
565,SC
572,SC
574,SC
575,SC
577,SC
578,SC
579,SC
580,SC
582,SC
583,SC
585,SC
586,SC
590,SC
592,SC
593,SC
595,SC
598,SC
600,SC
604,SC
605,SC
608,SC
610,SC
611,SC
613,SC
614,SC
615,SC
616,SC
620,SC
623,SC
624,SC
625,SC
627,SC
630,SC
631,SC
634,SC
637,SC
638,SC
639,SC
640,SC
645,SC
648,SC
652,SC
658,SC
659,SC
660,SC
663,SC
664,SC
666,SC
667,SC
671,SC
672,SC
676,SC
678,SC
680,SC
682,SC
683,SC
684,SC
685,SC
686,SC
688,SC
691,SC
696,SC
698,SC
700,SC
703,SC
705,SC
706,SC
708,SC
712,SC
718,SC
724,SC
725,SC
726,SC
727,SC
728,SC
730,SC
731,SC
734,SC
735,SC
739,SC
740,SC
741,SC
743,SC
744,SC
745,SC
752,SC
754,SC
755,SC
756,SC
757,SC
761,SC
764,SC
768,SC
769,SC
773,SC
774,SC
777,SC
778,SC
779,SC
785,SC
789,SC
790,SC
793,SC
794,SC
799,SC
800,SC
802,SC
804,SC
805,SC
806,SC
807,SC
808,SC
809,SC
814,SC
815,SC
816,SC
817,SC
819,SC
820,SC
821,SC
824,SC
826,SC
829,SC
831,SC
835,SC
836,SC
838,SC
839,SC
848,SC
853,SC
855,SC
859,SC
862,SC
863,SC
864,SC
866,SC
867,SC
868,SC
869,SC
874,SC
875,SC
876,SC
877,SC
882,SC
885,SC
889,SC
890,SC
896,SC
899,SC
903,SC
904,SC
905,SC
906,SC
911,SC
912,SC
