Store Number,Event 1 Total Pallets,Event 2 Total Pallets
2201,106,277
689,96,269
554,109,265
512,97,253
1859,104,251
456,106,248
395,87,245
537,98,245
1000,98,239
397,90,238
1846,80,238
3320,97,237
964,95,235
1612,90,235
297,83,232
3763,89,232
220,87,231
461,103,230
608,101,230
140,79,229
5713,87,227
549,94,223
3351,73,220
4112,83,220
1367,72,219
2239,92,219
2612,87,218
2763,96,217
709,71,216
19,70,215
743,71,215
1539,68,213
670,95,212
744,85,212
1041,94,212
604,63,211
578,85,209
1218,80,209
1510,74,209
5809,76,209
653,73,208
766,68,207
1574,85,207
1324,87,206
1801,68,206
5245,81,206
595,93,205
752,80,205
5293,115,205
906,87,203
1569,73,203
1645,75,203
299,72,202
2005,68,202
188,75,201
447,87,201
1203,77,201
100,73,200
1015,91,200
1426,73,200
1884,71,200
3469,81,200
808,76,199
2265,62,199
464,78,198
1554,80,198
2027,78,198
2715,65,198
3136,71,198
3518,88,198
6579,87,198
719,74,197
2049,78,197
2089,76,197
5296,62,197
853,71,196
1440,69,196
2557,79,196
260,66,195
711,81,195
1909,69,195
2036,69,195
3283,60,195
5447,84,195
697,81,194
1505,80,194
1544,64,194
1549,83,194
1862,90,194
4298,81,194
4615,62,194
1782,62,193
3465,72,193
4243,62,193
5115,73,193
5134,70,193
58,66,192
1400,61,192
3894,64,192
685,80,191
742,71,191
1132,68,191
1902,70,191
2278,73,191
141,62,190
500,80,190
725,77,190
868,71,190
1213,72,190
1245,66,190
1572,65,190
1815,79,190
1958,81,190
2285,68,190
3500,74,190
5165,79,190
1583,66,189
1835,64,189
4430,85,189
345,58,188
1624,75,188
1699,59,188
5160,61,188
5305,81,188
546,70,187
1533,71,187
1976,58,187
2142,67,187
782,67,186
5337,75,186
673,66,185
890,71,185
896,80,185
1739,68,185
194,63,184
722,64,184
753,64,184
1474,77,184
1837,71,184
5071,68,184
5867,70,184
651,67,183
652,61,183
682,75,183
990,70,183
1023,57,183
1428,57,183
3520,90,183
5369,80,183
408,64,182
462,71,182
2366,60,182
3796,77,182
535,68,181
666,72,181
674,75,181
908,72,181
1555,77,181
1611,60,181
2891,83,181
3886,75,181
5082,67,181
103,57,180
258,70,180
494,67,180
838,73,180
1086,71,180
1279,82,180
1856,55,180
2473,80,180
2688,62,180
3645,78,180
3888,78,180
5425,77,180
398,60,179
491,72,179
1148,67,179
1664,67,179
2423,72,179
2554,74,179
3336,63,179
3567,71,179
5039,69,179
277,73,178
1042,64,178
1149,65,178
1458,71,178
1488,61,178
1763,69,178
1871,66,178
2435,73,178
5278,74,178
5717,80,178
125,62,177
865,73,177
1564,72,177
1665,55,177
1987,68,177
2091,105,177
2252,75,177
2628,67,177
3403,63,177
5035,64,177
5260,69,177
5430,75,177
35,64,176
615,56,176
789,85,176
1062,77,176
1993,62,176
2157,57,176
2169,63,176
2210,63,176
2273,61,176
2932,63,176
3795,89,176
3802,65,176
5388,65,176
3,67,175
69,67,175
657,73,175
848,64,175
936,60,175
1263,62,175
1886,64,175
1890,59,175
1959,80,175
2051,78,175
2126,68,175
2512,71,175
2914,69,175
3352,72,175
192,76,174
618,57,174
842,68,174
1215,62,174
2405,69,174
3407,71,174
216,64,173
330,60,173
862,75,173
877,64,173
1231,73,173
2115,74,173
2449,74,173
3897,73,173
4340,71,173
5147,72,173
5189,76,173
5274,66,173
59,58,172
184,66,172
427,58,172
755,69,172
994,63,172
1160,76,172
1337,75,172
1476,65,172
1496,67,172
1529,65,172
1568,74,172
1660,61,172
1854,69,172
2123,69,172
5416,71,172
1040,78,171
1240,83,171
1453,64,171
1588,70,171
2104,71,171
2107,60,171
2174,64,171
2330,68,171
2501,73,171
4609,57,171
5299,68,171
12,65,170
322,62,170
331,53,170
335,65,170
371,64,170
1241,59,170
1810,88,170
2026,66,170
2928,56,170
45,71,169
148,61,169
459,66,169
677,73,169
718,64,169
932,65,169
1103,71,169
1113,75,169
1291,72,169
1351,73,169
1594,71,169
1877,65,169
2150,74,169
2400,77,169
2587,81,169
2726,68,169
3792,67,169
5234,70,169
228,68,168
399,65,168
571,61,168
580,60,168
630,59,168
813,57,168
819,77,168
1071,62,168
1259,71,168
1454,55,168
1677,60,168
1868,68,168
2124,65,168
2764,63,168
2881,71,168
3435,63,168
3716,67,168
3771,73,168
5191,66,168
129,68,167
407,75,167
429,66,167
542,48,167
564,69,167
754,72,167
894,55,167
948,57,167
1636,68,167
1938,74,167
1983,72,167
1995,61,167
2067,77,167
2544,60,167
2667,73,167
2886,79,167
3827,71,167
5233,60,167
5394,70,167
5420,75,167
264,64,166
372,52,166
376,65,166
638,56,166
989,72,166
1123,70,166
1302,67,166
1576,58,166
1853,59,166
2013,60,166
2019,57,166
2028,60,166
2197,58,166
2208,66,166
2209,64,166
2361,65,166
2559,60,166
3213,70,166
3224,68,166
3232,64,166
4337,75,166
4424,70,166
5025,54,166
5072,88,166
5331,62,166
5342,70,166
168,56,165
417,57,165
768,74,165
860,61,165
969,60,165
1014,67,165
1036,65,165
1055,74,165
1321,67,165
1597,65,165
1847,59,165
2085,75,165
2678,65,165
3782,72,165
5275,70,165
400,81,164
472,72,164
532,59,164
563,67,164
767,58,164
791,61,164
864,61,164
967,57,164
1118,75,164
1156,65,164
1303,68,164
1411,72,164
1532,75,164
1752,62,164
1850,63,164
2113,71,164
2284,65,164
2346,70,164
3106,84,164
3572,63,164
4356,74,164
5288,66,164
5793,64,164
5898,71,164
105,60,163
119,61,163
261,60,163
396,67,163
520,57,163
947,62,163
1030,63,163
1150,65,163
1205,61,163
1254,55,163
1826,76,163
2240,69,163
2314,65,163
2595,62,163
2616,68,163
2912,74,163
5216,61,163
7326,63,163
10,52,162
157,68,162
661,58,162
861,60,162
1075,62,162
1155,74,162
1222,67,162
1350,57,162
1478,74,162
1698,68,162
1708,63,162
1982,59,162
2536,62,162
2692,56,162
2722,60,162
2869,53,162
2884,65,162
2980,68,162
3726,63,162
3887,63,162
5031,65,162
5099,59,162
5173,63,162
5316,67,162
130,58,161
287,67,161
655,67,161
702,63,161
721,61,161
911,43,161
1514,73,161
1723,63,161
1885,53,161
3339,57,161
3867,65,161
4423,70,161
4521,60,161
5116,71,161
5190,65,161
256,68,160
259,60,160
511,72,160
531,74,160
814,77,160
872,72,160
1011,65,160
1066,62,160
1074,72,160
1233,61,160
1304,57,160
1397,61,160
1465,63,160
1994,59,160
2046,58,160
2721,66,160
3004,77,160
4416,70,160
4508,65,160
5802,71,160
483,57,159
729,55,159
826,68,159
955,69,159
1035,67,159
1146,61,159
1361,57,159
1364,73,159
1527,65,159
1703,66,159
1745,56,159
1802,58,159
1962,65,159
2249,62,159
2985,72,159
3159,84,159
3380,61,159
3409,63,159
4303,72,159
5429,64,159
278,61,158
452,65,158
470,76,158
645,61,158
691,73,158
939,67,158
1010,75,158
1305,62,158
1679,58,158
2199,67,158
2460,57,158
2614,56,158
2857,59,158
3180,75,158
3883,70,158
5312,70,158
589,66,157
599,59,157
734,69,157
777,59,157
807,66,157
809,59,157
892,52,157
988,57,157
1313,71,157
1376,74,157
1438,66,157
1461,55,157
1817,54,157
1823,67,157
2610,56,157
2777,66,157
2959,69,157
3215,60,157
3290,67,157
5097,51,157
5300,68,157
2,52,156
221,60,156
284,62,156
442,63,156
610,54,156
698,63,156
806,65,156
899,56,156
944,61,156
1097,64,156
1800,61,156
1804,52,156
2234,55,156
2237,77,156
2371,69,156
2641,69,156
2818,55,156
2838,65,156
3308,64,156
3347,65,156
3568,60,156
4451,67,156
5124,67,156
5842,60,156
249,63,155
304,72,155
307,67,155
681,57,155
703,62,155
866,65,155
916,59,155
1139,83,155
1164,57,155
1479,61,155
1541,61,155
1686,78,155
1789,62,155
1924,58,155
2059,61,155
2291,68,155
2515,75,155
2549,61,155
2593,72,155
2864,63,155
2978,61,155
3693,63,155
3874,59,155
4108,63,155
4279,56,155
4299,66,155
4392,63,155
4482,53,155
5266,57,155
5947,66,155
37,60,154
212,64,154
301,60,154
359,67,154
544,58,154
614,57,154
623,63,154
849,62,154
1565,70,154
1742,63,154
1746,73,154
2127,62,154
2282,67,154
2665,62,154
2695,75,154
2823,58,154
3334,50,154
3527,64,154
3762,67,154
3833,68,154
3864,52,154
4235,60,154
4538,68,154
5091,72,154
5803,64,154
15,64,153
29,62,153
147,62,153
151,57,153
508,67,153
669,58,153
671,71,153
680,66,153
705,73,153
706,63,153
1034,63,153
1037,57,153
1227,57,153
1341,62,153
1371,51,153
1382,64,153
1674,60,153
1728,62,153
1935,64,153
2283,59,153
2302,64,153
2387,69,153
2419,58,153
2585,68,153
2846,66,153
2847,56,153
2860,64,153
3226,60,153
3516,58,153
3722,57,153
3751,64,153
5236,73,153
5330,70,153
5417,68,153
21,62,152
219,59,152
516,53,152
598,60,152
662,59,152
904,59,152
972,56,152
1247,72,152
1287,56,152
1296,66,152
1339,59,152
1556,59,152
1836,57,152
1981,59,152
2012,60,152
2068,61,152
2078,69,152
2359,58,152
2541,57,152
5154,78,152
5385,55,152
5449,60,152
11,65,151
131,57,151
414,57,151
593,56,151
628,58,151
1151,55,151
1298,65,151
1433,63,151
1439,62,151
1951,59,151
2021,62,151
2145,58,151
2266,57,151
2426,57,151
2712,59,151
2967,59,151
3588,61,151
5113,62,151
5443,61,151
36,71,150
200,52,150
348,50,150
404,61,150
499,60,150
517,65,150
576,66,150
678,61,150
817,63,150
1424,59,150
1443,58,150
1494,71,150
1623,67,150
1654,60,150
1659,57,150
1671,62,150
1718,55,150
1852,63,150
1965,56,150
2318,66,150
2479,59,150
2718,64,150
2786,62,150
4238,59,150
5136,60,150
112,70,149
585,54,149
672,61,149
692,70,149
781,58,149
981,57,149
1027,56,149
1091,61,149
1183,65,149
1933,64,149
2025,67,149
2063,67,149
2420,57,149
2447,63,149
2706,65,149
2780,62,149
3114,70,149
3425,76,149
3495,65,149
3560,55,149
3595,55,149
3623,73,149
5626,73,149
1,63,148
5,60,148
94,53,148
172,53,148
269,61,148
588,60,148
590,62,148
810,63,148
867,52,148
1116,53,148
1204,55,148
1220,64,148
1285,65,148
1631,56,148
1662,59,148
1842,69,148
1892,62,148
1963,64,148
1973,58,148
2001,63,148
2352,50,148
2439,56,148
2586,55,148
2619,61,148
2668,53,148
2732,54,148
3739,64,148
4438,61,148
4479,61,148
5326,66,148
5343,60,148
5373,53,148
113,47,147
214,53,147
231,55,147
668,66,147
929,54,147
934,52,147
1032,54,147
1133,66,147
1284,56,147
1301,62,147
1319,65,147
1330,65,147
1495,56,147
1547,56,147
1552,59,147
1774,59,147
1825,61,147
1891,64,147
1943,56,147
2116,55,147
2233,61,147
2244,56,147
2507,68,147
2539,56,147
2768,68,147
3058,72,147
3383,61,147
3454,57,147
4224,68,147
4336,64,147
4637,51,147
5250,68,147
5466,66,147
5752,70,147
423,56,146
518,54,146
536,64,146
586,56,146
592,59,146
639,62,146
660,64,146
715,59,146
915,67,146
968,60,146
1033,53,146
1080,59,146
1230,67,146
1306,60,146
1405,58,146
1563,82,146
1607,69,146
1741,55,146
1903,61,146
1949,61,146
2056,60,146
2101,53,146
2152,58,146
2159,66,146
2181,66,146
2482,58,146
2535,63,146
2920,60,146
2933,58,146
2966,57,146
3243,53,146
3548,60,146
3728,59,146
4130,59,146
4383,67,146
5242,59,146
5319,63,146
384,48,145
405,56,145
510,68,145
555,60,145
603,60,145
622,65,145
640,57,145
658,59,145
726,57,145
794,65,145
797,55,145
828,68,145
881,61,145
970,59,145
1198,64,145
1209,63,145
1470,57,145
1591,61,145
1690,53,145
1747,65,145
1750,58,145
1822,62,145
2921,64,145
2924,68,145
2956,60,145
3363,60,145
3445,62,145
3525,63,145
4410,59,145
5612,71,145
5701,63,145
6898,60,145
31,56,144
41,62,144
70,57,144
144,56,144
285,57,144
286,59,144
410,60,144
467,62,144
560,53,144
684,60,144
859,59,144
923,58,144
1072,61,144
1105,56,144
1429,63,144
1483,53,144
1560,60,144
1663,55,144
1673,55,144
1736,55,144
1781,60,144
1875,64,144
2065,64,144
2080,55,144
2093,60,144
2221,58,144
2231,55,144
2281,62,144
2854,57,144
3241,63,144
3492,60,144
3522,61,144
3620,61,144
4260,65,144
4368,74,144
5023,55,144
5252,60,144
5455,68,144
5959,61,144
298,63,143
558,58,143
712,57,143
901,61,143
952,57,143
975,59,143
1140,61,143
1167,63,143
1410,70,143
1566,57,143
1618,55,143
2006,60,143
2088,52,143
2223,65,143
2274,58,143
2597,52,143
2700,55,143
2724,70,143
2873,52,143
2929,59,143
3230,53,143
3420,69,143
3503,71,143
3590,55,143
4526,64,143
5159,48,143
5215,72,143
5295,64,143
7,66,142
104,52,142
268,53,142
321,48,142
539,54,142
556,55,142
746,57,142
856,57,142
1060,66,142
1202,55,142
1466,61,142
1500,56,142
1633,53,142
1656,62,142
1956,63,142
2007,58,142
2072,60,142
2193,58,142
2325,57,142
2386,59,142
2491,54,142
2511,61,142
3298,57,142
3302,73,142
3402,55,142
3569,74,142
3608,53,142
4325,66,142
4597,61,142
5030,60,142
5045,70,142
5361,56,142
5476,58,142
282,50,141
420,47,141
471,57,141
574,67,141
611,57,141
816,55,141
919,55,141
963,52,141
1001,65,141
1004,60,141
1025,67,141
1039,57,141
1137,67,141
1264,73,141
1297,54,141
1358,55,141
1390,54,141
1403,57,141
1644,60,141
1790,56,141
1794,65,141
1828,50,141
1967,55,141
1978,60,141
2279,57,141
2338,55,141
2708,61,141
2814,81,141
2844,64,141
2871,67,141
2952,70,141
3281,56,141
3331,54,141
3350,73,141
3400,59,141
3502,56,141
3510,64,141
3580,61,141
3851,58,141
5087,52,141
5155,54,141
5167,59,141
5428,62,141
5494,62,141
5709,48,141
5743,59,141
6929,59,141
6978,54,141
128,54,140
315,50,140
393,62,140
530,49,140
551,59,140
648,59,140
823,49,140
880,64,140
942,70,140
999,61,140
1081,62,140
1290,64,140
1414,54,140
1419,57,140
1473,57,140
1720,55,140
2211,53,140
2262,60,140
2720,59,140
2958,59,140
3207,53,140
3387,52,140
3478,65,140
3581,50,140
3652,57,140
3750,73,140
4352,55,140
5036,64,140
5287,63,140
5368,57,140
5435,67,140
5669,54,140
101,58,139
529,61,139
602,61,139
943,67,139
1221,65,139
1224,59,139
1310,66,139
1373,61,139
1418,52,139
1595,49,139
1626,55,139
1643,56,139
1693,63,139
1733,60,139
1759,62,139
1796,60,139
1860,56,139
1888,58,139
1899,60,139
1922,60,139
1961,56,139
2077,55,139
2638,59,139
2697,54,139
2765,50,139
2767,70,139
2811,55,139
3225,57,139
3310,60,139
3476,53,139
3582,63,139
3773,63,139
4276,62,139
5192,55,139
5436,56,139
5727,54,139
90,59,138
355,71,138
415,56,138
445,64,138
541,63,138
548,54,138
569,63,138
770,56,138
804,48,138
886,55,138
922,59,138
950,56,138
1255,48,138
1268,57,138
1281,58,138
1294,59,138
1300,54,138
1387,62,138
1502,58,138
1559,67,138
1764,59,138
1882,54,138
2222,54,138
2311,58,138
2429,58,138
2574,62,138
2592,60,138
2599,62,138
3265,56,138
3284,59,138
3732,67,138
4195,46,138
4230,55,138
4273,56,138
4318,55,138
5029,56,138
5046,61,138
5088,47,138
5095,59,138
5145,67,138
5156,68,138
243,58,137
381,62,137
489,46,137
495,56,137
687,71,137
735,58,137
780,44,137
928,70,137
940,60,137
1056,55,137
1186,47,137
1238,61,137
1292,56,137
1318,58,137
1320,63,137
1447,55,137
1709,54,137
1756,63,137
1762,62,137
1769,54,137
1812,60,137
1833,57,137
1901,57,137
1989,54,137
2105,56,137
2141,57,137
2362,56,137
2475,52,137
2534,62,137
2588,50,137
2651,55,137
2890,52,137
2927,59,137
3163,56,137
3292,69,137
3418,60,137
3422,58,137
3702,60,137
3748,61,137
4381,58,137
5012,59,137
5034,61,137
5617,58,137
5747,49,137
17,53,136
79,58,136
154,54,136
164,61,136
265,55,136
501,59,136
543,64,136
577,57,136
757,59,136
822,46,136
1016,61,136
1085,54,136
1210,57,136
1353,52,136
1692,61,136
1832,63,136
2277,57,136
2331,59,136
2505,63,136
2560,50,136
2637,66,136
3279,61,136
4068,61,136
4164,50,136
4223,60,136
4348,51,136
4635,56,136
4660,55,136
5141,53,136
5686,96,136
85,56,135
153,52,135
275,61,135
469,51,135
699,57,135
745,49,135
805,53,135
884,55,135
897,47,135
974,55,135
1248,66,135
1307,48,135
1520,51,135
1580,53,135
1707,49,135
1772,51,135
1788,59,135
1830,53,135
1914,61,135
1960,60,135
2071,53,135
2133,57,135
2166,57,135
2185,51,135
2204,63,135
2242,57,135
2310,65,135
2502,55,135
2713,65,135
2740,55,135
2755,53,135
2789,62,135
2806,56,135
3219,56,135
3319,56,135
3344,62,135
3584,70,135
4450,50,135
4627,60,135
5129,75,135
5130,56,135
180,52,134
365,53,134
444,52,134
463,54,134
609,58,134
649,60,134
665,63,134
694,56,134
701,61,134
1104,56,134
1121,52,134
1153,53,134
1178,58,134
1190,62,134
1345,64,134
1459,52,134
1553,55,134
1567,61,134
1586,54,134
1646,59,134
1669,58,134
1687,56,134
1714,53,134
1768,59,134
1928,57,134
2032,62,134
2117,59,134
2146,59,134
2180,52,134
2299,58,134
2300,57,134
2312,54,134
2334,55,134
2576,48,134
2581,71,134
2631,62,134
2793,53,134
3261,65,134
3463,59,134
3464,73,134
3523,74,134
3585,57,134
3630,54,134
3786,54,134
3828,49,134
4219,67,134
4564,49,134
5103,64,134
5480,58,134
5499,58,134
7280,58,134
16,54,133
177,54,133
185,58,133
224,58,133
458,59,133
507,53,133
565,48,133
594,59,133
625,54,133
635,57,133
664,57,133
779,62,133
844,55,133
869,54,133
1161,57,133
1228,58,133
1273,61,133
1385,57,133
1430,57,133
1575,59,133
1717,62,133
1785,57,133
1840,56,133
1997,57,133
2073,59,133
2139,66,133
2184,54,133
2306,57,133
2321,50,133
2504,64,133
2531,59,133
2615,57,133
2650,57,133
2727,56,133
2733,48,133
3014,54,133
3223,48,133
3473,64,133
3481,52,133
3570,65,133
4365,61,133
5151,51,133
5487,55,133
163,72,132
234,63,132
383,52,132
421,54,132
481,56,132
533,50,132
616,53,132
644,50,132
887,51,132
1141,59,132
1212,62,132
1260,53,132
1293,51,132
1322,58,132
1525,57,132
1604,58,132
1622,67,132
1767,59,132
1908,61,132
2023,60,132
2269,59,132
2992,53,132
3280,54,132
3429,54,132
4483,65,132
4553,60,132
4601,58,132
5037,51,132
5294,47,132
5410,57,132
6878,53,132
309,58,131
416,51,131
475,57,131
505,51,131
522,68,131
634,54,131
643,59,131
700,53,131
739,66,131
772,69,131
776,50,131
945,58,131
1087,59,131
1120,64,131
1125,58,131
1194,61,131
1311,54,131
1314,53,131
1446,54,131
1524,59,131
1536,60,131
1606,50,131
1744,61,131
2225,56,131
2255,63,131
2316,56,131
2399,59,131
2476,53,131
2517,62,131
2630,47,131
2761,54,131
2781,57,131
2853,54,131
2882,45,131
2922,60,131
2950,58,131
2991,56,131
3210,52,131
3295,51,131
3332,61,131
3390,61,131
3436,52,131
3633,63,131
3774,53,131
4499,51,131
4567,56,131
5450,54,131
5764,61,131
26,62,130
143,53,130
492,61,130
656,51,130
827,55,130
941,53,130
1243,62,130
1256,56,130
1331,52,130
1487,48,130
1608,56,130
1758,50,130
1773,59,130
1940,55,130
1946,58,130
2099,59,130
2132,49,130
2333,54,130
2671,64,130
2691,58,130
2693,51,130
2987,59,130
3201,49,130
3391,60,130
3738,57,130
4440,50,130
5085,53,130
5193,66,130
5379,64,130
5485,60,130
7156,51,130
9,55,129
14,58,129
75,59,129
201,53,129
206,52,129
292,51,129
316,51,129
329,66,129
457,49,129
581,54,129
667,57,129
736,61,129
775,56,129
870,57,129
935,55,129
1197,56,129
1229,56,129
1585,55,129
1619,55,129
1694,54,129
1779,58,129
2064,57,129
2163,69,129
2497,58,129
2629,51,129
2725,55,129
2888,56,129
3271,49,129
3276,62,129
3360,56,129
3382,57,129
3433,53,129
3460,48,129
3596,62,129
4387,55,129
4444,56,129
4512,59,129
4558,49,129
4574,57,129
5078,54,129
5956,57,129
5965,54,129
4,58,128
46,54,128
95,57,128
165,57,128
205,50,128
724,57,128
836,57,128
1012,48,128
1022,52,128
1083,48,128
1207,52,128
1280,56,128
1490,54,128
1551,52,128
1587,59,128
1689,57,128
1761,48,128
1770,50,128
1831,52,128
1906,49,128
2037,59,128
2098,62,128
2340,59,128
2354,54,128
2446,52,128
2687,57,128
2874,52,128
2910,53,128
2973,55,128
3485,53,128
3531,57,128
3823,54,128
3847,54,128
4277,49,128
4393,55,128
5051,60,128
5054,57,128
5060,53,128
5137,56,128
5202,65,128
5214,59,128
5419,48,128
5987,60,128
7294,51,128
23,61,127
40,48,127
54,46,127
73,55,127
266,55,127
547,68,127
553,56,127
695,53,127
1044,60,127
1122,60,127
1180,52,127
1193,67,127
1195,60,127
1346,62,127
1363,42,127
1437,46,127
1455,60,127
1464,67,127
1469,58,127
1522,57,127
1542,54,127
1641,43,127
1765,52,127
2035,51,127
2079,49,127
2082,64,127
2307,58,127
2438,54,127
2455,55,127
2555,49,127
2791,50,127
2813,47,127
2993,61,127
3018,58,127
3218,56,127
3233,51,127
3237,47,127
3262,52,127
3297,71,127
3591,51,127
3631,56,127
3648,53,127
4283,54,127
4321,48,127
4409,52,127
4417,56,127
4511,50,127
4631,55,127
5066,55,127
5070,58,127
5142,57,127
5174,56,127
5359,53,127
5479,66,127
5761,52,127
6370,52,127
6879,55,127
179,49,126
340,46,126
497,52,126
582,51,126
601,63,126
720,63,126
730,53,126
787,53,126
1017,48,126
1099,67,126
1170,50,126
1270,49,126
1379,57,126
1394,54,126
1432,51,126
1444,59,126
1486,53,126
1523,57,126
1670,51,126
1755,60,126
1834,70,126
1873,58,126
1889,49,126
2045,48,126
2081,54,126
2195,57,126
2441,53,126
2522,47,126
2547,48,126
2548,52,126
2747,53,126
2817,50,126
3296,67,126
3627,52,126
3764,45,126
3829,52,126
3884,58,126
4286,58,126
4531,52,126
5281,62,126
5313,57,126
5893,50,126
6190,52,126
61,53,125
72,56,125
170,53,125
204,52,125
515,60,125
613,53,125
631,52,125
683,57,125
708,56,125
796,53,125
799,49,125
891,50,125
1026,54,125
1048,56,125
1134,61,125
1142,59,125
1201,55,125
1253,62,125
1370,62,125
1504,53,125
1651,57,125
1857,54,125
1879,55,125
1894,46,125
1934,60,125
2038,54,125
2083,52,125
2357,66,125
2477,54,125
2568,69,125
2649,62,125
2803,48,125
2804,53,125
2822,57,125
2872,58,125
3384,52,125
3461,52,125
3538,55,125
3626,53,125
3700,54,125
3838,53,125
4055,58,125
4118,56,125
4403,53,125
4456,56,125
5335,60,125
5808,58,125
5854,82,125
6286,67,125
6963,48,125
49,46,124
110,61,124
127,46,124
189,53,124
402,51,124
557,57,124
575,60,124
774,50,124
1047,54,124
1315,61,124
1328,51,124
1360,54,124
1519,56,124
1528,49,124
1535,54,124
1598,55,124
1600,61,124
1740,53,124
1754,48,124
1839,57,124
1880,52,124
1991,56,124
2003,54,124
2040,55,124
2108,54,124
2286,55,124
2368,52,124
2385,59,124
2428,55,124
2561,53,124
2855,55,124
2859,50,124
3055,52,124
3056,60,124
3294,57,124
