Store ,Market ,Store Type,Launch Date 
79,334,WM Supercenter,6/3/2025
266,50,WM Supercenter,6/3/2025
426,53,WM Supercenter,6/3/2025
1055,583,WM Supercenter,6/3/2025
1753,184,WM Supercenter,6/3/2025
2086,56,WM Supercenter,6/3/2025
2142,184,WM Supercenter,6/3/2025
2427,53,WM Supercenter,6/3/2025
2463,56,WM Supercenter,6/3/2025
2686,534,Neighborhood Market,6/3/2025
2757,151,WM Supercenter,6/3/2025
2883,56,WM Supercenter,6/3/2025
2974,504,Neighborhood Market,6/3/2025
3164,534,Neighborhood Market,6/3/2025
3198,504,Neighborhood Market,6/3/2025
3226,65,WM Supercenter,6/3/2025
3284,44,WM Supercenter,6/3/2025
3406,51,WM Supercenter,6/3/2025
3482,51,WM Supercenter,6/3/2025
3639,292,WM Supercenter,6/3/2025
4108,323,WM Supercenter,6/3/2025
4182,504,Neighborhood Market,6/3/2025
5021,561,Neighborhood Market,6/3/2025
5147,44,WM Supercenter,6/3/2025
5191,55,WM Supercenter,6/3/2025
5261,323,WM Supercenter,6/3/2025
5447,176,WM Supercenter,6/3/2025
5673,51,WM Supercenter,6/3/2025
5823,583,WM Supercenter,6/3/2025
5936,283,WM Supercenter,6/3/2025
6963,52,WM Supercenter,6/3/2025
1554,452,WM Supercenter,TBD
1555,463,WM Supercenter,TBD
1563,448,WM Supercenter,TBD
1574,447,WM Supercenter,TBD
1575,457,WM Supercenter,TBD
1583,449,Wal-Mart,TBD
1587,450,Wal-Mart,TBD
1588,445,WM Supercenter,TBD
1600,447,WM Supercenter,TBD
1608,457,WM Supercenter,TBD
1615,452,Wal-Mart,TBD
1616,392,Wal-Mart,TBD
1624,447,WM Supercenter,TBD
1630,468,WM Supercenter,TBD
1645,581,WM Supercenter,TBD
1651,452,WM Supercenter,TBD
1660,448,WM Supercenter,TBD
1692,445,WM Supercenter,TBD
1693,445,Wal-Mart,TBD
1697,454,Wal-Mart,TBD
1700,459,WM Supercenter,TBD
1704,453,WM Supercenter,TBD
1747,461,WM Supercenter,TBD
1755,452,Wal-Mart,TBD
1756,462,Wal-Mart,TBD
1760,455,WM Supercenter,TBD
1772,468,WM Supercenter,TBD
1775,478,WM Supercenter,TBD
1784,477,WM Supercenter,TBD
1789,454,WM Supercenter,TBD
1793,477,WM Supercenter,TBD
1805,463,WM Supercenter,TBD
1815,449,WM Supercenter,TBD
1817,475,WM Supercenter,TBD
1826,581,Wal-Mart,TBD
1832,463,WM Supercenter,TBD
1834,468,WM Supercenter,TBD
1840,450,WM Supercenter,TBD
1843,477,Wal-Mart,TBD
1853,461,WM Supercenter,TBD
1859,463,WM Supercenter,TBD
1862,462,WM Supercenter,TBD
1870,475,WM Supercenter,TBD
1876,476,Wal-Mart,TBD
1877,581,Wal-Mart,TBD
1879,445,WM Supercenter,TBD
1880,468,WM Supercenter,TBD
1881,453,WM Supercenter,TBD
1882,581,WM Supercenter,TBD
1889,475,WM Supercenter,TBD
1899,461,WM Supercenter,TBD
1903,457,WM Supercenter,TBD
1910,468,WM Supercenter,TBD
1912,461,WM Supercenter,TBD
1914,445,WM Supercenter,TBD
1915,463,WM Supercenter,TBD
1917,459,Wal-Mart,TBD
1920,477,Wal-Mart,TBD
1922,462,Wal-Mart,TBD
1925,478,WM Supercenter,TBD
1941,462,WM Supercenter,TBD
1947,473,WM Supercenter,TBD
1951,399,WM Supercenter,TBD
1963,450,Wal-Mart,TBD
1972,511,Wal-Mart,TBD
1979,457,Wal-Mart,TBD
1983,450,Wal-Mart,TBD
1988,455,WM Supercenter,TBD
1989,447,WM Supercenter,TBD
1992,462,Wal-Mart,TBD
2001,449,WM Supercenter,TBD
2002,451,WM Supercenter,TBD
2006,475,WM Supercenter,TBD
2007,473,WM Supercenter,TBD
2016,473,WM Supercenter,TBD
2025,511,WM Supercenter,TBD
2028,461,WM Supercenter,TBD
2030,450,WM Supercenter,TBD
2031,511,Wal-Mart,TBD
2032,446,WM Supercenter,TBD
2037,472,WM Supercenter,TBD
2039,450,Wal-Mart,TBD
2044,457,Wal-Mart,TBD
2048,453,WM Supercenter,TBD
2052,457,Wal-Mart,TBD
2053,457,WM Supercenter,TBD
2054,454,Wal-Mart,TBD
2069,468,WM Supercenter,TBD
2070,469,WM Supercenter,TBD
2071,469,WM Supercenter,TBD
2074,469,WM Supercenter,TBD
2075,478,WM Supercenter,TBD
2077,460,Wal-Mart,TBD
2082,464,WM Supercenter,TBD
2094,460,WM Supercenter,TBD
2099,447,Wal-Mart,TBD
2101,475,WM Supercenter,TBD
2110,465,WM Supercenter,TBD
2117,451,WM Supercenter,TBD
2119,511,WM Supercenter,TBD
2121,472,WM Supercenter,TBD
2126,470,Wal-Mart,TBD
2150,458,Wal-Mart,TBD
2161,511,Wal-Mart,TBD
2177,459,Wal-Mart,TBD
2181,463,WM Supercenter,TBD
2187,473,WM Supercenter,TBD
2188,469,WM Supercenter,TBD
2190,453,Wal-Mart,TBD
2196,472,WM Supercenter,TBD
2206,466,Wal-Mart,TBD
2218,466,WM Supercenter,TBD
2226,481,Neighborhood Market,TBD
2241,475,WM Supercenter,TBD
2242,464,WM Supercenter,TBD
2243,478,WM Supercenter,TBD
2245,460,WM Supercenter,TBD
2249,467,WM Supercenter,TBD
2251,484,WM Supercenter,TBD
2253,458,WM Supercenter,TBD
2269,473,WM Supercenter,TBD
2277,449,WM Supercenter,TBD
2280,451,Wal-Mart,TBD
2288,462,Wal-Mart,TBD
2291,458,Wal-Mart,TBD
2292,484,WM Supercenter,TBD
2297,448,Wal-Mart,TBD
2308,470,Wal-Mart,TBD
2314,470,Wal-Mart,TBD
2315,478,Wal-Mart,TBD
2317,472,Wal-Mart,TBD
2319,471,Wal-Mart,TBD
2320,468,WM Supercenter,TBD
2321,470,Wal-Mart,TBD
2325,472,WM Supercenter,TBD
2333,445,Wal-Mart,TBD
2385,514,WM Supercenter,TBD
2401,484,Wal-Mart,TBD
2403,514,WM Supercenter,TBD
2418,455,Wal-Mart,TBD
2422,476,Wal-Mart,TBD
2450,471,Wal-Mart,TBD
2457,454,WM Supercenter,TBD
2458,451,WM Supercenter,TBD
2464,454,WM Supercenter,TBD
2468,552,Neighborhood Market,TBD
2469,467,WM Supercenter,TBD
2473,470,Wal-Mart,TBD
2476,475,WM Supercenter,TBD
