Store#,Planned Start Date
2727,Aug. 14
3700,Aug. 14
919,Aug. 14
7185,Aug. 14
4166,Aug. 14
6941,Aug. 14
621,Aug. 14
2015,Aug. 15
3702,Aug. 15
1928,Aug. 15
89,Aug. 15
4380,Aug. 15
1040,Aug. 15
5671,Aug. 16
5117,Aug. 16
4593,Aug. 16
5814,Aug. 16
1511,Aug. 16
1936,Aug. 16
1114,Aug. 17
678,Aug. 17
2907,Aug. 17
