Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
934,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,86.33%,78.57%,15.3,75.00%,68.20%,94.80%,85.90%
991,POINTPICKUP,Scheduled Standard Delivery,29,Executive Review,Recovering,Store Focus,202229,88.45%,87.60%,11.5,91.10%,86.20%,83.50%,93.20%
1212,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202229,70.31%,65.71%,15.6,100.00%,71.40%,45.50%,87.50%
1212,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202229,76.87%,78.18%,15.9,83.10%,79.30%,69.30%,77.00%
2748,DOORDASH,Scheduled Standard Delivery,25,Executive Review,Recovering,Store Focus,202229,72.55%,82.69%,22.5,93.80%,73.30%,75.00%,41.70%
2748,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202229,85.99%,91.07%,8,90.40%,82.20%,90.30%,79.30%
4333,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,68.18%,80.00%,16.6,57.10%,75.00%,89.50%,42.90%
4333,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202229,77.90%,76.37%,17.6,79.60%,74.40%,83.10%,70.70%
4581,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202229,84.67%,88.45%,14.4,92.60%,91.20%,74.50%,84.10%
5174,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,88.04%,78.30%,12.4,89.40%,95.50%,83.00%,89.00%
6173,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Recovering,Store Focus,202229,85.11%,90.84%,11.3,93.80%,77.80%,84.60%,83.70%
6173,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,76.00%,96.20%,10.1,83.30%,66.70%,73.30%,81.50%
562,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,84.34%,77.00%,14.8,89.30%,68.30%,84.10%,97.60%
562,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,83.44%,76.79%,15.6,83.30%,76.40%,80.80%,92.50%
1158,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202229,83.54%,98.46%,7.8,79.30%,76.70%,89.20%,88.90%
1711,DOORDASH,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202229,64.75%,69.23%,39.2,83.70%,72.50%,31.30%,77.90%
1711,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202229,64.10%,71.62%,25.7,73.50%,63.40%,30.90%,76.20%
2723,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,67.11%,97.48%,10.4,73.30%,52.20%,56.80%,77.10%
301,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202229,92.59%,87.27%,13.1,100.00%,86.70%,90.00%,95.80%
1201,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,78.05%,44.44%,29.2,77.80%,100.00%,62.50%,75.00%
1201,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,70.26%,59.84%,22.4,68.90%,83.30%,53.70%,84.70%
2713,POINTPICKUP,Scheduled Standard Delivery,30,Executive Review,Recovering,Store Focus,202229,83.33%,76.92%,39.6,100.00%,60.00%,100.00%,100.00%
2713,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202229,71.60%,64.97%,19.6,74.50%,72.10%,67.50%,73.30%
604,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202229,80.45%,72.41%,19.6,88.10%,93.20%,44.50%,100.00%
734,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,81.08%,81.58%,13,87.50%,75.00%,79.10%,85.00%
740,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202229,74.92%,93.45%,8.8,60.00%,80.80%,78.20%,79.50%
1134,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202229,81.25%,100.00%,6.7,50.00%,,71.40%,100.00%
2114,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202229,65.00%,92.77%,6.2,0.00%,100.00%,67.70%,63.80%
700,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202229,88.58%,89.28%,13,92.90%,89.10%,82.60%,89.70%
1101,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202229,74.42%,86.89%,14.3,64.70%,63.20%,74.50%,78.70%
4318,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202229,88.47%,80.40%,14.7,90.30%,93.90%,77.50%,93.50%
5348,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,69.85%,71.73%,19,73.30%,62.70%,59.70%,82.50%
355,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202229,89.58%,77.68%,19,96.00%,85.70%,87.50%,88.50%
355,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,64.57%,61.92%,16.5,64.70%,71.70%,49.70%,73.00%
730,DOORDASH,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202229,83.75%,76.47%,12.8,100.00%,85.70%,69.20%,90.00%
733,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202229,76.61%,88.89%,22.6,77.10%,89.10%,76.60%,62.80%
733,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,75.85%,92.87%,12.4,75.70%,76.90%,74.30%,76.60%
809,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,71.43%,75.86%,21.8,66.70%,60.00%,71.40%,76.90%
764,UBER,Scheduled Express Delivery ,6,At Risk,Degrading,Store Focus,202229,87.50%,70.37%,5.8,66.70%,87.50%,85.70%,100.00%
764,UBER,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202229,69.70%,56.94%,22.6,71.40%,100.00%,63.00%,63.60%
2306,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,76.32%,84.71%,13,73.30%,69.80%,69.00%,90.60%
1229,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202229,61.36%,57.32%,32.6,70.80%,64.00%,50.00%,68.60%
1481,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202229,54.22%,64.67%,18.9,54.00%,58.10%,33.90%,75.40%
1481,UBER,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202229,60.64%,61.14%,26.2,60.70%,76.30%,48.60%,66.00%
4497,POINTPICKUP,Scheduled Standard Delivery,36,Executive Review,Degrading,Store Focus,202229,79.76%,72.04%,16,66.70%,72.70%,85.00%,80.90%
4497,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202229,70.04%,72.44%,17,69.30%,55.80%,73.70%,84.50%
