Store,Market,Store Type,Impl. Date
1,323,SUP,04/09/2024
2,322,SUP,04/09/2024
3,21,SUP,04/11/2024
4,323,SUP,04/09/2024
5,326,SUP,04/09/2024
7,326,SUP,04/09/2024
8,326,SUP,04/09/2024
9,335,SUP,04/09/2024
10,347,SUP,04/09/2024
11,328,SUP,04/09/2024
12,347,SUP,04/09/2024
13,334,SUP,04/09/2024
14,357,SUP,04/09/2024
15,333,SUP,04/09/2024
16,321,SUP,04/09/2024
17,334,SUP,04/09/2024
18,328,SUP,04/09/2024
19,335,SUP,04/09/2024
20,361,SUP,04/09/2024
21,336,SUP,04/09/2024
22,347,SUP,04/09/2024
23,135,SUP,04/09/2024
24,326,SUP,04/09/2024
25,359,SUP,04/09/2024
26,411,SUP,04/09/2024
27,357,SUP,04/09/2024
28,347,SUP,04/09/2024
29,336,SUP,04/09/2024
30,335,SUP,04/09/2024
31,351,SUP,04/09/2024
32,333,W/M,04/09/2024
33,325,SUP,04/09/2024
34,334,SUP,04/09/2024
35,407,SUP,04/09/2024
36,329,SUP,04/09/2024
37,335,SUP,04/09/2024
38,47,SUP,04/09/2024
39,410,SUP,04/09/2024
40,359,SUP,04/09/2024
41,345,SUP,04/09/2024
42,410,SUP,04/09/2024
43,407,SUP,04/09/2024
44,336,W/M,04/09/2024
45,329,SUP,04/09/2024
46,357,SUP,04/09/2024
47,351,SUP,04/09/2024
48,334,SUP,04/09/2024
49,47,SUP,04/09/2024
50,347,SUP,04/09/2024
51,359,SUP,04/09/2024
52,325,SUP,04/09/2024
54,322,SUP,04/09/2024
55,321,SUP,04/09/2024
56,333,SUP,04/09/2024
57,328,W/M,04/09/2024
58,325,SUP,04/09/2024
59,334,SUP,04/09/2024
60,339,SUP,04/09/2024
61,361,SUP,04/09/2024
62,329,SUP,04/09/2024
63,347,SUP,04/09/2024
64,146,SUP,04/09/2024
65,336,SUP,04/09/2024
66,321,SUP,04/09/2024
67,321,SUP,04/09/2024
68,329,SUP,04/09/2024
69,335,SUP,04/09/2024
70,329,SUP,04/09/2024
71,328,SUP,04/09/2024
72,410,SUP,04/09/2024
73,356,SUP,04/09/2024
74,329,SUP,04/09/2024
75,134,SUP,04/09/2024
76,322,SUP,04/09/2024
77,83,SUP,04/09/2024
78,357,SUP,04/09/2024
79,334,SUP,04/02/2024
80,359,SUP,04/09/2024
81,347,SUP,04/09/2024
82,335,SUP,04/09/2024
83,327,SUP,04/09/2024
85,324,SUP,04/09/2024
86,357,SUP,04/09/2024
87,127,SUP,04/09/2024
88,357,SUP,04/09/2024
89,336,SUP,04/09/2024
90,347,SUP,04/09/2024
91,329,SUP,04/09/2024
92,334,SUP,04/09/2024
93,146,SUP,04/09/2024
94,145,SUP,04/09/2024
95,335,SUP,04/09/2024
96,361,SUP,04/09/2024
97,146,SUP,04/09/2024
98,135,SUP,04/09/2024
