Store,,MAY,73,YTD,74,MAY,75,YTD,76,MAY,77,YTD,78,MAY,79,YTD,80,MAY,81,YTD,82,MAY,83,YTD,84,MAY,85,YTD,86,MAY,87,YTD,88,MAY,89,YTD,90,MAY,91,YTD,92
515,,4.06%,,4.69%,,21.61%,,16.03%,,5.42%,,3.12%,,9.29%,,9.34%,,48,G,179,G,85.24%,G,86.23%,G,33,G,107,G,107.79%,G,104.88%,G,0:57:30,,1:02:32,,782/2577,,1129/2577,
1070,,-4.07%,R,3.65%,,-1.47%,R,12.02%,,-7.24%,R,-1.76%,,-5.02%,R,11.28%,,4,,16,,32.50%,,33.43%,,6,,31,,43.86%,,68.58%,,1:00:39,,0:57:37,,2407/2577,R,1774/2577,
1122,,0.34%,,3.59%,,24.48%,,13.01%,,-8.59%,R,-6.66%,R,18.66%,,7.36%,,31,G,38,,30.11%,,28.93%,R,3,,5,R,68.65%,,62.61%,,1:08:44,R,1:02:38,,1393/2577,,1952/2577,
2753,,3.40%,,4.52%,,29.05%,,16.19%,,26.76%,G,8.64%,,23.02%,,31.39%,G,1,R,10,,20.12%,R,17.85%,R,1,R,3,R,54.12%,,57.83%,,0:39:41,,0:43:47,,749/2577,,1316/2577,
3485,,4.81%,,12.72%,G,31.77%,G,41.61%,G,21.69%,G,14.02%,,17.48%,,42.44%,G,16,,90,,32.84%,,33.65%,,8,,26,,95.71%,G,95.71%,G,0:51:57,,0:51:19,,495/2577,G,166/2577,G
3874,,-3.81%,R,0.64%,,-10.75%,R,-6.23%,R,-18.45%,R,-14.99%,R,-3.98%,R,-0.56%,R,2,,3,R,33.14%,,34.89%,,2,,18,,47.04%,,44.17%,,1:06:51,R,1:00:21,,2501/2577,R,2463/2577,R
4616,,15.54%,G,8.14%,,40.85%,G,24.97%,,-5.90%,,3.72%,,54.98%,G,29.01%,,5,,9,R,28.25%,,25.97%,R,11,,26,,80.46%,,80.27%,G,1:09:25,R,1:05:00,R,450/2577,G,875/2577,
Total,B,2.59%,,5.31%,,17.52%,,16.46%,,2.20%,,1.30%,,13.56%,,15.84%,,0.49,,0.41,,38.93%,,38.63%,,0.29,,0.26,,72.76%,G,74.42%,G,0:57:41,,0:56:50,,177/394,,207/394,
3201,,6.84%,,8.71%,,66.55%,G,48.18%,G,69.19%,G,38.60%,G,50.41%,G,53.39%,G,56,G,80,,32.05%,,34.37%,,2,,17,,32.42%,,37.16%,,0:28:24,G,0:27:53,G,86/2577,G,119/2577,G
3401,,25.12%,G,13.25%,G,104.31%,G,78.52%,G,41.10%,G,51.55%,G,190.57%,G,69.81%,G,1,R,9,R,37.38%,,42.25%,,2,,15,,23.13%,R,26.10%,R,1:12:25,R,1:10:10,R,230/2577,G,252/2577,G
