DC #,1/29/2022,1/30/2022,1/31/2022,2/1/2022,2/2/2022,2/3/2022,2/4/2022,2/5/2022,2/6/2022,2/7/2022,2/8/2022,2/9/2022,2/10/2022,2/11/2022,Grand Total
6042,0,331,26,0,333,26,285,26,293,754,364,227,208,0,2873
6047,0,159,604,161,609,128,458,139,17,1940,159,318,301,0,4993
6055,0,658,0,0,672,0,482,0,521,1139,246,270,178,0,4166
6056,325,26,0,329,26,279,26,284,0,701,387,178,130,26,2717
6057,792,0,809,0,523,0,0,555,0,1135,227,309,225,0,4575
6059,559,0,0,506,0,502,0,509,0,1264,216,156,127,0,3839
6062,1009,0,0,1035,0,621,0,711,0,1916,105,349,345,0,6091
6064,704,26,0,722,26,378,26,436,0,1161,795,461,260,26,5021
6065,608,0,0,609,0,475,0,489,0,1114,156,244,115,0,3810
6071,0,1023,0,1039,0,669,0,0,730,1767,167,412,232,0,6039
6072,0,618,0,0,624,0,451,0,479,1771,156,563,186,0,4848
6073,894,0,0,904,0,452,156,669,0,1927,248,494,306,0,6050
6074,985,0,0,942,0,639,0,736,0,1834,297,203,149,0,5785
6077,825,0,0,831,0,582,0,616,0,1422,306,252,183,0,5017
6082,0,648,26,0,664,26,420,26,470,1575,1033,525,182,0,5595
6083,0,1028,0,0,1068,0,607,0,680,2438,1227,552,442,0,8042
6084,0,1185,0,0,1219,0,796,0,931,1086,657,492,252,0,6618
6085,0,939,0,0,880,0,701,0,731,1869,310,278,198,0,5906
6090,953,304,0,966,282,637,200,666,1582,216,770,434,152,26,7188
6091,711,0,0,717,0,351,270,626,0,771,293,303,135,0,4177
6095,0,648,0,0,658,0,537,0,594,1890,241,491,235,0,5294
6096,0,564,0,567,0,542,0,0,542,977,170,267,156,0,3785
6097,670,0,0,682,0,419,0,442,0,1920,312,390,183,0,5018
6099,0,861,26,868,26,669,26,0,702,1558,125,260,152,0,5273
6858,895,0,0,911,0,506,169,724,0,1696,148,451,266,0,5766
7010,0,915,0,0,944,0,659,0,685,1550,986,497,419,0,6655
7012,465,0,0,469,0,395,0,395,0,1007,145,199,104,0,3179
7013,0,1249,0,0,1284,0,876,0,953,1113,926,439,239,0,7079
7014,717,0,0,723,0,594,0,609,0,1321,271,234,143,0,4612
7015,668,0,0,676,0,523,0,553,0,1149,833,359,231,0,4992
7016,0,267,837,378,751,205,577,293,0,2844,329,546,337,0,7364
7017,902,0,0,921,0,582,0,647,0,1293,191,364,193,0,5093
7018,1050,0,0,1065,0,720,0,778,0,1444,287,312,227,0,5883
7019,746,0,0,756,0,563,40,555,87,1656,106,363,188,0,5060
7021,0,1017,0,0,999,26,740,26,791,1369,514,357,311,26,6176
7023,0,879,106,896,109,611,56,0,651,1494,78,195,146,0,5221
7024,888,18,0,854,0,689,0,697,19,1641,234,332,156,0,5528
7030,13,152,504,153,511,141,403,153,0,2007,156,402,228,0,4823
7048,0,891,0,0,899,0,643,26,666,1013,521,273,199,0,5131
7055,0,1095,0,0,1062,0,773,0,868,2208,308,394,251,0,6959
7077,0,582,0,0,590,0,485,0,495,995,156,143,104,0,3550
7079,796,0,0,746,0,669,0,679,0,1190,216,152,150,0,4598
7084,805,0,26,808,0,670,0,693,0,855,768,443,190,0,5258
8851,0,886,158,893,160,694,70,0,729,1133,149,156,204,0,5232
8852,34,688,60,0,732,26,557,61,587,468,490,168,137,0,4008
