Market,Store,Store Type,Launch Date 
326,7,SUP,2/22
347,12,SUP,2/22
322,54,SUP,2/22
328,71,SUP,2/22
134,75,SUP,2/22
145,94,SUP,2/22
324,124,SUP,2/22
345,168,SUP,2/22
344,221,SUP,2/22
344,227,SUP,2/22
345,246,SUP,2/22
353,277,SUP,2/22
135,307,SUP,2/22
322,359,SUP,2/22
352,389,SUP,2/22
39,396,SUP,2/22
132,402,SUP,2/22
132,415,SUP,2/22
130,428,SUP,2/22
128,489,SUP,2/22
353,517,SUP,2/22
26,518,SUP,2/22
132,531,SUP,2/22
134,539,SUP,2/22
129,542,SUP,2/22
353,544,SUP,2/22
25,548,SUP,2/22
125,553,SUP,2/22
407,557,SUP,2/22
344,564,SUP,2/22
37,574,SUP,2/22
24,575,SUP,2/22
362,577,SUP,2/22
42,585,SUP,2/22
37,586,SUP,2/22
27,588,SUP,2/22
406,592,SUP,2/22
29,605,SUP,2/22
344,622,SUP,2/22
38,627,SUP,2/22
38,630,SUP,2/22
29,635,SUP,2/22
37,643,SUP,2/22
152,671,SUP,2/22
151,682,SUP,2/22
121,741,SUP,2/22
353,743,SUP,2/22
19,745,SUP,2/22
129,761,SUP,2/22
22,787,SUP,2/22
385,824,SUP,2/22
375,826,SUP,2/22
251,828,SUP,2/22
385,831,SUP,2/22
385,835,SUP,2/22
130,839,SUP,2/22
554,840,WNM,2/22
389,842,SUP,2/22
22,855,SUP,2/22
554,920,WNM,2/22
482,923,SUP,2/22
130,935,SUP,2/22
128,989,SUP,2/22
407,993,SUP,2/22
251,995,SUP,2/22
389,1001,SUP,2/22
129,1016,SUP,2/22
425,1020,SUP,2/22
353,1056,SUP,2/22
130,1102,SUP,2/22
326,1105,SUP,2/22
131,1136,SUP,2/22
249,1141,SUP,2/22
125,1163,SUP,2/22
435,1167,SUP,2/22
20,1184,SUP,2/22
135,1193,SUP,2/22
130,1206,SUP,2/22
409,1221,SUP,2/22
30,1227,SUP,2/22
418,1241,SUP,2/22
