Store Number,Ship By Date,Must Arrive By Date,Construction Start
5282,12/19/2022,1/2/2023,01/09/2023
5391,12/19/2022,1/2/2023,01/09/2023
5676,12/19/2022,1/2/2023,01/09/2023
5771,12/19/2022,1/2/2023,01/09/2023
5882,12/19/2022,1/2/2023,01/09/2023
5979,12/19/2022,1/2/2023,01/09/2023
7221,12/19/2022,1/2/2023,01/09/2023
488,1/9/2023,1/23/2023,01/30/2023
778,1/9/2023,1/23/2023,01/30/2023
858,1/9/2023,1/23/2023,01/30/2023
1273,1/9/2023,1/23/2023,01/30/2023
1349,1/9/2023,1/23/2023,01/30/2023
1364,1/9/2023,1/23/2023,01/30/2023
1575,1/9/2023,1/23/2023,01/30/2023
1600,1/9/2023,1/23/2023,01/30/2023
2028,1/9/2023,1/23/2023,01/30/2023
2151,1/9/2023,1/23/2023,01/30/2023
2245,1/9/2023,1/23/2023,01/30/2023
2392,1/9/2023,1/23/2023,01/30/2023
2457,1/9/2023,1/23/2023,01/30/2023
2751,1/9/2023,1/23/2023,01/30/2023
2767,1/9/2023,1/23/2023,01/30/2023
2801,1/9/2023,1/23/2023,01/30/2023
2930,1/9/2023,1/23/2023,01/30/2023
3026,1/9/2023,1/23/2023,01/30/2023
3128,1/9/2023,1/23/2023,01/30/2023
3131,1/9/2023,1/23/2023,01/30/2023
3314,1/9/2023,1/23/2023,01/30/2023
3360,1/9/2023,1/23/2023,01/30/2023
3604,1/9/2023,1/23/2023,01/30/2023
3844,1/9/2023,1/23/2023,01/30/2023
3845,1/9/2023,1/23/2023,01/30/2023
4203,1/9/2023,1/23/2023,01/30/2023
4233,1/9/2023,1/23/2023,01/30/2023
4324,1/9/2023,1/23/2023,01/30/2023
4336,1/9/2023,1/23/2023,01/30/2023
4427,1/9/2023,1/23/2023,01/30/2023
4639,1/9/2023,1/23/2023,01/30/2023
5049,1/9/2023,1/23/2023,01/30/2023
5075,1/9/2023,1/23/2023,01/30/2023
5124,1/9/2023,1/23/2023,01/30/2023
5257,1/9/2023,1/23/2023,01/30/2023
5332,1/9/2023,1/23/2023,01/30/2023
5392,1/9/2023,1/23/2023,01/30/2023
5422,1/9/2023,1/23/2023,01/30/2023
5611,1/9/2023,1/23/2023,01/30/2023
5797,1/9/2023,1/23/2023,01/30/2023
5843,1/9/2023,1/23/2023,01/30/2023
5957,1/9/2023,1/23/2023,01/30/2023
6548,1/9/2023,1/23/2023,01/30/2023
7194,1/9/2023,1/23/2023,01/30/2023
7298,1/9/2023,1/23/2023,01/30/2023
309,1/16/2023,1/30/2023,02/06/2023
402,1/16/2023,1/30/2023,02/06/2023
539,1/16/2023,1/30/2023,02/06/2023
803,1/16/2023,1/30/2023,02/06/2023
843,1/16/2023,1/30/2023,02/06/2023
909,1/16/2023,1/30/2023,02/06/2023
1011,1/16/2023,1/30/2023,02/06/2023
1045,1/16/2023,1/30/2023,02/06/2023
1061,1/16/2023,1/30/2023,02/06/2023
1143,1/16/2023,1/30/2023,02/06/2023
1280,1/16/2023,1/30/2023,02/06/2023
1369,1/16/2023,1/30/2023,02/06/2023
1384,1/16/2023,1/30/2023,02/06/2023
1549,1/16/2023,1/30/2023,02/06/2023
1807,1/16/2023,1/30/2023,02/06/2023
2113,1/16/2023,1/30/2023,02/06/2023
2270,1/16/2023,1/30/2023,02/06/2023
2464,1/16/2023,1/30/2023,02/06/2023
2468,1/16/2023,1/30/2023,02/06/2023
2497,1/16/2023,1/30/2023,02/06/2023
2632,1/16/2023,1/30/2023,02/06/2023
2735,1/16/2023,1/30/2023,02/06/2023
2768,1/16/2023,1/30/2023,02/06/2023
2860,1/16/2023,1/30/2023,02/06/2023
