State,Store ID,CBSA,Type,Address,Zip Code,City
TX,1055,"Dallas-Fort Worth-Arlington, TX",SUP,5302 N Garland Ave,75040-2715,Garland
TX,1062,"Houston-The Woodlands-Sugar Land, TX",SUP,150 W El Dorado Blvd,77546-6500,Friendswood
FL,1068,"Sebastian-Vero Beach, FL",SUP,2001 Us Highway 1,32958-1615,Sebastian
FL,1082,"Jacksonville, FL",SUP,10991 San Jose Blvd Ste 1,32223-6600,Jacksonville
FL,1083,"Jacksonville, FL",SUP,6830 Normandy Blvd,32205-1902,Jacksonville
FL,1085,"Tampa-St. Petersburg-Clearwater, FL",SUP,8701 Us Highway 19,34668-5349,Port Richey
FL,1087,"Port St. Lucie, FL",SUP,4001 Se Federal Hwy,34997-4909,Stuart
FL,1090,"Jacksonville, FL",SUP,6767 103rd St,32210-7135,Jacksonville
MO,1094,"Kansas City, MO-KS",SUP,10300 E Highway 350,64138-1803,Raytown
KS,1099,"Wichita, KS",SUP,501 E Pawnee St,67211-4944,Wichita
LA,1102,"Baton Rouge, LA",SUP,14507 Plank Rd,70714-5431,Baker
TX,1103,"Houston-The Woodlands-Sugar Land, TX",SUP,3450 Fm 1960 Rd W,77068-3606,Houston
TX,1117,"Dallas-Fort Worth-Arlington, TX",SUP,6001 N Central Expy,75023-4702,Plano
TX,1118,"Dallas-Fort Worth-Arlington, TX",SUP,12300 Lake June Rd,75180-1636,Balch Springs
MO,1120,"Kansas City, MO-KS",SUP,7207 N M1 Hwy,64119-5351,Gladstone
TX,1129,"Austin-Round Rock, TX",SUP,13201 Ranch Road 620 N,78717-1011,Austin
LA,1136,"Baton Rouge, LA",SUP,3255 La Highway 1 S,70767-5858,Port Allen
TX,1137,"Houston-The Woodlands-Sugar Land, TX",SUP,13750 East Fwy,77015-5929,Houston
KS,1151,"Kansas City, MO-KS",SUP,10824 Parallel Pkwy,66109-3649,Kansas City
NC,1156,"Charlotte-Concord-Gastonia, NC-SC",SUP,169 Norman Station Blvd,28117-6396,Mooresville
MO,1161,"St. Louis, MO-IL",SUP,2897 Veterans Memorial Pkwy,63303-3526,SAINT CHARLES
LA,1163,"New Orleans-Metairie, LA",SUP,4001 Behrman Pl,70114-0932,New Orleans
WI,1167,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,3500 Brumback Blvd,53144-4816,Kenosha
KY,1170,"Louisville-Jefferson County, KY-IN",SUP,10445 Dixie Hwy,40272-3953,Louisville
FL,1171,"North Port-Sarasota-Bradenton, FL",SUP,8320 Lockwood Ridge Rd,34243-2902,Sarasota
FL,1172,"Jacksonville, FL",SUP,13490 Beach Blvd,32224-0290,Jacksonville
FL,1173,"Jacksonville, FL",SUP,8808 Beach Blvd,32216-4621,Jacksonville
MO,1177,"St. Louis, MO-IL",SUP,201 Highlands Boulevard Dr,63011-4383,Manchester
GA,1181,"Atlanta-Sandy Springs-Roswell, GA",SUP,1785 Cobb Pkwy S,30060-9288,Marietta
GA,1184,"Atlanta-Sandy Springs-Roswell, GA",SUP,1825 Rockbridge Rd,30087-3335,Stone Mountain
TX,1185,"Austin-Round Rock, TX",SUP,1030 Norwood Park Blvd,78753-6600,Austin
TX,1198,"San Antonio-New Braunfels, TX",SUP,1515 N Loop 1604 E,78232-1431,San Antonio
CO,1200,"Colorado Springs, CO",SUP,3201 E Platte Ave,80909-6408,Colorado Springs
LA,1206,"Baton Rouge, LA",SUP,3132 College Dr,70808-3180,Baton Rouge
NC,1209,"Charlotte-Concord-Gastonia, NC-SC",SUP,306 N Generals Blvd,28092-3559,Lincolnton
FL,1213,"Tampa-St. Petersburg-Clearwater, FL",SUP,13300 Cortez Blvd,34613-4887,Brooksville
TX,1216,"Dallas-Fort Worth-Arlington, TX",SUP,1213 E Trinity Mills Rd,75006-1446,Carrollton
FL,1219,"Jacksonville, FL",SUP,12100 Lem Turner Rd,32218-2304,Jacksonville
FL,1220,"Orlando-Kissimmee-Sanford, FL",SUP,2500 S Kirkman Rd,32811-2345,ORLANDO
KS,1221,"Wichita, KS",SUP,6110 W Kellogg Dr,67209-2361,Wichita
FL,1225,"Jacksonville, FL",SUP,899 Blanding Blvd,32065-8917,Orange Park
IL,1228,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,2680 N Il Route 83,60073-4983,Round Lake Beach
AL,1229,"Birmingham-Hoover, AL",SUP,2780 John Hawkins Pkwy,35244-4001,Hoover
CO,1231,"Denver-Aurora-Lakewood, CO",SUP,9901 Grant St,80229-2157,Thornton
TN,1248,"Memphis, TN-MS-AR",SUP,7525 Winchester Rd,38125-2202,Memphis
CO,1252,"Denver-Aurora-Lakewood, CO",SUP,6675 Business Center Dr,80130-3603,Highlands Ranch
TX,1253,"Austin-Round Rock, TX",SUP,710 E Ben White Blvd,78704-7404,Austin
IL,1256,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,2424 W Jefferson St,60435-6429,Joliet
LA,1266,"Baton Rouge, LA",SUP,2171 Oneal Ln,70816-3206,Baton Rouge
CO,1273,"Colorado Springs, CO",SUP,6310 S Us Highway 8587,80817-1006,Fountain
TX,1279,"Houston-The Woodlands-Sugar Land, TX",SUP,10411 N Freeway 45,77037-1124,Houston
AZ,1291,"Tucson, AZ",SUP,7150 E Speedway Blvd,85710-1318,Tucson
CO,1308,"Denver-Aurora-Lakewood, CO",SUP,7700 W Quincy Ave,80123-2404,Littleton
