STORE_NBR,Subdiv,Region,Market,DC,Max pallet return
5219,1M,47,411,6065,9
2088,1F,17,195,6096,9
4446,1A,9,107,8851,9
5033,1M,54,378,7018,9
1203,1A,9,116,6071,9
6807,1A,12,145,6072,9
879,1E,41,152,6062,9
6579,1B,6,59,7010,9
2613,1E,19,213,7012,9
3799,1B,46,371,7013,9
1597,1B,44,356,7015,9
5722,1O,64,543,6057,9
1237,1F,26,299,6091,9
1241,1M,52,418,7024,9
844,1E,25,262,7024,9
2923,1M,47,382,7077,9
706,1A,9,114,6071,9
899,1A,3,27,6099,9
2781,1M,56,399,6090,9
6978,1A,3,101,6099,9
3304,1F,26,298,6858,9
785,1B,13,141,7019,9
2869,1E,19,203,6074,9
502,1B,13,129,6057,9
1090,1A,3,101,6099,9
3626,1F,26,308,6858,9
113,1B,44,349,6042,9
1746,1B,46,371,7013,9
1496,1M,52,415,7024,9
144,1A,42,322,6082,9
3456,1O,59,500,6091,9
2089,1E,20,311,6097,9
2539,1M,60,474,7021,9
38,1B,44,47,6082,9
4350,1F,75,287,7016,9
4574,1F,4,306,6858,9
1934,1F,75,314,6091,9
1225,1A,3,101,6099,9
5106,1O,72,96,8851,9
1863,1E,20,209,7017,9
712,1A,12,5,6062,9
5671,1A,9,110,7023,9
3406,1B,5,51,6064,9
2690,1A,12,137,6062,9
1592,1E,19,205,6074,9
2918,1B,5,51,6056,9
1419,1E,21,248,7055,10
5342,1M,57,365,7013,10
282,1E,41,253,6062,10
5871,1A,9,91,6071,10
2285,1F,17,189,6096,10
2777,1B,46,368,7013,10
3795,1F,17,577,7030,10
2508,1M,56,399,6090,10
1218,1B,46,366,7013,10
5254,1F,26,297,6091,10
5462,1M,60,476,7021,10
5071,1B,44,349,6042,10
1532,1B,46,369,7013,10
4435,1A,12,149,6062,10
504,1B,6,61,7010,10
4202,1M,56,455,7048,10
3084,1O,61,551,7084,10
2774,1E,21,217,7012,10
221,1B,44,344,6042,10
1491,1M,52,413,6077,10
5250,1A,9,90,6071,10
558,1M,47,407,7018,10
6577,1O,64,543,6057,10
2755,1B,13,140,6072,10
1037,1F,4,36,6073,10
910,1E,53,442,7024,10
4565,1O,72,559,6099,10
1131,1F,4,304,6858,10
4654,1O,72,492,6072,10
2615,1A,3,27,6099,10
1444,1A,3,98,6099,10
5210,1B,5,51,6056,10
4443,1O,59,497,6055,10
4533,1A,12,145,6072,10
1519,1E,21,218,7012,10
2123,1B,44,47,6082,10
3049,1O,61,9,7013,10
4603,1O,61,9,7013,10
639,1A,3,28,6099,10
3297,1B,6,67,7010,10
3432,1B,5,49,6064,10
4683,1B,13,130,6057,10
324,1B,44,356,7015,10
1301,1F,75,312,6858,10
1390,1A,9,111,6071,10
3537,1M,60,467,7021,10
954,1B,13,141,6057,10
918,1B,5,46,6082,10
203,1E,40,359,6077,10
2822,1B,13,131,6057,10
25,1E,40,359,6077,11
578,1A,2,123,6097,11
1109,1A,42,135,6082,11
682,1A,12,151,6062,11
3229,1B,44,349,6042,11
5472,1E,19,202,6074,11
4605,1O,64,542,6056,11
4560,1O,72,488,8851,11
2515,1B,46,371,7013,11
4430,1B,46,373,7013,11
2739,1A,14,14,7019,11
4556,1F,4,29,6099,11
2793,1F,26,308,6858,11
3471,1A,2,26,6095,11
5710,1M,56,450,8852,11
3508,1O,64,507,7015,11
3362,1E,41,253,6062,11
3178,1O,61,550,7021,11
1066,1B,13,143,7019,11
2611,1E,20,235,6047,11
3488,1E,53,435,7024,11
3742,1M,60,476,7021,11
2688,1B,5,45,7010,11
6849,1O,64,543,7019,11
853,1A,14,1,7019,11
1266,1B,13,130,6057,11
5363,1A,3,16,6095,11
5323,1O,64,533,6042,11
994,1A,9,104,6071,11
2921,1M,54,401,6090,11
687,1A,2,121,6062,11
962,1M,54,389,6084,11
5738,1O,72,534,6082,11
5132,1O,72,96,8851,11
259,1B,5,583,6056,11
2572,1E,21,218,7012,11
5980,1O,61,552,7048,11
862,1A,3,28,6099,11
2269,1M,60,473,7021,11
2519,1F,22,233,6047,11
5706,1A,42,324,6082,11
989,1B,13,128,6057,12
5427,1O,59,495,6077,12
7127,1O,72,538,6072,12
5990,1O,61,491,7015,12
4285,1E,20,214,7017,12
6323,1O,64,543,6057,12
2976,1O,64,561,6056,12
2806,1F,4,42,6073,12
1442,1B,46,405,7013,12
1923,1E,19,200,6074,12
1409,1B,6,65,7010,12
3017,1A,12,151,6062,12
4357,1O,72,545,7019,12
4288,1M,54,379,7018,12
5832,1O,64,543,6057,12
541,1B,13,128,6057,12
3527,1A,9,107,8851,12
5935,1M,60,477,7021,12
675,1E,41,146,6072,12
3152,1O,61,491,7018,12
803,1B,13,128,6057,12
2102,1E,19,200,6074,12
4427,1A,3,97,6099,12
1638,1A,14,7,7019,12
784,1M,52,418,6077,12
4458,1F,26,299,6858,12
371,1B,5,48,6064,12
1195,1B,13,143,6057,12
236,1B,6,503,7010,12
2149,1E,20,216,7012,12
5336,1O,64,507,7015,12
1768,1M,54,582,6090,12
1309,1F,75,312,6858,12
2712,1F,4,37,6073,12
2511,1M,54,582,6090,12
2809,1F,75,320,7017,12
7361,1O,64,562,7010,12
3723,1O,72,537,7015,12
941,1A,9,116,6071,12
428,1B,13,130,6057,12
5156,1M,57,463,7084,13
4491,1O,61,490,6090,13
921,1M,54,388,7077,13
2428,1B,44,409,7015,13
3349,1A,9,118,7023,13
2862,1M,56,399,6090,13
1223,1A,3,97,6099,13
3533,1M,54,585,7018,13
383,1B,13,66,7010,13
251,1B,5,45,6056,13
3509,1O,64,562,7010,13
1369,1B,46,364,7013,13
3894,1E,41,259,6097,13
1288,1F,26,296,6858,13
4250,1F,26,297,6858,13
1614,1F,26,297,6858,13
1425,1E,21,248,7055,13
1230,1B,46,364,7013,13
1783,1E,25,580,6059,13
2070,1M,60,469,7021,13
3342,1E,21,225,7012,13
6178,1O,61,490,7018,13
483,1A,14,8,7019,13
2562,1M,47,406,7018,13
5124,1B,46,370,7013,13
4164,1B,5,55,6056,13
519,1E,41,260,6097,13
4215,1B,5,55,6064,13
249,1B,6,503,7010,13
2204,1E,25,267,7024,13
931,1A,9,92,8851,13
2143,1F,16,179,7014,13
1097,1F,26,309,6858,13
2914,1E,20,215,7017,13
5203,1E,21,217,7012,13
4274,1F,4,305,6858,14
1312,1F,26,310,6858,14
2540,1E,20,229,6047,14
4407,1A,14,8,7019,14
2424,1F,17,187,6096,14
1875,1F,75,282,7016,14
5704,1O,72,488,8851,14
802,1E,53,263,7024,14
145,1E,40,339,6077,14
1298,1F,26,302,6091,14
3436,1E,19,201,7055,14
6395,1F,4,29,6099,14
2790,1F,75,280,6047,14
1165,1E,41,256,6097,14
3492,1B,44,409,7015,14
969,1B,13,143,6057,14
4461,1E,41,259,7012,14
2093,1F,17,189,6096,14
4497,1A,14,13,6072,14
2913,1B,13,129,6057,14
5262,1A,14,13,7019,14
5105,1F,75,286,7016,14
1345,1F,75,314,6858,14
1564,1E,21,218,7012,14
542,1B,13,129,6057,14
1428,1E,19,204,6074,14
529,1B,6,61,7010,14
3990,1O,72,544,6072,14
5211,1B,5,52,6056,14
1253,1B,5,82,6083,14
5107,1O,59,566,6062,15
3850,1M,60,467,7021,15
2881,1A,9,90,6071,15
5866,1B,5,56,6042,15
3008,1A,2,23,6095,15
1775,1M,60,478,7021,15
794,1B,44,409,7015,15
3612,1F,26,296,6858,15
1699,1M,54,401,6090,15
669,1A,2,120,6062,15
49,1B,44,47,6082,15
1411,1B,46,366,7013,15
3011,1O,72,488,8851,15
905,1M,54,379,7018,15
5392,1A,3,28,6099,15
955,1A,9,91,6071,15
1113,1E,41,258,6097,15
874,1B,13,141,7010,15
3568,1M,54,403,6090,15
1711,1A,14,2,7019,15
1579,1F,26,296,6091,15
703,1B,6,67,7010,15
772,1B,6,64,7010,15
5761,1E,19,197,6074,15
3197,1A,9,112,6071,15
1521,1E,21,225,7055,16
5396,1M,60,478,7021,16
930,1A,14,8,7019,16
174,1A,9,92,8851,16
2695,1A,9,89,6071,16
2051,1B,46,405,7013,16
2320,1M,56,468,7021,16
608,1B,46,73,6083,16
3226,1B,6,65,7010,16
67,1A,42,321,6082,16
2929,1F,26,310,6091,16
6898,1B,46,71,6084,16
415,1B,13,132,7010,16
1807,1F,22,165,7030,16
3379,1B,46,366,7013,16
539,1B,13,134,7010,16
904,1A,14,1,7019,16
1441,1E,21,221,7012,16
5116,1B,6,60,7010,17
7299,1O,72,488,8851,17
1318,1A,2,122,6097,17
5186,1B,46,373,7013,17
2706,1B,13,125,6057,17
462,1B,6,61,7010,17
4399,1E,21,247,7055,17
2351,1F,17,188,6096,17
4540,1E,19,203,6074,17
3298,1B,6,60,7010,17
254,1E,25,273,6059,17
4264,1O,61,9,7013,17
2663,1F,22,237,6047,17
4473,1O,61,9,7013,17
2700,1E,19,203,6074,17
1385,1F,4,305,6858,17
912,1B,13,125,6057,17
402,1B,13,132,7010,17
2129,1F,22,231,6047,18
1705,1F,17,191,6096,18
131,1B,44,47,6056,18
1945,1F,17,226,6096,18
651,1B,13,66,7010,18
3293,1E,20,209,7017,18
4064,1F,75,289,7016,18
1292,1F,75,312,6858,18
4734,1M,54,585,7018,18
3207,1A,3,94,8851,18
4230,1E,21,248,7055,18
5272,1M,60,472,7021,18
4210,1O,72,545,7019,18
5487,1A,2,35,6073,18
3394,1M,52,413,7018,19
31,1B,44,351,6082,19
1219,1A,3,101,6099,19
1068,1A,9,92,8851,19
1644,1F,22,232,7030,19
5329,1B,46,370,7013,19
5189,1B,46,369,7013,19
4695,1E,25,272,6077,19
4065,1F,26,300,6091,19
3439,1A,14,15,7019,19
1104,1A,9,104,6071,19
2396,1O,72,488,8851,19
5969,1F,75,292,7016,19
3782,1A,9,91,8851,19
1186,1B,6,60,7010,20
2577,1F,75,281,6047,20
909,1B,13,125,6057,20
2987,1A,9,109,7023,20
2840,1O,72,546,6099,20
5190,1B,46,370,7013,20
1510,1E,21,225,7012,20
2084,1M,47,382,6090,20
5731,1F,75,291,7016,20
3302,1B,6,64,7010,21
2063,1E,20,208,7017,21
351,1B,6,68,7010,21
581,1M,52,414,6077,21
1617,1M,54,381,7077,21
3081,1M,56,454,7048,21
592,1M,47,406,7015,21
635,1F,4,29,6099,21
5488,1F,75,288,7016,22
2045,1F,75,281,6047,22
2894,1F,75,280,6047,22
916,1B,13,141,6057,22
4340,1M,57,445,7084,22
942,1A,9,89,6071,22
412,1B,5,45,6083,22
2243,1M,60,478,7021,22
5965,1E,25,266,7055,23
564,1B,44,344,7015,23
2514,1F,75,285,7016,23
908,1A,9,90,6071,23
3480,1E,20,311,6097,23
1774,1F,26,310,6858,24
2646,1E,20,317,6097,24
2595,1M,60,471,7021,24
1677,1F,17,189,6096,24
1350,1F,75,315,7016,24
3239,1M,60,478,7021,24
4538,1B,6,67,7010,24
1539,1E,19,213,7012,25
5031,1B,46,366,7013,25
5056,1B,13,131,6057,25
943,1A,9,91,8851,25
556,1A,3,28,6099,25
1399,1F,75,315,6858,25
2927,1M,60,476,7021,25
2328,1O,59,497,6073,26
288,1B,6,503,7010,26
1344,1F,75,315,7016,26
2884,1M,57,394,6090,26
5851,1F,26,301,6091,26
1245,1A,9,114,6071,27
3112,1B,6,77,6083,27
2810,1E,20,316,7012,27
3580,1E,21,219,7012,27
974,1A,9,92,8851,27
1220,1A,9,90,6071,27
538,1A,3,93,6099,27
3377,1O,61,9,7013,27
1213,1A,9,104,6071,27
1953,1F,26,297,6091,27
1315,1M,54,381,7077,28
3233,1M,52,419,7079,28
1817,1M,60,475,7021,28
4112,1B,6,569,6083,28
2537,1M,56,457,7048,28
5055,1A,9,105,7023,28
3486,1E,21,218,7012,28
3044,1B,5,50,6064,29
890,1A,9,91,8851,29
3218,1M,60,467,7021,29
4564,1F,26,299,6091,30
649,1A,9,92,8851,30
1188,1E,40,339,6077,30
3720,1F,75,293,6047,30
157,1A,42,328,6082,30
1594,1E,21,219,7012,31
4423,1F,75,280,6047,31
2769,1B,6,87,6083,31
1048,1E,41,257,6097,31
5091,1B,6,67,7010,31
360,1B,44,352,7015,31
1499,1E,20,317,6097,31
4490,1O,61,9,7013,33
4697,1F,75,315,7016,33
771,1A,9,92,8851,34
2244,1E,20,316,7012,34
934,1A,14,1,7019,34
2169,1F,22,232,7030,35
1891,1F,17,162,7014,35
3581,1E,20,216,7012,35
1782,1E,20,216,7012,35
5421,1O,59,495,6077,35
1137,1B,6,60,7010,35
3216,1F,75,289,7016,35
1475,1M,52,418,6077,35
5927,1E,40,340,6077,35
2726,1E,21,219,7012,35
1612,1B,46,366,7013,35
452,1B,6,80,6083,35
5242,1F,17,191,6096,35
5266,1A,9,104,6071,35
1792,1F,22,231,6047,35
929,1A,9,107,8851,35
457,1B,13,66,7010,35
3077,1F,75,292,7016,35
2939,1B,13,140,6057,35
3729,1M,56,392,7048,35
1232,1B,5,81,6083,35
4451,1B,46,373,7013,35
2528,1F,22,232,6047,35
2075,1M,60,478,7021,35
1150,1B,6,85,6083,35
3280,1F,17,192,6096,35
2612,1B,46,505,6084,35
2440,1A,2,294,6097,35
508,1B,6,506,6083,35
1342,1B,13,128,6057,35
2036,1E,20,317,7012,35
2662,1E,20,317,6097,35
5358,1F,22,234,6047,35
3495,1A,12,149,6062,35
3842,1F,17,192,6096,35
656,1A,12,151,6062,35
5844,1E,19,206,6074,35
2429,1E,21,223,7012,35
2436,1F,75,293,6047,35
5,1A,42,326,6082,35
5144,1B,6,77,6083,35
4273,1F,26,300,6091,35
35,1M,47,407,7018,35
2735,1M,56,454,7048,35
709,1E,41,256,6097,35
2576,1E,20,316,7012,35
5959,1B,6,63,7010,35
1240,1B,46,367,7013,35
5287,1B,6,68,7010,35
3465,1B,46,369,7013,35
2783,1E,41,260,6097,35
1702,1A,9,92,8851,35
3391,1B,6,87,6083,35
4277,1E,20,316,7012,35
