STORE_NBR,Subdiv,Region,Market,DC,Max pallet return
2757,1A,12,151,6062,6
5438,1E,53,444,6085,6
6226,1O,59,502,7016,6
4176,1M,60,477,7021,6
4220,1O,59,502,7016,6
2944,1O,72,549,8851,6
3156,1O,59,502,7016,6
2749,1F,4,124,6858,6
3235,1A,9,553,7023,6
4335,1M,54,391,7077,6
312,1B,13,134,7010,6
3745,1O,64,542,6082,6
4561,1O,72,549,6099,6
4330,1A,14,13,7019,6
5616,1A,12,153,6062,6
1870,1M,60,475,7021,6
2496,1F,4,124,6858,6
3538,1A,9,92,8851,6
434,1A,12,5,6062,6
2007,1M,60,473,7021,6
276,1B,44,351,6082,6
1020,1E,53,425,7079,6
786,1E,25,264,7024,6
3730,1B,46,364,7013,6
1925,1M,60,478,7021,6
2337,1F,75,312,6858,6
6590,1O,64,541,7010,6
5420,1A,9,90,6071,7
2318,1F,22,231,6047,7
1695,1M,47,427,7079,7
7242,1O,72,537,6082,7
1760,1M,56,455,7048,7
662,1A,12,137,6062,7
2506,1E,20,215,7017,7
5064,1E,19,201,6074,7
3734,1M,47,430,7018,7
3515,1E,21,218,7012,7
3208,1M,54,582,6090,7
2477,1M,56,468,7021,7
3817,1O,72,559,8851,7
4404,1F,22,233,6047,7
5350,1M,54,403,6090,7
3709,1A,2,19,6095,7
1300,1F,26,302,6091,7
6732,1O,72,546,6099,7
5261,1A,42,323,6082,7
3484,1A,14,14,7019,7
2792,1E,20,316,7012,7
5299,1A,9,89,6071,7
3155,1O,61,491,7015,7
1168,1B,13,141,6057,7
4413,1O,59,494,6097,7
2564,1F,75,286,7016,7
5045,1B,6,67,7010,7
2935,1M,52,413,6077,7
2339,1E,21,246,7055,7
1346,1B,13,143,7019,7
5170,1M,47,429,7018,7
3457,1O,64,507,7015,7
3224,1B,5,583,6056,7
3334,1F,17,187,6096,7
5146,1B,6,506,6083,7
3591,1B,6,68,7010,7
768,1B,6,65,7010,7
5835,1B,46,370,7013,7
5879,1F,4,306,6858,7
1193,1A,42,135,6082,7
5991,1O,61,491,7015,7
1432,1E,19,204,6074,7
2760,1A,14,14,7019,7
165,1B,5,46,6056,7
738,1A,12,147,6072,7
740,1A,14,7,7019,7
4459,1F,26,301,6091,7
527,1B,6,61,7010,7
7004,1O,59,499,6858,7
1391,1A,3,94,8851,7
4256,1M,52,414,6077,7
1793,1M,60,477,7021,7
2249,1M,60,467,7021,7
3199,1O,64,504,6056,7
2588,1E,20,235,7017,7
4638,1F,75,291,7016,7
4648,1O,72,545,7019,7
5150,1E,40,340,6077,7
5791,1O,72,538,7015,8
613,1A,3,94,6099,8
2930,1O,72,103,7023,8
1370,1M,57,365,7013,8
5049,1M,54,380,7077,8
3635,1O,59,498,6062,8
1942,1E,19,200,6074,8
3739,1M,56,399,6090,8
3658,1F,26,298,6858,8
2883,1B,5,56,6056,8
5819,1O,72,549,6099,8
253,1E,25,272,6077,8
2081,1A,9,111,6071,8
417,1B,44,47,6056,8
2532,1E,53,263,7024,8
967,1A,9,104,6071,8
2845,1F,26,296,6858,8
220,1B,5,48,6064,8
1209,1F,4,305,6858,8
7309,1O,64,562,7010,8
4517,1O,72,546,6099,8
1372,1F,26,299,6091,8
6789,1F,26,308,6858,8
1965,1M,47,432,7018,8
4129,1B,13,128,6057,8
1016,1B,13,129,6057,8
3119,1A,14,15,7019,8
1349,1A,9,109,7023,8
5894,1A,9,91,8851,8
4233,1O,61,510,7013,8
3604,1O,61,510,7013,8
7218,1O,59,496,6091,8
1750,1E,21,222,7012,8
2037,1M,60,472,7021,8
1533,1B,46,369,7013,8
588,1A,3,27,6099,8
4512,1B,6,65,7010,8
5797,1A,3,27,6099,8
2665,1B,13,125,6057,8
2922,1B,46,366,7013,8
401,1B,13,131,7010,8
1431,1M,52,418,6077,8
1032,1A,14,15,7019,8
1173,1A,3,98,6099,8
1512,1B,46,371,7013,8
3640,1B,6,65,7010,8
5981,1O,61,552,7048,8
1905,1M,56,400,6090,8
3289,1F,4,124,6858,8
4674,1O,64,542,7010,8
4395,1M,60,474,7021,8
1558,1F,26,298,6858,8
2146,1F,17,189,6096,8
1650,1E,53,444,6085,8
4483,1A,12,149,6062,8
1771,1E,19,202,6074,8
773,1B,13,134,7010,8
1291,1B,46,367,7013,8
6166,1O,64,543,7019,8
1462,1A,14,7,7019,8
400,1B,6,68,7010,8
1328,1B,46,364,7013,8
1896,1M,54,391,7077,8
3845,1O,61,510,7013,9
2919,1O,64,542,6082,9
5097,1E,19,204,6074,9
1507,1B,44,409,7015,9
1101,1A,14,8,7019,9
2469,1M,60,467,7021,9
1661,1F,26,302,6091,9
2973,1B,5,51,6056,9
4208,1M,54,401,6090,9
