,,INVENTORY,,,,,,,,,,,,
Select a Store,,Capacity,,TTL Inv.,,% to Cap,,Repl.,,TOD,,Non-Mod,,Instock
7290,," 1,000 ",, 833 ,,83%,, 760 ,, 31 ,, 40 ,,89.6%
,,,,,,,,,,,,,,
,,UNIT SALES,,,,,,,,,,,,
,,L52 Avg,,L52 Min,,L52 Max,,Last Wk,,52 Wk Turns,,,,
,, 48 ,,21,,81,, 66 ,, 3.0 ,,,,
,,,,,,,,,,,,,,
,,PRODUCTIVITY,,,,,,,,,,,,
,,Valid,,Traited,,Turned Off,,,,,,,,
,, 132 ,, 132 ,, -   ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
