,,Store Delivery Schedule,,,,,,,
store_nbr,whse_area,STORE_ SAT,STORE_ SUN,STORE_ MON,STORE_ TUE,STORE_ WED,STORE_ THU,STORE_ FRI,Weekly Total
32,FDD,1,,1,1,1,1,1,6
135,FDD,1,1,1,1,,1,1,6
232,FDD,1,1,1,1,,1,1,6
925,FDD,1,1,1,1,1,1,1,7
977,FDD,1,1,1,1,1,1,,6
1061,FDD,1,1,1,1,1,1,1,7
1109,FDD,1,1,,1,1,1,1,6
1110,FDD,1,1,,1,1,1,1,6
1119,FDD,1,1,1,1,,1,1,6
1336,FDD,1,,1,1,1,1,,5
1393,FDD,1,,1,1,1,1,1,6
1451,FDD,1,1,1,1,1,,1,6
1509,FDD,1,1,1,1,1,,1,6
1537,FDD,1,1,1,,1,1,1,6
1587,FZ,1,1,,1,,1,1,5
1615,FDD,1,1,1,1,,1,1,6
1785,FDD,1,1,1,1,,1,1,6
1795,FDD,1,1,1,1,1,1,,6
1838,FZ,1,1,1,,1,1,1,6
1855,FDD,1,1,1,1,1,1,1,7
1877,FZ,1,1,1,,1,1,1,6
1895,FDD,,1,1,1,1,1,1,6
1930,FDD,1,1,1,,1,1,1,6
1963,FZ,1,1,,1,,1,,4
1972,FZ,1,1,,1,1,1,,5
1990,FDD,1,1,,1,1,1,1,6
2009,FDD,,1,1,1,1,1,1,6
2020,FDD,1,1,1,1,1,1,1,7
2039,FZ,1,1,1,1,,1,1,6
2156,FDD,1,1,,1,1,1,1,6
2167,FDD,1,1,1,,1,1,1,6
2180,FDD,1,1,1,,1,1,1,6
2200,FDD,1,1,1,1,1,1,1,7
2264,DD,,1,,1,,1,,3
2333,FDD,1,1,1,1,,1,1,6
2398,FDD,,1,1,1,1,1,1,6
2490,FDD,1,1,1,1,1,,1,6
2507,FZ,1,1,1,1,,1,1,6
2530,FZ,1,1,1,1,1,,1,6
2553,FDD,1,1,1,1,1,1,,6
2556,FZ,1,1,1,1,,1,1,6
2571,FDD,1,1,1,1,,1,1,6
2604,FDD,1,1,1,1,1,1,1,7
2621,FZ,1,1,1,,1,,1,5
2660,FDD,1,1,1,1,,1,1,6
2683,FDD,1,,1,,1,,1,4
2785,FDD,1,1,1,1,1,1,1,7
2898,FDD,,1,,1,,1,1,4
2903,FDD,,1,1,1,1,1,1,6
3066,FDD,1,1,1,1,1,1,1,7
3087,FZ,1,1,,1,1,1,1,6
3541,FDD,1,1,1,1,1,1,1,7
3545,FDD,1,1,1,1,1,,1,6
3563,FDD,1,1,1,1,1,1,,6
5152,FZ,1,1,1,,1,1,1,6
5182,FDD,1,1,1,1,1,1,1,7
5200,FDD,1,1,,1,1,1,1,6
5258,FZ,1,1,1,1,1,1,1,7
5294,FDD,1,1,1,1,1,,1,6
5344,FDD,1,,1,1,1,1,1,6
5440,FDD,1,1,1,1,1,1,1,7
5751,FZ,1,1,1,1,1,1,1,7
5884,FZ,1,1,1,1,1,1,1,7
5890,FZ,1,1,1,1,1,,1,6
5898,FDD,1,1,1,,1,1,1,6
5996,FDD,1,,1,1,1,1,1,6
