Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
27,Wednesday,11/8/2023,0,0,0,1
27,Thursday,11/9/2023,1,1,1,1
27,Friday,11/10/2023,1,1,1,0
27,Saturday,11/11/2023,1,1,1,0
27,Sunday,11/12/2023,1,1,1,0
27,Monday,11/13/2023,1,1,1,0
28,Wednesday,11/8/2023,0,0,0,2
28,Thursday,11/9/2023,3,3,1,2
28,Friday,11/10/2023,1,1,1,0
28,Saturday,11/11/2023,1,1,1,0
28,Sunday,11/12/2023,1,1,1,0
28,Monday,11/13/2023,1,1,1,0
29,Wednesday,11/8/2023,0,0,0,3
29,Thursday,11/9/2023,3,3,1,3
29,Friday,11/10/2023,1,1,1,0
29,Saturday,11/11/2023,1,1,1,0
29,Sunday,11/12/2023,1,1,1,0
29,Monday,11/13/2023,1,1,1,0
30,Wednesday,11/8/2023,0,0,0,2
30,Thursday,11/9/2023,1,1,1,2
30,Friday,11/10/2023,1,1,1,0
30,Saturday,11/11/2023,1,1,1,0
30,Sunday,11/12/2023,1,1,1,0
30,Monday,11/13/2023,1,1,1,0
31,Wednesday,11/8/2023,0,0,0,2
31,Thursday,11/9/2023,1,1,1,2
31,Friday,11/10/2023,1,1,1,0
31,Saturday,11/11/2023,1,1,1,0
31,Sunday,11/12/2023,1,1,1,0
31,Monday,11/13/2023,1,1,1,0
32,Wednesday,11/8/2023,0,0,0,2
32,Thursday,11/9/2023,3,3,1,2
32,Friday,11/10/2023,1,1,1,0
32,Saturday,11/11/2023,1,1,1,0
32,Sunday,11/12/2023,1,1,1,0
32,Monday,11/13/2023,1,1,1,0
33,Wednesday,11/8/2023,0,0,0,2
33,Thursday,11/9/2023,1,1,1,2
33,Friday,11/10/2023,1,1,1,0
33,Saturday,11/11/2023,1,1,1,0
33,Sunday,11/12/2023,1,1,1,0
33,Monday,11/13/2023,1,1,1,0
34,Wednesday,11/8/2023,0,0,0,2
34,Thursday,11/9/2023,1,1,1,2
34,Friday,11/10/2023,1,1,1,0
34,Saturday,11/11/2023,1,1,1,0
34,Sunday,11/12/2023,1,1,1,0
34,Monday,11/13/2023,1,1,1,0
35,Wednesday,11/8/2023,0,0,0,3
35,Thursday,11/9/2023,3,3,1,3
35,Friday,11/10/2023,1,1,1,0
35,Saturday,11/11/2023,1,1,1,0
35,Sunday,11/12/2023,1,1,1,0
35,Monday,11/13/2023,1,1,1,0
36,Wednesday,11/8/2023,0,0,0,4
36,Thursday,11/9/2023,4,4,1,4
36,Friday,11/10/2023,1,1,1,0
36,Saturday,11/11/2023,1,1,1,0
36,Sunday,11/12/2023,1,1,1,0
36,Monday,11/13/2023,1,1,1,0
37,Wednesday,11/8/2023,0,0,0,3
37,Thursday,11/9/2023,4,4,1,3
37,Friday,11/10/2023,1,1,1,0
37,Saturday,11/11/2023,1,1,1,0
37,Sunday,11/12/2023,1,1,1,0
37,Monday,11/13/2023,1,1,1,0
38,Wednesday,11/8/2023,0,0,0,2
38,Thursday,11/9/2023,3,3,1,2
38,Friday,11/10/2023,1,1,1,0
38,Saturday,11/11/2023,1,1,1,0
38,Sunday,11/12/2023,1,1,1,0
38,Monday,11/13/2023,1,1,1,0
39,Wednesday,11/8/2023,0,0,0,1
39,Thursday,11/9/2023,1,1,1,1
39,Friday,11/10/2023,1,1,1,0
39,Saturday,11/11/2023,1,1,1,0
39,Sunday,11/12/2023,1,1,1,0
39,Monday,11/13/2023,1,1,1,0
40,Wednesday,11/8/2023,0,0,0,2
40,Thursday,11/9/2023,1,1,1,2
40,Friday,11/10/2023,1,1,1,0
40,Saturday,11/11/2023,1,1,1,0
40,Sunday,11/12/2023,1,1,1,0
40,Monday,11/13/2023,1,1,1,0
41,Wednesday,11/8/2023,0,0,0,3
41,Thursday,11/9/2023,3,3,1,3
41,Friday,11/10/2023,1,1,1,0
41,Saturday,11/11/2023,1,1,1,0
41,Sunday,11/12/2023,1,1,1,0
41,Monday,11/13/2023,1,1,1,0
42,Wednesday,11/8/2023,0,0,0,2
42,Thursday,11/9/2023,3,3,1,2
42,Friday,11/10/2023,1,1,1,0
42,Saturday,11/11/2023,1,1,1,0
42,Sunday,11/12/2023,1,1,1,0
42,Monday,11/13/2023,1,1,1,0
43,Wednesday,11/8/2023,0,0,0,2
43,Thursday,11/9/2023,3,3,1,2
43,Friday,11/10/2023,1,1,1,0
43,Saturday,11/11/2023,1,1,1,0
43,Sunday,11/12/2023,1,1,1,0
43,Monday,11/13/2023,1,1,1,0
44,Wednesday,11/8/2023,0,0,0,1
44,Thursday,11/9/2023,1,1,1,1
44,Friday,11/10/2023,1,1,1,0
44,Saturday,11/11/2023,1,1,1,0
44,Sunday,11/12/2023,1,1,1,0
44,Monday,11/13/2023,1,1,1,0
45,Wednesday,11/8/2023,0,0,0,3
45,Thursday,11/9/2023,3,3,1,3
45,Friday,11/10/2023,1,1,1,0
45,Saturday,11/11/2023,1,1,1,0
45,Sunday,11/12/2023,1,1,1,0
45,Monday,11/13/2023,1,1,1,0
46,Wednesday,11/8/2023,0,0,0,2
46,Thursday,11/9/2023,1,1,1,2
46,Friday,11/10/2023,1,1,1,0
46,Saturday,11/11/2023,1,1,1,0
46,Sunday,11/12/2023,1,1,1,0
46,Monday,11/13/2023,1,1,1,0
47,Wednesday,11/8/2023,0,0,0,2
47,Thursday,11/9/2023,1,1,1,2
47,Friday,11/10/2023,1,1,1,0
47,Saturday,11/11/2023,1,1,1,0
47,Sunday,11/12/2023,1,1,1,0
47,Monday,11/13/2023,1,1,1,0
48,Wednesday,11/8/2023,0,0,0,1
48,Thursday,11/9/2023,1,1,1,1
48,Friday,11/10/2023,1,1,1,0
48,Saturday,11/11/2023,1,1,1,0
48,Sunday,11/12/2023,1,1,1,0
48,Monday,11/13/2023,1,1,1,0
49,Wednesday,11/8/2023,0,0,0,2
49,Thursday,11/9/2023,1,1,1,2
49,Friday,11/10/2023,1,1,1,0
49,Saturday,11/11/2023,1,1,1,0
49,Sunday,11/12/2023,1,1,1,0
49,Monday,11/13/2023,1,1,1,0
50,Wednesday,11/8/2023,0,0,0,1
50,Thursday,11/9/2023,1,1,1,1
50,Friday,11/10/2023,1,1,1,0
50,Saturday,11/11/2023,1,1,1,0
50,Sunday,11/12/2023,1,1,1,0
50,Monday,11/13/2023,1,1,1,0
51,Wednesday,11/8/2023,0,0,0,2
51,Thursday,11/9/2023,3,3,1,2
51,Friday,11/10/2023,1,1,1,0
51,Saturday,11/11/2023,1,1,1,0
51,Sunday,11/12/2023,1,1,1,0
51,Monday,11/13/2023,1,1,1,0
52,Wednesday,11/8/2023,0,0,0,3
52,Thursday,11/9/2023,3,3,1,3
52,Friday,11/10/2023,1,1,1,0
52,Saturday,11/11/2023,1,1,1,0
52,Sunday,11/12/2023,1,1,1,0
52,Monday,11/13/2023,1,1,1,0
54,Wednesday,11/8/2023,0,0,0,2
54,Thursday,11/9/2023,3,3,1,2
54,Friday,11/10/2023,1,1,1,0
54,Saturday,11/11/2023,1,1,1,0
54,Sunday,11/12/2023,1,1,1,0
54,Monday,11/13/2023,1,1,1,0
55,Wednesday,11/8/2023,0,0,0,2
55,Thursday,11/9/2023,1,1,1,2
55,Friday,11/10/2023,1,1,1,0
55,Saturday,11/11/2023,1,1,1,0
55,Sunday,11/12/2023,1,1,1,0
55,Monday,11/13/2023,1,1,1,0
56,Wednesday,11/8/2023,0,0,0,1
56,Thursday,11/9/2023,1,1,1,1
56,Friday,11/10/2023,1,1,1,0
56,Saturday,11/11/2023,1,1,1,0
56,Sunday,11/12/2023,1,1,1,0
56,Monday,11/13/2023,1,1,1,0
57,Wednesday,11/8/2023,0,0,0,1
57,Thursday,11/9/2023,3,3,1,1
57,Friday,11/10/2023,1,1,1,0
57,Saturday,11/11/2023,1,1,1,0
57,Sunday,11/12/2023,1,1,1,0
57,Monday,11/13/2023,1,1,1,0
58,Wednesday,11/8/2023,0,0,0,4
58,Thursday,11/9/2023,3,3,1,4
58,Friday,11/10/2023,1,1,1,0
58,Saturday,11/11/2023,1,1,1,0
58,Sunday,11/12/2023,1,1,1,0
58,Monday,11/13/2023,1,1,1,0
