Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
107,Saturday,11/11/2023,1,1,1,0
107,Sunday,11/12/2023,1,1,1,0
107,Monday,11/13/2023,1,1,1,0
108,Wednesday,11/8/2023,0,0,0,2
108,Thursday,11/9/2023,3,3,1,2
108,Friday,11/10/2023,1,1,1,0
108,Saturday,11/11/2023,1,1,1,0
108,Sunday,11/12/2023,1,1,1,0
108,Monday,11/13/2023,1,1,1,0
109,Wednesday,11/8/2023,0,0,0,1
109,Thursday,11/9/2023,1,1,1,1
109,Friday,11/10/2023,1,1,1,0
109,Saturday,11/11/2023,1,1,1,0
109,Sunday,11/12/2023,1,1,1,0
109,Monday,11/13/2023,1,1,1,0
110,Wednesday,11/8/2023,0,0,0,2
110,Thursday,11/9/2023,3,3,1,2
110,Friday,11/10/2023,1,1,1,0
110,Saturday,11/11/2023,1,1,1,0
110,Sunday,11/12/2023,1,1,1,0
110,Monday,11/13/2023,1,1,1,0
111,Wednesday,11/8/2023,0,0,0,1
111,Thursday,11/9/2023,1,1,1,1
111,Friday,11/10/2023,1,1,1,0
111,Saturday,11/11/2023,1,1,1,0
111,Sunday,11/12/2023,1,1,1,0
111,Monday,11/13/2023,1,1,1,0
112,Wednesday,11/8/2023,0,0,0,3
112,Thursday,11/9/2023,3,3,1,3
112,Friday,11/10/2023,1,1,1,0
112,Saturday,11/11/2023,1,1,1,0
112,Sunday,11/12/2023,1,1,1,0
112,Monday,11/13/2023,1,1,1,0
113,Wednesday,11/8/2023,0,0,0,2
113,Thursday,11/9/2023,3,3,1,2
113,Friday,11/10/2023,1,1,1,0
113,Saturday,11/11/2023,1,1,1,0
113,Sunday,11/12/2023,1,1,1,0
113,Monday,11/13/2023,1,1,1,0
114,Wednesday,11/8/2023,0,0,0,2
114,Thursday,11/9/2023,1,1,1,2
114,Friday,11/10/2023,1,1,1,0
114,Saturday,11/11/2023,1,1,1,0
114,Sunday,11/12/2023,1,1,1,0
114,Monday,11/13/2023,1,1,1,0
115,Wednesday,11/8/2023,0,0,0,2
115,Thursday,11/9/2023,3,3,1,2
115,Friday,11/10/2023,1,1,1,0
115,Saturday,11/11/2023,1,1,1,0
115,Sunday,11/12/2023,1,1,1,0
115,Monday,11/13/2023,1,1,1,0
116,Wednesday,11/8/2023,0,0,0,1
116,Thursday,11/9/2023,1,1,1,1
116,Friday,11/10/2023,1,1,1,0
116,Saturday,11/11/2023,1,1,1,0
116,Sunday,11/12/2023,1,1,1,0
116,Monday,11/13/2023,1,1,1,0
117,Wednesday,11/8/2023,0,0,0,1
117,Thursday,11/9/2023,1,1,1,1
117,Friday,11/10/2023,1,1,1,0
117,Saturday,11/11/2023,1,1,1,0
117,Sunday,11/12/2023,1,1,1,0
117,Monday,11/13/2023,1,1,1,0
118,Wednesday,11/8/2023,0,0,0,3
118,Thursday,11/9/2023,3,3,1,3
118,Friday,11/10/2023,3,3,1,0
118,Saturday,11/11/2023,1,1,1,0
118,Sunday,11/12/2023,1,1,1,0
118,Monday,11/13/2023,1,1,1,0
119,Wednesday,11/8/2023,0,0,0,3
119,Thursday,11/9/2023,3,3,1,3
119,Friday,11/10/2023,1,1,1,0
119,Saturday,11/11/2023,1,1,1,0
119,Sunday,11/12/2023,1,1,1,0
119,Monday,11/13/2023,1,1,1,0
120,Wednesday,11/8/2023,0,0,0,2
120,Thursday,11/9/2023,3,3,1,2
120,Friday,11/10/2023,1,1,1,0
120,Saturday,11/11/2023,1,1,1,0
120,Sunday,11/12/2023,1,1,1,0
120,Monday,11/13/2023,1,1,1,0
121,Wednesday,11/8/2023,0,0,0,2
121,Thursday,11/9/2023,3,3,1,2
121,Friday,11/10/2023,1,1,1,0
121,Saturday,11/11/2023,1,1,1,0
121,Sunday,11/12/2023,1,1,1,0
121,Monday,11/13/2023,1,1,1,0
122,Wednesday,11/8/2023,0,0,0,2
122,Thursday,11/9/2023,3,3,1,2
122,Friday,11/10/2023,1,1,1,0
122,Saturday,11/11/2023,1,1,1,0
122,Sunday,11/12/2023,1,1,1,0
122,Monday,11/13/2023,1,1,1,0
123,Wednesday,11/8/2023,0,0,0,2
123,Thursday,11/9/2023,3,3,1,2
123,Friday,11/10/2023,1,1,1,0
123,Saturday,11/11/2023,1,1,1,0
123,Sunday,11/12/2023,1,1,1,0
123,Monday,11/13/2023,1,1,1,0
