Store Number,Shipping Date,Tracking Number
100,8/6/2024,1ZAR69110475409210
202,8/6/2024,1ZAR69110474235838
220,8/6/2024,1ZAR69110474295336
228,8/6/2024,1ZAR69110474052946
265,8/6/2024,1ZAR69110475900910
266,8/6/2024,1ZAR69110474595422
272,8/6/2024,1ZAR69110473047525
359,8/6/2024,1ZAR69110475812408
371,8/6/2024,1ZAR69110475512152
384,8/6/2024,1ZAR69110473791533
396,8/6/2024,1ZAR69110475572052
427,8/6/2024,1ZAR69110474545244
516,8/6/2024,1ZAR69110474103328
804,8/6/2024,1ZAR69110473968969
872,8/6/2024,1ZAR69110473213112
896,8/6/2024,1ZAR69110473892200
963,8/6/2024,1ZAR69110473479372
980,8/6/2024,1ZAR69110475517264
1216,8/6/2024,1ZAR69110475212253
1225,8/6/2024,1ZAR69110474208840
1238,8/6/2024,1ZAR69110474172861
1255,8/6/2024,1ZAR69110473515582
1535,8/6/2024,1ZAR69110473892451
1554,8/6/2024,1ZAR69110474017298
1555,8/6/2024,1ZAR69110474029347
1560,8/6/2024,1ZAR69110475831727
1608,8/6/2024,1ZAR69110474912507
1726,8/6/2024,1ZAR69110474163826
1770,8/6/2024,1ZAR69110473383573
2082,8/6/2024,1ZAR69110475872559
2104,8/6/2024,1ZAR69110474221147
2135,8/6/2024,1ZAR69110474641167
2203,8/6/2024,1ZAR69110474811787
2637,8/6/2024,1ZAR69110474672357
2667,8/6/2024,1ZAR69110474125064
2884,8/6/2024,1ZAR69110474965317
2978,8/6/2024,1ZAR69110473467278
2980,8/6/2024,1ZAR69110473369099
3164,8/6/2024,1ZAR69110475349464
3284,8/6/2024,1ZAR69110474271281
3431,8/6/2024,1ZAR69110475459381
3523,8/6/2024,1ZAR69110473527739
3594,8/6/2024,1ZAR69110473753360
3631,8/6/2024,1ZAR69110475360898
3654,8/6/2024,1ZAR69110474581393
3777,8/6/2024,1ZAR69110475673443
4104,8/6/2024,1ZAR69110474127777
4108,8/6/2024,1ZAR69110474379639
4215,8/6/2024,1ZAR69110474451470
4279,8/6/2024,1ZAR69110474072102
4284,8/6/2024,1ZAR69110473275672
4516,8/6/2024,1ZAR69110474881416
5063,8/6/2024,1ZAR69110475613196
5210,8/6/2024,1ZAR69110474763437
5260,8/6/2024,1ZAR69110475459621
5288,8/6/2024,1ZAR69110474377015
5316,8/6/2024,1ZAR69110473472306
5359,8/6/2024,1ZAR69110473284993
5435,8/6/2024,1ZAR69110473383680
5837,8/6/2024,1ZAR69110473772607
6300,8/6/2024,1ZAR69110474612653
6963,8/6/2024,1ZAR69110473057041
7178,8/6/2024,1ZAR69110475207483
842,8/16/2024,1ZAR69110473490840
869,8/16/2024,1ZAR69110473893450
905,8/16/2024,1ZAR69110475232973
921,8/16/2024,1ZAR69110473841121
924,8/16/2024,1ZAR69110473346498
953,8/16/2024,1ZAR69110475393700
962,8/16/2024,1ZAR69110473774052
966,8/16/2024,1ZAR69110474078268
984,8/16/2024,1ZAR69110475842411
986,8/16/2024,1ZAR69110475401138
1001,8/16/2024,1ZAR69110475494860
1008,8/16/2024,1ZAR69110473718514
1019,8/16/2024,1ZAR69110473109271
1045,8/16/2024,1ZAR69110475628984
1058,8/16/2024,1ZAR69110474606740
1095,8/16/2024,1ZAR69110475393951
1199,8/16/2024,1ZAR69110474858764
1200,8/16/2024,1ZAR69110474345326
1231,8/16/2024,1ZAR69110475830595
1252,8/16/2024,1ZAR69110474582669
1280,8/16/2024,1ZAR69110475857174
