Store Number,State,Date,Number of Bins,
1446,WI,WK 24,3,
1447,WI,WK 24,3,
1669,WI,WK 24,3,
1679,WI,WK 24,3,
1819,WI,WK 24,3,
2421,WI,WK 24,3,
4281,WI,WK 24,3,
5127,WI,WK 24,3,
5373,WI,WK 24,3,
802,WI,WK 25,3,
847,WI,WK 25,3,
882,WI,WK 25,3,
958,WI,WK 25,3,
1176,WI,WK 25,3,
1267,WI,WK 25,3,
2335,WI,WK 25,3,
3245,WI,WK 25,3,
3857,WI,WK 25,3,
910,WI,WK 23,3,
1167,WI,WK 23,3,
1274,WI,WK 23,3,
1305,WI,WK 23,3,
1394,WI,WK 23,3,
1515,WI,WK 23,3,
1551,WI,WK 23,3,
1571,WI,WK 23,3,
1635,WI,WK 23,3,
1678,WI,WK 23,3,
1776,WI,WK 23,3,
2452,WI,WK 23,3,
2532,WI,WK 23,3,
2668,WI,WK 23,3,
2828,WI,WK 23,3,
3247,WI,WK 23,3,
3488,WI,WK 23,3,
3499,WI,WK 23,3,
4677,WI,WK 23,3,
5438,WI,WK 23,3,
5667,WI,WK 23,3,
5668,WI,WK 23,3,
5669,WI,WK 23,3,
5695,WI,WK 23,2,
6394,WI,WK 23,3,
3491,MA,6/23/2025,1,
2222,MA,6/23/2025,3,
2903,MA,6/23/2025,1,
1970,MA,6/23/2025,3,
2158,MA,6/23/2025,3,
2902,MA,6/23/2025,1,
2139,MA,6/23/2025,1,
2640,MA,6/23/2025,1,
3114,MA,6/23/2025,3,
2180,MA,6/23/2025,1,
2660,MA,6/23/2025,1,
1930,NH,6/24/2025,1,
1762,NH,6/24/2025,3,
2398,NH,6/24/2025,1,
2130,NH,6/24/2025,3,
3535,NH,6/24/2025,3,
2399,NH,6/24/2025,3,
1796,NH,6/24/2025,2,
1785,NH,6/24/2025,1,
2142,NH,6/24/2025,3,
1753,NH,6/25/2025,3,
1698,NH,6/25/2025,3,
2055,NH,6/25/2025,3,
2369,NH,6/25/2025,3,
2639,NH,6/25/2025,3,
2758,NH,6/25/2025,3,
1749,NH,6/26/2025,3,
2330,NH,6/26/2025,3,
1954,ME,6/26/2025,3,
2153,ME,6/26/2025,3,
1788,ME,6/26/2025,3,
2659,ME,6/26/2025,1,
2202,ME,6/26/2025,3,
1939,ME,6/30/2025,3,
2046,ME,6/30/2025,3,
2013,ME,6/30/2025,3,
2143,ME,6/30/2025,3,
1866,ME,6/30/2025,3,
3269,ME,7/1/2025,3,
2634,NH,7/1/2025,3,
2140,NH,7/1/2025,3,
2183,ME,7/1/2025,3,
1868,ME,7/1/2025,3,
1797,ME,7/2/2025,3,
1932,ME,7/2/2025,3,
2178,ME,7/2/2025,3,
1924,ME,7/2/2025,3,
1974,ME,7/2/2025,1,
1856,ME,7/3/2025,3,
5076,ME,7/3/2025,3,
2047,ME,7/3/2025,3,
2138,NH,7/7/2025,1,
4389,NH,7/7/2025,3,
2681,NH,7/7/2025,1,
1907,NH,7/9/2025,2,
2057,NH,7/9/2025,1,
3549,NH,7/9/2025,1,
1975,NH,7/9/2025,3,
1984,MA,7/9/2025,3,
2228,MA,7/9/2025,1,
2901,MA,7/10/2025,1,
2683,MA,7/10/2025,1,
2329,MA,7/10/2025,3,
2155,MA,7/10/2025,3,
2118,MA,7/10/2025,1,
2964,MA,7/10/2025,3,
2267,MA,7/10/2025,1,
3409,MA,7/10/2025,3,
2174,MA,7/14/2025,3,
5278,MA,7/14/2025,3,
1967,MA,7/14/2025,3,
2386,MA,7/14/2025,3,
2797,MA,7/14/2025,1,
1891,CT,7/14/2025,3,
2899,CT,7/14/2025,1,
2144,CT,7/14/2025,1,
2282,CT,7/14/2025,3,
2900,CT,7/15/2025,1,
2965,CT,7/15/2025,1,
2299,CT,7/15/2025,3,
2371,CT,7/15/2025,3,
2284,CT,7/15/2025,3,
3548,CT,7/15/2025,1,
2897,CT,7/15/2025,1,
2719,CT,7/15/2025,1,
5095,CT,7/15/2025,3,
3545,CT,7/16/2025,1,
5439,CT,7/16/2025,3,
2232,CT,7/16/2025,1,
3803,CT,7/16/2025,1,
5294,CT,7/16/2025,1,
2585,CT,7/16/2025,1,
2163,CT,7/16/2025,1,
2954,CT,7/16/2025,1,
3543,CT,7/16/2025,1,
3546,CT,7/16/2025,1,
2022,CT,7/17/2025,3,
5777,CT,7/17/2025,3,
1980,CT,7/17/2025,3,
2854,CT,7/17/2025,3,
2170,CT,7/17/2025,1,
1964,RI,7/17/2025,3,
2200,CT,7/17/2025,1,
2331,CT,7/17/2025,3,
2898,CT,7/17/2025,1,
2366,MA,7/21/2025,3,
2225,RI,7/21/2025,3,
3301,RI,7/21/2025,1,
2184,MA,7/21/2025,1,
2373,RI,7/21/2025,1,
1873,RI,7/21/2025,3,
2747,RI,7/21/2025,1,
2283,RI,7/21/2025,3,
2261,RI,7/21/2025,3,
2885,RI,7/21/2025,1,
5448,MA,7/22/2025,3,
2021,MA,7/22/2025,3,
2128,MA,7/22/2025,3,
2336,MA,7/22/2025,3,
3561,MA,7/22/2025,1,
2095,MA,7/22/2025,3,
1906,MA,7/22/2025,1,
2157,MA,7/22/2025,3,
3560,MA,7/232025,3,
2953,MA,7/23/2025,3,
2341,MA,7/23/2025,1,
3200,MA,7/23/2025,1,
2227,MA,7/23/2025,1,
2904,MA,7/23/2025,1,
2122,MA,7/23/2025,3,
2103,MA,7/24/2025,3,
1918,MA,7/24/2025,1,
2629,MA,7/24/2025,3,
4387,MA,7/24/2025,3,
2012,MA,7/24/2025,3,
