Store,Dept,Inventory Dollars,Format
37,98,"$24,486.40",WM Supercenter
38,80,"$10,338.97",WM Supercenter
38,93,"$55,125.19",WM Supercenter
38,94,"$26,028.48",WM Supercenter
38,98,"$6,961.64",WM Supercenter
39,80,"$14,209.70",WM Supercenter
39,93,"$49,100.22",WM Supercenter
39,94,"$22,726.03",WM Supercenter
39,98,"$21,014.43",WM Supercenter
40,80,"$13,893.25",WM Supercenter
40,93,"$54,721.52",WM Supercenter
40,94,"$21,419.11",WM Supercenter
40,98,"$17,642.14",WM Supercenter
41,80,"$29,073.31",WM Supercenter
41,93,"$99,898.72",WM Supercenter
41,94,"$43,533.91",WM Supercenter
41,98,"$28,031.39",WM Supercenter
42,80,"$10,080.17",WM Supercenter
42,93,"$70,213.74",WM Supercenter
42,94,"$32,218.30",WM Supercenter
42,98,"$17,100.71",WM Supercenter
43,80,"$13,181.87",WM Supercenter
43,93,"$72,455.55",WM Supercenter
43,94,"$33,657.01",WM Supercenter
43,98,"$22,225.25",WM Supercenter
45,80,"$14,305.29",WM Supercenter
45,93,"$57,794.03",WM Supercenter
45,94,"$22,115.62",WM Supercenter
45,98,"$26,323.21",WM Supercenter
46,80,"$25,723.22",WM Supercenter
46,93,"$77,333.35",WM Supercenter
46,94,"$32,121.09",WM Supercenter
46,98,"$24,136.53",WM Supercenter
47,80,"$14,054.73",WM Supercenter
47,93,"$50,899.96",WM Supercenter
47,94,"$23,656.80",WM Supercenter
47,98,"$27,037.06",WM Supercenter
48,80,"$12,479.58",WM Supercenter
48,93,"$66,358.33",WM Supercenter
48,94,"$34,569.41",WM Supercenter
48,98,"$24,675.65",WM Supercenter
49,80,"$13,188.48",WM Supercenter
49,93,"$62,758.17",WM Supercenter
49,94,"$25,435.82",WM Supercenter
49,98,"$6,652.44",WM Supercenter
50,80,"$14,217.93",WM Supercenter
50,93,"$41,734.34",WM Supercenter
50,94,"$17,331.43",WM Supercenter
50,98,"$7,804.40",WM Supercenter
51,80,"$8,722.95",WM Supercenter
51,93,"$44,221.82",WM Supercenter
51,94,"$28,085.18",WM Supercenter
51,98,"$9,041.08",WM Supercenter
52,80,"$24,435.14",WM Supercenter
52,93,"$84,531.52",WM Supercenter
52,94,"$37,759.82",WM Supercenter
52,98,"$17,787.04",WM Supercenter
54,80,"$14,194.58",WM Supercenter
54,93,"$67,343.56",WM Supercenter
54,94,"$33,572.80",WM Supercenter
54,98,"$28,687.94",WM Supercenter
55,80,"$6,917.96",WM Supercenter
55,93,"$50,303.93",WM Supercenter
55,94,"$25,235.87",WM Supercenter
55,98,"$16,469.14",WM Supercenter
56,80,"$12,331.17",WM Supercenter
56,93,"$48,092.43",WM Supercenter
56,94,"$19,920.06",WM Supercenter
56,98,"$11,110.45",WM Supercenter
58,80,"$19,661.23",WM Supercenter
58,93,"$87,919.25",WM Supercenter
58,94,"$40,522.86",WM Supercenter
58,98,"$23,757.51",WM Supercenter
59,80,"$18,568.03",WM Supercenter
59,93,"$86,130.91",WM Supercenter
59,94,"$45,719.02",WM Supercenter
59,98,"$25,302.03",WM Supercenter
60,80,"$15,556.27",WM Supercenter
60,93,"$69,443.08",WM Supercenter
60,94,"$30,830.99",WM Supercenter
60,98,"$23,281.54",WM Supercenter
61,80,"$16,237.61",WM Supercenter
61,93,"$81,237.34",WM Supercenter
61,94,"$39,806.33",WM Supercenter
61,98,"$19,601.98",WM Supercenter
62,80,"$16,270.94",WM Supercenter
62,93,"$58,344.20",WM Supercenter
62,94,"$19,600.09",WM Supercenter
62,98,"$19,124.49",WM Supercenter
63,80,"$9,992.44",WM Supercenter
63,93,"$53,116.65",WM Supercenter
63,94,"$20,913.53",WM Supercenter
63,98,"$14,502.58",WM Supercenter
64,80,"$9,561.89",WM Supercenter
64,93,"$49,056.89",WM Supercenter
64,94,"$20,422.96",WM Supercenter
64,98,"$15,106.85",WM Supercenter
65,80,"$17,888.21",WM Supercenter
65,93,"$65,739.75",WM Supercenter
65,94,"$26,596.37",WM Supercenter
65,98,"$18,728.23",WM Supercenter
66,80,"$12,787.66",WM Supercenter
66,93,"$70,517.41",WM Supercenter
66,94,"$40,119.80",WM Supercenter
66,98,"$23,663.97",WM Supercenter
67,80,"$18,171.53",WM Supercenter
67,93,"$48,648.87",WM Supercenter
67,94,"$22,218.77",WM Supercenter
67,98,"$18,859.89",WM Supercenter
68,80,"$10,191.67",WM Supercenter
68,93,"$49,390.99",WM Supercenter
68,94,"$20,050.38",WM Supercenter
68,98,"$8,893.13",WM Supercenter
69,80,"$22,389.91",WM Supercenter
69,93,"$88,348.83",WM Supercenter
69,94,"$43,111.79",WM Supercenter
