Store #,Format,City,State,Rx Freq,October Rx,November Rx,December Rx,Service Provider,Phone Number
9,SUP,SIKESTON,MO,180,,11,,CLEAN EARTH,877-406-5295
10,SUP,Tahlequah,OK,180,,4,,CLEAN EARTH,877-406-5295
12,SUP,Claremore,OK,180,,18,,CLEAN EARTH,877-406-5295
13,SUP,CARTHAGE,MO,180,,25,,CLEAN EARTH,877-406-5295
14,SUP,LEBANON,MO,180,28,,,CLEAN EARTH,877-406-5295
15,SUP,WEST PLAINS,MO,180,,11,,CLEAN EARTH,877-406-5295
17,SUP,NEOSHO,MO,180,,4,,CLEAN EARTH,877-406-5295
19,SUP,POPLAR BLUFF,MO,180,,11,,CLEAN EARTH,877-406-5295
20,SUP,CLINTON,MO,180,,18,,CLEAN EARTH,877-406-5295
21,SUP,SAINT ROBERT,MO,180,28,,,CLEAN EARTH,877-406-5295
22,SUP,Pryor,OK,180,21,,,CLEAN EARTH,877-406-5295
23,SUP,Ruston,LA,180,21,,,CLEAN EARTH,877-406-5295
25,SUP,MEXICO,MO,180,21,,,CLEAN EARTH,877-406-5295
26,SUP,LEAVENWORTH,KS,180,,4,,CLEAN EARTH,877-406-5295
27,SUP,SALEM,MO,180,,,16,CLEAN EARTH,877-406-5295
28,SUP,Miami,OK,180,21,,,CLEAN EARTH,877-406-5295
29,SUP,JEFFERSON CITY,MO,180,,18,,CLEAN EARTH,877-406-5295
30,SUP,DEXTER,MO,180,14,,,CLEAN EARTH,877-406-5295
31,SUP,Poteau,OK,180,,4,,CLEAN EARTH,877-406-5295
32,WMT,BRANSON,MO,180,28,,,CLEAN EARTH,877-406-5295
34,SUP,NEVADA,MO,180,14,,,CLEAN EARTH,877-406-5295
35,SUP,MANHATTAN,KS,180,,18,,CLEAN EARTH,877-406-5295
37,SUP,FARMINGTON,MO,180,,11,,CLEAN EARTH,877-406-5295
38,SUP,Idabel,OK,180,,,2,CLEAN EARTH,877-406-5295
39,SUP,FORT SCOTT,KS,180,14,,,CLEAN EARTH,877-406-5295
40,SUP,MOBERLY,MO,180,21,,,CLEAN EARTH,877-406-5295
41,SUP,Bartlesville,OK,180,,18,,CLEAN EARTH,877-406-5295
42,SUP,COFFEYVILLE,KS,180,,11,,CLEAN EARTH,877-406-5295
43,SUP,JUNCTION CITY,KS,180,,18,,CLEAN EARTH,877-406-5295
44,WMT,ELDON,MO,180,,,16,CLEAN EARTH,877-406-5295
46,SUP,BOLIVAR,MO,180,,25,,CLEAN EARTH,877-406-5295
47,SUP,Sallisaw,OK,180,,4,,CLEAN EARTH,877-406-5295
48,SUP,MONETT,MO,180,7,,,CLEAN EARTH,877-406-5295
49,SUP,Hugo,OK,180,7,,,CLEAN EARTH,877-406-5295
50,SUP,Vinita,OK,180,21,,,CLEAN EARTH,877-406-5295
51,SUP,FULTON,MO,180,21,,,CLEAN EARTH,877-406-5295
56,SUP,AVA,MO,180,,,9,CLEAN EARTH,877-406-5295
59,SUP,JOPLIN,MO,180,,25,,CLEAN EARTH,877-406-5295
60,SUP,TROY,MO,180,14,,,CLEAN EARTH,877-406-5295
61,SUP,WARRENSBURG,MO,180,,18,,CLEAN EARTH,877-406-5295
63,SUP,Wagoner,OK,180,21,,,CLEAN EARTH,877-406-5295
64,SUP,Brownsville,TN,180,7,,,CLEAN EARTH,877-406-5295
65,SUP,SULLIVAN,MO,180,,11,,CLEAN EARTH,877-406-5295
69,SUP,FESTUS,MO,180,,11,,CLEAN EARTH,877-406-5295
