Store Number,Holiday ,Additional Pallets
355,4th of July,2
356,4th of July,1
356,Memorial Day,1
362,4th of July,2
365,4th of July,2
368,4th of July,1
371,4th of July,2
371,Memorial Day,2
372,4th of July,2
372,Memorial Day,2
376,4th of July,2
381,4th of July,2
383,4th of July,2
384,4th of July,2
385,4th of July,2
386,4th of July,2
391,4th of July,2
394,4th of July,1
395,4th of July,2
397,4th of July,2
398,4th of July,1
398,Memorial Day,1
399,4th of July,2
400,4th of July,1
400,Memorial Day,1
401,4th of July,2
402,4th of July,2
403,4th of July,2
404,4th of July,3
404,Memorial Day,3
405,4th of July,1
405,Memorial Day,1
407,4th of July,2
408,4th of July,2
409,4th of July,1
412,4th of July,2
412,Memorial Day,2
413,4th of July,3
413,Memorial Day,3
414,4th of July,2
414,Memorial Day,2
415,4th of July,2
417,4th of July,2
417,Memorial Day,2
420,4th of July,2
420,Memorial Day,2
421,4th of July,2
421,Memorial Day,2
424,4th of July,1
426,4th of July,2
427,4th of July,1
427,Memorial Day,1
428,4th of July,2
429,4th of July,2
437,4th of July,2
437,Memorial Day,2
438,4th of July,3
438,Memorial Day,3
440,4th of July,3
440,Memorial Day,3
442,4th of July,1
442,Memorial Day,1
443,4th of July,2
446,4th of July,2
447,4th of July,2
447,Memorial Day,2
448,4th of July,2
449,4th of July,2
450,4th of July,2
452,4th of July,2
456,4th of July,2
456,Memorial Day,2
457,4th of July,2
458,4th of July,2
458,Memorial Day,2
461,4th of July,1
461,Memorial Day,1
462,4th of July,2
462,Memorial Day,2
463,4th of July,2
464,4th of July,1
464,Memorial Day,1
465,4th of July,2
466,4th of July,1
467,4th of July,2
468,4th of July,2
469,4th of July,2
470,4th of July,2
470,Memorial Day,2
471,4th of July,2
471,Memorial Day,2
473,4th of July,2
475,4th of July,1
475,Memorial Day,1
476,4th of July,1
476,Memorial Day,1
477,4th of July,2
478,4th of July,2
482,4th of July,2
483,4th of July,2
485,4th of July,2
490,4th of July,3
490,Memorial Day,3
495,4th of July,2
498,4th of July,2
500,4th of July,1
500,Memorial Day,1
501,4th of July,2
502,4th of July,1
502,Memorial Day,1
503,4th of July,2
504,4th of July,3
504,Memorial Day,3
505,4th of July,1
505,Memorial Day,1
508,4th of July,3
508,Memorial Day,3
511,4th of July,1
511,Memorial Day,1
512,4th of July,2
512,Memorial Day,2
513,4th of July,1
513,Memorial Day,1
516,4th of July,2
516,Memorial Day,2
521,4th of July,2
522,4th of July,2
522,Memorial Day,2
527,4th of July,2
528,4th of July,2
528,Memorial Day,2
529,4th of July,2
529,Memorial Day,2
530,4th of July,2
531,4th of July,2
532,4th of July,2
533,4th of July,2
535,4th of July,2
535,Memorial Day,2
536,4th of July,2
536,Memorial Day,2
537,4th of July,2
537,Memorial Day,2
539,4th of July,2
540,4th of July,2
541,4th of July,1
541,Memorial Day,1
542,4th of July,2
543,4th of July,2
546,4th of July,2
547,4th of July,1
547,Memorial Day,1
549,4th of July,1
549,Memorial Day,1
551,4th of July,2
553,4th of July,1
553,Memorial Day,1
554,4th of July,2
556,4th of July,2
561,4th of July,2
561,Memorial Day,2
563,4th of July,3
563,Memorial Day,2
565,4th of July,1
565,Memorial Day,1
567,4th of July,2
572,4th of July,2
574,4th of July,3
574,Memorial Day,3
576,4th of July,2
576,Memorial Day,1
579,4th of July,2
579,Memorial Day,2
580,4th of July,2
582,4th of July,2
582,Memorial Day,2
585,4th of July,2
588,4th of July,1
590,4th of July,2
593,4th of July,2
595,4th of July,2
595,Memorial Day,2
598,4th of July,3
598,Memorial Day,3
600,4th of July,2
601,4th of July,2
601,Memorial Day,2
602,4th of July,1
602,Memorial Day,1
604,4th of July,2
605,4th of July,2
606,4th of July,2
608,4th of July,2
608,Memorial Day,2
610,4th of July,2
610,Memorial Day,2
611,4th of July,2
611,Memorial Day,2
613,4th of July,2
613,Memorial Day,2
621,4th of July,2
623,4th of July,1
623,Memorial Day,1
627,4th of July,2
628,4th of July,2
629,4th of July,1
630,4th of July,2
632,4th of July,2
637,4th of July,3
637,Memorial Day,3
639,4th of July,2
642,4th of July,2
643,4th of July,3
643,Memorial Day,3
645,4th of July,2
645,Memorial Day,2
649,4th of July,2
649,Memorial Day,2
651,4th of July,2
652,4th of July,2
652,Memorial Day,2
663,4th of July,2
664,4th of July,3
664,Memorial Day,3
666,4th of July,2
666,Memorial Day,2
686,4th of July,1
697,4th of July,2
697,Memorial Day,2
699,4th of July,2
700,4th of July,1
700,Memorial Day,1
703,4th of July,2
705,4th of July,2
705,Memorial Day,2
706,4th of July,2
706,Memorial Day,2
707,4th of July,2
713,4th of July,2
716,4th of July,2
718,4th of July,2
718,Memorial Day,2
721,4th of July,3
721,Memorial Day,3
723,4th of July,2
725,4th of July,4
725,Memorial Day,3
726,4th of July,2
728,4th of July,2
728,Memorial Day,2
730,4th of July,1
731,4th of July,2
733,4th of July,2
734,4th of July,2
740,4th of July,2
744,4th of July,2
744,Memorial Day,2
746,4th of July,2
752,4th of July,2
754,4th of July,2
755,4th of July,1
755,Memorial Day,1
756,4th of July,2
757,4th of July,2
758,4th of July,1
759,4th of July,2
759,Memorial Day,2
761,4th of July,1
761,Memorial Day,1
765,4th of July,2
765,Memorial Day,2
767,4th of July,1
767,Memorial Day,1
768,4th of July,2
768,Memorial Day,2
769,4th of July,3
769,Memorial Day,3
771,4th of July,2
771,Memorial Day,2
772,4th of July,2
773,4th of July,2
774,4th of July,2
774,Memorial Day,2
777,4th of July,1
777,Memorial Day,1
778,4th of July,3
778,Memorial Day,3
781,4th of July,1
781,Memorial Day,1
782,4th of July,2
782,Memorial Day,2
785,4th of July,2
789,4th of July,1
789,Memorial Day,1
790,4th of July,3
790,Memorial Day,3
791,4th of July,2
793,4th of July,2
793,Memorial Day,2
799,4th of July,2
799,Memorial Day,2
800,4th of July,2
802,4th of July,1
802,Memorial Day,1
804,4th of July,2
804,Memorial Day,2
806,4th of July,3
806,Memorial Day,3
807,4th of July,1
807,Memorial Day,1
808,4th of July,1
808,Memorial Day,1
812,4th of July,2
813,4th of July,3
813,Memorial Day,3
814,4th of July,1
814,Memorial Day,1
818,4th of July,3
818,Memorial Day,3
819,4th of July,2
819,Memorial Day,2
821,4th of July,2
822,4th of July,2
822,Memorial Day,2
827,4th of July,2
827,Memorial Day,2
829,4th of July,2
831,4th of July,2
831,Memorial Day,2
835,4th of July,2
835,Memorial Day,2
836,4th of July,2
839,4th of July,2
842,4th of July,2
842,Memorial Day,2
843,4th of July,2
846,4th of July,1
846,Memorial Day,1
849,4th of July,2
849,Memorial Day,2
850,4th of July,2
850,Memorial Day,2
851,4th of July,3
851,Memorial Day,3
853,4th of July,2
858,4th of July,2
860,4th of July,2
860,Memorial Day,2
861,4th of July,2
862,4th of July,1
862,Memorial Day,1
863,4th of July,1
864,4th of July,2
865,4th of July,3
865,Memorial Day,3
866,4th of July,2
867,4th of July,3
867,Memorial Day,3
868,4th of July,3
868,Memorial Day,3
872,4th of July,2
873,4th of July,2
874,4th of July,2
875,4th of July,2
876,4th of July,2
877,4th of July,2
880,4th of July,1
880,Memorial Day,1
887,4th of July,2
889,4th of July,2
894,4th of July,2
896,4th of July,2
896,Memorial Day,2
897,4th of July,3
897,Memorial Day,3
898,4th of July,2
899,4th of July,2
900,4th of July,1
900,Memorial Day,1
901,4th of July,2
901,Memorial Day,2
903,4th of July,2
904,4th of July,2
904,Memorial Day,2
906,4th of July,3
906,Memorial Day,3
909,4th of July,2
911,4th of July,2
912,4th of July,2
915,4th of July,1
915,Memorial Day,1
916,4th of July,2
917,4th of July,2
917,Memorial Day,2
918,4th of July,2
918,Memorial Day,2
919,4th of July,2
919,Memorial Day,2
925,4th of July,2
927,4th of July,2
928,4th of July,2
928,Memorial Day,2
929,4th of July,2
929,Memorial Day,2
930,4th of July,2
931,4th of July,1
931,Memorial Day,1
934,4th of July,2
935,4th of July,2
938,4th of July,2
939,4th of July,2
940,4th of July,2
941,4th of July,2
941,Memorial Day,2
944,4th of July,2
944,Memorial Day,2
945,4th of July,2
945,Memorial Day,2
947,4th of July,2
947,Memorial Day,2
948,4th of July,2
951,4th of July,2
952,4th of July,2
954,4th of July,2
956,4th of July,1
956,Memorial Day,1
959,4th of July,2
959,Memorial Day,2
960,4th of July,2
960,Memorial Day,2
961,4th of July,2
963,4th of July,2
963,Memorial Day,2
964,4th of July,2
967,4th of July,2
967,Memorial Day,2
968,4th of July,2
968,Memorial Day,2
969,4th of July,2
969,Memorial Day,2
970,4th of July,2
972,4th of July,2
972,Memorial Day,2
973,4th of July,1
973,Memorial Day,1
974,4th of July,2
974,Memorial Day,2
977,4th of July,2
981,4th of July,1
981,Memorial Day,1
984,4th of July,2
984,Memorial Day,2
987,4th of July,2
987,Memorial Day,2
988,4th of July,2
988,Memorial Day,2
989,4th of July,2
990,4th of July,2
990,Memorial Day,2
991,4th of July,2
991,Memorial Day,2
992,4th of July,2
994,4th of July,2
994,Memorial Day,2
999,4th of July,2
999,Memorial Day,2
1000,4th of July,1
1000,Memorial Day,1
1001,4th of July,2
1001,Memorial Day,2
1004,4th of July,3
1004,Memorial Day,3
1006,4th of July,1
1010,4th of July,2
1011,4th of July,2
1015,4th of July,2
1015,Memorial Day,2
1016,4th of July,2
1017,4th of July,2
1018,4th of July,1
1023,4th of July,2
1023,Memorial Day,2
1024,4th of July,2
1027,4th of July,2
1029,4th of July,2
1029,Memorial Day,2
1030,4th of July,2
1032,4th of July,2
1032,Memorial Day,2
1034,4th of July,2
1036,4th of July,2
1036,Memorial Day,2
1037,4th of July,1
1037,Memorial Day,1
1039,4th of July,2
1040,4th of July,2
1040,Memorial Day,2
1041,4th of July,2
1041,Memorial Day,2
1042,4th of July,1
1042,Memorial Day,1
1045,4th of July,1
1045,Memorial Day,1
1046,4th of July,2
1051,4th of July,2
1052,4th of July,2
1055,4th of July,2
1055,Memorial Day,2
1057,4th of July,2
1059,4th of July,2
1061,4th of July,2
1062,4th of July,2
1062,Memorial Day,2
