Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
124,12,2496,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202344,92.00%,92.10%,8.7,88.20%,87.70%,94.50%,96.00%
145,11,4533,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202344,90.70%,93.60%,9.2,93.80%,92.30%,92.20%,84.50%
146,11,120,POINTPICKUP,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202344,87.00%,96.10%,9.9,85.40%,84.60%,88.60%,88.60%
149,12,3137,UBER,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202344,95.70%,95.70%,7.6,100.00%,80.00%,100.00%,100.00%
152,12,587,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202344,71.90%,96.70%,8,58.30%,80.00%,70.60%,77.80%
566,59,4589,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202344,81.60%,95.50%,6.3,86.70%,70.40%,83.80%,83.90%
566,59,7342,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202344,86.90%,90.60%,7,95.50%,90.00%,81.80%,80.00%
140,11,3059,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202344,66.10%,88.50%,5.7,68.80%,58.30%,76.90%,60.00%
18,2,2753,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202344,85.70%,100.00%,6.5,81.30%,83.80%,88.90%,88.50%
553,9,3235,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202344,81.20%,98.10%,9,83.20%,85.80%,69.00%,86.70%
553,9,4303,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202344,77.00%,99.50%,8.7,75.00%,78.80%,73.90%,80.60%
96,72,5365,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202344,87.60%,100.00%,5,85.30%,93.30%,90.90%,81.30%
559,72,4565,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202344,72.30%,98.90%,6.2,79.20%,60.00%,76.20%,72.20%
469,60,2188,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202344,74.40%,97.50%,7.3,87.90%,78.10%,66.10%,67.50%
469,60,2722,UBER,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202344,87.20%,96.50%,8.8,90.80%,77.60%,86.80%,93.20%
476,60,1876,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Driver Supply Focus,202344,83.60%,93.70%,5.8,77.40%,88.10%,93.00%,75.80%
550,61,3098,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202344,92.50%,96.40%,7.4,93.20%,93.40%,95.10%,87.90%
550,61,5994,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202344,90.20%,98.80%,7.7,88.10%,91.90%,91.20%,89.70%
412,52,1545,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202344,90.40%,92.20%,9.4,92.80%,83.60%,95.80%,88.10%
419,52,1757,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202344,92.40%,90.90%,9,95.10%,92.30%,89.00%,93.70%
419,52,4849,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202344,89.10%,99.30%,8.1,97.20%,82.90%,87.10%,88.20%
418,52,784,SPARK,Scheduled Standard Delivery,9,Active Monitoring,Recovering,Driver Supply Focus,202344,94.50%,99.10%,5.5,98.80%,100.00%,89.80%,90.40%
426,52,886,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202344,69.30%,96.30%,9.2,79.50%,68.00%,78.40%,46.70%
458,58,3947,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202344,85.60%,97.90%,9.1,92.90%,88.40%,80.50%,80.50%
581,57,5394,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202344,91.20%,99.60%,6.5,93.40%,95.00%,87.30%,89.50%
388,54,986,SPARK,Scheduled Standard Delivery,47,Executive Review,Recovering,Driver Supply Focus,202344,79.20%,99.10%,6,90.30%,76.70%,58.60%,100.00%
585,54,2293,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202344,80.10%,93.30%,7.6,71.80%,74.30%,89.00%,85.90%
585,54,2752,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202344,88.40%,97.00%,7.7,87.90%,87.80%,92.70%,85.10%
512,61,3023,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202344,65.60%,95.70%,7.1,64.70%,60.00%,75.00%,62.50%
552,61,5980,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202344,69.10%,97.80%,4.6,65.50%,77.80%,52.90%,82.40%
400,56,2782,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202344,76.70%,96.20%,7.7,78.30%,90.60%,86.00%,58.80%
427,47,1565,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202344,92.10%,93.70%,9.8,87.10%,90.90%,96.80%,92.60%
427,47,1649,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202344,80.90%,98.20%,5.5,88.20%,88.90%,67.30%,76.30%
382,47,4412,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202344,95.60%,95.20%,7.2,99.00%,86.80%,96.00%,98.70%
167,22,5881,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202344,86.30%,94.80%,7.1,82.60%,86.10%,83.70%,91.90%
232,22,2481,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202344,81.80%,91.30%,8.9,86.80%,82.70%,69.90%,89.00%
232,22,2528,POINTPICKUP,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202344,67.90%,99.40%,9.8,59.30%,68.50%,77.90%,66.70%
156,16,2629,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202344,80.70%,98.70%,7.8,72.30%,89.60%,91.90%,78.20%
156,16,2964,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202344,74.20%,98.60%,7.2,74.70%,66.70%,78.20%,75.30%
160,16,3561,SPARK,Scheduled Standard Delivery,37,Executive Review,Degrading,Driver Supply Focus,202344,89.30%,94.30%,7.1,78.80%,89.10%,95.90%,95.20%
180,16,2140,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202344,91.50%,99.60%,4.9,94.70%,92.00%,91.00%,87.90%
180,16,2634,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202344,75.90%,97.50%,5.3,68.10%,90.50%,87.30%,58.00%
183,16,2659,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Degrading,Driver Supply Focus,202344,89.10%,96.30%,8.3,87.00%,86.80%,91.90%,91.20%
184,16,1796,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202344,90.50%,94.30%,8.3,86.20%,92.40%,93.90%,89.80%
181,16,2138,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202344,76.50%,99.70%,5.2,76.80%,77.20%,74.40%,77.70%
181,16,2332,SPARK,Scheduled Standard Delivery,45,Executive Review,Degrading,Driver Supply Focus,202344,88.40%,90.30%,8.4,84.50%,93.00%,90.30%,85.90%
187,16,2424,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202344,86.10%,98.90%,6.4,88.20%,81.30%,87.50%,86.70%
171,17,2906,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202344,92.20%,99.10%,6.8,89.30%,86.50%,92.80%,97.80%
226,17,2024,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202344,81.30%,100.00%,7.4,77.80%,75.00%,81.70%,90.10%
577,17,3520,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202344,86.40%,96.90%,9.6,80.20%,85.30%,89.80%,90.30%
577,17,3562,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202344,91.40%,95.00%,9.1,87.20%,89.40%,93.80%,95.90%
