Store,XS Men ,S Men ,M Men ,L Men ,XL Men ,2X Men ,3X Men ,4X Men ,5X Men ,6X Men ,7X Men ,8X Men ,XS Women ,S Women ,M Women ,L Women ,XL Women ,2X Women ,3X Women ,4X Women ,5X Women ,6X Women ,7X Women ,8X Women 
257,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
271,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
273,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
276,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
279,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
280,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
281,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
283,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
288,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
290,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
292,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
293,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
296,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
302,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
303,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
305,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
312,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
320,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
321,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
323,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
334,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
336,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
337,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
338,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
341,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
342,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
344,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
346,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
347,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
353,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
354,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
357,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
362,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
368,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
369,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
370,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
373,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
377,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
378,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
385,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
390,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
401,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
409,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
413,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
419,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
425,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
432,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
436,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
443,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
446,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
453,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
454,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
458,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
463,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
465,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
