Store,Market,Region,Actual Install Scheduled Date
8,326,42,
4108,323,42,
6958,310,4,
7009,302,26,
3701,302,26,
7238,302,26,
1795,294,4,
44,336,40,
29,336,40,
65,336,40,
89,336,40,
101,336,40,
219,336,40,
5477,336,40,
1008,378,54,
2599,86,7,
1996,553,9,
477,119,12,
148,47,44,
204,253,41,
266,50,5,
417,47,44,
467,52,5,
471,49,5,
477,119,12,
526,242,41,
532,130,13,
586,37,4,
649,92,9,
674,152,12,
835,385,46,
839,130,13,
880,50,5,
966,375,46,
973,92,9,
1102,130,13,
1144,42,4,
1163,125,13,
1171,115,9,
1206,130,13,
1239,217,21,
1252,380,54,
1301,312,75,
1342,128,13,
1359,36,4,
1393,413,52,
1393,413,52,
1405,61,6,
1427,218,21,
1491,413,52,
1503,223,21,
1504,223,21,
1509,415,52,
1529,233,22,
1532,369,46,
1533,369,46,
1550,388,54,
1559,394,57,
1584,396,57,
1590,553,9,
1594,219,21,
1603,39,4,
1644,232,22,
1683,413,52,
1723,413,52,
1764,413,52,
1764,413,52,
1794,232,22,
1860,284,22,
1981,508,75,
1985,283,76,
1990,217,21,
2015,292,76,
2023,233,22,
2045,281,75,
2089,311,20,
2125,380,54,
2169,232,22,
2205,233,22,
2340,233,22,
2357,280,76,
2385,514,60,
2403,514,60,
2412,293,75,
2426,217,21,
2471,217,21,
2481,232,22,
2483,394,57,
2516,514,60,
2519,233,22,
2571,514,60,
2649,50,5,
2667,55,5,
2706,125,13,
2714,426,52,
2725,217,21,
2726,219,21,
2799,508,75,
2808,290,75,
2820,421,52,
2884,394,57,
2888,233,22,
2913,129,13,
2938,132,13,
2962,108,9,
3014,49,5,
3167,125,13,
3216,289,75,
3280,192,76,
3296,64,6,
3307,97,14,
3350,394,57,
3351,394,57,
3433,49,5,
3484,14,14,
3525,514,60,
3533,585,54,
3560,160,16,
3566,380,54,
3580,219,21,
3625,109,9,
3634,232,22,
3709,20,2,
3728,394,57,
3762,413,52,
3784,221,21,
3792,219,21,
3794,514,60,
3827,64,6,
3887,116,9,
4237,42,4,
4303,110,9,
4334,294,4,
4350,287,75,
4370,392,56,
4404,233,22,
4420,41,4,
4450,242,41,
