Store Number,Link,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor,Floorplan,Give Feedback
1,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0001_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/13/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
2,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0002_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/22/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
3,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0003_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/27/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
4,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0004_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/31/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
5,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0005_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/31/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
7,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0007_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/12/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
8,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0008_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/5/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
9,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0009_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/22/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
10,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0010_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/19/2023,Telaid,8/23/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
11,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0011_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/24/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
12,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0012_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/12/2023,Telaid,8/17/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
13,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0013_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Telaid,6/27/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
14,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0014_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/17/2023,Telaid,9/25/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
15,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0015_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/1/2023,Telaid,10/10/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
16,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0016_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/18/2023,Wachter,8/10/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
17,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0017_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Telaid,6/26/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
18,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0018_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/11/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
19,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0019_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/14/2023,Telaid,8/21/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
20,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0020_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/20/2023,Telaid,8/9/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
21,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0021_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/16/2023,Telaid,8/23/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
22,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0022_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/18/2023,Telaid,8/22/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
23,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0023_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/14/2023,Wachter,10/2/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
24,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0024_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/11/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
25,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0025_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/9/2023,Telaid,8/15/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
26,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0026_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/13/2023,Telaid,8/18/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
27,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0027_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/17/2023,Telaid,9/25/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
28,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0028_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/26/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
29,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0029_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/30/2023,Telaid,8/8/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
30,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0030_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/26/2023,Telaid,10/5/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
31,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0031_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/18/2023,Telaid,9/1/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
33,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0033_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781700076327; 781700070454; 781700072413; 781700072365,8/7/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
34,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0034_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
35,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0035_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/17/2023,Telaid,8/7/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
36,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0036_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/18/2023,Wachter,10/20/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
37,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0037_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/13/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
38,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0038_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/8/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
39,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0039_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/16/2023,Telaid,8/7/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
40,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0040_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/5/2023,Telaid,9/11/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
