Store Number,Start (Night),End (Morning)
5244,5/1/2022,5/2/2022
6588,5/1/2022,5/2/2022
1303,5/1/2022,5/2/2022
2763,5/1/2022,5/2/2022
292,5/1/2022,5/2/2022
126,5/2/2022,5/3/2022
1555,5/2/2022,5/3/2022
6577,5/2/2022,5/3/2022
3136,5/2/2022,5/3/2022
407,5/2/2022,5/3/2022
1041,5/2/2022,5/3/2022
3056,5/2/2022,5/3/2022
124,5/3/2022,5/4/2022
1700,5/3/2022,5/4/2022
3947,5/3/2022,5/4/2022
7241,5/3/2022,5/4/2022
5947,5/3/2022,5/4/2022
4115,5/3/2022,5/4/2022
5808,5/3/2022,5/4/2022
4554,5/3/2022,5/4/2022
24,5/4/2022,5/5/2022
1859,5/4/2022,5/5/2022
3042,5/4/2022,5/5/2022
3763,5/4/2022,5/5/2022
3391,5/4/2022,5/5/2022
1296,5/4/2022,5/5/2022
3569,5/4/2022,5/5/2022
5996,5/5/2022,5/6/2022
5938,5/5/2022,5/6/2022
5023,5/9/2022,5/10/2022
3179,5/9/2022,5/10/2022
169,5/10/2022,5/11/2022
1915,5/10/2022,5/11/2022
3147,5/10/2022,5/11/2022
4048,5/10/2022,5/11/2022
5713,5/10/2022,5/11/2022
4055,5/10/2022,5/11/2022
897,5/10/2022,5/11/2022
91,5/11/2022,5/12/2022
339,5/11/2022,5/12/2022
2479,5/11/2022,5/12/2022
7233,5/11/2022,5/12/2022
458,5/11/2022,5/12/2022
5144,5/11/2022,5/12/2022
7281,5/11/2022,5/12/2022
70,5/12/2022,5/13/2022
5156,5/12/2022,5/13/2022
3523,5/12/2022,5/13/2022
3736,5/12/2022,5/13/2022
6898,5/12/2022,5/13/2022
3058,5/12/2022,5/13/2022
4194,5/12/2022,5/13/2022
74,5/15/2022,5/16/2022
6960,5/15/2022,5/16/2022
3106,5/15/2022,5/16/2022
1516,5/15/2022,5/16/2022
62,5/16/2022,5/17/2022
4654,5/16/2022,5/17/2022
1747,5/16/2022,5/17/2022
3180,5/16/2022,5/17/2022
999,5/16/2022,5/17/2022
3229,5/16/2022,5/17/2022
229,5/17/2022,5/18/2022
5780,5/17/2022,5/18/2022
4392,5/17/2022,5/18/2022
1272,5/17/2022,5/18/2022
4162,5/17/2022,5/18/2022
18,5/18/2022,5/19/2022
6876,5/18/2022,5/19/2022
230,5/18/2022,5/19/2022
1899,5/18/2022,5/19/2022
5807,5/18/2022,5/19/2022
804,5/18/2022,5/19/2022
3112,5/18/2022,5/19/2022
4168,5/19/2022,5/20/2022
6943,5/19/2022,5/20/2022
1879,5/19/2022,5/20/2022
2998,5/19/2022,5/20/2022
536,5/19/2022,5/20/2022
1803,5/19/2022,5/20/2022
55,5/22/2022,5/23/2022
2431,5/22/2022,5/23/2022
4131,5/22/2022,5/23/2022
1257,5/22/2022,5/23/2022
7317,5/24/2022,5/25/2022
1148,5/24/2022,5/25/2022
3107,5/24/2022,5/25/2022
2181,5/25/2022,5/26/2022
2951,5/25/2022,5/26/2022
4101,5/25/2022,5/26/2022
5154,5/31/2022,6/1/2022
5658,5/31/2022,6/1/2022
5689,5/31/2022,6/1/2022
3168,6/1/2022,6/2/2022
914,6/1/2022,6/2/2022
5359,6/1/2022,6/2/2022
4130,6/1/2022,6/2/2022
4128,6/2/2022,6/3/2022
2886,6/2/2022,6/3/2022
1660,6/2/2022,6/3/2022
2507,6/2/2022,6/3/2022
3061,6/2/2022,6/3/2022
5316,6/2/2022,6/3/2022
4648,6/5/2022,6/6/2022
4579,6/5/2022,6/6/2022
1514,6/5/2022,6/6/2022
5122,6/5/2022,6/6/2022
4509,6/5/2022,6/6/2022
344,6/5/2022,6/6/2022
4210,6/6/2022,6/7/2022
7242,6/6/2022,6/7/2022
3464,6/6/2022,6/7/2022
7249,6/6/2022,6/7/2022
6964,6/6/2022,6/7/2022
565,6/6/2022,6/7/2022
846,6/6/2022,6/7/2022
5744,6/7/2022,6/8/2022
5737,6/7/2022,6/8/2022
1574,6/7/2022,6/8/2022
1600,6/7/2022,6/8/2022
1009,6/7/2022,6/8/2022
6807,6/7/2022,6/8/2022
228,6/7/2022,6/8/2022
3510,6/7/2022,6/8/2022
5653,6/8/2022,6/9/2022
4516,6/8/2022,6/9/2022
3796,6/8/2022,6/9/2022
3141,6/8/2022,6/9/2022
15,6/8/2022,6/9/2022
274,6/8/2022,6/9/2022
220,6/8/2022,6/9/2022
3654,6/9/2022,6/10/2022
4317,6/9/2022,6/10/2022
3140,6/9/2022,6/10/2022
5691,6/9/2022,6/10/2022
5845,6/9/2022,6/10/2022
30,6/9/2022,6/10/2022
5459,6/9/2022,6/10/2022
5107,6/9/2022,6/10/2022
4165,6/9/2022,6/10/2022
5790,6/12/2022,6/13/2022
5872,6/12/2022,6/13/2022
338,6/12/2022,6/13/2022
5616,6/12/2022,6/13/2022
1062,6/12/2022,6/13/2022
6953,6/13/2022,6/14/2022
313,6/13/2022,6/14/2022
3060,6/13/2022,6/14/2022
462,6/13/2022,6/14/2022
4376,6/14/2022,6/15/2022
5394,6/14/2022,6/15/2022
5686,6/14/2022,6/15/2022
2001,6/14/2022,6/15/2022
1081,6/14/2022,6/15/2022
59,6/14/2022,6/15/2022
7020,6/14/2022,6/15/2022
504,6/14/2022,6/15/2022
4686,6/15/2022,6/16/2022
3059,6/15/2022,6/16/2022
2277,6/16/2022,6/17/2022
1882,6/16/2022,6/17/2022
5874,6/16/2022,6/17/2022
6469,6/16/2022,6/17/2022
5215,6/20/2022,6/21/2022
538,6/20/2022,6/21/2022
3990,6/20/2022,6/21/2022
5148,6/20/2022,6/21/2022
5337,6/21/2022,6/22/2022
1583,6/21/2022,6/22/2022
2694,6/21/2022,6/22/2022
529,6/21/2022,6/22/2022
3044,6/21/2022,6/22/2022
5859,6/22/2022,6/23/2022
5634,6/22/2022,6/23/2022
5828,6/22/2022,6/23/2022
3526,6/22/2022,6/23/2022
3462,6/22/2022,6/23/2022
1177,6/22/2022,6/23/2022
6166,6/22/2022,6/23/2022
3298,6/22/2022,6/23/2022
2086,6/22/2022,6/23/2022
5890,6/23/2022,6/24/2022
5633,6/23/2022,6/24/2022
3139,6/23/2022,6/24/2022
3083,6/23/2022,6/24/2022
5927,6/23/2022,6/24/2022
5776,6/23/2022,6/24/2022
5764,6/23/2022,6/24/2022
2439,6/23/2022,6/24/2022
3175,6/26/2022,6/27/2022
1188,6/26/2022,6/27/2022
5251,6/26/2022,6/27/2022
194,6/26/2022,6/27/2022
3274,6/26/2022,6/27/2022
4188,6/28/2022,6/29/2022
1815,6/28/2022,6/29/2022
2119,6/28/2022,6/29/2022
3047,6/28/2022,6/29/2022
3176,6/28/2022,6/29/2022
145,6/28/2022,6/29/2022
6165,6/28/2022,6/29/2022
5080,6/28/2022,6/29/2022
2724,6/28/2022,6/29/2022
3127,6/29/2022,6/30/2022
5477,6/29/2022,6/30/2022
6323,6/29/2022,6/30/2022
1800,6/29/2022,6/30/2022
5701,6/30/2022,7/1/2022
2030,6/30/2022,7/1/2022
5435,6/30/2022,7/1/2022
5079,6/30/2022,7/1/2022
5727,7/5/2022,7/6/2022
1270,7/5/2022,7/6/2022
2031,7/6/2022,7/7/2022
1972,7/6/2022,7/7/2022
2648,7/6/2022,7/7/2022
1615,7/6/2022,7/7/2022
6190,7/7/2022,7/8/2022
2989,7/7/2022,7/8/2022
2161,7/7/2022,7/8/2022
3455,7/7/2022,7/8/2022
3493,7/7/2022,7/8/2022
6576,7/7/2022,7/8/2022
7342,7/10/2022,7/11/2022
5347,7/10/2022,7/11/2022
1216,7/10/2022,7/11/2022
888,7/10/2022,7/11/2022
3019,7/10/2022,7/11/2022
5903,7/11/2022,7/12/2022
5134,7/11/2022,7/12/2022
1286,7/11/2022,7/12/2022
5707,7/11/2022,7/12/2022
184,7/11/2022,7/12/2022
4747,7/11/2022,7/12/2022
3424,7/12/2022,7/13/2022
5671,7/12/2022,7/13/2022
2458,7/12/2022,7/13/2022
1789,7/12/2022,7/13/2022
5192,7/12/2022,7/13/2022
4240,7/12/2022,7/13/2022
4590,7/12/2022,7/13/2022
3740,7/12/2022,7/13/2022
4189,7/13/2022,7/14/2022
2557,7/13/2022,7/14/2022
1183,7/13/2022,7/14/2022
185,7/13/2022,7/14/2022
1094,7/13/2022,7/14/2022
4626,7/13/2022,7/14/2022
4303,7/14/2022,7/15/2022
2002,7/14/2022,7/15/2022
3138,7/14/2022,7/15/2022
3352,7/14/2022,7/15/2022
3587,7/14/2022,7/15/2022
4440,7/14/2022,7/15/2022
4627,7/14/2022,7/15/2022
4553,7/14/2022,7/15/2022
6585,7/14/2022,7/15/2022
4756,7/17/2022,7/18/2022
5854,7/17/2022,7/18/2022
1455,7/17/2022,7/18/2022
2855,7/17/2022,7/18/2022
998,7/17/2022,7/18/2022
1760,7/18/2022,7/19/2022
1030,7/18/2022,7/19/2022
426,7/18/2022,7/19/2022
3500,7/18/2022,7/19/2022
4611,7/18/2022,7/19/2022
4198,7/18/2022,7/19/2022
4517,7/19/2022,7/20/2022
3461,7/19/2022,7/20/2022
2091,7/19/2022,7/20/2022
2048,7/19/2022,7/20/2022
2117,7/19/2022,7/20/2022
5979,7/19/2022,7/20/2022
2418,7/19/2022,7/20/2022
3605,7/19/2022,7/20/2022
5823,7/19/2022,7/20/2022
1040,7/19/2022,7/20/2022
1151,7/19/2022,7/20/2022
5991,7/19/2022,7/20/2022
3081,7/20/2022,7/21/2022
1603,7/20/2022,7/21/2022
7174,7/20/2022,7/21/2022
2463,7/20/2022,7/21/2022
1279,7/20/2022,7/21/2022
26,7/20/2022,7/21/2022
3155,7/20/2022,7/21/2022
4472,7/21/2022,7/22/2022
5911,7/21/2022,7/22/2022
3708,7/21/2022,7/22/2022
5843,7/21/2022,7/22/2022
5848,7/21/2022,7/22/2022
1575,7/21/2022,7/22/2022
5864,7/21/2022,7/22/2022
629,7/21/2022,7/22/2022
5754,7/21/2022,7/22/2022
3777,7/21/2022,7/22/2022
1137,7/21/2022,7/22/2022
5219,7/21/2022,7/22/2022
4390,7/21/2022,7/22/2022
907,7/24/2022,7/25/2022
2176,7/24/2022,7/25/2022
1704,7/26/2022,7/27/2022
2025,7/26/2022,7/27/2022
4239,7/26/2022,7/27/2022
1130,7/26/2022,7/27/2022
3157,7/26/2022,7/27/2022
5482,7/27/2022,7/28/2022
1390,7/27/2022,7/28/2022
5755,7/27/2022,7/28/2022
4527,7/28/2022,7/29/2022
5139,7/28/2022,7/29/2022
2697,7/28/2022,7/29/2022
2106,7/28/2022,7/29/2022
6887,7/28/2022,7/29/2022
6798,7/28/2022,7/29/2022
4416,7/31/2022,8/1/2022
6392,7/31/2022,8/1/2022
5364,7/31/2022,8/1/2022
