Store Number,Dept. Number,Item Description ,Item Number,New Retail 
31,80,CHICK BAC SUPER MAP,594756664,$3.00
231,80,CHICK BAC SUPER MAP,594756664,$3.00
231,80,SUPREME SUPER MAP,594458791,$3.00
269,80,SUPREME SUPER MAP,594458791,$3.00
269,80,CHICK BAC SUPER MAP,594756664,$3.00
282,80,AMERICAN HLF MAP,594756724,$3.00
298,80,TURKEY&CHED HLF MAP,594756725,$3.00
298,80,AMERICAN HLF MAP,594756724,$3.00
304,80,TURKEY&CHED HLF MAP,594756725,$3.00
587,80,AMERICAN HLF MAP,594756724,$3.00
623,80,AMERICAN HLF MAP,594756724,$3.00
668,80,AMERICAN HLF MAP,594756724,$3.00
670,80,AMERICAN HLF MAP,594756724,$3.00
691,80,AMERICAN HLF MAP,594756724,$3.00
806,80,TURKEY&CHED HLF MAP,594756725,$3.00
806,80,TURKEY&CHED FULL MAP,594756665,$3.00
806,80,CHICK BAC SUPER MAP,594756664,$3.00
821,80,TURKEY&CHED HLF MAP,594756725,$3.00
821,80,TURKEY&CHED FULL MAP,594756665,$3.00
826,80,TURKEY&CHED HLF MAP,594756725,$3.00
826,80,TURKEY&CHED FULL MAP,594756665,$3.00
831,80,TURKEY&CHED HLF MAP,594756725,$3.00
831,80,TURKEY&CHED FULL MAP,594756665,$3.00
831,80,CHICK BAC SUPER MAP,594756664,$3.00
850,80,TURKEY&CHED HLF MAP,594756725,$3.00
868,80,TURKEY&CHED HLF MAP,594756725,$3.00
869,80,TURKEY&CHED HLF MAP,594756725,$3.00
882,93,FMLY PK BS BRST,570567152,$2.00
906,80,TURKEY&CHED HLF MAP,594756725,$3.00
906,80,TURKEY&CHED FULL MAP,594756665,$3.00
906,80,CHICK BAC SUPER MAP,594756664,$3.00
913,93,FMLY PK BS BRST,570567152,$2.00
966,80,TURKEY&CHED HLF MAP,594756725,$3.00
979,93,FMLY PK BS BRST,570567152,$2.00
1028,80,TURKEY&CHED HLF MAP,594756725,$3.00
1036,80,AMERICAN HLF MAP,594756724,$3.00
1075,80,TURKEY&CHED HLF MAP,594756725,$3.00
1075,80,AMERICAN HLF MAP,594756724,$3.00
1115,80,AMERICAN HLF MAP,594756724,$3.00
1202,93,FMLY PK BS BRST,570567152,$2.00
1218,80,ITALIAN HERO FULLMAP,594756659,$3.00
1274,93,FMLY PK BS BRST,570567152,$2.00
1277,93,FMLY PK BS BRST,570567152,$2.00
1380,80,TURKEY&CHED HLF MAP,594756725,$3.00
1453,93,FMLY PK BS BRST,570567152,$2.00
1515,93,FMLY PK BS BRST,570567152,$2.00
1551,93,FMLY PK BS BRST,570567152,$2.00
1571,93,FMLY PK BS BRST,570567152,$2.00
1591,80,AMERICAN HLF MAP,594756724,$3.00
1635,93,FMLY PK BS BRST,570567152,$2.00
1678,80,FG NAE LMN PEP 36OZ,595342640,$4.50
1754,93,FMLY PK BS BRST,570567152,$2.00
1828,93,FMLY PK BS BRST,570567152,$2.00
1884,80,AMERICAN HLF MAP,594756724,$3.00
1982,93,FMLY PK BS BRST,570567152,$2.00
2051,80,ITALIAN HERO FULLMAP,594756659,$3.00
2335,93,FMLY PK BS BRST,570567152,$2.00
2488,80,TURKEY&CHED HLF MAP,594756725,$3.00
2509,93,FMLY PK BS BRST,570567152,$2.00
2652,80,TURKEY&CHED HLF MAP,594756725,$3.00
2652,80,TURKEY&CHED FULL MAP,594756665,$3.00
2668,93,FMLY PK BS BRST,570567152,$2.00
2812,93,FMLY PK BS BRST,570567152,$2.00
2828,93,FMLY PK BS BRST,570567152,$2.00
2924,80,TURKEY&CHED HLF MAP,594756725,$3.00
2924,80,TURKEY&CHED FULL MAP,594756665,$3.00
2936,93,FMLY PK BS BRST,570567152,$2.00
2958,93,FMLY PK BS BRST,570567152,$2.00
2986,93,FMLY PK BS BRST,570567152,$2.00
3069,80,FG NAE TRAD 36OZ,595342628,$4.50
3268,93,FMLY PK BS BRST,570567152,$2.00
3385,80,TURKEY&CHED HLF MAP,594756725,$3.00
3428,80,TURKEY&CHED HLF MAP,594756725,$3.00
3428,80,TURKEY&CHED FULL MAP,594756665,$3.00
3428,80,CHICK BAC SUPER MAP,594756664,$3.00
3459,80,TURKEY&CHED HLF MAP,594756725,$3.00
3460,93,FMLY PK BS BRST,570567152,$2.00
3499,93,FMLY PK BS BRST,570567152,$2.00
3512,80,TURKEY&CHED HLF MAP,594756725,$3.00
3731,80,TURKEY&CHED HLF MAP,594756725,$3.00
3732,80,TURKEY&CHED HLF MAP,594756725,$3.00
3732,80,TURKEY&CHED FULL MAP,594756665,$3.00
3812,93,FMLY PK BS BRST,570567152,$2.00
3826,80,TURKEY&CHED HLF MAP,594756725,$3.00
4105,80,TURKEY&CHED HLF MAP,594756725,$3.00
4340,80,ITALIAN HERO FULLMAP,594756659,$3.00
4393,80,FG NAE TRAD 36OZ,595342628,$4.50
4415,80,TURKEY&CHED HLF MAP,594756725,$3.00
4601,80,TURKEY&CHED HLF MAP,594756725,$3.00
4601,80,TURKEY&CHED FULL MAP,594756665,$3.00
4641,93,FMLY PK BS BRST,570567152,$2.00
4676,80,TURKEY&CHED FULL MAP,594756665,$3.00
4676,80,TURKEY&CHED HLF MAP,594756725,$3.00
4677,93,FMLY PK BS BRST,570567152,$2.00
5071,80,SUPREME SUPER MAP,594458791,$3.00
5090,93,FMLY PK BS BRST,570567152,$2.00
5155,80,TURKEY&CHED HLF MAP,594756725,$3.00
5155,80,TURKEY&CHED FULL MAP,594756665,$3.00
5155,80,CHICK BAC SUPER MAP,594756664,$3.00
5166,80,TURKEY&CHED HLF MAP,594756725,$3.00
5251,80,FG NAE LMN PEP 36OZ,595342640,$4.50
5263,80,AMERICAN HLF MAP,594756724,$3.00
5263,80,TURKEY&CHED HLF MAP,594756725,$3.00
5373,93,FMLY PK BS BRST,570567152,$2.00
5386,93,FMLY PK BS BRST,570567152,$2.00
5430,80,TURKEY&CHED HLF MAP,594756725,$3.00
5438,93,FMLY PK BS BRST,570567152,$2.00
5444,93,FMLY PK BS BRST,570567152,$2.00
5491,80,TURKEY&CHED HLF MAP,594756725,$3.00
5668,93,FMLY PK BS BRST,570567152,$2.00
5669,93,FMLY PK BS BRST,570567152,$2.00
5717,80,TURKEY&CHED HLF MAP,594756725,$3.00
5945,80,ITALIAN HERO FULLMAP,594756659,$3.00
5962,80,TURKEY&CHED HLF MAP,594756725,$3.00
6394,93,FMLY PK BS BRST,570567152,$2.00
