Region_nbr,market_nbr,Store List,DEPT,CATG,CATG NAME,Week,Footage,Type,Modular
44,347,10,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
40,333,32,9,496,Beach/Resort/ Lake and Water toys,10,040,RESORT,Gondola
11,146,177,9,496,Beach/Resort/ Lake and Water toys,10,068,LAKE,Gondola
13,503,275,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
5,48,371,9,496,Beach/Resort/ Lake and Water toys,3,068,LAKE,Gondola
13,68,400,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
7,87,404,9,496,Beach/Resort/ Lake and Water toys,3,068,LAKE,Gondola
6,569,413,9,496,Beach/Resort/ Lake and Water toys,3,200,BEACH,Gondola
6,78,440,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
6,78,442,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
6,78,458,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
6,78,464,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
6,78,470,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
6,78,490,9,496,Beach/Resort/ Lake and Water toys,3,120,BEACH,Gondola
13,129,502,9,496,Beach/Resort/ Lake and Water toys,3,068,RESORT,Gondola
6,61,504,9,496,Beach/Resort/ Lake and Water toys,3,160,BEACH,Gondola
7,506,508,9,496,Beach/Resort/ Lake and Water toys,10,068,LAKE,Gondola
9,115,528,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
6,61,529,9,496,Beach/Resort/ Lake and Water toys,3,040,RESORT,Gondola
4,37,574,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
12,123,578,9,496,Beach/Resort/ Lake and Water toys,10,156,LAKE,Gondola
3,94,579,9,496,Beach/Resort/ Lake and Water toys,48,120,BEACH,Gondola
3,94,582,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
4,29,605,9,496,Beach/Resort/ Lake and Water toys,3,080,BEACH,Gondola
4,29,606,9,496,Beach/Resort/ Lake and Water toys,3,040,LAKE,Gondola
3,94,613,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
4,36,632,9,496,Beach/Resort/ Lake and Water toys,48,040,RESORT,Gondola
3,28,639,9,496,Beach/Resort/ Lake and Water toys,3,120,BEACH,Gondola
4,37,643,9,496,Beach/Resort/ Lake and Water toys,48,200,BEACH,Gondola
9,118,721,9,496,Beach/Resort/ Lake and Water toys,48,040,LAKE,Gondola
4,29,728,9,496,Beach/Resort/ Lake and Water toys,48,040,BEACH,Gondola
9,115,769,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
9,92,771,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
9,118,778,9,496,Beach/Resort/ Lake and Water toys,48,040,RESORT,Gondola
40,336,815,9,496,Beach/Resort/ Lake and Water toys,10,040,LAKE,Gondola
9,90,817,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
14,15,818,9,496,Beach/Resort/ Lake and Water toys,48,200,BEACH,Gondola
9,105,819,9,496,Beach/Resort/ Lake and Water toys,48,080,BEACH,Gondola
9,90,908,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
53,442,910,9,496,Beach/Resort/ Lake and Water toys,10,068,LAKE,Gondola
14,15,919,9,496,Beach/Resort/ Lake and Water toys,48,160,BEACH,Gondola
3,98,928,9,496,Beach/Resort/ Lake and Water toys,10,120,BEACH,Gondola
9,107,929,9,496,Beach/Resort/ Lake and Water toys,48,040,BEACH,Gondola
9,92,931,9,496,Beach/Resort/ Lake and Water toys,48,120,BEACH,Gondola
