Store #,City,State,BU,Region,Market,Upstream Node,Max Packages, Launch Week, Launch Date:,Van Launch,# of Vans
125,FORT SMITH,AR,SOUTHEAST,42,321,DFW5,120,Wk.27,8/6/25,,
573,LEES SUMMIT,MO,NORTH,40,361,ORD1,200,Wk.27,8/6/25,,
613,ORMOND BEACH,FL,SOUTHEAST,3,94,FL9,460,Wk.26,7/30/25,,
666,SEBRING,FL,SOUTHEAST,9,116,FL9,210,Wk.26,7/30/25,,
697,OCALA,FL,SOUTHEAST,3,93,FL9,270,Wk.26,7/30/25,,
705,MOUNT DORA,FL,SOUTHEAST,3,89,FL9,160,Wk.26,7/30/25,,
769,VENICE,FL,SOUTHEAST,9,115,FL9,200,Wk.26,7/30/25,,
778,PUNTA GORDA,FL,SOUTHEAST,9,118,FL9,210,Wk.26,7/30/25,,
800,LEESBURG,FL,SOUTHEAST,3,89,FL9,310,Wk.26,7/30/25,,
859,LAKE WALES,FL,SOUTHEAST,9,116,FL9,110,Wk.26,7/30/25,,
943,CASSELBERRY,FL,SOUTHEAST,9,91,FL9,510,Wk.26,7/30/25,,
967,SPRING HILL,FL,SOUTHEAST,3,104,FL9,410,Wk.26,7/30/25,,
973,FORT PIERCE,FL,SOUTHEAST,9,92,FL9,590,Wk.26,7/30/25,,
987,FORT MYERS,FL,SOUTHEAST,9,105,FL9,420,Wk.26,7/30/25,,
1028,EAST PEORIA,IL,NORTH,25,278,IL9,230,Wk.27,8/6/25,,
1081,GAINESVILLE,FL,SOUTHEAST,3,93,FL9,280,Wk.26,7/30/25,,
1086,SAINT CLOUD,FL,SOUTHEAST,9,90,FL9,420,Wk.26,7/30/25,,
1087,STUART,FL,SOUTHEAST,9,107,FL9,200,Wk.26,7/30/25,,
1104,INVERNESS,FL,SOUTHEAST,3,95,FL9,170,Wk.26,7/30/25,,
1528,CEDAR RAPIDS,IA,WEST,52,415,IL9,90,Wk.27,8/6/25,,
1563,LANCASTER,CA,WEST,57,448,LAX1,160,Wk.29,8/20/25,,
1574,BAKERSFIELD,CA,WEST,57,447,LAX1,190,Wk.29,8/20/25,,
1644,LEWISBURG,PA,EAST,22,232,NJ9,200,Wk.26,7/30/25,,
1646,MESA,AZ,SOUTHWEST,46,372,PHX1,150,Wk.27,8/6/25,,
1680,KENDALL,FL,SOUTHEAST,9,110,FL9,390,Wk.26,7/30/25,,
1698,HOOKSETT,NH,EAST,16,183,PHL5,230,Wk.29,8/20/25,,
1747,PERRIS,CA,WEST,58,461,LAX1,210,Wk.29,8/20/25,,
1847,OCALA,FL,SOUTHEAST,3,93,FL9,160,Wk.26,7/30/25,,
1908,GREEN BAY,WI,NORTH,53,440,IL9,110,Wk.27,8/6/25,,
1955,ROCKFORD,IL,NORTH,53,263,IL9,200,Wk.27,8/6/25,,
1967,SPRINGFIELD,MA,EAST,16,154,PHL5,373,Wk.29,8/20/25,,
1976,HORSEHEADS,NY,EAST,17,190,PHL5,183,Wk.29,8/20/25,,
1984,NORTH ADAMS,MA,EAST,16,154,PHL5,89,Wk.29,8/20/25,,
1998,SKOKIE,IL,NORTH,25,267,IL9,410,Wk.26,7/30/25,,
2023,LEBANON,PA,EAST,22,233,PHL5,280,Wk.29,8/20/25,,
2045,NOTTINGHAM,MD,EAST,75,281,PHL5,1050,Wk.26,7/30/25,,
2056,SARATOGA SPRINGS,NY,EAST,16,188,PHL5,310,Wk.29,8/20/25,,
2093,UTICA,NY,EAST,76,189,PHL5,271,Wk.29,8/20/25,,
2152,ALBANY,NY,EAST,16,188,PHL5,580,Wk.29,8/20/25,,
2166,EAST SYRACUSE,NY,EAST,76,191,PHL5,377,Wk.29,8/20/25,,
2167,EXTON,PA,EAST,22,167,NJ9,185,Wk.26,7/30/25,,
