STORE,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
501,37,0,20,16,0
502,37,28,0,0,0
503,37,8,0,0,0
504,37,0,20,12,0
505,37,0,20,8,0
506,37,0,12,16,0
507,37,0,20,20,0
508,37,0,20,16,0
510,37,0,20,16,0
511,37,0,12,20,0
512,37,0,20,16,0
513,37,0,20,8,0
514,37,0,20,20,0
515,37,0,12,24,0
516,37,0,20,20,0
517,37,0,20,12,0
518,37,0,20,8,0
519,37,0,20,16,0
520,37,0,20,20,0
521,37,0,20,24,0
522,37,0,12,20,0
523,37,0,12,12,0
524,37,0,12,20,0
526,37,0,12,20,0
527,37,0,20,32,0
528,37,0,20,16,0
529,37,0,20,24,0
530,37,0,20,8,0
531,37,0,20,20,8
532,37,0,20,16,0
533,37,0,12,20,0
535,37,0,20,28,0
536,37,0,20,32,0
537,37,0,12,32,0
538,37,0,20,28,0
539,37,0,20,32,0
540,37,0,20,20,8
541,37,0,20,32,0
542,37,0,20,20,0
543,37,0,12,8,0
544,37,0,20,28,0
545,37,8,0,0,0
546,37,0,20,32,0
547,37,0,20,16,8
548,37,0,20,0,0
549,37,0,12,16,8
550,37,0,12,20,0
551,37,0,20,20,0
552,37,0,8,20,0
553,37,0,12,20,0
554,37,0,20,16,0
555,37,0,20,32,8
556,37,0,20,20,0
557,37,0,20,8,0
558,37,0,20,20,0
559,37,0,20,20,0
560,37,0,20,8,0
561,37,0,12,8,0
562,37,0,12,12,0
563,37,0,20,32,0
564,37,0,12,20,0
565,37,0,20,8,0
566,37,0,20,16,0
567,37,12,0,0,0
568,37,24,0,0,0
569,37,0,20,24,8
571,37,0,20,8,0
572,37,0,20,20,0
573,37,32,0,0,0
574,37,0,20,32,0
575,37,0,20,20,0
576,37,0,20,24,0
577,37,0,20,32,0
578,37,0,20,16,0
579,37,0,12,28,0
580,37,0,20,12,0
581,37,0,20,16,0
582,37,0,12,20,0
583,37,0,12,16,0
584,37,0,20,8,0
585,37,0,0,16,0
586,37,0,12,24,0
587,37,0,12,12,0
588,37,0,20,20,0
589,37,0,20,12,0
590,37,0,20,24,0
591,37,0,12,24,0
592,37,0,20,28,0
593,37,0,20,16,0
594,37,0,12,8,0
595,37,0,20,8,0
596,37,20,0,0,0
598,37,0,20,16,0
599,37,0,12,8,0
600,37,0,12,8,0
601,37,0,20,24,0
602,37,0,20,28,0
603,37,0,20,28,0
604,37,0,20,28,0
605,37,0,20,20,0
606,37,0,12,12,0
607,37,0,12,12,0
608,37,32,0,0,0
609,37,0,20,28,0
610,37,0,20,28,8
611,37,0,12,32,8
612,37,0,20,24,0
613,37,0,12,24,0
614,37,0,20,24,0
615,37,0,20,8,0
616,37,0,20,20,0
617,37,8,0,0,0
618,37,0,20,32,0
619,37,0,20,16,0
620,37,0,20,8,0
621,37,0,12,20,0
622,37,0,20,28,8
623,37,0,20,20,0
624,37,0,20,0,0
625,37,0,12,20,0
626,37,0,12,8,0
627,37,0,20,20,8
628,37,0,20,20,0
629,37,0,20,20,8
630,37,0,20,12,0
631,37,0,20,12,0
632,37,0,20,20,0
633,37,0,12,16,0
634,37,0,12,28,0
635,37,0,20,24,0
636,37,0,12,20,0
637,37,0,20,12,0
638,37,0,20,20,0
639,37,0,20,24,0
640,37,0,0,8,0
641,37,0,20,20,0
642,37,0,20,12,0
643,37,0,20,8,0
644,37,0,12,20,0
645,37,0,12,12,0
646,37,0,12,16,0
647,37,0,12,20,0
648,37,0,20,8,0
649,37,0,20,24,0
651,37,0,20,16,0
652,37,0,20,12,0
653,37,0,20,28,8
655,37,0,20,16,0
656,37,0,20,20,0
657,37,0,8,24,0
658,37,0,20,12,0
659,37,0,20,20,0
660,37,24,0,0,0
661,37,0,20,8,0
662,37,0,20,12,0
663,37,0,12,20,0
664,37,0,12,24,0
665,37,0,20,8,0
666,37,0,20,20,0
667,37,0,12,8,0
668,37,0,20,8,0
669,37,0,12,20,0
670,37,36,0,0,0
671,37,0,20,8,0
672,37,0,12,16,0
673,37,0,20,24,0
674,37,0,20,32,0
675,37,0,20,20,0
676,37,0,12,20,0
677,37,0,20,20,0
678,37,0,0,16,0
680,37,0,20,20,8
681,37,16,0,0,0
682,37,0,20,32,0
683,37,0,20,8,0
684,37,0,20,28,8
685,37,0,20,8,0
686,37,0,20,20,0
687,37,0,20,28,0
688,37,0,20,12,0
689,37,0,20,16,0
690,37,0,12,16,0
691,37,0,20,32,8
