sn,Procedure,Equipment,Compliance,Compliance2,Compliance3,Compliance4,Operational,Operational2,Operational3,Operational4
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0
4,1,1,1,0,1,1,1,0,1,0
5,1,0,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1
8,1,0,1,1,1,1,1,1,1,1
9,1,1,1,1,0,1,0,1,0,1
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1
13,0,0,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1
17,0,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1
24,1,0,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1
36,0,0,0,0,0,0,0,0,0,0
37,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,0,1,1,1,0
41,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1
48,1,0,0,0,1,0,0,0,1,0
52,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1
57,0,1,1,1,0,1,1,1,0,1
58,1,1,1,1,0,1,1,0,0,0
59,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1
62,0,0,0,1,1,0,0,1,1,0
63,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,0,1,1,1,1,1
67,1,1,1,1,1,1,1,1,1,1
68,0,0,1,1,1,0,1,1,0,1
69,1,1,1,1,1,1,1,1,1,1
70,1,1,0,0,0,1,0,0,0,1
71,1,1,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,0,1
77,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1
80,0,1,1,1,0,0,0,1,0,0
83,0,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1
91,1,1,1,0,1,1,1,0,1,1
93,0,0,0,0,0,0,0,0,0,0
94,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,0,1,1
98,1,1,1,1,1,0,1,1,1,0
100,1,1,1,1,1,1,1,1,1,1
101,1,1,0,1,1,1,0,1,1,1
103,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1,1,1,1
110,0,0,0,0,0,0,0,0,0,0
111,1,1,1,0,1,1,1,0,1,1
112,1,1,1,1,0,1,1,1,0,1
113,1,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1,1
119,1,1,0,1,1,1,0,1,1,1
120,1,1,0,1,1,1,0,1,1,1
121,1,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1
124,0,0,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1
128,1,1,0,1,1,1,0,1,1,1
129,1,1,1,0,0,1,0,1,0,1
130,1,1,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,1
137,1,1,0,1,1,1,0,1,1,1
138,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1,1,1
144,0,1,1,0,0,0,1,0,0,0
147,1,1,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1
