Market,Store,Store Type ,Van Service Date 
221,1441,SUP,8/13/2024
221,2309,SUP,8/13/2024
221,2309,SUP,8/13/2024
221,2441,SUP,8/13/2024
221,3502,SUP,8/13/2024
221,3571,SUP,8/13/2024
221,3784,SUP,8/13/2024
221,5499,SUP,8/13/2024
225,1443,SUP,8/13/2024
225,1510,SUP,8/13/2024
225,2250,SUP,8/13/2024
225,2447,SUP,8/13/2024
225,2967,SUP,8/13/2024
225,3749,SUP,8/13/2024
225,4609,SUP,8/13/2024
217,2426,SUP,8/12/2024
217,2471,SUP,8/12/2024
217,2725,SUP,8/12/2024
217,2774,SUP,8/12/2024
217,3812,SUP,8/12/2024
217,3812,SUP,8/12/2024
217,5185,SUP,8/12/2024
219,1594,SUP,8/12/2024
219,2098,SUP,8/12/2024
219,2726,SUP,8/12/2024
219,3580,SUP,8/12/2024
219,5184,SUP,8/12/2024
219,5466,SUP,8/12/2024
219,5857,SUP,8/12/2024
494,4053,WNM,8/14/2024
494,5408,WNM,8/14/2024
494,5767,WNM,8/14/2024
494,5767,WNM,8/14/2024
239,1728,SUP,8/14/2024
482,923,SUP,8/14/2024
482,1557,SUP,8/14/2024
482,1601,SUP,8/14/2024
482,2786,SUP,8/14/2024
482,2788,SUP,8/14/2024
251,828,SUP,8/14/2024
249,1459,SUP,8/14/2024
249,2787,SUP,8/14/2024
249,3435,SUP,8/14/2024
249,5443,SUP,8/14/2024
249,5483,SUP,8/14/2024
266,4529,SUP,8/16/2024
265,3790,SUP,8/16/2024
265,4531,SUP,8/16/2024
107,1436,SUP,8/11/2024
107,1541,SUP,8/11/2024
107,2176,SUP,8/11/2024
107,2176,SUP,8/11/2024
107,3348,SUP,8/11/2024
107,4446,SUP,8/11/2024
107,5301,SUP,8/11/2024
488,2406,WNM,8/12/2024
103,2930,WNM,8/12/2024
488,3011,WNM,8/12/2024
488,3104,WNM,8/12/2024
103,3935,WNM,8/14/2024
488,4380,WNM,8/12/2024
488,4441,WNM,8/11/2024
103,4498,WNM,8/12/2024
488,4560,WNM,8/11/2024
103,4563,WNM,8/13/2024
103,4617,WNM,8/15/2024
103,4826,WNM,8/13/2024
103,5615,WNM,8/13/2024
103,5719,WNM,8/14/2024
488,5758,WNM,8/11/2024
488,5759,WNM,8/11/2024
103,5945,WNM,8/13/2024
108,1387,SUP,8/12/2024
108,1398,SUP,8/11/2024
108,1517,SUP,8/15/2024
108,1589,SUP,8/12/2024
