Store #,DSL Start Date,Sections ,Head Count,Total hours ,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42
178,10/5/2025,2620,10,2200,100,200,300,400,400,400,400,0,0,0
196,10/12/2025,4485,17,3740,0,170,340,510,680,680,680,680,0,0
200,10/5/2025,5106,20,4400,200,400,600,800,800,800,800,0,0,0
222,10/5/2025,3543,14,3080,140,280,420,560,560,560,560,0,0,0
282,10/12/2025,3747,15,3300,0,150,300,450,600,600,600,600,0,0
333,10/12/2025,3805,15,3300,0,150,300,450,600,600,600,600,0,0
334,10/12/2025,2932,12,2640,0,120,240,360,480,480,480,480,0,0
370,10/26/2025,3569,14,3185,0,0,0,210,315,420,560,560,560,560
430,10/12/2025,3637,14,3080,0,140,280,420,560,560,560,560,0,0
519,10/5/2025,3789,15,3300,150,300,450,600,600,600,600,0,0,0
566,10/12/2025,3691,14,3080,0,140,280,420,560,560,560,560,0,0
571,10/5/2025,4318,17,3740,170,340,510,680,680,680,680,0,0,0
584,10/12/2025,3952,15,3300,0,150,300,450,600,600,600,600,0,0
589,10/5/2025,4943,19,4180,190,380,570,760,760,760,760,0,0,0
596,10/12/2025,1773,7,1540,0,70,140,210,280,280,280,280,0,0
612,10/12/2025,3550,14,3080,0,140,280,420,560,560,560,560,0,0
629,10/5/2025,3491,14,3080,140,280,420,560,560,560,560,0,0,0
653,10/5/2025,4726,18,3960,180,360,540,720,720,720,720,0,0,0
655,10/5/2025,4697,18,3960,180,360,540,720,720,720,720,0,0,0
692,10/12/2025,4764,18,3960,0,180,360,540,720,720,720,720,0,0
694,10/12/2025,5007,19,4180,0,190,380,570,760,760,760,760,0,0
709,10/5/2025,4895,19,4180,190,380,570,760,760,760,760,0,0,0
719,10/5/2025,4882,19,4180,190,380,570,760,760,760,760,0,0,0
775,10/12/2025,4553,18,3960,0,180,360,540,720,720,720,720,0,0
786,10/5/2025,4525,18,3960,180,360,540,720,720,720,720,0,0,0
792,10/12/2025,1610,7,1540,0,70,140,210,280,280,280,280,0,0
798,10/5/2025,2887,11,2420,110,220,330,440,440,440,440,0,0,0
825,10/5/2025,2941,12,2640,120,240,360,480,480,480,480,0,0,0
828,10/5/2025,4960,19,4180,190,380,570,760,760,760,760,0,0,0
833,10/5/2025,2841,11,2420,110,220,330,440,440,440,440,0,0,0
852,10/5/2025,4717,18,3960,180,360,540,720,720,720,720,0,0,0
870,10/5/2025,4947,19,4180,190,380,570,760,760,760,760,0,0,0
910,10/5/2025,4606,18,3960,180,360,540,720,720,720,720,0,0,0
913,10/5/2025,4433,17,3740,170,340,510,680,680,680,680,0,0,0
923,10/5/2025,4677,18,3960,180,360,540,720,720,720,720,0,0,0
982,10/5/2025,3500,14,3080,140,280,420,560,560,560,560,0,0,0
