Store #,Type,City,State,Start Selling Date,Stop Selling Date,Return Type
2070,Walmart,ANCHORAGE,AK,21-Apr,11-Jul,UPS Ground Return
2071,Walmart,ANCHORAGE,AK,21-Apr,11-Jul,UPS Ground Return
4359,Walmart,ANCHORAGE,AK,21-Apr,11-Jul,UPS Ground Return
2188,Walmart,EAGLE RIVER,AK,21-Apr,11-Jul,UPS Ground Return
2722,Walmart,FAIRBANKS,AK,21-Apr,11-Jul,UPS Ground Return
4474,Walmart,KENAI,AK,21-Apr,11-Jul,UPS Ground Return
2710,Walmart,KETCHIKAN,AK,21-Apr,11-Jul,UPS Ground Return
2711,Walmart,KODIAK,AK,21-Apr,11-Jul,UPS Ground Return
2074,Walmart,WASILLA,AK,21-Apr,11-Jul,UPS Ground Return
726,Walmart,ALEXANDER CITY,AL,21-Apr,10-Jul,TNT Driver Pickup
766,Walmart,FLORENCE,AL,21-Apr,11-Jul,TNT Driver Pickup
4187,Walmart,FLORENCE,AL,21-Apr,11-Jul,TNT Driver Pickup
8196,Sam's Club,FLORENCE,AL,21-Apr,11-Jul,TNT Driver Pickup
301,Walmart,GADSDEN,AL,21-Apr,10-Jul,TNT Driver Pickup
1063,Walmart,GENEVA,AL,21-Apr,10-Jul,TNT Driver Pickup
6878,Walmart,HAZEL GREEN,AL,21-Apr,10-Jul,TNT Driver Pickup
4776,Sam's Club,HUNTSVILLE,AL,21-Apr,11-Jul,TNT Driver Pickup
8107,Sam's Club,HUNTSVILLE,AL,21-Apr,11-Jul,TNT Driver Pickup
809,Walmart,OXFORD,AL,21-Apr,10-Jul,TNT Driver Pickup
4836,Sam's Club,OXFORD,AL,21-Apr,10-Jul,TNT Driver Pickup
740,Walmart,OZARK,AL,21-Apr,10-Jul,TNT Driver Pickup
6435,Sam's Club,TUSCALOOSA,AL,21-Apr,11-Jul,TNT Driver Pickup
358,Walmart,ALMA,AR,21-Apr,11-Jul,UPS Ground Return
160,Walmart,ASH FLAT,AR,21-Apr,11-Jul,UPS Ground Return
133,Walmart,ASHDOWN,AR,21-Apr,11-Jul,UPS Ground Return
119,Walmart,BATESVILLE,AR,21-Apr,11-Jul,UPS Ground Return
4168,Walmart,BEEBE,AR,21-Apr,11-Jul,UPS Ground Return
85,Walmart,BENTON,AR,21-Apr,11-Jul,UPS Ground Return
100,Walmart,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
2741,Walmart,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
4376,Walmart,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
4686,Walmart,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
6953,Walmart,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
4969,Sam's Club,BENTONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
76,Walmart,BERRYVILLE,AR,21-Apr,11-Jul,UPS Ground Return
62,Walmart,BLYTHEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
55,Walmart,BOONEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
3230,Walmart,BRYANT,AR,21-Apr,11-Jul,UPS Ground Return
171,Walmart,CAMDEN,AR,21-Apr,11-Jul,UPS Ground Return
788,Walmart,CLINTON,AR,21-Apr,11-Jul,UPS Ground Return
296,Walmart,DARDANELLE,AR,21-Apr,11-Jul,UPS Ground Return
279,Walmart,DE QUEEN,AR,21-Apr,11-Jul,UPS Ground Return
530,Walmart,EL DORADO,AR,21-Apr,11-Jul,UPS Ground Return
144,Walmart,FAYETTEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
359,Walmart,FAYETTEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
2745,Walmart,FAYETTEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
5737,Walmart,FAYETTEVILLE,AR,21-Apr,11-Jul,UPS Ground Return
8209,Sam's Club,FAYETTEVILLE,AR,21-Apr,11-Jul,TNT Driver Pickup
1147,Walmart,FLIPPIN,AR,21-Apr,11-Jul,UPS Ground Return
339,Walmart,FORDYCE,AR,21-Apr,11-Jul,UPS Ground Return
91,Walmart,FORREST CITY,AR,21-Apr,11-Jul,UPS Ground Return
7317,Walmart,GREENBRIER,AR,21-Apr,11-Jul,UPS Ground Return
3231,Walmart,GREENWOOD,AR,21-Apr,11-Jul,UPS Ground Return
2,Walmart,HARRISON,AR,21-Apr,11-Jul,UPS Ground Return
1065,Walmart,HOPE,AR,21-Apr,11-Jul,UPS Ground Return
52,Walmart,HOT SPRINGS,AR,21-Apr,11-Jul,UPS Ground Return
4825,Sam's Club,HOT SPRINGS,AR,21-Apr,11-Jul,UPS Ground Return
5433,Walmart,HOT SPRINGS VILLAGE,AR,21-Apr,11-Jul,UPS Ground Return
373,Walmart,HUNTSVILLE,AR,21-Apr,11-Jul,UPS Ground Return
24,Walmart,JACKSONVILLE,AR,21-Apr,11-Jul,UPS Ground Return
45,Walmart,JONESBORO,AR,21-Apr,11-Jul,UPS Ground Return
128,Walmart,JONESBORO,AR,21-Apr,11-Jul,UPS Ground Return
6876,Walmart,JONESBORO,AR,21-Apr,11-Jul,UPS Ground Return
6377,Sam's Club,JONESBORO,AR,21-Apr,11-Jul,UPS Ground Return
124,Walmart,LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
126,Walmart,LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
5244,Walmart,LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
5706,Walmart,LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
8104,Sam's Club,LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
169,Walmart,LONOKE,AR,21-Apr,11-Jul,UPS Ground Return
83,Walmart,MAGNOLIA,AR,21-Apr,11-Jul,UPS Ground Return
127,Walmart,MALVERN,AR,21-Apr,11-Jul,UPS Ground Return
4654,Walmart,MARION,AR,21-Apr,11-Jul,UPS Ground Return
289,Walmart,MCGEHEE,AR,21-Apr,11-Jul,UPS Ground Return
67,Walmart,MENA,AR,21-Apr,11-Jul,UPS Ground Return
348,Walmart,MONTICELLO,AR,21-Apr,11-Jul,UPS Ground Return
8,Walmart,MORRILTON,AR,21-Apr,11-Jul,UPS Ground Return
11,Walmart,MOUNTAIN HOME,AR,21-Apr,11-Jul,UPS Ground Return
1114,Walmart,MOUNTAIN VIEW,AR,21-Apr,11-Jul,UPS Ground Return
33,Walmart,NASHVILLE,AR,21-Apr,11-Jul,UPS Ground Return
18,Walmart,NEWPORT,AR,21-Apr,11-Jul,UPS Ground Return
1105,Walmart,NORTH LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
4460,Walmart,NORTH LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
8266,Sam's Club,NORTH LITTLE ROCK,AR,21-Apr,11-Jul,UPS Ground Return
209,Walmart,OZARK,AR,21-Apr,11-Jul,UPS Ground Return
36,Walmart,PARAGOULD,AR,21-Apr,11-Jul,UPS Ground Return
