Tracking Number,Location,Street,City,State,Zip,,Serial Number,Asset Tag
777792364558,768,1313 N Fry Rd,Katy,TX,77449-3343,,PA7L41MGG7210403W,XTH1GPQ7
777792481998,201,2608 Green Mount Commons Dr,BELLEVILLE,IL,62221-6742,,PA7L41MGG7210290W,XLLP7BG1
777792490628,5767,9354 Ambleside Dr,Fishers,IN,46038-0000,,PA7L41MGG7210436W,X06W3PZB
777792496810,3584,5405 South Rice Avenue,Houston,TX,77081-0000,,PA7L41MGG7210277W,XKYS9CC4
777792501103,1409,10750 Westview Dr,Houston,TX,77043-5019,,PA7L41MGG7210208W,X6CV0VKX
777792507215,4450,12981 Shelbyville Rd,Middletown,KY,40243-1538,,PA7L41MGG7210285W,XXYX3JYS
777792512188,2724,1107 Shaver St,Pasadena,TX,77506-4405,,PA7L41MGG7210416W,XXJ6CQQH
777792516481,5297,143 Thierman Ln,Louisville,KY,40207-5009,,PA7L41MGG7210294W,XM2VCP2X
777792520760,7357,8208 Barker Cypress Rd,Cypress,TX,77433-0000,,PA7L41MGG7210581W,XGYX55KF
777792523472,5443,4650 S Emerson Ave,Indianapolis,IN,46203-5932,,PA7L41MGG7240005W,X6FPMS1G
777792529459,805,653 Gravois Bluffs Blvd,FENTON,MO,63026-7716,,PA7L41MGG7210461W,XXN9HSDS
777792534080,5417,175 Outer Loop,Louisville,KY,40214-5544,,PA7L41MGG7210110W,XKG5STQ4
777792538020,7290,6501 Veterans Memorial Pkwy,Crestwood,KY,40014-0000,,PA7L41MGG7210305W,XPF731G1
777792541736,648,1661 Jungermann Rd,SAINT PETERS,MO,63304-2821,,PA7L41MGG7210317W,X7C8MZRW
777792546841,512,10727 Gateway Blvd W,El Paso,TX,79935-4906,,PA7L41MGG7210559W,XYPFF5Z0
777792552218,2691,2910 Grant Line Rd,New Albany,IN,47150-2456,,PA7L41MGG7210342W,XL00HGLT
777792557209,1279,10411 N Freeway 45,Houston,TX,77037-1124,,PA7L41MGG7210256W,XVVJP4D2
777792561999,2612,1850 N Zaragoza Rd,El Paso,TX,79936-7911,,PA7L41MGG7210095W,X2FW8D7P
777792609633,526,3706 Diann Marie Rd,Louisville,KY,40241-3818,,PA7L41MGG7210302W,X1WTNW9W
