Userid2,Store,Store Rank
T0H01Y5,1,2
DJDEEN,2,2
W0R00AB,3,2
BDW003Y,4,2
TSG004Q,5,2
GLR0029,7,2
G0R016E,8,2
MAESPE,10,2
G0B013J,11,2
RKB004F,12,2
ALLAWHO,13,2
M0B0QY5,14,2
Z0L04IL,15,2
PRJACOB,16,2
KDHANCO,17,2
CLD00DB,18,2
AMS00KL,19,2
DEBURKE,20,2
JAOUTTE,21,2
DMD008E,23,2
J0S0D14,24,2
D0D0AM3,25,2
KCMCQUI,26,2
ELDIAZ,27,2
M0B0Y1F,29,2
BWC001I,30,2
L0R0495,31,2
BDW005E,32,2
ENCHAMB,33,2
BAB001Y,34,2
M0N08SH,35,2
B0E0381,36,2
CTHORST,37,2
C0S0NXQ,38,2
CEM004O,39,2
EHMORGA,41,2
D0R06UG,42,2
RJROW,43,2
J0P0F1C,44,2
LARICH,45,2
M0B0R1F,46,2
DEMORRO,47,2
B0S057A,48,2
S0R0BGL,49,2
LLL007A,51,2
M0W03HG,52,2
R0A02W2,54,2
JRDELUD,55,2
CAH00ND,56,2
CCHALL,57,2
NVRIDLI,58,2
JLJ00GI,59,2
SSSARNO,60,2
JKGROSS,61,2
KNCHEW,62,2
V0R00RO,63,2
KSL002N,64,2
UMW0005,65,2
MRB00CT,66,2
JECARLS,67,2
C0K08EB,68,2
SLB00GS,69,2
MGCARNE,70,2
DERAMSE,71,2
KNJ002K,73,2
M0O03EO,75,2
JFW001P,76,2
J0C0FLU,78,2
KLJ009H,79,2
ELT002E,81,2
J0S0RNM,83,2
M0V050U,85,2
ALB00B6,87,2
DSR004X,88,2
K0A05P7,91,2
DTPRATT,92,2
T0O00SO,93,2
TLE004B,95,2
BSWOOLE,96,2
A0B0QKQ,97,2
JLO0029,98,2
MLW00H5,99,2
RLG005Q,100,2
JCH00IN,101,2
DJW00HT,102,2
S0H0HIZ,103,2
K0B00WV,104,2
JMT00GD,105,2
M0S0QE2,106,2
CDP0089,107,2
SDT0052,108,2
CDROUND,109,2
J0M0LWX,111,2
S0C0A0Z,112,2
DRMABRY,113,2
DSB0014,114,2
CMGLOVE,115,2
LGHORN,116,2
CMC00T1,117,2
NSRAINE,118,2
JSGALLO,119,2
LMHARRI,120,2
R0M05YZ,121,2
JTBACHM,122,2
GMVAZQU,123,2
KLC00G6,124,2
WFV0002,125,2
D0W0LZM,126,2
HNSTAFF,127,2
J0K04MB,128,2
KBB002N,131,2
G0F00LT,132,2
SLA0090,133,2
M0H0BWN,134,2
MEDYSAR,135,2
CMC00L6,136,2
JLB00AJ,137,2
HRMIDKI,138,2
RADICK,139,2
PCHERRY,140,2
TAGOINE,141,2
J0B04OU,143,2
K0T00UP,144,2
DSB001V,145,2
CCDERRI,146,2
KDCOMBR,148,2
DRT003K,149,2
PDGILLA,151,2
CKMOYER,152,2
LRT0020,153,2
M0R0VVI,154,2
DMMACK,155,2
E0B031Q,157,2
JRS00O6,158,2
M0A03R7,159,2
TAHERUM,160,2
KLDENK,161,2
M0W07CA,162,2
JDE001Q,164,2
M0T080V,165,2
A0D09HB,166,2
PTSIMPS,167,2
SLGILBE,169,2
RTCOCAG,171,2
MRCOPEL,173,2
MGC003Q,174,2
SNJ0031,175,2
KDS002R,176,2
JEDUNCA,177,2
ARDUPRE,178,2
J0M13SM,179,2
CGSCALE,180,2
ICLAVER,181,2
GLC003Y,182,2
KMC00I8,183,2
ALC00M0,184,2
T0D07QU,186,2
C0S0262,188,2
DLB00PI,189,2
PABRADS,190,2
M0W0K09,192,2
SECORTE,194,2
DCKAMME,195,2
N0D00L2,196,2
TTGARCI,197,2
JMT00GP,198,2
M0R05QU,200,2
CJLOKIS,201,2
DLDONOV,203,2
MMKNOWL,205,2
CHL000P,207,2
BSROBBE,209,2
REMOORE,210,2
DNR000M,211,2
WND0007,212,2
CJWYATT,213,2
JEO000R,216,2
A0S03DV,217,2
JWP004P,218,2
AJPEARS,219,2
C0N00SX,220,2
BODUNN,221,2
SDM00DU,222,2
AJC00JW,224,2
APSWART,225,2
HNKOSUB,226,2
CDJ001K,227,2
BLV0024,228,2
LCLAWSO,229,2
C0C0HBG,230,2
JCABBOT,231,2
M0P07KT,232,2
AJA00AY,233,2
SDGENEM,234,2
LLW003W,237,2
J0M0A6S,238,2
JWRAGGS,239,2
J0A04U7,240,2
RJBOUND,242,2
MMHOLOD,243,2
CDC008N,244,2
S1B06LN,247,2
C0M06BZ,248,2
JJBEARD,250,2
DLFARRE,251,2
J0L0CVN,252,2
DLW00EC,253,2
CMIRMEN,254,2
LMD0026,256,2
SLA009D,257,2
MRO0033,258,2
WCF000C,260,2
ACH005O,261,2
KAP002D,262,2
JWS007V,264,2
NHASSET,265,2
CAHULL,267,2
LMCHERR,268,2
R0A0813,269,2
M0P0MTX,272,2
KLT0051,273,2
HLBEVEN,274,2
JRK003R,275,2
MMCCLAI,278,2
RWSTEPP,279,2
TDMCGIL,280,2
K0D00Z3,281,2
J0W0522,282,2
BCGARRE,285,2
JHCURRI,287,2
TSLACY,289,2
E0M0BJ7,290,2
NAM00AG,292,2
E0G0446,293,2
S0C09GP,294,2
CRM00IP,295,2
LMGALLI,296,2
N0S013C,298,2
JAESTEP,299,2
AJP00C6,300,2
A0M0OVI,301,2
ALHADSO,302,2
JDBORDE,303,2
JMT00L6,304,2
L0S0AYL,305,2
DWSIMS,306,2
L0B0F4K,307,2
S0R02MS,308,2
CLH00M2,311,2
KMC008C,312,2
LSGRISS,313,2
WCP000P,314,2
PEMIZE,315,2
ELY000J,316,2
A0F00MC,317,2
MTM005A,318,2
TJH00EE,319,2
MLG00D0,320,2
JMTORRE,321,2
RNREYNA,322,2
R0F00KT,323,2
