Store #,Tier Name,Article #
1452,Tier 03,100673607
1453,Tier 05,100673609
1454,Tier 03,100673607
1455,Tier 03,100673607
1456,Tier 04,100673608
1457,Tier 05,100673609
1458,Tier 01 ,100673605
1459,Tier 04,100673608
1460,Tier 02 ,100673606
1461,Tier 04,100673608
1462,Tier 01 ,100673605
1463,Tier 04,100673608
1464,Tier 03,100673607
1465,Tier 03,100673607
1466,Tier 02 ,100673606
1467,Tier 02 ,100673606
1468,Tier 03,100673607
1469,Tier 04,100673608
1470,Tier 04,100673608
1471,Tier 05,100673609
1472,Tier 04,100673608
1473,Tier 04,100673608
1474,Tier 04,100673608
1475,Tier 04,100673608
1476,Tier 05,100673609
1477,Tier 04,100673608
1478,Tier 04,100673608
1479,Tier 05,100673609
1480,Tier 04,100673608
1481,Tier 01 ,100673605
1482,Tier 01 ,100673605
1483,Tier 04,100673608
1484,Tier 03,100673607
1485,Tier 05,100673609
1486,Tier 04,100673608
1487,Tier 05,100673609
1488,Tier 01 ,100673605
1489,Tier 02 ,100673606
1490,Tier 05,100673609
1492,Tier 05,100673609
1493,Tier 01 ,100673605
1494,Tier 03,100673607
1495,Tier 04,100673608
1496,Tier 05,100673609
1497,Tier 02 ,100673606
1498,Tier 04,100673608
1499,Tier 04,100673608
1500,Tier 04,100673608
1501,Tier 01 ,100673605
1502,Tier 03,100673607
1503,Tier 04,100673608
1504,Tier 04,100673608
1505,Tier 04,100673608
1506,Tier 05,100673609
1507,Tier 05,100673609
1508,Tier 04,100673608
1509,Tier 05,100673609
1510,Tier 04,100673608
1511,Tier 03,100673607
1512,Tier 04,100673608
1513,Tier 01 ,100673605
1514,Tier 03,100673607
1515,Tier 05,100673609
1516,Tier 05,100673609
1517,Tier 03,100673607
1518,Tier 04,100673608
1519,Tier 05,100673609
1520,Tier 04,100673608
1521,Tier 04,100673608
1522,Tier 04,100673608
1523,Tier 04,100673608
1524,Tier 03,100673607
1525,Tier 04,100673608
1526,Tier 04,100673608
1527,Tier 03,100673607
1528,Tier 05,100673609
1529,Tier 05,100673609
1530,Tier 03,100673607
1531,Tier 02 ,100673606
1532,Tier 04,100673608
1533,Tier 04,100673608
1534,Tier 05,100673609
1535,Tier 04,100673608
1536,Tier 01 ,100673605
1537,Tier 03,100673607
1538,Tier 04,100673608
1539,Tier 05,100673609
1540,Tier 05,100673609
1541,Tier 03,100673607
1542,Tier 05,100673609
1543,Tier 05,100673609
1544,Tier 04,100673608
1545,Tier 05,100673609
1546,Tier 05,100673609
1547,Tier 05,100673609
1548,Tier 05,100673609
1549,Tier 04,100673608
1550,Tier 05,100673609
1551,Tier 05,100673609
1552,Tier 03,100673607
1553,Tier 05,100673609
1554,Tier 05,100673609
1555,Tier 04,100673608
1556,Tier 02 ,100673606
1557,Tier 04,100673608
1558,Tier 03,100673607
1559,Tier 04,100673608
1560,Tier 04,100673608
1561,Tier 03,100673607
1562,Tier 04,100673608
1563,Tier 05,100673609
1564,Tier 05,100673609
1565,Tier 05,100673609
1566,Tier 04,100673608
1567,Tier 05,100673609
1568,Tier 03,100673607
1569,Tier 04,100673608
1570,Tier 04,100673608
1571,Tier 05,100673609
1572,Tier 04,100673608
1573,Tier 04,100673608
1574,Tier 05,100673609
1575,Tier 05,100673609
1576,Tier 05,100673609
1577,Tier 04,100673608
1578,Tier 01 ,100673605
1579,Tier 03,100673607
1580,Tier 04,100673608
1581,Tier 05,100673609
1583,Tier 05,100673609
1584,Tier 04,100673608
1585,Tier 02 ,100673606
1586,Tier 02 ,100673606
1587,Tier 05,100673609
1588,Tier 05,100673609
1589,Tier 03,100673607
1590,Tier 01 ,100673605
1591,Tier 05,100673609
1592,Tier 05,100673609
1593,Tier 05,100673609
1594,Tier 04,100673608
1595,Tier 04,100673608
1596,Tier 02 ,100673606
1597,Tier 03,100673607
1598,Tier 04,100673608
1599,Tier 05,100673609
1600,Tier 05,100673609
1601,Tier 04,100673608
1602,Tier 05,100673609
1603,Tier 03,100673607
1604,Tier 05,100673609
1605,Tier 01 ,100673605
1606,Tier 04,100673608
1607,Tier 04,100673608
1608,Tier 05,100673609
1609,Tier 05,100673609
1610,Tier 02 ,100673606
1611,Tier 05,100673609
1612,Tier 04,100673608
1613,Tier 03,100673607
1614,Tier 03,100673607
1615,Tier 05,100673609
1616,Tier 05,100673609
1617,Tier 05,100673609
1618,Tier 05,100673609
1619,Tier 02 ,100673606
1620,Tier 01 ,100673605
1621,Tier 05,100673609
1622,Tier 05,100673609
1623,Tier 02 ,100673606
1624,Tier 05,100673609
1625,Tier 04,100673608
1626,Tier 03,100673607
1627,Tier 05,100673609
1628,Tier 04,100673608
1629,Tier 04,100673608
1630,Tier 05,100673609
1631,Tier 03,100673607
1632,Tier 05,100673609
1633,Tier 04,100673608
1634,Tier 05,100673609
1635,Tier 05,100673609
1636,Tier 05,100673609
1637,Tier 04,100673608
1638,Tier 01 ,100673605
1639,Tier 04,100673608
1640,Tier 03,100673607
1641,Tier 03,100673607
1642,Tier 05,100673609
1643,Tier 05,100673609
1644,Tier 05,100673609
1645,Tier 04,100673608
1646,Tier 04,100673608
1647,Tier 04,100673608
1648,Tier 05,100673609
1649,Tier 05,100673609
1650,Tier 05,100673609
1651,Tier 05,100673609
1652,Tier 04,100673608
1653,Tier 04,100673608
1654,Tier 05,100673609
1655,Tier 05,100673609
1656,Tier 02 ,100673606
1657,Tier 05,100673609
1658,Tier 01 ,100673605
1659,Tier 05,100673609
1660,Tier 05,100673609
1661,Tier 03,100673607
1662,Tier 03,100673607
1663,Tier 03,100673607
1664,Tier 03,100673607
1665,Tier 05,100673609
1666,Tier 03,100673607
1667,Tier 04,100673608
1668,Tier 02 ,100673606
1669,Tier 05,100673609
1670,Tier 05,100673609
1671,Tier 05,100673609
1672,Tier 05,100673609
1673,Tier 02 ,100673606
1674,Tier 03,100673607
1675,Tier 04,100673608
1676,Tier 04,100673608
1677,Tier 03,100673607
1678,Tier 05,100673609
1679,Tier 05,100673609
1680,Tier 02 ,100673606
1681,Tier 05,100673609
1682,Tier 03,100673607
1683,Tier 04,100673608
1684,Tier 04,100673608
1685,Tier 04,100673608
1686,Tier 04,100673608
1687,Tier 03,100673607
1688,Tier 03,100673607
1689,Tier 05,100673609
1690,Tier 05,100673609
1691,Tier 05,100673609
1692,Tier 05,100673609
1693,Tier 05,100673609
1694,Tier 03,100673607
1695,Tier 05,100673609
1696,Tier 05,100673609
1697,Tier 05,100673609
1698,Tier 02 ,100673606
1699,Tier 04,100673608
1700,Tier 05,100673609
1701,Tier 02 ,100673606
1702,Tier 01 ,100673605
1703,Tier 04,100673608
1704,Tier 05,100673609
1705,Tier 02 ,100673606
1707,Tier 04,100673608
1708,Tier 04,100673608
1709,Tier 04,100673608
1710,Tier 01 ,100673605
1711,Tier 02 ,100673606
1712,Tier 01 ,100673605
1713,Tier 05,100673609
1714,Tier 04,100673608
1715,Tier 04,100673608
1716,Tier 05,100673609
1717,Tier 05,100673609
1718,Tier 04,100673608
1719,Tier 05,100673609
1720,Tier 01 ,100673605
1721,Tier 04,100673608
1722,Tier 04,100673608
1723,Tier 05,100673609
1724,Tier 04,100673608
1725,Tier 05,100673609
1726,Tier 03,100673607
1727,Tier 05,100673609
1728,Tier 04,100673608
1729,Tier 03,100673607
1730,Tier 04,100673608
1731,Tier 02 ,100673606
1732,Tier 05,100673609
1733,Tier 05,100673609
1734,Tier 05,100673609
1735,Tier 02 ,100673606
1736,Tier 05,100673609
1737,Tier 02 ,100673606
1738,Tier 04,100673608
1739,Tier 02 ,100673606
1740,Tier 03,100673607
1741,Tier 05,100673609
1742,Tier 03,100673607
1743,Tier 05,100673609
1744,Tier 02 ,100673606
1745,Tier 03,100673607
1746,Tier 04,100673608
1747,Tier 05,100673609
1748,Tier 03,100673607
1749,Tier 04,100673608
1750,Tier 05,100673609
1751,Tier 03,100673607
1752,Tier 05,100673609
1753,Tier 04,100673608
1754,Tier 04,100673608
1755,Tier 05,100673609
1756,Tier 05,100673609
1757,Tier 05,100673609
1758,Tier 04,100673608
1759,Tier 04,100673608
1760,Tier 05,100673609
1761,Tier 03,100673607
1762,Tier 04,100673608
1763,Tier 03,100673607
1764,Tier 05,100673609
1765,Tier 04,100673608
1766,Tier 02 ,100673606
1767,Tier 04,100673608
1768,Tier 04,100673608
1769,Tier 04,100673608
1770,Tier 02 ,100673606
1771,Tier 05,100673609
1772,Tier 05,100673609
1773,Tier 03,100673607
1774,Tier 03,100673607
1775,Tier 05,100673609
1776,Tier 05,100673609
1777,Tier 04,100673608
1778,Tier 05,100673609
1779,Tier 02 ,100673606
1780,Tier 04,100673608
1781,Tier 02 ,100673606
1782,Tier 04,100673608
1783,Tier 05,100673609
1784,Tier 05,100673609
1785,Tier 04,100673608
1786,Tier 04,100673608
1787,Tier 02 ,100673606
1788,Tier 03,100673607
1789,Tier 05,100673609
1790,Tier 04,100673608
1791,Tier 05,100673609
1792,Tier 04,100673608
1793,Tier 05,100673609
1794,Tier 02 ,100673606
1795,Tier 04,100673608
1796,Tier 04,100673608
1797,Tier 03,100673607
1798,Tier 05,100673609
1799,Tier 05,100673609
1800,Tier 03,100673607
1801,Tier 04,100673608
1802,Tier 05,100673609
1803,Tier 03,100673607
1804,Tier 04,100673608
1805,Tier 04,100673608
1806,Tier 02 ,100673606
1807,Tier 03,100673607
1808,Tier 05,100673609
1809,Tier 05,100673609
1810,Tier 05,100673609
1811,Tier 03,100673607
1812,Tier 05,100673609
1813,Tier 02 ,100673606
1814,Tier 03,100673607
1815,Tier 05,100673609
1816,Tier 04,100673608
1817,Tier 05,100673609
1819,Tier 05,100673609
1820,Tier 03,100673607
1821,Tier 03,100673607
1822,Tier 04,100673608
1823,Tier 05,100673609
1825,Tier 04,100673608
1826,Tier 04,100673608
1827,Tier 04,100673608
1828,Tier 05,100673609
1829,Tier 03,100673607
1830,Tier 02 ,100673606
1831,Tier 02 ,100673606
1832,Tier 05,100673609
1833,Tier 03,100673607
1834,Tier 05,100673609
1835,Tier 03,100673607
1836,Tier 03,100673607
1837,Tier 03,100673607
1838,Tier 04,100673608
1839,Tier 05,100673609
1840,Tier 05,100673609
1841,Tier 03,100673607
1842,Tier 03,100673607
1843,Tier 05,100673609
1844,Tier 03,100673607
1845,Tier 03,100673607
1846,Tier 05,100673609
1847,Tier 01 ,100673605
1848,Tier 02 ,100673606
1849,Tier 03,100673607
1850,Tier 04,100673608
1851,Tier 03,100673607
1852,Tier 03,100673607
1853,Tier 05,100673609
1854,Tier 04,100673608
1855,Tier 04,100673608
1856,Tier 03,100673607
