Store,Curr Total Baseline TL HC,Curr Total Budgeted TL HC,New Total Baseline TL HC,New Total Budgeted TL HC,Curr F&C TL Baseline HC,Curr F&C TL Budgeted HC,New F&C Baseline HC,New F&C Budgeted HC,Total Added Budgeted HC
1,26,26,27,27,2,2,3,3,1
2,26,26,28,28,2,2,4,4,2
3,26,26,26,26,2,2,2,2,0
4,26,26,28,28,2,2,4,4,2
5,26,27,26,27,2,2,2,2,0
7,26,26,27,27,2,2,3,3,1
8,25,25,25,25,2,2,2,2,0
9,26,26,27,27,2,2,3,3,1
10,26,26,28,28,2,2,4,4,2
11,35,36,37,37,2,3,4,4,1
12,26,27,27,27,2,3,3,3,0
13,25,25,25,25,2,2,2,2,0
14,26,26,27,27,2,2,3,3,1
15,26,26,28,28,2,2,4,4,2
16,26,26,27,27,2,2,3,3,1
17,26,26,27,27,2,2,3,3,1
18,23,23,23,23,2,2,2,2,0
19,26,26,28,28,2,2,4,4,2
20,25,25,25,25,2,2,2,2,0
21,26,26,28,28,2,2,4,4,2
22,26,27,26,27,2,2,2,2,0
23,26,26,26,26,2,2,2,2,0
24,26,27,26,27,2,2,2,2,0
25,25,25,25,25,2,2,2,2,0
26,26,27,27,27,2,2,3,3,0
27,21,21,21,21,2,2,2,2,0
28,26,27,26,27,2,3,2,3,0
29,26,26,27,27,2,2,3,3,1
30,25,25,25,25,2,2,2,2,0
31,26,26,27,27,2,2,3,3,1
32,19,20,19,20,2,2,2,2,0
33,23,23,23,23,2,2,2,2,0
34,25,25,25,25,2,3,2,3,0
35,26,27,28,28,2,3,4,4,1
36,26,27,28,28,2,2,4,4,1
37,26,26,28,28,2,2,4,4,2
38,21,22,21,22,2,2,2,2,0
39,23,23,23,23,2,2,2,2,0
40,26,26,26,26,2,2,2,2,0
41,28,28,30,30,2,2,4,4,2
42,21,21,21,21,2,2,2,2,0
43,26,26,26,26,2,3,2,3,0
44,12,12,12,12,2,2,2,2,0
45,26,27,26,27,2,2,2,2,0
46,26,26,27,27,2,2,3,3,1
47,26,26,26,26,2,2,2,2,0
48,25,25,25,25,2,3,2,3,0
49,21,21,21,21,2,2,2,2,0
50,21,21,21,21,2,2,2,2,0
51,21,21,21,21,2,2,2,2,0
52,26,26,26,26,2,2,2,2,0
54,25,26,25,26,2,2,2,2,0
55,21,21,21,21,2,2,2,2,0
56,21,21,21,21,2,2,2,2,0
57,19,19,19,19,2,2,2,2,0
58,28,28,30,30,2,2,4,4,2
59,26,26,27,27,2,2,3,3,1
60,26,26,27,27,2,2,3,3,1
61,26,26,28,28,2,2,4,4,2
62,25,25,25,25,2,2,2,2,0
63,23,23,23,23,2,2,2,2,0
64,23,23,23,23,2,2,2,2,0
65,25,25,25,25,2,2,2,2,0
66,25,25,25,25,2,2,2,2,0
67,25,25,25,25,2,2,2,2,0
68,23,23,23,23,2,2,2,2,0
69,28,28,30,30,2,2,4,4,2
70,26,27,26,27,2,2,2,2,0
71,25,25,25,25,2,2,2,2,0
72,25,26,25,26,2,3,2,3,0
73,25,26,25,26,2,2,2,2,0
74,19,19,19,19,2,2,2,2,0
75,26,26,26,26,2,2,2,2,0
76,25,25,25,25,2,2,2,2,0
77,23,23,23,23,2,2,2,2,0
78,25,25,25,25,2,2,2,2,0
79,26,26,26,26,2,2,2,2,0
80,25,25,25,25,2,2,2,2,0
81,21,21,21,21,2,2,2,2,0
82,21,21,21,21,2,2,2,2,0
83,23,23,23,23,2,2,2,2,0
85,26,26,27,27,2,2,3,3,1
86,26,26,26,26,2,2,2,2,0
87,26,27,26,27,2,2,2,2,0
88,23,23,23,23,2,2,2,2,0
89,26,26,26,26,2,2,2,2,0
90,26,26,26,26,2,2,2,2,0
91,23,23,23,23,2,2,2,2,0
92,21,21,21,21,2,2,2,2,0
93,26,26,26,26,2,2,2,2,0
94,26,27,26,27,2,2,2,2,0
95,26,26,27,27,2,2,3,3,1
96,26,26,26,26,2,2,2,2,0
97,21,21,21,21,2,2,2,2,0
98,23,24,23,24,2,2,2,2,0
99,21,21,21,21,2,2,2,2,0
100,28,29,30,30,2,2,4,4,1
101,26,26,28,28,2,2,4,4,2
102,21,21,21,21,2,2,2,2,0
103,28,29,30,30,2,2,4,4,1
104,25,25,25,25,2,2,2,2,0
105,26,27,27,27,2,2,3,3,0
106,19,19,19,19,2,2,2,2,0
