Stores,Dept, July End Inv 
1,80," 20,128 "
1,93," 50,896 "
1,94," 32,288 "
1,98," 20,688 "
2,80," 9,869 "
2,93," 52,683 "
2,94," 25,417 "
2,98," 26,854 "
3,80," 12,807 "
3,93," 31,468 "
3,94," 18,792 "
3,98," 20,208 "
4,80," 18,945 "
4,93," 53,982 "
4,94," 6,422 "
4,98," 29,666 "
5,80," 23,428 "
5,93," 55,276 "
5,94," 19,512 "
5,98," 21,988 "
7,80," 17,899 "
7,93," 59,420 "
7,94," 23,535 "
7,98," 19,363 "
8,80, (18)
8,93," 45,548 "
8,94," 14,785 "
8,98," 9,278 "
9,80," 20,718 "
9,93," 67,094 "
9,94," 25,743 "
9,98," 19,369 "
10,80," 25,920 "
10,93," 79,705 "
10,94," 20,119 "
10,98," 30,660 "
11,80," 23,927 "
11,93," 67,334 "
11,94," 25,816 "
11,98," 35,772 "
12,80," 12,489 "
12,93," (12,578)"
12,94," 13,474 "
12,98," 21,621 "
13,80," 12,436 "
13,93," 38,887 "
13,94," 13,849 "
13,98," 20,669 "
14,80," 10,961 "
14,93," 39,533 "
14,94," 18,335 "
14,98," 26,061 "
15,80," 10,962 "
15,93," 45,306 "
15,94," 14,260 "
15,98," 23,973 "
16,80," 7,049 "
16,93," 42,096 "
16,94," 19,044 "
16,98," 20,703 "
17,80," 17,233 "
17,93," 52,351 "
17,94," 8,603 "
17,98," 28,258 "
18,80," 10,600 "
18,93," 42,359 "
18,94," 14,356 "
18,98," 21,022 "
19,80," 30,349 "
19,93," 59,717 "
19,94," 19,721 "
19,98," 29,036 "
20,80," 12,235 "
20,93," 45,858 "
20,94," 22,285 "
20,98," 15,180 "
21,80," 11,990 "
21,93," 54,846 "
21,94," 28,511 "
21,98," 28,337 "
22,80," 9,633 "
22,93," 48,284 "
22,94," 15,381 "
22,98," 18,874 "
23,80," 9,903 "
23,93," 63,843 "
23,94," 23,212 "
23,98," 21,361 "
24,80," 9,645 "
24,93," 55,781 "
24,94," 17,737 "
24,98," 20,594 "
25,80," 12,115 "
25,93," 64,358 "
25,94," 23,203 "
25,98," 20,670 "
26,80," 6,375 "
26,93," 45,740 "
26,94," 24,096 "
26,98," 19,561 "
27,80," 11,296 "
27,93," 41,877 "
27,94," 19,537 "
27,98," 6,704 "
28,80," 16,795 "
28,93," 54,404 "
28,94," 24,086 "
28,98," 21,862 "
29,80," 16,813 "
29,93," 54,869 "
29,94," 32,981 "
29,98," 23,480 "
30,80," 13,815 "
30,93," 37,497 "
30,94," 12,426 "
30,98," 20,876 "
31,80," 9,219 "
31,93," 60,655 "
31,94," 28,619 "
31,98," 17,671 "
33,80," 11,431 "
33,93," 51,424 "
33,94," 18,910 "
33,98," 6,490 "
34,80," 22,864 "
34,93," 36,274 "
34,94," 13,859 "
34,98," 16,521 "
35,80," 12,869 "
35,93," 48,602 "
35,94," 33,396 "
35,98," 18,457 "
36,80," 15,818 "
36,93," 38,512 "
36,94," 24,181 "
36,98," 19,628 "
37,80," 14,121 "
37,93," 60,408 "
37,94," 27,413 "
37,98," 26,024 "
38,80," 12,494 "
38,93," 42,138 "
38,94," 14,832 "
38,98," 7,134 "
39,80," 12,545 "
39,93," 36,963 "
39,94," 19,876 "
39,98," 17,004 "
40,80," 6,386 "
40,93," 38,784 "
40,94," 25,865 "
40,98," 21,702 "
41,80," 10,769 "
41,93," 53,943 "
41,94," 15,178 "
41,98," 18,703 "
42,80," 9,663 "
42,93," 43,092 "
42,94," 13,675 "
42,98," 14,237 "
43,80," 17,981 "
43,93," 41,044 "
43,94," 23,387 "
43,98," 20,491 "
45,80," 16,001 "
45,93," 45,843 "
45,94," 20,090 "
45,98," 14,373 "
46,80," 9,029 "
46,93," 41,662 "
46,94," 20,759 "
46,98," 20,681 "
47,80," 13,398 "
47,93," 53,992 "
47,94," 23,717 "
47,98," 15,077 "
48,80," 9,225 "
48,93," 41,619 "
48,94," 13,148 "
48,98," 22,560 "
49,80," 6,994 "
49,93," 36,463 "
49,94," 11,791 "
49,98," 5,728 "
50,80," 3,666 "
50,93," 39,661 "
50,94," 11,503 "
50,98," 7,944 "
51,80," 6,505 "
51,93," 26,870 "
51,94," 15,215 "
51,98," 8,035 "
52,80," 16,849 "
52,93," 65,908 "
52,94," 26,830 "
52,98," 19,622 "
54,80," 11,189 "
54,93," 40,561 "
54,94," 20,028 "
54,98," 30,110 "
55,80," 7,612 "
55,93," 29,622 "
55,94," 13,314 "
55,98," 15,911 "
56,80," 8,141 "
56,93," 29,457 "
56,94," 13,419 "
56,98," 8,571 "
58,80," 15,992 "
58,93," 63,388 "
58,94," 22,514 "
58,98," 24,039 "
59,80," 14,938 "
59,93," 59,969 "
59,94," 17,872 "
59,98," 20,851 "
60,80," 18,037 "
60,93," 42,598 "
60,94," 18,979 "
60,98," 21,164 "
61,80," 16,431 "
61,93," 59,811 "
61,94," 26,472 "
61,98," 19,989 "
62,80," 22,509 "
62,93," 38,173 "
62,94," 11,162 "
62,98," 18,646 "
