Store Nbr,City,State,Return or Store Inventory?,Quantity,Date (Only for Customer Returns),Item Nbr (Only for Customer Returns),UPC (Only for Customer Returns)
3199,PLANO,TX,Customer Return,2,10/30/2021,585998716,84140411421
1214,COLBY,KS,Customer Return,1 ,11/5/2021,585996968,84140411420
1214,COLBY,KS,Customer Return,1 ,11/5/2021,586001512,84140411424
4244,PARK RAPIDS,MN,Customer Return,1,11/7/2021,585998716,84140411421
382,OTTAWA,KS,Customer Return,1,11/9/2021,585998716,84140411421
1214,COLBY,KS,Customer Return,1,11/10/2021,586001512,84140411424
2653,PORTALES,NM,Customer Return,1,11/16/2021,586001512,84140411424
1504,Dayton,OH,Customer Return,1,11/27/2021,,84140411423
1458,FORT OGLETHORPE,GA,Customer Return,2,12/14/2021,586854226,84140411422
1979,CLEARLAKE,CA,Customer Return,1,12/16/2021,586854223,84140411420
3392,BEDFORD,TX,Customer Return,1,12/17/2021,585996969,84140411423
1215,CALHOUN,GA,Customer Return,1,12/18/2021,585996969,84140411423
1215,CALHOUN,GA,Customer Return,1,12/18/2021,586001512,84140411424
947,SHERMAN,TX,Customer Return,1,12/30/2021,585996970,84140411422
2338,TRAVERSE CITY,MI,Customer Return,1,1/4/2022,585999818,84140411425
2628,LEXINGTON,KY,Customer Return,1,1/5/2022,586001512,84140411424
823,PONCA CITY,OK,Customer Return,1,1/10/2022,585998716,84140411421
941,VALRICO,FL,Customer Return,1,1/13/2022,585998716,84140411421
1447,SUPERIOR,WI,Customer Return,2,1/14/2022,585996969,84140411423
1341,EVANSVILLE,IN,Customer Return,1,1/20/2022,585998716,84140411421
1438,CEDAR CITY,UT,Customer Return,1,1/22/2022,585998716,84140411421
1438,CEDAR CITY,UT,Customer Return,1,1/22/2022,585999818,84140411425
1463,Xenia,OH,Customer Return,1,2/2/2022,,84140411425
1396,Baraboo,WI,Customer Return,1,2/2/2022,,84140411425
1215,Calhoun,GA,Customer Return,1,2/2/2022,,84140411425
1148,Wichita Falls,TX,Customer Return,1,2/2/2022,,84140411421
945,Lubbock,TX,Customer Return,1,2/2/2022,,84140411421
511,Sumter,SC,Customer Return,1,2/2/2022,,84140411425
3460,Peoria,IL,Customer Return,1,2/3/2022,,84140411420
