Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
145,,4533,15939,Low,210,15,368,5,51,5.46
145,,6807,17229,Low,227,16,521,7,45,7.04
146,Mkt Avg,,16508,,217,15,349,5,62,6.57
146,,64,9659,Low,127,5,171,2,60,4.62
146,,93,16060,Low,211,13,355,5,57,9.72
146,,97,9293,Low,122,7,173,2,81,7.16
146,,104,15140,Low,199,15,334,4,83,5.46
146,,106,6376,Low,84,4,115,2,40,4.9
146,,107,14245,Low,187,15,296,4,79,4.78
146,,120,14523,Low,191,14,295,4,57,10.24
146,,177,23265,Medium,306,17,466,6,57,5.99
146,,335,29633,High,390,28,664,9,56,6.26
146,,410,23247,Medium,306,23,521,7,64,4.13
146,,675,16016,Low,211,15,315,4,38,8
146,,677,20643,Medium,272,20,488,6,74,7.61
147,Mkt Avg,,14042,,185,11,298,4,60,5.67
147,,161,11149,Low,147,9,224,3,55,7.74
147,,218,8990,Low,118,7,234,3,-23,8.5
147,,238,14238,Low,187,8,250,3,94,4.16
147,,268,16669,Low,219,13,351,5,96,5.87
147,,393,17711,Medium,233,13,374,5,71,6.49
147,,466,9374,Low,123,5,159,2,58,3.53
147,,683,21751,Medium,286,19,479,6,49,4.95
147,,684,20045,Medium,264,16,502,7,79,4.83
147,,738,10781,Low,142,8,228,3,53,3.83
147,,1115,9716,Low,128,7,181,2,63,6.76
149,Mkt Avg,,19969,,263,20,447,6,57,6.44
149,,264,28230,High,371,27,742,10,60,5.74
149,,304,19848,Medium,261,18,467,6,61,4.32
149,,390,8737,Low,115,5,152,2,53,4.75
149,,673,28986,High,381,32,640,8,53,7.54
149,,695,20038,Medium,264,16,640,8,44,9.74
149,,1075,25347,Medium,334,22,539,7,68,5.55
149,,1226,10973,Low,144,8,227,3,35,7.58
149,,3137,12881,Low,169,12,318,4,71,4.15
149,,3495,29844,High,393,39,781,10,45,8.65
149,,4435,15546,Low,205,11,8,0,73,8
149,,4483,19230,Medium,253,24,405,5,65,4.85
151,Mkt Avg,,25552,,336,26,590,8,60,6.96
151,,192,30296,High,399,28,819,11,57,6.96
151,,406,24809,Medium,326,27,696,9,45,7.36
151,,416,24126,Medium,317,26,464,6,78,6.39
151,,656,18335,Medium,241,13,374,5,77,10.21
151,,667,20251,Medium,266,18,448,6,45,6.26
151,,682,43501,High,572,39,941,12,69,5.45
151,,735,18129,Medium,239,21,428,6,72,5.23
151,,737,12315,Low,162,9,256,3,52,5.17
151,,2757,30512,High,401,32,659,9,36,9.18
151,,3017,39052,High,514,56,1082,14,76,6.27
151,,5057,19749,Medium,260,18,322,4,50,8.14
152,Mkt Avg,,20616,,271,21,461,6,60,7.46
152,,308,16961,Low,223,13,351,5,58,7.23
152,,568,7895,Low,104,6,193,3,27,12.86
152,,587,14283,Low,188,12,319,4,56,4.41
152,,657,27436,High,361,32,710,9,75,5.28
152,,668,21395,Medium,282,22,422,6,75,4.8
152,,671,25561,Medium,336,25,279,4,33,12.14
152,,674,32373,High,426,31,753,10,45,6.52
152,,879,13435,Low,177,13,324,4,76,6.32
152,,1376,35603,High,468,46,902,12,75,6.47
152,,4414,9916,Low,130,7,202,3,67,4.5
152,,5175,21922,Medium,288,30,613,8,69,11.58
153,Mkt Avg,,25136,,331,28,679,9,46,9.12
153,,272,57507,High,757,90,2072,27,58,8.46
153,,659,24161,Medium,318,28,672,9,57,7.37
153,,688,23513,Medium,309,20,476,6,56,8.93
153,,710,24720,Medium,325,28,688,9,25,9.21
153,,3717,15553,Low,205,8,358,5,19,14.66
153,,4482,31313,High,412,37,1033,14,47,6.46
153,,5058,17558,Low,231,11,174,2,41,10.95
153,,5616,14196,Low,187,18,172,2,60,8.89
153,,7020,17701,Medium,233,13,470,6,48,7.17
154,Mkt Avg,,19601,,258,20,577,8,51,7.19
154,,1967,23018,Medium,303,28,885,12,61,7.32
154,,1984,15252,Low,201,12,327,4,59,4.7
154,,2174,30771,High,405,28,955,13,60,6.06
154,,2228,18661,Medium,246,19,509,7,68,8.16
154,,2289,12553,Low,165,12,371,5,45,8.49
154,,2386,15967,Low,210,13,382,5,47,7.87
154,,2683,15638,Low,206,18,587,8,48,9.88
154,,2797,14840,Low,195,16,352,5,36,4.94
154,,2901,14628,Low,192,16,307,4,49,5.67
154,,5278,34682,High,456,39,1098,14,42,8.84
156,Mkt Avg,,21907,,288,24,634,8,55,6.65
156,,1918,33221,High,437,41,1097,14,62,5.36
156,,2012,20777,Medium,273,21,681,9,74,5.09
156,,2118,17470,Medium,230,18,489,6,41,9.19
156,,2155,17581,Low,231,16,398,5,44,5.45
156,,2158,30917,High,407,46,1180,16,48,9.78
156,,2267,16956,Medium,223,12,435,6,49,6.37
156,,2329,9383,Low,123,7,218,3,65,5.8
156,,2629,22183,Medium,292,21,508,7,59,4.09
156,,2964,23882,Medium,314,24,749,10,56,6.37
156,,3409,19947,Medium,262,25,451,6,53,6.51
156,,4387,28657,High,377,28,768,10,55,9.13
157,Mkt Avg,,27396,,360,34,1038,14,53,8.46
157,,1762,30205,High,397,32,790,10,65,6.71
157,,2139,20340,Medium,268,17,675,9,56,13.51
157,,2180,37604,High,495,51,1487,20,55,7.59
157,,2222,26847,High,353,30,974,13,45,10.86
157,,2640,20455,Medium,269,20,699,9,51,9.99
157,,2660,32609,High,429,46,1529,20,59,6.38
157,,2903,23383,Medium,308,30,916,12,38,6.13
157,,3114,33685,High,443,55,1790,24,46,7.65
157,,3535,21432,Medium,282,29,480,6,59,7.3
159,Mkt Avg,,24677,,325,33,1001,13,55,8.19
159,,1970,18616,Medium,245,22,666,9,62,6.62
159,,2103,34323,High,452,53,1730,23,72,8.07
159,,2122,24871,Medium,327,23,789,10,50,8.69
159,,2128,13534,Low,178,23,496,7,68,5.37
159,,2227,22121,Medium,291,23,616,8,62,7.31
159,,2336,30208,High,397,39,1108,15,40,8.1
159,,2341,30500,High,401,43,1501,20,44,7.97
159,,2902,29111,High,383,57,1578,21,28,12.82
159,,2904,18836,Medium,248,15,531,7,64,10.47
159,,3200,24648,Medium,324,33,997,13,64,6.51
160,Mkt Avg,,24700,,325,27,779,10,59,6.96
160,,1906,20725,Medium,273,23,627,8,76,5.84
160,,2021,27054,High,356,32,920,12,64,6.98
160,,2095,20420,Medium,269,20,586,8,52,7.05
160,,2157,28264,High,372,33,876,12,64,4.45
160,,2184,29865,High,393,35,972,13,68,7.31
160,,2366,33970,High,447,43,1345,18,51,9.36
160,,2953,23251,Medium,306,29,692,9,54,6.27
160,,3560,27915,High,367,23,676,9,55,6.53
160,,3561,17107,Medium,225,15,556,7,45,7.54
160,,5448,18429,Medium,242,20,544,7,63,8.29
161,Mkt Avg,,23910,,315,26,716,9,62,6.51
161,,1873,27508,High,362,30,840,11,69,6.77
161,,1964,19136,Medium,252,20,538,7,61,4.78
161,,2225,24906,Medium,328,25,820,11,63,8.32
161,,2261,21648,Medium,285,28,717,9,70,6.05
161,,2283,27082,High,356,37,760,10,66,5.99
161,,2373,20083,Medium,264,19,610,8,61,6.56
161,,2747,32149,High,423,36,1122,15,68,5.81
161,,2885,13605,Low,179,13,317,4,49,6.7
161,,3301,29070,High,382,25,720,9,48,7.62
162,Mkt Avg,,21577,,284,24,655,9,61,6.89
162,,1891,33350,High,439,44,1311,17,58,8.49
162,,1980,16039,Low,211,12,376,5,69,5.79
162,,2022,20472,Medium,269,26,661,9,52,5.89
162,,2170,18483,Medium,243,18,441,6,53,5.82
162,,2200,19913,Medium,262,17,483,6,59,6.74
162,,2282,29240,High,385,39,1125,15,64,8.32
162,,2331,22541,Medium,297,23,635,8,76,7.68
162,,2854,21368,Medium,281,22,550,7,53,6.73
162,,2898,20184,Medium,266,21,581,8,62,5.51
162,,5777,14179,Low,187,15,387,5,65,7.91
163,Mkt Avg,,25374,,334,28,715,9,54,7.84
163,,2232,25201,Medium,332,25,474,6,45,5.59
163,,2299,27009,High,355,33,771,10,61,11.68
163,,2371,36603,High,482,47,1141,15,73,5.41
163,,2719,29165,High,384,35,881,12,60,5.61
163,,2899,21284,Medium,280,25,642,8,42,10.24
163,,2900,20154,Medium,265,27,734,10,42,8.89
163,,2965,26553,Medium,349,33,847,11,55,8.03
163,,3545,20059,Medium,264,20,691,9,55,6
163,,5095,24615,Medium,324,24,591,8,49,8.27
163,,5439,23097,Medium,304,14,375,5,60,8.65
164,Mkt Avg,,31798,,418,45,1254,16,58,8.25
164,,1810,46686,High,614,70,1925,25,73,6.95
164,,1959,39477,High,519,52,1453,19,43,9.72
164,,2104,32548,High,428,42,1072,14,35,13.91
164,,2531,45526,High,599,65,2024,27,58,7.12
164,,2547,16461,Low,217,19,387,5,59,7.44
164,,2637,34120,High,449,51,1331,18,84,6.3
164,,2905,29523,High,388,56,1617,21,41,11.02
164,,4570,10043,Low,132,8,221,3,76,3.54
165,Mkt Avg,,22352,,294,25,698,9,59,7.3
165,,1742,35964,High,473,51,1329,17,66,8.38
165,,2108,22960,Medium,302,26,754,10,49,6.79
165,,2109,20874,Medium,275,22,594,8,59,4.85
165,,2254,12145,Low,160,9,273,4,50,7.55
165,,3212,27762,High,365,27,976,13,61,9.66
165,,3337,22740,Medium,299,24,793,10,73,6.69
165,,3339,19980,Medium,263,17,580,8,79,8.18
165,,3774,20179,Medium,266,26,529,7,54,6.39
165,,5384,13733,Low,181,11,284,4,42,6.19
165,,5476,27180,High,358,35,867,11,56,8.34
166,Mkt Avg,,20214,,266,23,759,10,58,8.87
166,,2141,27031,High,356,28,1004,13,43,11.28
166,,2830,18239,Medium,240,20,819,11,49,8.5
166,,3252,20002,Medium,263,23,703,9,74,6.64
166,,5103,18239,Medium,240,17,561,7,57,7.15
166,,5229,17015,Medium,224,17,653,9,56,10.56
166,,5495,18002,Medium,237,19,7,0,81,9.11
166,,5881,25010,Medium,329,40,1730,23,57,6.77
166,,5891,18177,Medium,239,18,594,8,50,10.92
167,Mkt Avg,,23297,,307,32,827,11,61,6.24
167,,2167,29423,High,387,52,1657,22,71,7.09
167,,2236,25014,Medium,329,26,679,9,75,4.37
167,,2263,24136,Medium,318,29,710,9,54,7.2
167,,2945,19207,Medium,253,25,563,7,69,5.29
167,,3475,27715,High,365,35,1029,14,55,8.1
167,,3501,12062,Low,159,16,384,5,48,4.73
167,,3541,26481,High,348,38,689,9,53,6.67
167,,4687,23482,Medium,309,43,1221,16,62,6.51
167,,5239,22153,Medium,291,25,514,7,66,6.18
168,Mkt Avg,,22590,,297,30,714,9,56,7.6
168,,1670,21661,Medium,285,28,760,10,58,5.85
168,,1777,16453,Low,216,23,369,5,53,9.92
168,,2145,28387,High,374,35,1047,14,63,7.41
168,,2252,32541,High,428,53,1200,16,69,5.84
168,,2614,22344,Medium,294,20,564,7,35,9.5
168,,2641,30700,High,404,44,1114,15,48,9.54
168,,3563,19899,Medium,262,24,718,9,67,6.14
168,,3810,15991,Low,210,19,288,4,62,5.03
168,,4612,15336,Low,202,20,362,5,49,9.16
170,Mkt Avg,,28899,,380,41,1108,15,57,8.1
170,,2068,33155,High,436,42,1206,16,64,10.01
170,,2096,16553,Low,218,22,685,9,55,7.56
170,,2445,34408,High,453,54,1342,18,51,7.54
170,,2446,31324,High,412,45,882,12,52,8.19
170,,2650,23438,Medium,308,23,925,12,72,7.49
170,,3564,32959,High,434,47,1255,17,50,8.16
170,,5130,28256,High,372,35,1121,15,63,9.64
170,,5131,30645,High,403,53,1312,17,53,7.33
170,,5649,29354,High,386,46,1242,16,51,6.98
171,Mkt Avg,,39515,,520,55,1586,21,59,7.68
171,,2156,23331,Medium,307,23,645,8,52,8.49
171,,2286,49771,High,655,65,1952,26,56,6.5
171,,2906,27036,High,356,31,1047,14,67,7.41
171,,2915,42557,High,560,59,1560,21,64,6.3
171,,2917,36766,High,484,44,1407,19,52,8.31
171,,5202,54230,High,714,98,2790,37,53,8.63
171,,8331,42915,High,565,62,1699,22,72,8.12
172,Mkt Avg,,48920,,644,93,3131,41,55,9.95
172,,2583,26755,High,352,37,814,11,50,7.99
172,,2916,38825,High,511,70,2307,30,57,9.45
172,,3420,59394,High,782,132,4475,59,50,8.74
172,,5293,66109,High,870,121,5265,69,60,12.65
172,,5295,53515,High,704,105,2796,37,57,10.9
173,Mkt Avg,,28327,,373,35,955,13,57,7.54
173,,2144,21072,Medium,277,20,669,9,63,5.05
173,,2163,34596,High,455,42,1334,18,60,5.99
173,,2284,26977,High,355,42,837,11,49,6.54
173,,2585,30198,High,397,32,1148,15,56,8.34
173,,2897,23867,Medium,314,33,826,11,52,8.98
173,,2954,39230,High,516,59,1423,19,58,8.79
173,,3543,37345,High,491,52,1565,21,58,7.06
173,,3546,20932,Medium,275,26,549,7,59,6.77
173,,3548,24920,Medium,328,24,746,10,65,8.17
173,,3803,22242,Medium,293,20,620,8,67,8.28
173,,5294,30223,High,398,40,789,10,36,8.96
174,Mkt Avg,,25142,,331,30,799,11,65,6.31
174,,2003,34192,High,450,54,1563,21,61,6.71
174,,2090,20690,Medium,272,23,551,7,65,4.81
174,,2294,30875,High,406,43,1017,13,70,5.39
174,,2365,18226,Medium,240,18,618,8,52,6.82
174,,2368,27790,High,366,31,971,13,65,7.24
174,,2497,28184,High,371,30,782,10,64,8.05
174,,2503,24333,Medium,320,26,759,10,81,4.49
174,,2582,19802,Medium,261,17,481,6,84,5.29
174,,2604,24879,Medium,327,32,680,9,53,6.41
174,,3291,22452,Medium,295,26,567,7,52,7.92
175,Mkt Avg,,36882,,485,56,1605,21,57,8.11
175,,2633,32398,High,426,47,1335,18,56,7.05
175,,2651,36913,High,486,55,1722,23,62,8.09
175,,2825,35291,High,464,49,1290,17,63,7.17
175,,3078,31358,High,413,44,1263,17,58,7.11
175,,3469,45701,High,601,58,1979,26,56,7.05
175,,4153,42654,High,561,74,1583,21,56,8.61
175,,5201,37638,High,495,74,1978,26,37,9.99
175,,5281,33100,High,436,48,1687,22,69,9.83
176,Mkt Avg,,31101,,409,48,1400,18,55,8.19
176,,3292,36312,High,478,60,1749,23,57,10.88
176,,3598,29025,High,382,44,1278,17,50,6.43
176,,3912,35411,High,466,47,988,13,64,5.21
176,,5111,30997,High,408,49,1487,20,61,8.23
176,,5178,27241,High,358,37,870,11,51,9.65
176,,5447,36104,High,475,53,1741,23,55,8.6
176,,5867,22616,Medium,298,42,1689,22,50,8.34
178,Mkt Avg,,31227,,411,43,1207,16,58,7.71
178,,1844,35423,High,466,38,1578,21,53,8.55
178,,1921,27002,High,355,32,897,12,78,5.33
178,,1977,38565,High,507,61,1735,23,57,9.4
178,,2195,33656,High,443,68,1470,19,46,7.54
178,,2518,31095,High,409,45,1410,19,57,6.01
178,,3236,37002,High,487,52,1607,21,60,7.65
178,,3266,31920,High,420,46,1254,17,55,7.46
178,,3830,21414,Medium,282,21,500,7,52,5.72
178,,5012,22647,Medium,298,26,388,5,55,11.18
178,,5142,34361,High,452,46,1433,19,59,9.76
178,,5414,30418,High,400,37,1010,13,70,6.19
179,Mkt Avg,,14172,,186,15,400,5,61,5.97
179,,1797,15158,Low,199,15,418,6,52,6.74
179,,1856,23558,Medium,310,31,922,12,55,8.52
179,,1919,5844,Low,77,4,153,2,56,6.65
179,,1924,17334,Low,228,19,484,6,42,6.73
179,,1932,16076,Low,212,15,350,5,50,6.47
179,,1974,8713,Low,115,7,202,3,73,3.88
179,,2013,19914,Medium,262,19,586,8,65,9.04
179,,2047,12442,Low,164,11,303,4,68,4.13
179,,2143,10844,Low,143,11,255,3,81,3.66
179,,2178,7298,Low,96,6,179,2,59,4.47
179,,5076,18706,Medium,246,29,548,7,66,5.42
180,Mkt Avg,,15101,,199,16,430,6,56,7
180,,1866,11049,Low,145,9,280,4,69,4.8
180,,1868,29570,High,389,29,899,12,43,8.88
180,,1939,18470,Medium,243,27,505,7,57,5.67
180,,2046,20549,Medium,270,23,781,10,57,6.19
180,,2140,13717,Low,180,13,313,4,50,6.99
180,,2183,11329,Low,149,12,271,4,41,10.37
180,,2202,20518,Medium,270,25,623,8,54,9.08
180,,2634,8704,Low,115,6,186,2,40,5.6
180,,2681,10217,Low,134,9,283,4,86,4.88
180,,3269,6892,Low,91,4,156,2,62,7.5
181,Mkt Avg,,13033,,171,15,404,5,52,7.03
181,,1975,15265,Low,201,18,373,5,42,6.12
181,,2138,13316,Low,175,18,431,6,73,7.15
181,,2224,18865,Medium,248,27,882,12,54,11.58
181,,2332,14880,Low,196,16,525,7,54,8.54
181,,2369,15801,Low,208,20,408,5,71,7.18
181,,2530,12606,Low,166,10,406,5,55,7.84
181,,2639,12644,Low,166,13,299,4,54,4.52
181,,2682,10909,Low,144,13,466,6,40,6.71
181,,2758,11120,Low,146,13,243,3,30,7.73
181,,4156,9976,Low,131,10,251,3,50,5.76
181,,4389,7983,Low,105,8,161,2,55,4.21
183,Mkt Avg,,20700,,272,23,612,8,59,7.17
183,,1698,24897,Medium,328,31,766,10,59,6.29
183,,1749,22667,Medium,298,24,537,7,53,4.71
183,,1788,28647,High,377,41,1106,15,54,12.07
183,,1954,15226,Low,200,15,378,5,54,6.92
183,,2055,26014,High,342,26,733,10,61,7.95
183,,2130,15113,Low,199,16,307,4,64,4.38
183,,2153,20440,Medium,269,23,658,9,65,6.3
183,,2330,23128,Medium,304,23,691,9,56,4.85
183,,2398,15284,Low,201,16,424,6,68,5.4
183,,2659,15584,Low,205,17,523,7,58,12.87
184,Mkt Avg,,22210,,292,24,681,9,55,7.47
184,,1753,25383,Medium,334,24,676,9,67,6.58
184,,1785,29426,High,387,36,990,13,48,6.19
184,,1796,27198,High,358,43,940,12,51,10.23
184,,1907,9474,Low,125,7,238,3,30,5.41
184,,1930,25300,Medium,333,23,744,10,56,6.99
184,,2057,10466,Low,138,6,204,3,83,8.09
184,,2142,31671,High,417,40,966,13,55,6.85
184,,2399,28721,High,378,30,974,13,54,6.17
184,,3491,18371,Medium,242,16,613,8,43,12.12
184,,3549,16088,Low,212,15,461,6,61,6.1
187,Mkt Avg,,15336,,202,18,492,6,57,5.47
187,,1871,23694,Medium,312,32,756,10,46,5.2
187,,1946,14795,Low,195,14,376,5,55,2.97
187,,1994,21844,Medium,287,29,949,12,58,5.98
187,,2092,12418,Low,163,13,316,4,65,4.55
187,,2116,24453,Medium,322,29,738,10,62,6.31
187,,2424,6827,Low,90,6,213,3,60,4.61
187,,3329,13854,Low,182,17,456,6,63,6.71
187,,3334,11758,Low,155,10,364,5,57,6.19
187,,4403,15440,Low,203,19,552,7,70,5.74
187,,5497,15366,Low,202,22,400,5,45,7.72
187,,5498,8250,Low,109,9,287,4,43,4.25
188,Mkt Avg,,24637,,324,33,847,11,55,6.82
188,,1940,24972,Medium,329,37,965,13,70,5.63
188,,1997,33716,High,444,49,1082,14,50,7.53
188,,2056,28620,High,377,43,1041,14,56,6.65
188,,2097,12722,Low,167,13,335,4,52,5.24
188,,2152,31718,High,417,41,1145,15,58,6.05
188,,2351,15609,Low,205,17,440,6,38,5.99
188,,2370,16331,Low,215,17,475,6,48,7.49
188,,2504,26311,High,346,36,975,13,52,7.99
188,,2844,34298,High,451,48,1279,17,67,7.79
188,,3583,22072,Medium,290,26,735,10,60,7.86
189,Mkt Avg,,20310,,267,24,596,8,58,6.33
189,,1677,27005,High,355,41,698,9,45,7.97
189,,1806,17158,Low,226,18,466,6,67,4.7
189,,2093,20451,Medium,269,21,611,8,53,7.46
189,,2146,17350,Low,228,18,482,6,56,6.23
189,,2234,18480,Medium,243,19,593,8,60,6.06
189,,2264,22544,Medium,297,23,658,9,69,6.87
189,,2285,18856,Medium,248,23,563,7,63,4.57
189,,2444,16561,Low,218,21,579,8,55,6.47
189,,2874,24383,Medium,321,31,712,9,53,6.63
190,Mkt Avg,,19442,,256,25,637,8,60,6.82
190,,1781,18515,Medium,244,26,539,7,34,11.37
190,,1835,33844,High,445,51,1222,16,65,5.44
190,,1976,26913,High,354,31,873,11,57,6.34
190,,2120,13568,Low,179,14,383,5,73,7.22
190,,2135,14807,Low,195,20,460,6,62,4.73
190,,2262,21199,Medium,279,24,794,10,73,4.92
190,,2992,19229,Medium,253,24,590,8,60,6.82
190,,3221,9302,Low,122,10,212,3,69,7.33
190,,5240,17083,Low,225,27,618,8,65,6.96
190,,5732,19956,Medium,263,25,680,9,45,7.04
191,Mkt Avg,,20864,,275,27,620,8,61,6.39
191,,1705,14619,Low,192,15,266,4,63,6.89
191,,1830,21136,Medium,278,26,617,8,66,8.14
191,,1831,26708,High,351,41,952,13,63,7.47
191,,1926,15304,Low,201,18,355,5,81,4.4
191,,2166,27074,High,356,38,950,13,51,7.86
191,,2581,28522,High,375,33,941,12,53,6.78
191,,2911,13643,Low,180,18,385,5,59,4.85
191,,3332,13949,Low,184,15,283,4,51,4.74
191,,5242,26822,High,353,38,835,11,64,6.33
192,Mkt Avg,,21479,,283,25,682,9,62,6.97
192,,1610,27069,High,356,35,1030,14,68,6.39
192,,1619,31774,High,418,38,1030,14,58,10.73
192,,1673,22459,Medium,296,28,579,8,70,7.06
192,,1731,12154,Low,160,9,326,4,48,5.38
192,,1744,31971,High,421,44,1179,16,65,6.47
192,,1813,11904,Low,157,11,329,4,71,7.11
192,,2785,20567,Medium,271,33,887,12,61,6.14
192,,3280,18414,Medium,242,13,352,5,57,4.77
192,,3842,18208,Medium,240,25,535,7,54,5.91
192,,5282,20264,Medium,267,18,576,8,71,9.79
194,Mkt Avg,,19700,,259,24,671,9,51,6.51
194,,1949,17318,Low,228,17,457,6,57,4.86
194,,1966,18333,Medium,241,24,507,7,50,7.05
194,,1973,21460,Medium,282,23,625,8,45,6.75
194,,2043,7463,Low,98,7,219,3,46,4
194,,2159,21656,Medium,285,24,684,9,50,6.78
194,,2164,13837,Low,182,16,453,6,53,5.28
194,,2326,13148,Low,173,15,357,5,50,5.78
194,,2405,32780,High,431,51,1420,19,60,6.95
194,,2859,22426,Medium,295,24,525,7,50,10.56
194,,5027,28578,High,376,42,1467,19,50,7.06
195,Mkt Avg,,25478,,335,33,877,12,55,7.98
195,,1909,25660,Medium,338,32,1012,13,67,7.12
195,,1993,24787,Medium,326,33,705,9,61,5.41
195,,2088,19074,Medium,251,25,608,8,76,4.71
195,,2107,27077,High,356,32,808,11,62,6.18
195,,2210,36147,High,476,50,1221,16,33,10.53
195,,2355,34053,High,448,52,1420,19,36,9.1
195,,2586,26682,High,351,27,724,10,56,10.87
195,,3607,8670,Low,114,9,230,3,46,8.72
195,,4597,27156,High,357,39,1164,15,54,9.14
196,Mkt Avg,,18061,,238,19,540,7,58,7.29
196,,1542,19553,Medium,257,22,616,8,70,4.27
196,,1936,13458,Low,177,12,348,5,58,6.24
196,,2079,19716,Medium,259,25,542,7,63,6.69
196,,2100,13395,Low,176,11,293,4,36,16.28
196,,2338,24349,Medium,320,30,1066,14,58,6.53
196,,2358,18127,Medium,239,21,578,8,53,6.37
196,,2417,15031,Low,198,13,477,6,52,7.9
196,,2434,21072,Medium,277,22,468,6,63,5.47
196,,2522,17408,Low,229,16,525,7,69,5.93
196,,2545,18502,Medium,243,17,487,6,55,7.16
197,Mkt Avg,,26672,,351,28,1055,14,50,8.42
197,,1790,24507,Medium,322,23,948,12,60,5.93
197,,2631,30135,High,397,32,1522,20,49,6.97
197,,2872,20580,Medium,271,19,729,10,35,12.65
197,,2912,28258,High,372,27,916,12,58,6.66
197,,3336,28381,High,373,37,1205,16,57,6.72
197,,3476,30445,High,401,35,1535,20,55,8.78
197,,4383,30477,High,401,24,1077,14,38,9.78
197,,5761,19281,Medium,254,26,491,6,40,11.86
197,,5842,27983,High,368,31,1069,14,55,6.43
200,Mkt Avg,,16883,,222,21,582,8,55,6.59
200,,1791,13200,Low,174,12,303,4,48,6.6
200,,1923,23502,Medium,309,36,943,12,53,8.04
200,,1942,17831,Medium,235,27,699,9,51,6.34
200,,2102,12703,Low,167,10,320,4,68,4.94
200,,2238,17454,Low,230,15,452,6,49,5.35
200,,2493,21302,Medium,280,32,957,13,44,6.43
200,,2567,26310,High,346,47,1164,15,64,7.02
200,,3328,14619,Low,192,15,490,6,37,9.69
200,,3453,19787,Medium,260,24,692,9,62,7.78
200,,3458,10264,Low,135,11,268,4,71,5.87
200,,3876,11372,Low,150,8,288,4,38,7.48
200,,5386,14248,Low,187,14,404,5,69,3.5
201,Mkt Avg,,15291,,201,15,436,6,45,8.01
201,,1540,10229,Low,135,11,246,3,25,11.22
201,,2010,15926,Low,210,14,388,5,48,6.47
201,,2061,11827,Low,156,12,314,4,61,6.29
201,,2062,14391,Low,189,15,389,5,48,5.66
201,,2678,28681,High,377,30,859,11,41,7.34
201,,3436,15825,Low,208,14,451,6,36,7
201,,4439,9307,Low,122,7,239,3,39,5.93
201,,5064,12917,Low,170,12,374,5,35,13.18
201,,5065,15492,Low,204,17,452,6,64,9.88
201,,5280,18315,Medium,241,22,644,8,52,7.18
202,Mkt Avg,,15834,,208,16,450,6,53,6.35
202,,1593,12324,Low,162,10,287,4,42,10.4
202,,1642,12250,Low,161,9,248,3,41,6.84
202,,1771,11968,Low,157,8,199,3,42,4.96
202,,1809,15598,Low,205,11,294,4,25,5.08
202,,1836,22106,Medium,291,23,580,8,69,5.71
202,,2080,20508,Medium,270,20,603,8,51,5.94
202,,2620,9996,Low,132,8,302,4,53,7.5
202,,3791,9112,Low,120,6,174,2,71,5.14
202,,5160,26167,High,344,32,949,12,68,4.72
202,,5411,9999,Low,132,10,281,4,68,6.12
202,,5472,24150,Medium,318,42,1032,14,47,7.4
203,Mkt Avg,,22657,,298,29,832,11,54,7.21
203,,1423,14018,Low,184,15,343,5,42,3.85
203,,1733,20357,Medium,268,18,531,7,47,5.42
203,,1754,29818,High,392,34,1020,13,51,9.39
203,,2618,28374,High,373,44,1114,15,60,6.09
203,,2700,27299,High,359,34,1087,14,51,7.16
203,,2866,19099,Medium,251,31,756,10,31,7.57
203,,2867,17469,Medium,230,19,566,7,54,10.15
203,,2869,26641,High,351,31,915,12,65,8.1
203,,4540,12086,Low,159,13,214,3,54,8.48
203,,5048,22155,Medium,292,32,708,9,79,5.36
203,,5893,31905,High,420,52,1899,25,57,7.69
204,Mkt Avg,,18536,,244,18,561,7,53,6.6
204,,1422,12510,Low,165,14,308,4,65,5.11
204,,1428,21304,Medium,280,22,742,10,35,5.62
204,,1432,18563,Medium,244,14,520,7,57,6.25
204,,1719,14262,Low,188,11,402,5,29,8.74
204,,1752,25764,Medium,339,27,871,11,69,5.54
204,,2014,13829,Low,182,11,348,5,51,5.09
204,,2619,25311,Medium,333,31,976,13,49,7.83
204,,2644,21164,Medium,278,18,581,8,45,9.18
204,,5097,22359,Medium,294,20,620,8,40,9.59
204,,5159,16311,Low,215,15,462,6,78,4.09
204,,5376,12523,Low,165,11,344,5,63,5.57
205,Mkt Avg,,21983,,289,25,735,10,59,6.79
205,,1592,14641,Low,193,16,376,5,76,3.53
205,,1611,25470,Medium,335,37,989,13,61,6.83
205,,1798,14402,Low,190,11,393,5,33,7.54
205,,1928,23874,Medium,314,20,589,8,50,5.69
205,,1987,26080,High,343,24,891,12,72,5.68
205,,2273,23502,Medium,309,22,776,10,57,7.62
205,,2354,26372,High,347,39,1416,19,57,11.27
205,,2693,25363,Medium,334,31,784,10,65,7.04
205,,3632,9568,Low,126,9,289,4,64,3.75
205,,3726,30660,High,403,36,873,11,44,8.16
205,,4243,21883,Medium,288,25,707,9,64,7.54
206,Mkt Avg,,30390,,400,38,1075,14,43,9.28
206,,2558,22597,Medium,297,27,796,10,18,13.36
206,,2559,25565,Medium,336,24,968,13,54,8.96
206,,2692,32097,High,422,38,1181,16,48,8.39
206,,2873,35266,High,464,63,1484,20,39,11.33
