Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
4,,391,20453,Medium,269,16,415,5,66,5.29
5,Mkt Avg,,20129,,265,18,440,6,66,5.96
5,,306,17039,Low,224,13,291,4,88,6.81
5,,314,15759,Low,207,16,293,4,74,5.9
5,,332,24812,Medium,326,21,466,6,38,7.73
5,,375,22487,Medium,296,19,525,7,56,5.64
5,,433,17489,Low,230,10,250,3,76,6.11
5,,434,20595,Medium,271,20,447,6,45,6.03
5,,681,19382,Medium,255,18,483,6,79,4.18
5,,712,23587,Medium,310,18,567,7,69,6.53
5,,5197,21616,Medium,284,24,550,7,72,5.31
5,,6878,21511,Medium,283,20,532,7,68,5.81
5,,7324,17142,Low,226,15,439,6,61,5.54
7,Mkt Avg,,17396,,229,16,369,5,69,5.78
7,,604,31840,High,419,35,700,9,72,5.99
7,,723,18239,Medium,240,20,386,5,83,6.55
7,,734,26312,High,346,29,521,7,40,6.05
7,,740,13562,Low,178,11,278,4,82,6
7,,1063,5802,Low,76,4,94,1,68,6.29
7,,1091,19910,Medium,262,16,419,6,73,8.64
7,,1134,16289,Low,214,12,350,5,59,6.69
7,,1462,10382,Low,137,7,192,3,85,4.33
7,,1638,12654,Low,166,9,261,3,87,3.69
7,,2114,14912,Low,196,16,334,4,44,4.08
7,,2534,21454,Medium,282,20,526,7,64,5.31
8,Mkt Avg,,20544,,270,18,413,5,57,8.15
8,,424,18284,Medium,241,15,390,5,68,4.13
8,,483,26368,High,347,28,571,8,56,5.31
8,,700,18018,Medium,237,13,338,4,39,10.3
8,,930,16425,Low,216,9,347,5,47,15.03
8,,938,22212,Medium,292,15,401,5,39,7.18
8,,1101,18012,Medium,237,14,385,5,70,7.15
8,,4318,23013,Medium,303,28,601,8,57,5.76
8,,4407,23250,Medium,306,26,612,8,61,13.41
8,,5348,19317,Medium,254,15,72,1,73,5.06
9,Mkt Avg,,2083,,27,4,59,1,51,9.52
9,,3049,1930,Medium,25,3,122,2,100,4
9,,3143,2468,High,32,5,152,2,67,5
9,,3357,2166,Medium,28,2,87,1,80,22.5
9,,3377,1908,Medium,25,4,3,0,100,0.75
9,,4264,2455,High,32,6,116,2,60,5.9
