Market,Region,Date,Start,End,Session,Room/Level,Room/Level
9,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
9,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
16,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
16,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
19,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
19,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
21,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
21,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
22,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
22,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
23,Central,8/25/2025,2:15 PM,4:00 PM,Central Regional Meeting,Indiana Convention Center,RM 208/209
23,Central,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
33,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
33,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
34,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
34,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
37,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
37,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
38,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
38,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
39,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
39,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
40,East,8/25/2025,2:15 PM,4:00 PM,East Regional Meeting,Indiana Convention Center,RM 201/202
40,East,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
8,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
8,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
18,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
18,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
20,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
20,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
25,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
25,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
26,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
26,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
27,North,8/25/2025,2:15 PM,4:00 PM,North Regional Meeting,Indiana Convention Center,RM 206/207
27,North,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
11,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
11,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
12,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
12,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
13,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
13,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
14,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
14,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
15,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
15,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
17,South,8/25/2025,2:15 PM,4:00 PM,South Regional Meeting,Indiana Convention Center,RM 243/244
17,South,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
24,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
24,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
28,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
28,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
29,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
29,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
30,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
30,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
31,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
31,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
32,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
32,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
35,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
35,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
36,Southeast,8/25/2025,2:15 PM,4:00 PM,Southeast Regional Meeting,Indiana Convention Center,RM 238/239
36,Southeast,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
1,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
1,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
2,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
2,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
3,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
3,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
4,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
4,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
5,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
5,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
6,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
6,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
7,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
7,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
10,West,8/25/2025,2:15 PM,4:00 PM,West Regional Meeting,Indiana Convention Center,RM 240/241
10,West,8/25/2025,4:30 PM,6:00 PM,Opening General Session,Indiana Convention Center,HALL H
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
