Store,DD Sat,DD Sun,DD Mon,DD Tue,DD Wed,DD Thu,DD Fri,DD Total
33,X,X,X,X,X,X,X,7
68,X,X,X,X,X,X,X,7
81,X,X,X,X,X,X,X,7
123,X,X,X,X,X,X,X,7
149,X,X,X,X,X,X,X,7
162,X,X,X,X,X,X,X,7
166,X,X,X,X,X,X,X,7
203,X,X,X,X,X,X,X,7
207,X,X,X,X,X,X,X,7
280,X,X,X,X,X,X,X,7
288,X,X,X,X,X,X,X,7
312,X,X,X,,X,X,X,6
337,X,X,X,X,X,X,X,7
338,X,X,X,X,X,X,X,7
347,X,X,X,X,X,X,X,7
353,X,X,X,X,X,X,X,7
357,X,X,X,X,X,X,X,7
362,X,X,X,X,X,X,X,7
390,X,X,X,X,X,X,X,7
419,X,X,X,X,X,X,X,7
436,X,X,X,X,X,X,X,7
454,X,X,X,X,X,X,X,7
506,X,X,X,X,X,X,X,7
550,X,X,X,X,X,X,X,7
552,X,X,X,X,X,X,X,7
554,X,X,X,X,X,X,X,7
561,X,X,X,X,X,X,X,7
647,X,X,X,X,X,X,X,7
731,X,X,X,X,X,X,X,7
750,X,X,X,X,X,X,X,7
785,X,X,X,X,X,X,X,7
812,X,X,X,X,X,X,X,7
843,X,X,X,X,X,X,X,7
858,X,X,X,X,X,X,X,7
885,X,X,X,X,X,X,X,7
977,X,X,,X,X,X,,5
982,X,X,X,X,X,X,X,7
985,X,X,X,X,X,X,X,7
1005,X,X,X,X,X,X,X,7
1018,X,X,X,X,,X,X,6
1038,X,X,X,X,X,X,X,7
1043,X,X,X,X,X,X,X,7
1057,X,X,X,,X,X,X,6
1059,X,X,X,X,X,X,X,7
1061,,X,X,X,X,X,X,6
1100,X,X,X,X,X,X,X,7
1138,,X,X,,X,X,X,5
1143,X,X,X,X,X,X,X,7
1187,X,X,X,X,X,X,X,7
1214,X,,X,X,X,X,X,6
1325,X,X,X,X,X,X,X,7
1328,X,X,X,X,X,X,X,7
1334,X,X,X,X,X,X,X,7
1363,X,X,X,X,X,X,X,7
1365,X,X,X,X,X,X,X,7
1366,X,X,X,X,X,X,X,7
1452,X,X,X,X,X,X,X,7
1467,X,X,X,X,X,X,X,7
1480,X,X,X,X,X,X,X,7
1546,X,X,X,X,X,X,X,7
1599,X,X,X,X,X,X,X,7
1616,X,X,X,X,X,X,X,7
1629,X,X,X,X,X,X,X,7
1670,X,X,X,X,X,X,X,7
1683,X,X,,X,X,X,X,6
1684,X,X,X,X,X,X,X,7
1713,X,X,X,X,X,X,X,7
1743,X,X,X,X,X,X,X,7
1751,X,X,X,X,X,X,X,7
1755,X,X,X,X,X,X,X,7
1857,X,X,X,X,X,X,X,7
1876,X,X,X,X,X,X,X,7
1906,X,X,X,X,X,X,X,7
1918,X,X,X,X,X,X,X,7
1922,X,X,X,X,X,X,X,7
1992,X,X,X,X,X,X,X,7
2054,X,X,X,X,X,X,X,7
2061,X,X,X,X,X,X,X,7
2096,X,X,X,X,X,X,X,7
2138,X,X,X,X,X,X,X,7
2190,X,X,,X,X,X,,5
2232,X,X,X,X,X,X,X,7
2254,X,X,X,X,X,X,X,7
2264,,X,,,,X,,2
2288,X,X,X,X,X,X,X,7
2294,X,X,X,X,X,X,X,7
