TO_STORE_NBR,ITEM1_DESC,ITEM_NBR
4458,"STRAW BALE 20"" AA",668570651
2703,"STRAW BALE 20"" AA",668570651
1829,"STRAW BALE 20"" AA",668570651
3595,"STRAW BALE 20"" AA",668570651
1664,"STRAW BALE 20"" AA",668570651
4384,"STRAW BALE 20"" AA",668570651
2836,"STRAW BALE 20"" AA",668570651
3864,"STRAW BALE 20"" AA",668570651
1767,"STRAW BALE 20"" AA",668570651
2928,"STRAW BALE 20"" AA",668570651
2772,"STRAW BALE 20"" AA",668570651
3182,"STRAW BALE 20"" AA",668570651
2929,"STRAW BALE 20"" AA",668570651
1372,"STRAW BALE 20"" AA",668570651
2247,"STRAW BALE 20"" AA",668570651
4273,"STRAW BALE 20"" AA",668570651
1355,"STRAW BALE 20"" AA",668570651
4484,"STRAW BALE 20"" AA",668570651
1774,"STRAW BALE 20"" AA",668570651
3825,"STRAW BALE 20"" AA",668570651
2712,"STRAW BALE 20"" AA",668570651
1922,"STRAW BALE 20"" AA",668570651
2050,"STRAW BALE 20"" AA",668570651
1805,"STRAW BALE 20"" AA",668570651
1859,"STRAW BALE 20"" AA",668570651
1660,"STRAW BALE 20"" AA",668570651
1555,"STRAW BALE 20"" AA",668570651
1700,"STRAW BALE 20"" AA",668570651
1912,"STRAW BALE 20"" AA",668570651
1862,"STRAW BALE 20"" AA",668570651
1917,"STRAW BALE 20"" AA",668570651
1584,"STRAW BALE 20"" AA",668570651
2218,"STRAW BALE 20"" AA",668570651
1853,"STRAW BALE 20"" AA",668570651
1914,"STRAW BALE 20"" AA",668570651
1693,"STRAW BALE 20"" AA",668570651
2028,"STRAW BALE 20"" AA",668570651
1899,"STRAW BALE 20"" AA",668570651
2094,"STRAW BALE 20"" AA",668570651
2177,"STRAW BALE 20"" AA",668570651
1941,"STRAW BALE 20"" AA",668570651
1588,"STRAW BALE 20"" AA",668570651
1832,"STRAW BALE 20"" AA",668570651
1992,"STRAW BALE 20"" AA",668570651
593,"STRAW BALE 20"" AA",668570651
635,"STRAW BALE 20"" AA",668570651
1011,"STRAW BALE 20"" AA",668570651
1006,"STRAW BALE 20"" AA",668570651
686,"STRAW BALE 20"" AA",668570651
604,"STRAW BALE 20"" AA",668570651
555,"STRAW BALE 20"" AA",668570651
754,"STRAW BALE 20"" AA",668570651
862,"STRAW BALE 20"" AA",668570651
556,"STRAW BALE 20"" AA",668570651
723,"STRAW BALE 20"" AA",668570651
899,"STRAW BALE 20"" AA",668570651
