Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
323,1,13,9,9
322,2,17,13,15
21,3,11,9,10
323,4,19,17,17
326,5,14,10,11
326,7,13,10,11
326,8,8,6,7
335,9,14,11,12
347,10,18,13,15
328,11,17,13,15
347,12,17,11,12
334,13,11,7,7
357,14,11,10,11
333,15,17,14,15
321,16,16,12,13
334,17,16,10,11
328,18,8,6,7
335,19,18,15,18
361,20,11,7,8
336,21,11,9,11
347,22,13,8,9
135,23,10,7,8
326,24,10,7,8
359,25,6,5,6
411,26,10,7,7
357,27,5,4,5
347,28,16,10,11
336,29,11,9,10
335,30,11,9,9
351,31,13,10,11
333,32,0,0,0
325,33,10,6,6
334,34,14,9,10
407,35,14,9,9
329,36,16,14,15
335,37,9,8,9
47,38,10,9,10
410,39,9,5,6
359,40,10,9,10
345,41,17,13,15
410,42,11,7,7
407,43,8,6,7
329,45,16,11,12
357,46,15,11,12
351,47,16,13,14
334,48,11,6,6
47,49,7,6,7
347,50,11,6,6
359,51,5,4,4
325,52,13,9,10
322,54,11,8,8
321,55,9,6,6
333,56,7,4,4
325,58,16,13,14
334,59,15,10,12
339,60,9,8,9
361,61,9,8,9
329,62,8,6,7
347,63,10,5,6
146,64,7,5,6
336,65,8,7,8
321,66,14,10,11
321,67,12,9,10
329,68,7,6,6
335,69,10,9,10
329,70,11,9,10
328,71,12,9,10
410,72,12,8,8
356,73,24,21,21
329,74,5,4,4
134,75,13,9,10
322,76,10,7,8
83,77,3,2,2
357,78,8,6,7
334,79,14,9,9
359,80,4,3,4
347,81,11,8,8
335,82,4,3,4
327,83,10,6,6
324,85,15,12,13
357,86,11,7,7
127,87,8,7,8
357,88,7,6,6
336,89,9,7,8
347,90,15,11,12
329,91,7,6,6
334,92,10,6,7
146,93,11,9,11
145,94,17,14,16
335,95,8,7,7
361,96,12,8,8
146,97,8,7,7
135,98,9,6,6
340,99,6,5,5
323,100,16,10,11
336,101,10,9,10
327,102,11,9,9
351,103,18,18,19
146,104,10,8,9
4,105,14,12,14
146,106,5,5,6
146,107,11,9,9
344,108,10,5,6
360,109,8,7,7
89,110,4,4,4
410,111,11,6,6
138,112,10,8,9
349,113,13,11,12
4,114,9,7,8
138,115,6,4,4
4,118,12,10,11
328,119,18,14,16
146,120,10,7,8
351,121,15,10,10
335,122,6,4,5
351,123,13,9,9
324,124,10,7,8
321,125,18,14,16
324,126,10,6,6
325,127,10,8,8
329,128,12,9,10
350,129,16,13,15
347,130,22,18,20
47,131,9,8,9
344,132,9,4,4
325,133,4,3,3
344,134,12,10,11
360,135,8,7,8
352,137,15,9,8
357,138,9,7,7
353,139,9,8,8
503,140,14,13,14
321,141,16,13,14
253,143,8,7,8
322,144,14,10,11
339,145,5,4,5
46,146,9,8,9
350,147,13,10,11
47,148,13,11,12
135,149,5,4,4
344,150,14,9,9
350,151,20,14,16
335,152,8,7,8
4,153,11,9,10
311,154,13,10,11
136,155,15,12,14
328,157,20,16,19
350,158,7,5,5
359,159,9,7,8
328,160,11,7,8
147,161,7,6,7
349,162,5,4,5
503,163,11,9,11
4,164,12,10,11
46,165,13,8,8
357,166,5,4,5
327,167,7,4,5
345,168,16,13,14
326,169,7,5,5
134,170,7,6,7
327,171,10,6,7
340,172,9,8,9
357,173,6,5,5
92,174,11,9,10
144,175,12,10,11
146,177,12,9,11
344,178,6,2,2
357,179,10,6,7
46,180,11,10,10
47,181,8,6,7
136,182,14,12,12
138,183,8,7,7
361,184,10,8,9
350,185,14,12,12
409,186,11,6,6
335,188,14,9,10
359,189,7,6,7
329,190,13,11,12
151,192,14,11,13
60,194,8,6,6
360,195,8,7,8
271,196,5,3,3
278,197,6,5,6
272,198,6,4,4
278,199,6,5,5
275,200,9,8,9
341,201,8,6,7
51,202,2,1,1
359,203,5,4,5
253,204,7,6,7
138,205,10,9,10
52,206,7,5,6
345,207,9,5,5
76,211,8,6,7
353,212,8,7,8
272,213,11,7,7
503,214,13,11,13
271,216,10,7,8
53,217,6,5,6
147,218,8,6,7
336,219,11,9,11
48,220,14,10,10
344,221,10,7,8
271,222,6,4,5
272,224,8,6,6
350,225,6,4,5
47,226,6,5,6
344,227,7,6,6
48,228,15,11,11
329,229,8,6,7
321,230,1,1,1
351,231,20,18,18
271,233,6,3,3
360,234,14,9,9
503,236,6,4,5
271,237,8,7,7
