Store #,Bag Size,Bunzl Delivery,Qty,3rd Party Tracking,3rd party carrier
1,Med,9/21/2022,3,N/A,N/A
2,Small,9/17/2022,3,N/A,N/A
2,Med,9/17/2022,3,N/A,N/A
3,Small,9/17/2022,3,N/A,N/A
3,Med,9/17/2022,3,N/A,N/A
5,Small,9/22/2022,3,N/A,N/A
5,Med,9/22/2022,3,N/A,N/A
7,Small,9/23/2022,3,N/A,N/A
7,Med,9/23/2022,3,N/A,N/A
8,Med,9/22/2022,6,N/A,N/A
8,Small,9/22/2022,3,N/A,N/A
9,Small,9/20/2022,3,N/A,N/A
10,Small,9/20/2022,3,N/A,N/A
10,Med,9/20/2022,3,N/A,N/A
11,Small,9/17/2022,3,N/A,N/A
11,Med,9/17/2022,3,N/A,N/A
12,Small,9/21/2022,3,N/A,N/A
12,Med,9/21/2022,3,N/A,N/A
13,Small,9/21/2022,3,N/A,N/A
13,Med,9/21/2022,2,N/A,N/A
14,Small,9/17/2022,3,N/A,N/A
14,Med,9/17/2022,2,N/A,N/A
15,Small,9/17/2022,3,N/A,N/A
15,Med,9/17/2022,2,N/A,N/A
16,Small,9/20/2022,3,N/A,N/A
16,Med,9/20/2022,3,N/A,N/A
17,Small,9/17/2022,3,N/A,N/A
17,Med,9/17/2022,2,N/A,N/A
18,Med,9/16/2022,7,N/A,N/A
18,Small,9/16/2022,3,N/A,N/A
20,Small,9/22/2022,3,N/A,N/A
20,Med,9/22/2022,2,N/A,N/A
22,Small,9/21/2022,3,N/A,N/A
22,Med,9/21/2022,3,N/A,N/A
23,Small,9/15/2022,3,N/A,N/A
23,Med,9/15/2022,2,N/A,N/A
24,Small,9/23/2022,3,N/A,N/A
25,Med,9/21/2022,7,N/A,N/A
25,Small,9/21/2022,3,N/A,N/A
25,Med,9/21/2022,2,N/A,N/A
26,Med,9/23/2022,7,N/A,N/A
26,Small,9/23/2022,3,N/A,N/A
26,Med,9/23/2022,2,N/A,N/A
27,Med,9/16/2022,7,N/A,N/A
27,Small,9/16/2022,3,N/A,N/A
27,Med,9/16/2022,2,N/A,N/A
28,Small,9/21/2022,3,N/A,N/A
28,Med,9/21/2022,3,N/A,N/A
29,Small,9/17/2022,3,N/A,N/A
29,Med,9/17/2022,2,N/A,N/A
30,Small,9/20/2022,3,N/A,N/A
31,Small,9/23/2022,3,N/A,N/A
31,Med,9/23/2022,3,N/A,N/A
32,Med,9/21/2022,7,N/A,N/A
32,Small,9/21/2022,3,N/A,N/A
32,Med,9/21/2022,2,N/A,N/A
33,Med,9/17/2022,7,N/A,N/A
33,Small,9/17/2022,3,N/A,N/A
33,Med,9/17/2022,2,N/A,N/A
34,Med,9/17/2022,7,N/A,N/A
34,Small,9/17/2022,3,N/A,N/A
34,Med,9/17/2022,2,N/A,N/A
35,Med,9/21/2022,2,N/A,N/A
36,Small,9/20/2022,3,N/A,N/A
36,Med,9/20/2022,3,N/A,N/A
37,Small,9/17/2022,3,N/A,N/A
37,Med,9/17/2022,2,N/A,N/A
38,Med,9/23/2022,7,N/A,N/A
38,Small,9/23/2022,3,N/A,N/A
38,Med,9/23/2022,2,N/A,N/A
39,Med,9/21/2022,6,N/A,N/A
39,Small,9/21/2022,3,N/A,N/A
39,Med,9/21/2022,2,N/A,N/A
40,Small,9/21/2022,3,N/A,N/A
40,Med,9/21/2022,2,N/A,N/A
41,Med,9/21/2022,5,N/A,N/A
41,Small,9/21/2022,3,N/A,N/A
42,Med,9/21/2022,7,N/A,N/A
42,Small,9/21/2022,3,N/A,N/A
42,Med,9/21/2022,2,N/A,N/A
43,Small,9/21/2022,3,N/A,N/A
43,Med,9/21/2022,2,N/A,N/A
44,Med,9/22/2022,6,N/A,N/A
44,Small,9/22/2022,3,N/A,N/A
44,Med,9/22/2022,2,N/A,N/A
45,Med,9/16/2022,3,N/A,N/A
46,Small,9/20/2022,3,N/A,N/A
46,Med,9/20/2022,2,N/A,N/A
47,Small,9/21/2022,3,N/A,N/A
47,Med,9/21/2022,3,N/A,N/A
48,Small,9/21/2022,3,N/A,N/A
48,Med,9/21/2022,2,N/A,N/A
49,Small,9/23/2022,3,N/A,N/A
49,Med,9/23/2022,3,N/A,N/A
50,Small,9/21/2022,3,N/A,N/A
50,Med,9/21/2022,3,N/A,N/A
51,Med,9/17/2022,7,N/A,N/A
51,Small,9/17/2022,3,N/A,N/A
51,Med,9/17/2022,2,N/A,N/A
52,Small,9/17/2022,3,N/A,N/A
54,Small,9/21/2022,3,N/A,N/A
54,Med,9/21/2022,3,N/A,N/A
56,Med,9/17/2022,6,N/A,N/A
56,Small,9/17/2022,3,N/A,N/A
56,Med,9/17/2022,2,N/A,N/A
58,Small,9/22/2022,3,N/A,N/A
58,Med,9/22/2022,3,N/A,N/A
59,Small,9/17/2022,3,N/A,N/A
59,Med,9/17/2022,2,N/A,N/A
60,Small,9/17/2022,3,N/A,N/A
60,Med,9/17/2022,2,N/A,N/A
61,Small,9/22/2022,3,N/A,N/A
61,Med,9/22/2022,2,N/A,N/A
62,Small,9/20/2022,3,N/A,N/A
63,Med,9/20/2022,7,N/A,N/A
63,Small,9/20/2022,3,N/A,N/A
63,Med,9/20/2022,2,N/A,N/A
64,Med,9/20/2022,6,N/A,N/A
64,Small,9/20/2022,3,N/A,N/A
65,Med,9/16/2022,7,N/A,N/A
65,Small,9/16/2022,3,N/A,N/A
65,Med,9/16/2022,2,N/A,N/A
67,Small,9/17/2022,3,N/A,N/A
67,Med,9/17/2022,2,N/A,N/A
68,Small,9/23/2022,3,N/A,N/A
69,Small,9/17/2022,3,N/A,N/A
69,Med,9/17/2022,2,N/A,N/A
70,Small,9/21/2022,3,N/A,N/A
70,Med,9/21/2022,3,N/A,N/A
71,Small,9/16/2022,3,N/A,N/A
71,Med,9/16/2022,3,N/A,N/A
72,Small,9/21/2022,3,N/A,N/A
72,Med,9/21/2022,2,N/A,N/A
73,Small,9/22/2022,3,N/A,N/A
73,Med,9/22/2022,3,N/A,N/A
