97,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202201,71.20%,64%,11,68.50%,89.60%,80.90%,46.90%
104,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Recovering,Driver Supply Focus,202201,80.00%,100%,6.8,100.00%,100.00%,57.10%,83.30%
335,POINTPICKUP,Scheduled Standard Delivery,29,Executive Review,Degrading,Store Focus,202201,82.20%,81%,10,81.70%,85.20%,81.80%,79.50%
335,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202201,75.80%,80%,8,76.70%,82.10%,87.80%,62.70%
587,POINTPICKUP,Scheduled Express Delivery ,3,Active Monitoring,Recovering,Driver Supply Focus,202201,83.60%,95%,8.1,100.00%,76.20%,100.00%,66.70%
1376,POSTMATES,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202201,87.90%,76%,23,71.40%,100.00%,66.70%,88.90%
497,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202201,87.60%,79%,12.4,86.70%,88.40%,92.40%,84.70%
3294,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202201,71.50%,54%,21.6,51.80%,96.40%,77.10%,63.40%
3610,POSTMATES,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202201,72.10%,81%,14.6,52.50%,75.70%,79.10%,76.10%
4450,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202201,79.00%,74%,8.4,85.40%,95.40%,67.30%,76.00%
5418,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202201,80.60%,73%,17.5,63.10%,87.00%,91.90%,73.50%
6931,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,202201,80.80%,59%,16.3,90.90%,87.30%,84.90%,69.50%
6931,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202201,67.40%,57%,11.4,68.80%,70.80%,72.70%,62.20%
