Store,Market,Store Type ,Launch Date 
1,323,Supercenter,09/24/2024
2,322,Supercenter,09/24/2024
3,21,Supercenter,09/26/2024
4,323,Supercenter,09/24/2024
5,326,Supercenter,09/24/2024
7,326,Supercenter,09/24/2024
8,326,Supercenter,09/24/2024
9,335,Supercenter,09/24/2024
10,347,Supercenter,09/24/2024
11,328,Supercenter,09/24/2024
12,347,Supercenter,09/24/2024
13,334,Supercenter,09/24/2024
14,357,Supercenter,09/24/2024
15,333,Supercenter,09/24/2024
16,321,Supercenter,09/24/2024
17,334,Supercenter,09/24/2024
18,328,Supercenter,09/24/2024
19,335,Supercenter,09/24/2024
20,361,Supercenter,09/24/2024
21,336,Supercenter,09/24/2024
22,347,Supercenter,09/24/2024
23,135,Supercenter,09/24/2024
24,326,Supercenter,09/24/2024
25,359,Supercenter,09/24/2024
26,411,Supercenter,09/24/2024
28,347,Supercenter,09/24/2024
29,336,Supercenter,09/24/2024
30,335,Supercenter,09/24/2024
31,351,Supercenter,09/24/2024
32,333,Supercenter,09/24/2024
33,325,Supercenter,09/24/2024
34,334,Supercenter,09/24/2024
35,407,Supercenter,09/24/2024
36,329,Supercenter,09/24/2024
37,335,Supercenter,09/24/2024
39,410,Supercenter,09/24/2024
40,359,Supercenter,09/24/2024
41,345,Supercenter,09/24/2024
43,407,Supercenter,09/24/2024
45,329,Supercenter,09/24/2024
46,357,Supercenter,09/24/2024
47,351,Supercenter,09/24/2024
48,334,Supercenter,09/24/2024
52,325,Supercenter,09/24/2024
54,322,Supercenter,09/24/2024
57,328,Supercenter,09/24/2024
58,325,Supercenter,09/24/2024
59,334,Supercenter,09/24/2024
60,339,Supercenter,09/24/2024
61,361,Supercenter,09/24/2024
62,329,Supercenter,09/24/2024
63,347,Supercenter,09/24/2024
64,146,Supercenter,09/24/2024
65,336,Supercenter,09/24/2024
66,321,Supercenter,09/24/2024
67,321,Supercenter,09/24/2024
68,329,Supercenter,09/24/2024
69,335,Supercenter,09/24/2024
70,329,Supercenter,09/24/2024
71,328,Supercenter,09/24/2024
72,410,Supercenter,09/24/2024
73,356,Supercenter,09/24/2024
75,134,Supercenter,09/24/2024
76,322,Supercenter,09/24/2024
77,83,Supercenter,09/24/2024
78,357,Supercenter,09/24/2024
79,334,Supercenter,09/17/2024
80,359,Supercenter,09/24/2024
83,327,Supercenter,09/24/2024
85,324,Supercenter,09/24/2024
86,357,Supercenter,09/24/2024
87,127,Supercenter,09/24/2024
88,357,Supercenter,09/24/2024
89,336,Supercenter,09/24/2024
90,347,Supercenter,09/24/2024
91,329,Supercenter,09/24/2024
93,146,Supercenter,09/24/2024
94,145,Supercenter,09/24/2024
95,335,Supercenter,09/24/2024
96,361,Supercenter,09/24/2024
98,135,Supercenter,09/24/2024
100,323,Supercenter,09/24/2024
101,336,Supercenter,09/24/2024
103,351,Supercenter,09/24/2024
104,146,Supercenter,09/24/2024
105,4,Supercenter,09/24/2024
107,146,Supercenter,09/24/2024
108,344,Supercenter,09/24/2024
109,360,Supercenter,09/24/2024
110,89,Supercenter,09/26/2024
111,410,Supercenter,09/24/2024
112,138,Supercenter,09/24/2024
113,349,Supercenter,09/24/2024
118,4,Supercenter,09/24/2024
119,328,Supercenter,09/24/2024
120,146,Supercenter,09/24/2024
121,351,Supercenter,09/24/2024
123,351,Supercenter,09/24/2024
124,324,Supercenter,09/24/2024
125,321,Supercenter,09/24/2024
127,325,Supercenter,09/24/2024
128,329,Supercenter,09/24/2024
129,350,Supercenter,09/24/2024
130,347,Supercenter,09/24/2024
131,47,Supercenter,09/24/2024
135,360,Supercenter,09/24/2024
137,352,Supercenter,09/24/2024
138,357,Supercenter,09/24/2024
139,353,Supercenter,09/24/2024
140,503,Supercenter,09/24/2024
141,321,Supercenter,09/24/2024
143,253,Supercenter,09/24/2024
144,322,Supercenter,09/24/2024
147,350,Supercenter,09/24/2024
148,47,Supercenter,09/24/2024
150,344,Supercenter,09/24/2024
151,350,Supercenter,09/24/2024
152,335,Supercenter,09/24/2024
153,4,Supercenter,09/24/2024
154,311,Supercenter,09/26/2024
155,136,Supercenter,09/24/2024
157,328,Supercenter,09/24/2024
159,359,Supercenter,09/24/2024
160,328,Supercenter,09/24/2024
163,503,Supercenter,09/24/2024
164,4,Supercenter,09/24/2024
165,46,Supercenter,09/24/2024
167,327,Supercenter,09/24/2024
168,345,Supercenter,09/24/2024
170,134,Supercenter,09/24/2024
171,327,Supercenter,09/24/2024
172,340,Supercenter,09/24/2024
174,92,Supercenter,09/26/2024
175,144,Supercenter,09/24/2024
