Store Numbers,Store Footage,Status,Status For Comms,Store Messaging,Expected Service,
16,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1488,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1892,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
2000,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
2158,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
2446,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3159,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3795,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
4108,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
8331,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
