Store,Guide,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,5,50,
1,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,7,50,
1,2025 Winter,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,4,50,
1,2025 Winter,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,3,50,
1,2025 Winter,Dept 16,PowerSmart MB7109A 24 in. 212cc 2-Stage Electric S,Full Stack,1,50,
1,2025 Winter,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,50,
1,2025 Winter,Dept 92,1728 PC Bauducco Maria Cookies 6oz Single PK,Full Stack,1,50,
1,2025 Winter,Dept 92,CHARRAS Display Ready Pallet 315ct,Full Stack,1,50,
1,2025 Winter,Dept 92,ISADORA Half Pallet 348 unit count (3 flavors),Half Stack,1,50,
1,2025 Winter,Dept 92,La Moderna Bin With 2000 Units of 7oz Pasta,Dump Bin,1,50,
2,2025 Winter,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,50,
2,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,5,50,
2,2025 Winter,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,6,50,
2,2025 Winter,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,3,50,
2,2025 Winter,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,5,50,
2,2025 Winter,Dept 17,"MS Furball $5 Dump Bin, 144pcs",Dump Bin,1,50,
2,2025 Winter,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
2,2025 Winter,Dept 71,"MS 6” Medium Firm Memory Foam Mattress, Twin, 4 units",Full Endcap,1,50,
3,2025 Winter,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
4,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,50,
4,2025 Winter,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
4,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,50,
4,2025 Winter,Dept 71,"MS 6FT BM TABLE White, 8 units",Full Stack,2,50,
4,2025 Winter,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,1,50,
5,2025 Winter,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,50,
5,2025 Winter,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,2,50,
5,2025 Winter,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
5,2025 Winter,Dept 07,HW 5-Pack,SDK,2,50,
5,2025 Winter,Dept 09,"Crown 1-K Kerosene, Clean Burning Fuel, 1 Gallon, 64pcs",Full Endcap,1,50,
5,2025 Winter,Dept 09,"Mr. Heater Brand 3,800BTU Little Buddy Portable Heater, 16 units",Full Endcap,1,50,
5,2025 Winter,Dept 09,"Ozark Trail 360° Propane Portable Indoor/Outdoor Heater, 12 units",Full Endcap,1,50,
5,2025 Winter,Dept 11,"Hefty Trash Bags Assortment, 80pcs",Full Endcap,1,50,
5,2025 Winter,Dept 14,"Instant Pot 5 QT Air Fryer, 8 units",Full Endcap,2,50,
5,2025 Winter,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,2,50,
5,2025 Winter,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,2,50,
5,2025 Winter,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,2,50,
5,2025 Winter,Dept 29,WTC Valentines DAY 7PK - 168 UNITS,Side-stack,1,50,
5,2025 Winter,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,2,50,
5,2025 Winter,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
