Store #,Expected Delivery Date,Quantity
196,10/23/2024,1
197,10/23/2024,2
198,10/23/2024,2
199,10/23/2024,1
200,10/23/2024,2
201,10/23/2024,2
213,10/23/2024,2
222,10/23/2024,1
224,10/23/2024,2
233,10/23/2024,1
252,10/23/2024,2
253,10/23/2024,2
254,10/23/2024,2
262,10/24/2024,1
272,10/15/2024,2
317,10/24/2024,1
328,10/24/2024,2
334,10/24/2024,2
343,10/24/2024,2
352,10/24/2024,2
422,10/24/2024,2
435,10/24/2024,1
436,10/24/2024,2
454,10/24/2024,2
481,10/24/2024,2
492,10/24/2024,1
506,10/24/2024,2
525,10/11/2024,1
538,10/30/2024,2
550,10/24/2024,2
566,10/24/2024,1
596,10/24/2024,1
612,10/24/2024,2
633,10/24/2024,1
636,10/24/2024,2
775,10/24/2024,2
786,10/24/2024,2
792,10/24/2024,2
796,10/24/2024,2
798,10/25/2024,2
830,10/25/2024,2
833,10/25/2024,2
844,10/25/2024,2
852,10/25/2024,2
854,10/25/2024,1
870,10/25/2024,2
884,10/25/2024,1
891,10/25/2024,2
902,10/25/2024,2
922,10/25/2024,1
923,10/25/2024,2
936,10/25/2024,2
957,10/25/2024,2
995,10/25/2024,2
996,10/25/2024,1
1002,10/25/2024,1
1003,10/25/2024,1
1013,10/25/2024,2
1026,10/25/2024,2
1028,10/25/2024,1
1033,10/25/2024,1
1071,10/25/2024,1
1093,10/25/2024,2
1125,10/25/2024,2
1142,10/25/2024,1
1157,10/25/2024,2
1160,10/25/2024,1
1162,10/25/2024,1
1180,10/25/2024,2
1211,10/25/2024,1
1228,10/25/2024,1
1239,10/25/2024,1
1256,10/25/2024,2
1263,10/25/2024,2
1264,10/25/2024,1
1275,10/25/2024,2
1289,10/25/2024,2
1294,10/25/2024,2
1304,10/25/2024,2
1307,10/25/2024,1
1310,10/25/2024,2
1323,10/25/2024,2
1327,10/25/2024,1
1329,10/25/2024,2
1330,10/25/2024,2
1331,10/25/2024,1
1333,10/25/2024,2
1341,10/25/2024,2
1356,10/28/2024,2
1368,10/28/2024,2
1371,10/28/2024,2
1378,10/28/2024,2
1386,10/28/2024,1
1395,10/28/2024,1
1401,10/28/2024,2
1407,10/28/2024,2
1410,10/28/2024,1
1413,10/28/2024,1
1416,10/28/2024,1
1418,10/28/2024,2
1419,10/28/2024,2
1420,10/28/2024,2
1421,10/28/2024,1
1425,10/28/2024,2
1427,10/28/2024,1
1429,10/28/2024,2
1433,10/28/2024,1
1441,10/28/2024,2
1443,10/28/2024,1
1445,10/28/2024,2
1448,10/28/2024,1
1451,10/28/2024,2
1454,10/28/2024,2
1459,10/29/2024,2
1463,10/29/2024,1
1476,10/29/2024,2
1478,10/29/2024,2
1479,10/29/2024,2
1480,10/29/2024,2
1487,10/29/2024,2
1489,10/29/2024,2
1490,10/29/2024,2
1497,10/29/2024,2
1503,10/29/2024,2
1504,10/29/2024,2
1519,10/29/2024,2
1521,10/29/2024,2
1529,10/29/2024,2
1531,10/29/2024,2
1537,10/29/2024,2
1539,10/29/2024,2
1547,10/29/2024,1
1548,10/29/2024,2
1553,10/29/2024,2
1556,10/29/2024,2
1557,10/29/2024,1
1564,10/29/2024,1
1566,10/29/2024,1
1568,10/29/2024,2
1570,10/29/2024,2
1576,10/29/2024,2
1594,10/29/2024,2
1595,10/29/2024,2
1596,10/29/2024,2
1601,10/29/2024,1
1602,10/29/2024,2
1607,10/29/2024,2
1610,10/29/2024,2
1618,10/29/2024,2
1619,10/29/2024,2
1622,10/29/2024,2
1623,10/29/2024,2
1628,10/29/2024,2
1629,10/29/2024,2
1639,10/29/2024,2
1644,10/30/2024,2
1647,10/30/2024,2
1655,10/30/2024,1
1665,10/30/2024,2
1667,10/30/2024,2
1668,10/30/2024,2
1670,10/30/2024,2
1673,10/30/2024,2
1674,10/30/2024,2
1676,10/30/2024,1
1677,10/30/2024,2
1681,10/30/2024,2
1684,10/30/2024,2
1690,10/30/2024,2
1705,10/30/2024,2
1707,10/30/2024,2
1709,10/30/2024,1
1713,10/30/2024,2
1715,10/30/2024,2
1716,10/30/2024,2
1717,10/30/2024,2
1718,10/31/2024,2
1724,10/31/2024,2
1728,10/31/2024,2
1729,10/31/2024,1
1731,10/31/2024,2
