store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK07,10,0,
2,WK07,44,108,
2,WK08,26,0,
2,WK14,0,114,
3,WK07,6,0,
3,WK08,6,0,
4,WK07,2,109,
4,WK08,13,0,
4,WK14,0,133,
5,WK07,11,0,
7,WK07,10,0,
7,WK08,4,0,
8,WK07,9,0,
9,WK07,8,0,
10,WK07,31,108,
10,WK08,19,0,
10,WK15,0,113,
10,WK20,0,103,
11,WK07,41,99,
11,WK08,32,0,
11,WK11,0,105,
11,WK14,0,141,
11,WK20,0,123,
12,WK07,10,0,
13,WK07,25,0,
13,WK08,2,0,
14,WK07,8,103,
14,WK08,16,0,
14,WK09,3,0,
14,WK15,0,96,
15,WK07,4,103,
15,WK08,18,0,
15,WK09,14,0,
15,WK16,0,123,
15,WK21,0,96,
16,WK07,17,0,
17,WK07,13,0,
19,WK07,7,106,
19,WK14,0,132,
20,WK07,16,0,
21,WK07,32,0,
22,WK07,11,0,
25,WK07,9,0,
26,WK07,10,0,
27,WK07,4,103,
27,WK08,4,0,
27,WK09,1,0,
28,WK07,9,0,
32,WK07,9,0,
32,WK08,1,0,
35,WK07,16,0,
35,WK08,6,0,
36,WK07,17,0,
37,WK07,8,103,
37,WK08,14,0,
37,WK09,3,0,
37,WK15,0,115,
38,WK07,6,0,
39,WK07,8,0,
40,WK07,16,0,
40,WK08,2,0,
41,WK07,10,0,
42,WK07,9,0,
43,WK07,16,0,
43,WK08,6,0,
45,WK07,6,0,
46,WK07,6,97,
46,WK08,11,0,
47,WK07,5,0,
48,WK07,10,0,
49,WK07,8,98,
50,WK07,8,0,
52,WK07,27,0,
54,WK07,10,0,
56,WK07,25,0,
56,WK08,2,0,
56,WK09,4,0,
58,WK07,30,92,
58,WK08,16,0,
58,WK14,0,102,
58,WK20,0,103,
59,WK07,16,0,
59,WK08,2,0,
60,WK07,15,0,
60,WK08,1,0,
60,WK09,1,0,
61,WK07,16,0,
61,WK08,6,0,
63,WK07,15,0,
63,WK08,2,0,
65,WK07,30,0,
65,WK08,3,0,
65,WK09,7,0,
66,WK07,24,108,
66,WK08,18,0,
66,WK14,0,113,
67,WK07,15,0,
69,WK07,22,0,
69,WK10,54,0,
71,WK07,16,0,
72,WK07,10,0,
73,WK07,9,0,
76,WK07,15,0,
77,WK07,14,0,
78,WK07,18,0,
78,WK08,1,0,
78,WK09,2,0,
79,WK07,14,108,
79,WK08,2,0,
81,WK07,9,0,
82,WK07,19,0,
82,WK08,2,0,
82,WK09,2,0,
82,WK10,61,0,
85,WK07,6,0,
86,WK07,10,0,
87,WK07,2,0,
88,WK07,12,0,
89,WK07,8,103,
89,WK08,17,0,
89,WK09,5,0,
89,WK15,0,114,
89,WK21,0,103,
90,WK07,8,109,
90,WK08,3,0,
92,WK07,15,0,
92,WK08,2,0,
93,WK07,7,0,
95,WK07,9,103,
95,WK08,8,0,
95,WK09,3,0,
96,WK07,8,0,
99,WK07,16,0,
99,WK08,1,0,
99,WK09,2,0,
100,WK07,26,0,
100,WK08,7,0,
101,WK07,12,103,
101,WK08,15,0,
101,WK09,3,0,
101,WK16,0,114,
101,WK21,0,96,
103,WK07,8,0,
104,WK07,13,0,
104,WK08,1,0,
105,WK07,5,0,
107,WK07,14,0,
107,WK08,2,0,
108,WK07,9,0,
109,WK07,9,0,
112,WK07,2,0,
113,WK07,20,0,
114,WK07,5,0,
117,WK07,27,99,
117,WK08,16,0,
118,WK07,2,0,
119,WK07,27,99,
119,WK08,20,0,
119,WK14,0,123,
119,WK20,0,132,
121,WK07,9,0,
122,WK07,12,0,
125,WK07,15,0,
125,WK08,2,0,
126,WK07,7,0,
126,WK08,4,0,
127,WK07,6,0,
128,WK07,7,0,
129,WK07,24,0,
131,WK07,7,84,
134,WK07,6,101,
135,WK07,10,0,
135,WK08,2,0,
135,WK09,2,0,
137,WK07,16,0,
137,WK08,1,0,
138,WK07,7,97,
138,WK08,3,0,
138,WK09,7,0,
139,WK07,11,0,
140,WK07,14,0,
141,WK07,10,0,
143,WK07,7,108,
143,WK08,2,0,
144,WK07,23,0,
144,WK08,7,0,
146,WK07,17,0,
147,WK07,11,97,
148,WK07,12,85,
151,WK07,25,0,
151,WK08,3,0,
152,WK07,30,0,
152,WK10,61,0,
154,WK07,7,108,
154,WK08,30,0,
155,WK07,7,0,
155,WK08,4,0,
157,WK07,4,0,
158,WK07,12,0,
159,WK07,16,0,
159,WK08,1,0,
159,WK09,1,0,
160,WK07,36,98,
160,WK08,32,0,
160,WK11,0,105,
160,WK14,0,124,
160,WK20,0,113,
161,WK07,6,108,
161,WK08,1,0,
163,WK07,16,0,
165,WK07,1,0,
166,WK07,30,0,
166,WK08,6,0,
166,WK09,1,0,
167,WK07,5,0,
168,WK07,11,0,
172,WK07,18,0,
172,WK08,2,0,
172,WK09,2,0,
173,WK07,18,0,
173,WK08,1,0,
173,WK09,7,0,
174,WK07,2,0,
177,WK07,10,108,
177,WK08,2,0,
179,WK07,15,0,
179,WK08,2,0,
180,WK07,13,0,
181,WK07,1,0,
182,WK07,8,0,
182,WK08,6,0,
184,WK07,8,0,
185,WK07,14,0,
186,WK07,8,0,
188,WK07,14,0,
188,WK10,54,0,
189,WK07,12,0,
189,WK08,6,0,
189,WK09,3,0,
190,WK07,6,0,
190,WK08,4,0,
192,WK07,11,0,
194,WK07,1,0,
195,WK07,8,0,
196,WK07,6,0,
202,WK07,8,0,
204,WK07,11,0,
206,WK07,8,0,
