Region,Market,Store Number,Total Five Star,AES,W+ Enrolled,Sales Comp,Controllable Profit,OPD Growth,Presub,Shrink
3,28,864,4.45,67.6%,67.35,9.6%,17.8%,25.7%,94.2%,-1.6%
3,28,1018,4.47,72.6%,81.27,5.9%,15.9%,16.8%,96.6%,-1.9%
3,28,1061,4.71,74.8%,93.50,11.6%,15.5%,33.9%,96.9%,-0.9%
3,28,2630,4.53,68.1%,83.07,9.0%,17.3%,42.2%,94.3%,-0.4%
3,28,5392,4.68,73.2%,93.99,6.1%,16.1%,17.6%,95.3%,-1.5%
3,89,110,4.48,67.9%,63.24,10.1%,15.1%,63.1%,90.0%,-3.2%
3,89,705,4.45,60.9%,69.78,4.0%,16.1%,21.6%,92.1%,-3.5%
3,89,800,4.44,66.0%,71.74,5.2%,14.5%,21.7%,88.9%,-3.2%
3,89,942,4.51,65.7%,81.14,5.3%,16.7%,37.2%,92.1%,-3.7%
3,89,959,4.56,61.3%,90.04,8.3%,16.6%,26.1%,94.0%,-1.3%
3,89,2695,4.54,74.8%,79.85,9.3%,16.6%,46.9%,93.6%,-2.2%
3,89,2843,4.47,72.3%,69.71,7.0%,15.4%,31.2%,93.7%,-2.7%
3,89,4262,4.52,78.3%,83.50,9.1%,17.9%,38.6%,93.9%,-2.1%
3,89,5299,4.57,74.8%,81.56,4.7%,16.4%,73.3%,92.0%,-2.7%
3,93,538,4.52,72.0%,89.66,9.3%,17.0%,26.8%,95.8%,-2.3%
3,93,551,4.45,70.0%,77.63,7.9%,16.7%,15.6%,95.0%,-2.3%
3,93,697,4.51,75.5%,85.62,12.1%,17.2%,40.3%,95.5%,-1.9%
3,93,960,4.56,65.4%,72.75,10.2%,18.3%,34.3%,95.5%,-1.1%
3,93,1081,4.34,58.6%,66.42,2.3%,17.0%,25.9%,92.3%,-4.2%
3,93,1283,4.56,62.8%,75.44,7.7%,16.7%,36.3%,96.6%,-1.8%
3,93,1297,4.69,76.3%,80.92,9.2%,19.2%,37.0%,95.8%,-1.9%
3,93,1847,4.44,66.6%,91.44,5.9%,16.2%,19.0%,94.7%,-2.6%
3,93,3877,4.51,64.5%,64.94,7.2%,11.4%,22.9%,93.3%,-3.4%
3,93,4368,4.49,75.9%,76.28,10.6%,16.6%,36.4%,94.5%,-1.6%
3,93,5326,4.4,64.5%,72.61,6.0%,17.1%,35.9%,93.9%,-1.0%
3,94,563,4.42,69.0%,63.43,7.2%,14.9%,60.6%,91.5%,-3.2%
3,94,579,4.45,69.2%,59.55,5.1%,17.8%,46.9%,92.7%,-1.4%
3,94,582,4.46,71.0%,46.97,2.1%,17.3%,30.8%,92.9%,-2.1%
3,94,613,4.53,73.5%,51.18,6.7%,15.2%,49.3%,91.6%,-3.3%
3,94,857,4.46,76.0%,75.35,6.6%,14.4%,30.1%,92.2%,-2.7%
3,94,860,4.47,68.9%,44.51,7.6%,15.1%,18.8%,93.9%,-3.5%
3,94,1079,4.6,73.1%,85.03,7.9%,18.3%,33.1%,94.1%,-1.2%
3,94,1182,4.49,61.9%,49.67,8.9%,17.0%,46.0%,90.4%,-1.5%
3,94,1391,4.46,71.7%,55.68,5.8%,13.1%,42.6%,91.3%,-3.8%
3,94,3207,4.53,73.7%,58.68,8.6%,16.1%,60.2%,95.1%,-2.0%
3,94,3310,4.48,73.7%,81.10,7.3%,15.6%,23.3%,94.4%,-1.3%
3,98,928,4.54,72.1%,75.25,7.7%,18.6%,57.0%,92.1%,-1.5%
3,98,977,4.74,64.7%,78.36,2.8%,13.4%,80.0%,95.0%,-0.6%
3,98,1082,4.58,69.1%,64.22,9.1%,15.5%,81.1%,94.4%,-1.9%
3,98,1172,4.57,77.4%,68.84,6.6%,15.2%,44.8%,94.1%,-2.5%
3,98,1173,4.49,69.9%,68.47,9.3%,14.5%,46.2%,93.5%,-4.1%
3,98,1444,4.49,77.1%,70.54,3.9%,14.3%,44.6%,92.1%,-3.6%
3,98,3309,4.46,86.9%,71.03,9.2%,13.9%,64.9%,92.8%,
3,98,3702,4.42,64.5%,65.06,9.5%,14.9%,79.1%,92.5%,-3.4%
3,98,4444,4.61,80.6%,89.81,8.1%,16.7%,55.8%,95.3%,-2.3%
3,98,5037,4.57,73.9%,67.57,11.0%,16.7%,49.0%,93.9%,-0.5%
3,98,5054,4.6,78.6%,81.50,9.3%,15.8%,63.0%,94.7%,-2.3%
3,101,767,4.26,66.0%,81.25,9.4%,17.0%,31.6%,90.0%,-1.7%
3,101,1083,4.41,69.0%,66.33,9.4%,13.6%,90.4%,92.2%,-3.6%
3,101,1090,4.54,77.5%,84.30,11.0%,13.7%,49.1%,96.8%,-2.6%
3,101,1205,4.41,70.7%,70.91,11.3%,15.6%,42.0%,94.3%,-1.4%
3,101,1219,4.48,65.0%,70.62,9.2%,12.4%,52.4%,90.0%,
3,101,1225,4.5,72.3%,78.22,2.3%,13.6%,31.4%,94.5%,-1.7%
3,101,2626,4.5,72.1%,72.78,6.7%,17.5%,46.0%,93.8%,-0.8%
3,101,2920,4.56,67.6%,81.01,11.0%,17.5%,34.3%,93.6%,-1.0%
3,101,3308,4.5,71.0%,59.55,8.3%,17.2%,45.0%,93.1%,-1.2%
3,101,6978,4.38,72.6%,70.51,8.6%,13.6%,57.1%,93.2%,-3.6%
3,104,967,4.52,68.5%,82.05,10.0%,17.6%,34.7%,94.5%,-1.7%
3,104,988,4.47,63.8%,70.48,10.8%,17.0%,60.2%,92.0%,-2.3%
3,104,994,4.52,64.0%,74.32,7.4%,17.6%,36.5%,93.2%,-1.9%
3,104,1029,4.7,73.9%,77.73,10.7%,16.9%,32.0%,95.4%,-0.8%
3,104,1085,4.55,73.3%,84.25,6.7%,16.2%,44.4%,95.0%,-2.1%
3,104,1104,4.55,64.2%,66.93,8.2%,18.9%,32.8%,95.3%,-0.8%
3,104,1213,4.48,65.1%,76.98,12.0%,18.8%,44.1%,94.3%,-1.4%
3,104,3415,4.62,72.2%,67.52,5.1%,13.9%,16.2%,95.3%,-1.8%
3,104,3526,4.54,74.5%,78.43,12.9%,17.6%,43.7%,94.7%,-1.4%
3,104,5266,4.47,62.1%,82.02,8.9%,15.8%,31.5%,94.3%,-2.7%
3,104,5772,4.66,75.5%,71.48,13.7%,19.0%,33.1%,94.4%,-1.1%
3,111,1390,4.37,59.9%,85.99,10.0%,16.1%,39.4%,90.3%,-2.9%
3,111,1513,4.55,63.3%,77.74,4.9%,15.9%,43.2%,94.8%,-1.4%
3,111,1536,4.45,66.4%,80.20,5.4%,18.3%,46.7%,92.3%,-2.0%
3,111,1712,4.54,70.5%,80.85,8.2%,17.3%,41.4%,93.7%,-1.8%
3,111,2081,4.54,63.5%,76.63,1.7%,15.3%,67.7%,93.5%,-1.9%
3,111,2796,4.55,73.2%,69.15,6.8%,15.8%,44.7%,93.3%,-2.0%
3,111,3372,4.51,62.5%,78.35,5.3%,15.8%,39.6%,94.7%,-1.8%
3,111,4690,4.52,73.9%,71.38,2.5%,10.9%,1.3%,89.4%,-2.3%
3,111,5218,4.28,66.3%,74.29,3.1%,14.9%,13.1%,88.0%,-3.8%
3,112,1482,4.66,77.1%,83.51,6.2%,15.6%,190.9%,94.2%,-2.1%
3,112,1501,4.7,74.2%,70.59,1.0%,12.9%,178.4%,95.5%,-1.8%
3,112,1960,4.58,71.8%,70.64,5.2%,15.2%,53.7%,94.3%,-2.6%
3,112,2627,4.59,71.5%,64.04,6.7%,13.9%,38.7%,93.8%,-2.8%
3,112,2740,4.56,69.5%,90.19,3.5%,15.2%,19.4%,95.8%,-1.3%
3,112,3197,4.57,66.3%,76.21,8.9%,14.7%,21.0%,94.5%,-2.5%
3,112,3418,4.5,71.4%,82.11,9.6%,18.8%,25.4%,94.3%,-1.6%
3,112,4681,4.41,78.0%,73.11,5.2%,15.0%,17.3%,95.0%,-2.3%
3,112,5036,4.63,77.1%,89.80,7.9%,16.9%,33.9%,96.0%,-1.0%
3,112,5220,4.6,83.3%,87.27,11.0%,15.2%,73.3%,95.0%,-2.2%
3,112,5964,4.55,74.5%,73.04,11.7%,13.5%,27.9%,95.0%,-2.5%
3,114,547,4.4,61.2%,83.89,3.6%,14.4%,11.9%,88.9%,-3.2%
3,114,706,4.36,66.5%,72.25,11.7%,17.9%,32.0%,92.5%,-1.8%
3,114,713,4.73,67.9%,94.66,7.2%,13.2%,166.7%,97.1%,-0.4%
3,114,718,4.45,61.5%,75.74,8.0%,15.6%,44.5%,91.5%,-2.6%
3,114,725,4.43,73.7%,74.95,3.3%,16.6%,26.8%,92.3%,-2.1%
3,114,779,4.49,66.5%,74.93,6.0%,14.6%,32.2%,91.2%,-2.9%
3,114,925,4.64,71.3%,76.92,5.3%,16.1%,179.8%,97.7%,-2.9%
3,114,1245,4.35,67.5%,76.37,3.7%,15.5%,28.6%,87.8%,-2.4%
3,114,2387,4.44,61.2%,78.59,4.7%,13.7%,28.8%,88.0%,-4.0%
3,114,3463,4.59,74.4%,87.81,3.9%,15.8%,16.7%,92.5%,-2.4%
4,29,605,4.41,67.2%,71.39,4.6%,11.8%,43.3%,83.0%,-3.8%
4,29,606,4.67,81.3%,74.19,5.9%,14.9%,131.5%,93.6%,-1.1%
4,29,635,4.4,67.7%,86.59,5.8%,14.2%,34.9%,89.1%,-4.5%
4,29,728,4.53,77.6%,93.21,0.9%,13.2%,20.3%,89.4%,-4.0%
4,29,1011,4.56,60.8%,80.56,7.4%,16.8%,43.7%,92.6%,-2.3%
4,29,1383,4.44,57.1%,84.09,3.4%,14.2%,30.2%,90.0%,-3.9%
4,29,2832,4.54,75.7%,76.86,7.0%,12.8%,29.0%,89.9%,-4.3%
4,29,2860,4.37,69.1%,79.87,5.4%,14.6%,97.1%,86.3%,-4.4%
4,29,4556,4.5,72.8%,82.00,7.1%,10.8%,104.2%,90.3%,-5.0%
4,29,6395,4.53,64.0%,48.67,2.8%,8.5%,9.7%,88.4%,-5.2%
4,29,7181,4.63,69.2%,89.19,6.9%,14.6%,38.3%,90.7%,-2.5%
4,35,631,4.53,64.3%,66.98,8.6%,17.4%,56.6%,91.3%,-3.4%
4,35,640,4.51,65.5%,68.92,9.4%,14.8%,75.9%,91.9%,-3.4%
4,35,641,4.42,73.1%,49.44,3.6%,7.3%,17.8%,90.7%,-6.0%
4,35,1123,4.49,68.9%,62.74,8.3%,18.0%,37.6%,92.8%,-2.0%
4,35,1244,4.68,69.7%,65.95,4.8%,15.4%,44.0%,96.9%,-3.4%
4,35,2265,4.48,67.1%,52.13,8.3%,17.6%,37.9%,91.6%,-2.0%
4,35,2687,4.46,69.7%,48.26,11.3%,16.9%,91.9%,91.6%,-1.8%
4,35,3191,4.63,57.4%,87.44,8.9%,16.0%,26.5%,95.3%,-1.4%
4,35,3192,4.48,65.8%,71.75,6.9%,13.8%,43.7%,91.2%,-4.8%
4,35,3222,4.59,71.3%,79.62,7.7%,17.3%,39.8%,95.6%,-1.7%
4,35,4583,4.63,67.7%,74.53,6.0%,16.9%,30.7%,93.7%,-1.7%
4,35,5487,4.52,63.3%,74.63,4.8%,18.0%,24.9%,94.6%,-1.9%
4,36,628,4.46,67.4%,79.47,5.4%,16.1%,93.2%,91.4%,
4,36,632,4.29,65.0%,80.00,6.7%,14.2%,98.8%,88.0%,-2.9%
4,36,1037,4.39,59.3%,70.57,2.0%,13.2%,92.2%,88.1%,-4.9%
4,36,1146,4.45,73.3%,78.79,8.4%,18.0%,33.1%,95.5%,-1.4%
4,36,1358,4.45,66.9%,85.79,6.5%,15.8%,26.2%,91.3%,-2.6%
4,36,1359,4.42,70.2%,73.12,12.6%,12.6%,94.4%,87.5%,-5.3%
4,36,1748,4.38,63.9%,78.41,6.9%,15.9%,92.9%,87.7%,-2.8%
4,36,2348,4.32,62.3%,56.71,0.2%,11.0%,120.1%,87.2%,-3.6%
4,36,2928,4.37,62.8%,88.91,0.8%,16.8%,31.7%,86.4%,-3.1%
4,36,3367,4.35,63.5%,61.04,-1.5%,12.0%,19.7%,81.4%,-7.0%
4,36,4384,4.46,62.7%,60.92,6.6%,13.9%,45.7%,90.6%,-3.0%
4,37,574,4.57,61.5%,81.61,4.6%,19.0%,35.4%,93.6%,-1.6%
4,37,586,4.56,68.2%,91.87,7.3%,17.6%,30.9%,93.6%,-1.5%
4,37,621,4.55,67.5%,78.25,5.5%,13.7%,17.3%,93.1%,-2.8%
4,37,625,4.64,69.0%,77.82,6.3%,17.2%,24.1%,93.6%,-2.1%
4,37,643,4.55,73.2%,84.38,4.0%,18.9%,-31.5%,93.8%,-1.6%
4,37,1829,4.66,77.2%,91.74,10.2%,14.3%,86.6%,95.3%,-2.4%
4,37,2712,4.51,68.3%,83.03,5.7%,18.5%,46.0%,92.6%,-2.5%
4,37,4664,4.59,67.0%,87.91,7.9%,18.2%,27.4%,94.7%,-2.1%
4,37,5087,4.48,66.2%,78.48,7.0%,18.2%,29.8%,91.5%,-1.4%
4,37,5705,4.64,62.2%,75.50,2.4%,17.7%,35.4%,92.7%,-1.5%
4,38,511,4.41,60.0%,82.47,6.1%,17.2%,31.7%,89.9%,-2.8%
4,38,616,4.4,72.6%,73.99,7.0%,12.3%,64.2%,84.5%,-3.7%
4,38,627,4.57,75.4%,87.72,6.9%,14.1%,102.7%,91.8%,-1.7%
4,38,630,4.38,69.7%,88.89,5.3%,14.5%,21.0%,90.7%,-2.3%
4,38,634,4.55,64.0%,85.64,7.7%,17.9%,44.7%,90.2%,-1.7%
4,38,642,4.59,67.7%,74.90,9.1%,15.4%,31.0%,94.5%,-1.6%
4,38,1017,4.55,72.1%,71.52,6.4%,16.1%,20.0%,92.7%,-0.9%
4,38,1030,4.55,67.7%,83.42,9.5%,16.2%,55.2%,93.0%,-2.1%
4,38,1135,4.54,65.7%,77.74,6.9%,15.7%,19.1%,90.5%,-1.0%
4,38,2703,4.41,63.2%,83.39,5.6%,14.8%,35.8%,90.9%,-3.0%
4,38,4457,4.62,63.1%,80.68,8.0%,10.7%,51.7%,95.3%,-1.8%
4,38,7188,4.67,76.7%,83.79,6.1%,12.0%,34.4%,94.9%,-2.7%
4,39,396,4.66,65.7%,89.39,-1.1%,14.8%,28.3%,94.4%,-1.9%
4,39,514,4.57,56.6%,87.96,2.6%,16.5%,34.3%,91.0%,-2.4%
4,39,624,4.63,67.4%,92.36,5.6%,15.2%,27.5%,93.3%,-2.0%
4,39,644,4.56,74.7%,79.18,5.7%,14.1%,69.1%,93.0%,-3.0%
4,39,795,4.69,63.3%,87.50,4.9%,15.3%,57.7%,91.8%,-2.1%
4,39,1130,4.59,76.9%,91.89,7.3%,15.2%,39.4%,94.4%,-2.3%
4,39,1270,4.6,72.5%,84.57,6.1%,16.8%,56.1%,92.6%,-2.1%
4,39,1382,4.58,65.2%,88.20,4.3%,16.0%,34.7%,93.8%,-1.9%
4,39,4487,4.56,64.4%,84.28,4.7%,17.3%,34.7%,90.5%,-1.3%
4,39,6576,4.62,72.2%,84.78,5.0%,17.3%,30.5%,93.5%,-1.4%
4,39,6887,4.69,64.9%,81.18,7.8%,13.2%,88.7%,93.8%,-2.5%
4,41,881,4.29,67.9%,75.00,6.1%,18.4%,32.1%,93.7%,-1.9%
4,41,1164,4.49,63.3%,74.11,1.8%,10.9%,44.7%,92.1%,-2.9%
4,41,1183,4.44,58.1%,80.42,5.8%,17.5%,53.5%,91.4%,-2.4%
4,41,1286,4.51,70.0%,91.17,3.1%,12.2%,55.8%,89.4%,-3.9%
4,41,1339,4.53,63.9%,70.73,10.1%,15.2%,67.6%,92.5%,-3.2%
4,41,2214,4.52,71.0%,72.14,9.8%,15.2%,61.0%,91.2%,-3.7%
4,41,4420,4.49,74.0%,92.47,7.9%,16.2%,24.6%,93.2%,-1.2%
4,41,4440,4.67,63.0%,84.74,7.6%,19.6%,30.2%,95.1%,-1.1%
4,41,4506,4.37,61.8%,87.26,3.9%,15.1%,28.2%,83.2%,-2.6%
4,41,4521,4.34,68.0%,78.81,10.9%,16.6%,44.3%,93.3%,-3.2%
4,42,585,4.48,64.1%,79.51,6.9%,13.7%,58.2%,90.3%,-2.5%
4,42,629,4.6,64.2%,86.45,7.6%,14.5%,80.3%,94.1%,-1.2%
4,42,638,4.47,63.4%,70.64,6.6%,14.7%,33.9%,93.3%,-2.1%
4,42,1035,4.56,71.8%,84.77,14.4%,16.7%,70.0%,93.3%,-2.6%
