Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
26,1010,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,73.33%,46.30%,23.1,61.70%,64.40%,90.40%,81.30%,
26,1010,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,73.02%,55.85%,16.8,58.50%,60.40%,89.70%,83.30%,
26,1097,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,79.57%,64.10%,19.5,85.10%,68.70%,81.70%,85.20%,
26,1097,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,72.86%,68.76%,12.1,77.40%,72.90%,74.50%,67.20%,
26,3700,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,83.00%,80.43%,8.7,84.80%,79.10%,86.00%,82.30%,
26,3700,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,75.18%,77.78%,15.6,88.00%,76.10%,85.90%,57.30%,
59,4157,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,86.87%,81.19%,8.8,88.00%,86.30%,85.70%,88.00%,
59,4157,UBER,Scheduled Standard Delivery,13,Executive Review,Recovering,Store Focus,202217,87.25%,79.44%,13.5,100.00%,79.50%,87.10%,96.20%,
59,6176,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202217,85.41%,67.41%,10.1,88.00%,86.60%,89.60%,74.10%,
59,6263,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,84.79%,80.01%,7.5,86.30%,87.90%,71.90%,94.10%,
59,6264,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Store Focus,202217,77.75%,74.13%,9.7,92.30%,72.60%,80.00%,53.50%,
3,494,POINTPICKUP,Scheduled Express Delivery ,3,Active Monitoring,Recovering,Store Focus,202217,92.16%,88.24%,18.6,100.00%,100.00%,85.70%,85.70%,
3,494,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202217,78.46%,85.42%,13.6,74.00%,80.20%,87.10%,70.60%,
3,494,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,77.15%,81.70%,11.1,66.90%,78.10%,87.70%,76.40%,
3,3461,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Store Focus,202217,90.90%,83.95%,7.3,92.90%,96.70%,90.00%,83.40%,
3,5363,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202217,91.43%,92.24%,8.6,90.70%,92.40%,98.40%,83.30%,
3,588,SPARK,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202217,91.02%,83.52%,11.1,94.20%,94.90%,86.10%,90.10%,
3,843,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202217,71.43%,88.46%,7.6,61.00%,82.10%,60.00%,83.30%,
3,899,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202217,86.02%,91.55%,9.1,84.20%,90.10%,84.50%,85.50%,
3,899,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202217,87.88%,89.84%,7.3,91.60%,89.40%,88.70%,82.90%,
3,2615,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202217,80.44%,71.88%,12.2,76.70%,83.90%,82.80%,76.50%,
3,2615,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202217,81.50%,68.02%,11.2,75.10%,90.00%,82.70%,74.70%,
3,5797,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,202217,86.86%,81.15%,7.4,91.80%,90.80%,87.70%,76.90%,
3,639,SPARK,Scheduled Standard Delivery,34,Executive Review,Degrading,Store Focus,202217,76.38%,60.04%,13,79.10%,67.00%,78.90%,81.30%,
3,754,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202217,85.29%,74.80%,12.2,80.20%,76.90%,93.80%,87.40%,
3,1227,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,85.13%,74.48%,11,88.30%,89.90%,94.60%,71.90%,
3,2733,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Store Focus,202217,94.39%,87.00%,7.2,96.20%,95.90%,99.10%,89.10%,
3,551,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,202217,86.95%,75.33%,13.6,93.20%,83.10%,78.70%,93.90%,
3,1081,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202217,82.60%,80.79%,11.9,88.10%,63.00%,91.00%,89.60%,
3,1081,UBER,Scheduled Standard Delivery,34,Executive Review,Degrading,Store Focus,202217,82.68%,80.03%,14.4,89.20%,59.70%,90.60%,85.70%,
3,1297,DOORDASH,Scheduled Express Delivery ,4,At Risk,Degrading,Driver Supply Focus,202217,89.92%,92.68%,5.3,78.10%,94.10%,96.80%,90.90%,
3,1391,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,92.15%,80.43%,9.1,81.50%,98.00%,97.70%,88.40%,
3,1077,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Store Focus,202217,88.53%,86.39%,5.8,96.70%,91.60%,86.80%,79.50%,
3,1223,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202217,89.91%,92.81%,5.7,97.50%,93.40%,91.20%,76.40%,
3,1408,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,83.08%,82.73%,8.4,89.20%,86.90%,84.00%,72.10%,
3,4427,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202217,92.58%,99.03%,5,98.00%,94.50%,93.60%,84.20%,
3,4520,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202217,92.12%,90.27%,5.1,94.80%,95.10%,93.70%,82.60%,
3,928,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202217,90.26%,78.66%,5.7,93.40%,87.30%,93.00%,87.40%,
3,928,UBER,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202217,91.08%,76.33%,7.5,90.10%,88.00%,94.10%,92.80%,
3,3309,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202217,90.82%,92.48%,7.9,89.50%,93.90%,92.40%,86.90%,
3,5037,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202217,83.36%,75.88%,12.9,75.10%,87.40%,89.90%,81.70%,
3,5037,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,80.70%,78.47%,7.2,87.50%,88.80%,74.50%,71.00%,
3,1090,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202217,89.87%,96.30%,9.7,87.00%,97.40%,90.60%,85.40%,
72,2858,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,88.17%,70.84%,10,88.20%,86.30%,88.40%,89.70%,
72,6732,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202217,93.58%,86.77%,4.7,100.00%,97.90%,90.70%,89.10%,
59,920,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202217,87.44%,88.62%,8.2,92.20%,87.10%,88.90%,83.00%,
19,2872,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202217,82.20%,92.80%,4.6,75.00%,86.50%,82.80%,84.30%,
19,3336,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202217,82.23%,95.56%,6.2,82.40%,79.70%,92.50%,77.00%,
19,4383,DOORDASH,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202217,80.18%,72.65%,13.9,75.90%,62.70%,82.60%,93.00%,
19,4383,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,63.51%,74.03%,9.1,58.90%,58.60%,65.30%,78.30%,
19,3453,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202217,78.65%,78.76%,8.1,64.80%,74.10%,76.20%,91.80%,
19,2010,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202217,88.32%,83.26%,7.2,93.10%,90.90%,79.20%,90.90%,
19,3436,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Degrading,Store Focus,202217,95.35%,74.47%,8.6,88.90%,92.30%,100.00%,100.00%,
19,3436,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202217,88.62%,94.20%,5.8,88.00%,92.90%,87.00%,85.00%,
19,5065,SPARK,Scheduled Standard Delivery,38,Executive Review,Degrading,Store Focus,202217,82.41%,70.23%,8.3,88.50%,74.50%,79.00%,93.00%,
19,5280,SPARK,Scheduled Standard Delivery,43,Executive Review,Recovering,Driver Supply Focus,202217,84.95%,89.32%,6.4,94.20%,83.10%,81.50%,87.60%,
19,2080,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202217,84.51%,80.13%,8.7,89.80%,84.20%,76.60%,88.00%,
19,2618,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202217,84.39%,94.91%,6,80.60%,81.90%,87.80%,88.30%,
19,2700,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202217,74.33%,97.68%,4.4,65.00%,76.10%,81.80%,74.20%,
19,2869,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Store Focus,202217,89.22%,81.19%,7.2,94.70%,89.90%,84.10%,87.00%,
19,5048,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,77.62%,87.67%,5.4,71.60%,73.50%,80.40%,84.20%,
19,5893,DOORDASH,Scheduled Express Delivery ,4,At Risk,Degrading,Store Focus,202217,89.36%,82.35%,9,80.00%,94.40%,100.00%,84.60%,
19,5893,DOORDASH,Scheduled Standard Delivery,18,Executive Review,Recovering,Store Focus,202217,88.36%,81.03%,10.8,91.50%,84.20%,88.50%,90.00%,
19,5893,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202217,75.11%,80.59%,8.1,74.70%,72.40%,75.50%,78.10%,
19,1611,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202217,87.76%,96.91%,4.1,94.00%,85.30%,87.30%,84.90%,
19,1987,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202217,86.58%,99.10%,4.3,91.50%,92.90%,84.40%,76.50%,
19,2354,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,83.95%,86.22%,5.3,79.10%,85.10%,84.50%,86.90%,
19,2692,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202217,81.20%,89.10%,5.1,84.30%,77.70%,73.20%,89.40%,
19,4424,SPARK,Scheduled Standard Delivery,43,Executive Review,Degrading,Store Focus,202217,73.97%,77.90%,8.7,61.50%,70.30%,78.30%,84.50%,
19,5844,DOORDASH,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202217,79.18%,70.05%,11.6,71.70%,78.20%,78.60%,86.10%,
19,5844,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202217,76.29%,73.44%,9.5,64.20%,76.70%,78.90%,83.30%,
19,5028,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,83.03%,73.96%,8.6,88.80%,85.40%,75.00%,84.00%,
19,4631,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202217,79.58%,98.75%,4.8,76.10%,85.70%,73.00%,84.40%,
19,5404,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202217,53.08%,57.31%,16.8,50.00%,46.30%,47.30%,63.80%,
44,271,DOORDASH,Scheduled Express Delivery ,13,Executive Review,Degrading,Driver Supply Focus,202217,85.51%,97.22%,4.1,82.40%,73.30%,100.00%,87.00%,
44,389,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,79.56%,66.33%,11.8,63.10%,81.20%,83.00%,86.90%,
44,389,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,74.68%,67.21%,17.7,62.70%,78.70%,79.10%,73.10%,
44,2803,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,91.09%,75.99%,9.6,86.60%,90.30%,96.70%,90.00%,
13,3167,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202217,82.17%,80.16%,7.8,82.20%,76.90%,77.50%,92.10%,
13,5022,SPARK,Scheduled Standard Delivery,43,Executive Review,Degrading,Store Focus,202217,83.99%,86.05%,9.4,88.70%,78.00%,82.40%,86.60%,
13,989,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202217,87.31%,74.14%,8.3,94.70%,93.70%,83.30%,78.50%,
13,1353,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202217,86.06%,80.56%,11,84.90%,92.20%,82.20%,85.10%,
13,485,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202217,80.00%,100.00%,7.2,100.00%,100.00%,100.00%,57.10%,
13,485,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202217,67.97%,91.36%,6.4,50.00%,80.60%,65.90%,77.10%,
13,761,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202217,88.70%,92.35%,5.9,87.50%,94.90%,84.60%,87.30%,
13,1016,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,85.38%,74.29%,12.9,79.50%,89.60%,78.90%,92.70%,
13,2913,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Store Focus,202217,84.05%,74.36%,11.3,94.10%,88.30%,34.10%,92.60%,
13,532,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202217,80.21%,90.31%,7.7,74.00%,91.20%,79.30%,75.40%,
13,839,DOORDASH,Scheduled Express Delivery ,7,Executive Review,-,Store Focus,202217,90.04%,70.87%,16.7,,91.10%,87.30%,90.70%,
13,839,DOORDASH,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,63.08%,62.34%,23.4,83.00%,88.20%,46.20%,63.90%,
13,839,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,65.90%,75.76%,10.4,83.70%,82.70%,40.90%,54.20%,
13,935,DOORDASH,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,202217,84.59%,78.64%,9,62.70%,66.70%,98.10%,94.80%,
13,1102,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,78.52%,67.29%,17.1,58.30%,90.70%,81.40%,88.60%,
13,1102,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202217,71.84%,70.61%,7.8,54.30%,84.00%,72.90%,79.90%,
13,1206,DOORDASH,Scheduled Standard Delivery,16,Executive Review,Recovering,Store Focus,202217,82.09%,66.45%,10,95.50%,80.00%,80.20%,81.90%,
13,1206,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202217,79.44%,77.51%,6.2,86.00%,83.20%,80.70%,71.40%,
13,1266,DOORDASH,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202217,86.05%,83.29%,9,84.30%,81.80%,87.30%,95.20%,
13,1266,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,88.17%,87.18%,5.2,88.90%,89.90%,87.30%,86.50%,
13,4683,DOORDASH,Scheduled Standard Delivery,14,Executive Review,-,Store Focus,202217,82.90%,56.34%,14.6,,66.70%,72.10%,92.30%,
13,1136,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,72.98%,73.82%,6.6,77.90%,72.60%,67.70%,73.00%,
13,2132,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202217,83.25%,94.96%,4.8,82.40%,89.10%,81.70%,80.20%,
13,3288,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202217,75.20%,64.81%,8.4,64.40%,75.90%,79.00%,84.30%,
13,5056,DOORDASH,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202217,67.33%,61.02%,26.5,64.70%,21.70%,78.10%,93.10%,
13,5056,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202217,58.84%,67.16%,15.2,34.80%,30.60%,68.50%,82.40%,
13,533,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202217,87.18%,88.94%,6.1,90.50%,92.40%,80.80%,87.50%,
13,543,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,-,Store Focus,202217,91.30%,83.33%,7.3,,75.00%,100.00%,91.70%,
13,2938,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,82.24%,93.20%,6.4,74.80%,85.60%,81.70%,87.00%,
13,539,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202217,88.17%,67.88%,10.9,78.30%,87.20%,88.70%,93.30%,
13,365,POINTPICKUP,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202217,87.91%,79.14%,10.3,82.80%,84.10%,88.40%,94.00%,
13,875,POINTPICKUP,Scheduled Standard Delivery,38,Executive Review,Degrading,Store Focus,202217,84.12%,89.46%,10,86.70%,88.20%,80.70%,82.50%,
13,875,SPARK,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202217,86.82%,88.04%,8,95.00%,86.70%,75.70%,88.90%,
13,1710,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202217,91.63%,90.47%,6.7,96.90%,92.70%,89.70%,90.40%,
13,1710,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202217,85.24%,92.92%,5.4,83.30%,86.70%,83.80%,86.50%,
13,2720,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Recovering,Store Focus,202217,91.88%,93.42%,9.7,100.00%,100.00%,91.80%,88.70%,
13,2720,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202217,91.56%,90.70%,8.4,100.00%,89.20%,92.50%,91.10%,
13,2755,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,202217,87.96%,85.36%,8.1,91.50%,87.00%,88.40%,86.70%,
13,2755,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202217,90.48%,87.75%,6.1,91.40%,90.20%,87.30%,93.60%,
13,6469,POINTPICKUP,Scheduled Standard Delivery,37,Executive Review,Recovering,Store Focus,202217,88.94%,94.71%,9.7,91.40%,88.40%,93.00%,81.00%,
13,501,DOORDASH,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202217,82.63%,89.29%,15.1,68.20%,87.20%,90.30%,75.40%,
13,501,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202217,89.13%,92.22%,8.2,90.70%,91.90%,92.40%,80.90%,
13,916,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Store Focus,202217,86.26%,79.10%,10.1,97.60%,82.40%,83.80%,86.90%,
13,1025,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202217,82.74%,83.00%,15.1,72.50%,88.10%,84.70%,83.50%,
64,4048,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,89.63%,81.08%,6.9,89.50%,94.70%,89.50%,84.40%,
64,4659,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,64.79%,66.01%,7.9,85.80%,56.70%,49.40%,68.50%,
64,7262,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202217,83.35%,74.71%,5.8,90.30%,81.70%,73.30%,91.50%,
12,118,POINTPICKUP,Scheduled Express Delivery ,3,Active Monitoring,Degrading,Driver Supply Focus,202217,87.65%,94.62%,6.2,64.30%,86.40%,100.00%,92.30%,
12,332,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202217,72.75%,71.59%,11.8,48.20%,64.80%,89.70%,84.60%,
12,7324,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Recovering,Store Focus,202217,91.18%,70.42%,13,95.70%,94.10%,80.00%,88.90%,
12,7324,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202217,89.20%,76.65%,10.6,88.90%,86.30%,92.90%,89.90%,
12,155,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202217,83.97%,81.23%,8.3,58.30%,89.30%,83.70%,90.10%,
12,182,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202217,85.51%,91.07%,7.8,83.30%,86.30%,88.60%,82.40%,
12,699,POINTPICKUP,Scheduled Standard Delivery,22,Executive Review,Recovering,Store Focus,202217,88.33%,84.82%,10.4,95.00%,91.30%,82.90%,88.90%,
12,699,SPARK,Scheduled Standard Delivery,26,Executive Review,Recovering,Store Focus,202217,88.09%,82.68%,6.7,92.60%,89.50%,86.80%,83.10%,
12,394,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Driver Supply Focus,202217,84.44%,92.31%,8.2,80.00%,89.30%,81.00%,85.70%,
12,662,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202217,91.01%,74.73%,9.1,93.80%,91.30%,93.90%,87.70%,
12,766,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202217,92.45%,92.20%,7.1,93.20%,87.00%,98.20%,91.40%,
12,1124,POINTPICKUP,Scheduled Express Delivery ,15,Executive Review,Recovering,Store Focus,202217,94.87%,87.80%,11.2,100.00%,100.00%,88.90%,90.00%,
12,1124,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Recovering,Store Focus,202217,88.49%,72.22%,12.5,94.70%,93.50%,86.50%,84.60%,
12,5703,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Recovering,Store Focus,202217,77.55%,51.85%,11,100.00%,84.00%,65.10%,88.50%,
12,175,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,62.50%,86.11%,10.2,66.70%,70.00%,50.00%,62.50%,
12,94,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Store Focus,202217,85.43%,75.02%,8.5,79.80%,87.70%,84.10%,90.40%,
12,950,SPARK,Scheduled Standard Delivery,44,Executive Review,Degrading,Store Focus,202217,77.95%,58.21%,13.6,88.40%,72.40%,75.00%,80.00%,
12,1561,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,79.17%,78.24%,9.5,77.90%,81.30%,75.80%,82.00%,
12,1561,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,82.75%,75.10%,11.7,82.20%,82.10%,86.50%,79.80%,
12,192,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202217,87.64%,88.45%,5.1,76.20%,87.20%,92.00%,90.10%,
12,673,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202217,89.36%,88.88%,6.5,89.90%,91.30%,87.30%,88.80%,
12,416,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,80.65%,100.00%,6.4,76.90%,85.70%,78.60%,78.60%,
12,2757,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202217,80.33%,98.48%,7.4,77.80%,87.00%,69.20%,81.30%,
12,688,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,59.70%,86.30%,11,60.00%,53.30%,57.90%,69.20%,
12,710,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Store Focus,202217,91.73%,86.27%,5.3,96.30%,89.60%,90.50%,91.70%,
12,4482,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,73.17%,95.65%,8.1,86.70%,92.30%,44.40%,25.00%,
12,5058,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,59.65%,75.38%,14.7,54.50%,73.30%,60.00%,50.00%,
12,5616,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202217,91.46%,96.36%,5.2,93.00%,90.30%,89.70%,93.70%,
72,5122,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,84.81%,83.06%,5.9,89.90%,81.90%,83.60%,84.20%,
59,7342,POINTPICKUP,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202217,69.04%,52.19%,20.9,47.70%,83.60%,64.00%,72.20%,
59,7342,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,71.17%,54.07%,14.5,49.30%,79.70%,73.00%,77.70%,
60,2249,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202217,90.61%,95.27%,4.7,93.50%,90.30%,83.00%,95.50%,
60,2722,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,91.19%,87.36%,6.9,89.70%,95.60%,87.80%,91.60%,
60,2126,DOORDASH,Scheduled Express Delivery ,19,Executive Review,Recovering,Driver Supply Focus,202217,87.10%,93.94%,7.6,100.00%,100.00%,81.80%,86.70%,
60,3053,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,78.94%,61.05%,6.1,72.40%,86.30%,69.60%,88.90%,
60,5628,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,81.12%,87.01%,4.3,77.30%,87.00%,82.10%,77.50%,
60,5628,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202217,83.30%,88.48%,7.7,87.40%,81.80%,82.30%,82.10%,
60,5272,POINTPICKUP,Scheduled Express Delivery ,27,Executive Review,Recovering,Store Focus,202217,89.11%,99.18%,9.7,95.70%,95.50%,88.50%,80.00%,
60,2187,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,90.33%,99.27%,3.5,88.30%,96.40%,89.40%,87.60%,
60,2552,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202217,86.44%,96.80%,4,93.40%,88.00%,82.80%,79.50%,
60,5899,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,52.78%,72.45%,7.8,60.20%,64.50%,35.30%,49.10%,
60,5935,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202217,88.06%,84.55%,4.5,91.10%,86.80%,87.60%,86.90%,
60,2385,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202217,84.62%,90.01%,6.2,90.90%,83.10%,86.10%,78.20%,
60,2516,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,66.46%,81.86%,9,77.80%,61.70%,72.50%,51.70%,
