Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
14,4497,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202217,83.77%,77.25%,9.5,86.30%,85.90%,90.00%,73.70%,
14,4497,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,79.52%,75.70%,9.2,83.10%,77.30%,88.80%,68.20%,
14,990,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,80.83%,90.48%,8.6,78.50%,82.90%,82.70%,79.60%,
14,944,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,65.72%,72.44%,9.8,66.20%,74.90%,70.60%,50.60%,
14,944,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,60.73%,65.79%,17.4,59.70%,82.40%,61.40%,46.60%,
14,1362,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,84.71%,90.16%,11.1,68.90%,86.60%,94.20%,93.90%,
14,1362,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,86.93%,94.95%,5.8,77.00%,91.00%,89.80%,88.60%,
14,5845,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202217,89.64%,75.67%,10,81.80%,97.50%,87.00%,91.30%,
72,4504,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,65.59%,74.88%,9.1,85.50%,82.30%,58.10%,32.40%,
72,5740,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202217,85.56%,87.24%,6.3,89.70%,84.20%,83.80%,85.60%,
72,5744,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,92.06%,73.94%,9.6,87.10%,92.80%,94.40%,92.50%,
5,1801,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202217,86.34%,84.33%,9,83.50%,93.30%,81.00%,88.10%,
5,5147,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Store Focus,202217,87.09%,83.01%,8.5,87.50%,87.70%,83.00%,90.20%,
5,827,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Recovering,Driver Supply Focus,202217,85.53%,92.39%,7.4,90.00%,81.80%,84.60%,85.70%,
5,471,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202217,89.38%,92.21%,7.1,88.60%,89.80%,86.40%,92.80%,
