Store Number,Task,Installer,Install week 
4474,Connected Brightsign - Test Content,Telaid,20
661,Connected Brightsign - Test Content,Telaid,20
1711,Connected Brightsign - Test Content,Telaid,20
1620,Connected Brightsign - Test Content,Telaid,20
731,Connected Brightsign - Test Content,Telaid,20
2748,Connected Brightsign - Test Content,Telaid,20
1481,Connected Brightsign - Test Content,Telaid,20
1229,Connected Brightsign - Test Content,Telaid,20
332,Connected Brightsign - Test Content,Telaid,20
4318,Connected Brightsign - Test Content,Telaid,20
4407,Connected Brightsign - Test Content,Telaid,20
5113,Connected Brightsign - Test Content,Telaid,20
100,Connected Brightsign - Test Content,Telaid,20
359,Connected Brightsign - Test Content,Telaid,20
5244,Connected Brightsign - Test Content,Telaid,20
36,Connected Brightsign - Test Content,Telaid,20
5260,Connected Brightsign - Test Content,Telaid,20
7,Connected Brightsign - Test Content,Telaid,20
4108,Connected Brightsign - Test Content,Telaid,20
70,Connected Brightsign - Test Content,Telaid,20
1218,Connected Brightsign - Test Content,Telaid,20
1512,Connected Brightsign - Test Content,Telaid,20
1299,Connected Brightsign - Test Content,Telaid,20
4336,Connected Brightsign - Test Content,Telaid,20
3465,Connected Brightsign - Test Content,Telaid,20
2768,Connected Brightsign - Test Content,Telaid,20
1646,Connected Brightsign - Test Content,Telaid,20
1533,Connected Brightsign - Test Content,Telaid,20
5330,Connected Brightsign - Test Content,Telaid,20
5190,Connected Brightsign - Test Content,Telaid,20
2515,Connected Brightsign - Test Content,Telaid,20
4337,Connected Brightsign - Test Content,Telaid,20
2112,Connected Brightsign - Test Content,Telaid,20
1230,Connected Brightsign - Test Content,Telaid,20
1746,Connected Brightsign - Test Content,Telaid,20
1474,Connected Brightsign - Test Content,Telaid,20
1574,Connected Brightsign - Test Content,Telaid,20
5032,Connected Brightsign - Test Content,Telaid,20
2842,Connected Brightsign - Test Content,Telaid,20
1910,Connected Brightsign - Test Content,Telaid,20
4340,Connected Brightsign - Test Content,Telaid,20
1805,Connected Brightsign - Test Content,Telaid,20
1563,Connected Brightsign - Test Content,Telaid,20
1972,Connected Brightsign - Test Content,Telaid,20
2537,Connected Brightsign - Test Content,Telaid,20
1600,Connected Brightsign - Test Content,Telaid,20
3587,Connected Brightsign - Test Content,Telaid,20
5154,Connected Brightsign - Test Content,Telaid,20
5338,Connected Brightsign - Test Content,Telaid,20
1917,Connected Brightsign - Test Content,Telaid,20
3352,Connected Brightsign - Test Content,Telaid,20
2031,Connected Brightsign - Test Content,Telaid,20
1588,Connected Brightsign - Test Content,Telaid,20
3652,Connected Brightsign - Test Content,Telaid,20
2190,Connected Brightsign - Test Content,Telaid,20
1689,Connected Brightsign - Test Content,Telaid,20
4288,Connected Brightsign - Test Content,Telaid,20
984,Connected Brightsign - Test Content,Telaid,20
1434,Connected Brightsign - Test Content,Telaid,20
966,Connected Brightsign - Test Content,Telaid,20
4335,Connected Brightsign - Test Content,Telaid,20
1095,Connected Brightsign - Test Content,Telaid,20
5099,Connected Brightsign - Test Content,Telaid,20
2125,Connected Brightsign - Test Content,Telaid,20
5049,Connected Brightsign - Test Content,Telaid,20
905,Connected Brightsign - Test Content,Telaid,20
4599,Connected Brightsign - Test Content,Telaid,20
2223,Connected Brightsign - Test Content,Telaid,20
2371,Connected Brightsign - Test Content,Telaid,20
3802,Connected Brightsign - Test Content,Telaid,20
3474,Connected Brightsign - Test Content,Telaid,20
2387,Connected Brightsign - Test Content,Telaid,20
2484,Connected Brightsign - Test Content,Telaid,20
860,Connected Brightsign - Test Content,Telaid,20
1362,Connected Brightsign - Test Content,Telaid,20
960,Connected Brightsign - Test Content,Telaid,20
987,Connected Brightsign - Test Content,Telaid,20
1590,Connected Brightsign - Test Content,Telaid,20
3163,Connected Brightsign - Test Content,Telaid,20
1104,Connected Brightsign - Test Content,Telaid,20
1172,Connected Brightsign - Test Content,Telaid,20
5250,Connected Brightsign - Test Content,Telaid,20
1032,Connected Brightsign - Test Content,Telaid,20
4303,Connected Brightsign - Test Content,Telaid,20
990,Connected Brightsign - Test Content,Telaid,20
1851,Connected Brightsign - Test Content,Telaid,20
814,Connected Brightsign - Test Content,Telaid,20
908,Connected Brightsign - Test Content,Telaid,20
551,Connected Brightsign - Test Content,Telaid,20
5455,Connected Brightsign - Test Content,Telaid,20
818,Connected Brightsign - Test Content,Telaid,20
1605,Connected Brightsign - Test Content,Telaid,20
1390,Connected Brightsign - Test Content,Telaid,20
2962,Connected Brightsign - Test Content,Telaid,20
582,Connected Brightsign - Test Content,Telaid,20
4260,Connected Brightsign - Test Content,Telaid,20
1536,Connected Brightsign - Test Content,Telaid,20
1223,Connected Brightsign - Test Content,Telaid,20
2627,Connected Brightsign - Test Content,Telaid,20
649,Connected Brightsign - Test Content,Telaid,20
769,Connected Brightsign - Test Content,Telaid,20
1541,Connected Brightsign - Test Content,Telaid,20
968,Connected Brightsign - Test Content,Telaid,20
5797,Connected Brightsign - Test Content,Telaid,20
4436,Connected Brightsign - Test Content,Telaid,20
856,Connected Brightsign - Test Content,Telaid,20
1314,Connected Brightsign - Test Content,Telaid,20
4200,Connected Brightsign - Test Content,Telaid,20
1006,Connected Brightsign - Test Content,Telaid,20
4558,Connected Brightsign - Test Content,Telaid,20
669,Connected Brightsign - Test Content,Telaid,20
3710,Connected Brightsign - Test Content,Telaid,20
907,Connected Brightsign - Test Content,Telaid,20
1373,Connected Brightsign - Test Content,Telaid,20
1340,Connected Brightsign - Test Content,Telaid,20
3627,Connected Brightsign - Test Content,Telaid,20
5151,Connected Brightsign - Test Content,Telaid,20
4556,Connected Brightsign - Test Content,Telaid,20
1720,Connected Brightsign - Test Content,Telaid,20
1184,Connected Brightsign - Test Content,Telaid,20
2584,Connected Brightsign - Test Content,Telaid,20
