Store,UPC,Item Number,Item Description,SumOfOn Hand,DIVISION NAME
1,0005134212867,1014364,245/40ZR20XL EXTREME,4,A
1,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
1,0005134218754,565546969,215/55ZR17 G-MAX AS-,2,A
1,0019156300960,596855364,205/55R16 N5000 PLAT,1,A
1,0071545941735,568241762,205/55R16 KINERGY ST,1,A
1,0071545955205,652086557,245/65R17XL DYNAPRO,1,A
2,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
2,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,A
2,0008669936740,650473840,255/55R18XL PILOT SP,1,A
2,0008669971447,650408608,265/70R17 TRAIL-TERR,4,A
2,0019156300940,596855304,235/50R17 N5000 PLAT,1,A
2,0019156300949,596855359,215/55R16 N5000 PLAT,1,A
2,0071545932261,553090624,195/75R16 RH12,2,A
2,0071545934238,553090814,225/50R16 H457,1,A
2,0071545935211,553091551,225/35ZR19/XL VENTUS,2,A
2,0071545941903,565477986,P265/75R16 DYNAPRO A,1,A
2,0071545942425,568241677,205/75R15 KINERGY ST,2,A
2,0071545944125,579085684,245/70R17 DYNAPRO AT,1,A
2,0071545955205,652086557,245/65R17XL DYNAPRO,1,A
2,0088761325580,577782959,P195/55R15XL N'PRIZ,1,A
2,0088761356080,550348430,265/60R18 ROADIAN HP,2,A
3,0005134211090,1089951,155/60R15SL PRO CONT,2,A
3,0005134215360,551272044,235/45R18SL PRO CONT,1,A
3,0005134216428,563226363,265/70R18 GRABBER HT,2,A
3,0005134218793,565547014,275/35ZR20XL G-MAX A,1,A
3,0005134218874,568171889,225/50ZR16 G-MAX RS,2,A
3,0005134219763,570385986,235/45R18 PURECONTAC,1,A
3,0005413703327,555373456,245/40ZR20XL PZERO,1,A
3,0008669901313,650408446,255/70R17 TRAIL-TERR,1,A
3,0008669937647,650468441,TIGER PAW TOURING AS,1,A
3,0008669996020,650468425,TIGER PAW TOURING AS,4,A
3,0019156300960,596855364,205/55R16 N5000 PLAT,1,A
3,0071545921705,1000706,275/45VR20XL VENTUS,1,A
3,0071545930904,550699709,P265/70R16 DYNAPRO H,4,A
3,0071545930907,550699712,P245/75R16 DYNAPRO H,4,A
3,0071545930918,550699753,P265/70R18 DYNAPRO H,4,A
3,0071545934232,553091291,215/45R17/XL H457,1,A
3,0071545941742,568241700,235/65R17 KINERGY ST,2,A
3,0071545942421,568241679,195/75R14 KINERGY ST,1,A
3,0088761351390,550002226,P185/65R14 N'PRIZ AH,1,A
3,0880895609257,554065191,235/55ZR17XL ECSTA L,4,A
3,0880895609394,554064936,215/55R16 ECSTA LX P,1,A
3,0880895615410,554281971,185/60R15 SOLUS TA11,4,A
3,0880895627062,578596085,255/70R17 CRUGEN HT5,1,A
4,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
4,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,A
4,0071545935364,563454908,235/50R19 VENTUS S1,4,A
4,0071545941739,568241773,225/65R17 KINERGY ST,2,A
4,0071545942426,568241648,215/75R15 KINERGY ST,1,A
4,0071545944153,568241764,205/65R15 KINERGY PT,1,A
4,0088761327800,552784918,265/65R18 RO-AT PRO,2,A
4,0088761352090,556216517,255/70R18 ROADIAN A/,2,A
4,0088761354110,563793178,LT245/75R16 ROADIAN,2,A
5,0005134218766,565546894,215/45ZR18XL G-MAX A,1,A
5,0008669923044,650468428,TIGER PAW TOURING AS,1,A
5,0008669977092,650473536,215/55R16 ENERGY SAV,1,A
5,0019156300960,596855364,205/55R16 N5000 PLAT,2,A
5,0071545933799,551272141,P245/65R17T DYNAPRO,1,A
5,0071545934235,553090664,235/45R17/XL H457,1,A
5,0071545941735,568241762,205/55R16 KINERGY ST,1,A
5,0071545942425,568241677,205/75R15 KINERGY ST,1,A
5,0071545945965,579085676,195/75R14 KINERGY ST,2,A
5,0072150693348,585811836,235/55R19 AVID GT S3,1,A
5,0088761354080,556216529,235/75R15XL N'PRIZ A,1,A
5,0880895609266,554064914,215/55R17 ECSTA LX P,2,A
7,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
7,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,A
7,0071545941735,568241762,205/55R16 KINERGY ST,1,A
7,0072150693346,585811848,225/40R18 AVID GT S3,2,A
8,0005134215459,658544526,215/60R16 ALTIMAX RT,1,A
8,0005134218754,565546969,215/55ZR17 G-MAX AS-,1,A
8,0005413706623,568528962,265/70R17 SCORPION A,1,A
8,0019156300960,596855364,205/55R16 N5000 PLAT,1,A
8,0071545930897,550699739,P235/75R15XL DYNAPRO,1,A
8,0071545941735,568241762,205/55R16 KINERGY ST,2,A
8,0071545955205,652086557,245/65R17XL DYNAPRO,1,A
9,0005134205338,658219097,245/55R19 ALTIMAX RT,4,E
9,0005134217767,582885054,245/60R18XL GRABBER,1,E
9,0005134218747,565546923,225/50ZR16 G-MAX AS-,1,E
9,0005134218771,565546872,235/45ZR18XL G-MAX A,1,E
9,0005134218775,565546868,245/55ZR18 G-MAX AS-,1,E
9,0005134219885,570386009,225/60R16 TRUECONTAC,1,E
9,0019156300960,596855364,205/55R16 N5000 PLAT,1,E
9,0019156300969,596855371,245/45R18 N5000 PLAT,1,E
9,0071545930911,550699721,P265/65R17 DYNAPRO H,1,E
9,0071545934239,553091133,205/50R17/XL H457,1,E
9,0071545935202,551565347,245/50R20 DYNAPRO HP,1,E
9,0071545938760,579085751,235/40R19 KINERGY GT,2,E
9,0071545941903,565477986,P265/75R16 DYNAPRO A,1,E
9,0071545942415,568241681,175/70R13 KINERGY ST,1,E
9,0084898300210,553735339,245/45R17XL ZIEX ZE9,1,E
9,0084898301685,578595709,195/65R15 ZIEX ZE960,1,E
