Store,Market,Region,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2,322,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
16,321,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
19,335,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
20,357,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
23,135,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
24,326,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
26,411,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
28,347,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
29,359,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
33,325,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
34,334,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
35,407,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
39,410,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
43,407,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
46,357,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
50,347,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
52,325,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
55,321,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
59,334,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
64,146,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
72,410,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
75,134,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
80,359,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
93,145,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
98,135,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
104,146,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
105,4,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
110,89,9,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
112,138,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
114,4,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
115,138,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
116,127,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
118,4,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
121,351,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
124,324,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
126,324,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
129,350,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
130,347,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
131,47,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
134,344,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
135,360,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
137,352,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
139,353,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
141,321,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
147,350,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
154,311,20,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
159,359,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
161,147,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
165,46,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
167,327,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
170,134,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
172,336,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
175,144,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
179,357,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
181,47,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
182,136,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
184,361,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
189,359,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
190,329,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
192,147,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
194,60,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
195,360,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
196,271,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
199,278,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
200,275,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
201,341,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
204,253,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
211,76,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
216,271,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
219,359,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
222,271,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
225,350,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
234,360,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
237,271,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
238,147,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
243,339,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
246,345,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
251,45,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
253,272,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
254,273,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
269,349,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
272,153,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
287,11,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
288,503,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
294,253,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
298,5,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
300,3,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
301,3,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
303,4,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
306,5,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
307,135,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
315,3,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
318,325,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
319,361,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
322,85,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
325,360,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
332,5,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
338,334,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
341,407,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
342,411,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
344,65,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
346,409,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
347,136,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
351,68,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
355,10,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
360,352,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
361,341,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
365,140,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
366,121,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
369,406,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
370,406,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
374,347,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
375,5,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
382,410,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
386,132,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
390,149,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
393,147,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
394,137,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
395,80,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
396,39,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
397,80,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
400,68,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
401,131,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
402,132,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
403,137,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
406,153,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
407,81,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
408,66,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
415,132,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
416,151,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
423,13,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
424,8,14,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
427,47,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
433,5,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
442,78,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
448,127,42,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
452,80,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
456,569,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
457,66,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
458,78,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
459,25,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
461,88,46,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
463,84,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
466,147,12,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
467,52,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
470,78,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
472,356,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
476,81,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
481,273,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
485,129,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
499,344,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
501,141,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
506,273,25,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
508,506,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
510,21,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
511,38,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
514,39,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
515,18,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
518,26,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
521,66,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
526,242,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
529,61,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
533,132,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
540,129,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
542,129,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
543,132,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
553,125,13,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
554,88,46,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
555,32,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
559,418,52,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
561,76,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
563,94,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
565,55,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
572,46,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
574,37,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
575,24,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
577,362,40,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
578,123,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
582,94,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
587,152,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
588,27,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
589,256,41,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
590,48,5,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
592,406,47,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
593,28,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
594,22,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
595,569,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
600,70,46,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
602,68,6,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
605,29,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
606,29,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
608,73,46,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
611,387,46,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
614,16,3,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
615,26,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
616,38,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
619,119,2,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
621,37,4,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
622,344,44,D79 Baby- Store of the Feature,Modern Moments Vignette,WK2
