Store Number,Pallet Programs
1,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
2,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
3,"Women's Socks, Women's Underwear"
4,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
5,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
6,"Women's Socks, Women's Underwear"
7,"Men's Underwear, Women's Socks, Women's Underwear"
8,"Men's Underwear, Women's Socks, Women's Underwear"
9,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
10,"Men's Underwear, Men's Socks"
11,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
12,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
13,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
14,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
15,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
16,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
17,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
18,"Men's Underwear, Women's Socks, Women's Underwear"
19,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
20,"Men's Underwear, Men's Socks"
21,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
22,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
23,"Women's Socks, Women's Underwear"
24,"Men's Underwear, Women's Socks, Women's Underwear"
25,"Men's Underwear, Women's Socks, Women's Underwear"
26,"Women's Socks, Women's Underwear"
27,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
28,"Men's Underwear, Women's Socks, Women's Underwear"
29,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
30,Men's Underwear
31,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
32,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
33,"Men's Underwear, Women's Socks, Women's Underwear"
34,"Men's Underwear, Women's Socks, Women's Underwear"
35,"Women's Socks, Women's Underwear"
36,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
37,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
38,"Men's Underwear, Women's Socks, Women's Underwear"
39,"Women's Socks, Women's Underwear"
40,"Men's Underwear, Men's Socks"
41,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
42,"Women's Socks, Women's Underwear"
44,"Men's Underwear, Women's Socks, Women's Underwear"
45,"Men's Underwear, Men's Socks, Women's Socks, Women's Underwear"
