Store Nbr,Dept Subcategory Description,WK51,WK52,WK01,WK02,WK03,WK04,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24
1073,12IN BIKES,1,1,1,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1073,16IN BIKES,1,2,2,2,3,3,4,4,4,4,5,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3
1073,18IN BIKES,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1073,20IN BIKES,2,2,2,3,4,4,6,5,5,5,6,5,4,4,4,4,5,5,4,4,5,5,5,6,5,4
1073,BEACH CRUISERS,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
1073,MOUNTAIN BIKES,2,2,2,2,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3
1074,12IN BIKES,2,2,2,3,4,4,5,6,5,6,8,6,6,5,5,5,5,6,6,6,5,6,5,5,4,4
1074,16IN BIKES,2,2,2,3,3,4,5,6,5,6,8,5,5,5,5,5,5,6,6,5,5,5,6,6,5,4
1074,18IN BIKES,1,1,1,2,2,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,2,2
1074,20IN BIKES,5,5,5,5,7,7,9,10,9,11,15,12,11,10,10,11,11,12,14,13,12,12,11,12,12,10
1074,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1074,MOUNTAIN BIKES,2,2,2,3,4,4,4,5,5,5,6,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4
1074,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1075,12IN BIKES,1,2,1,2,4,4,4,6,5,6,8,6,6,5,5,6,5,6,5,5,4,5,4,4,4,3
1075,16IN BIKES,2,2,2,3,4,4,5,6,5,6,8,6,6,6,5,6,6,6,5,6,6,6,6,6,5,5
1075,18IN BIKES,1,1,1,2,3,3,4,4,3,4,5,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3
1075,20IN BIKES,4,4,4,4,5,6,7,10,9,11,15,12,12,10,9,11,10,10,11,13,12,13,12,11,11,9
1075,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1
1075,MOUNTAIN BIKES,4,4,4,5,6,7,7,8,8,8,9,7,8,7,7,8,7,9,8,7,8,7,8,7,7,7
1075,MULTI USE BIKES,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
1076,12IN BIKES,1,1,1,2,3,3,4,4,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3
1076,16IN BIKES,2,2,2,4,5,5,6,6,5,6,7,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5
1076,18IN BIKES,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1076,20IN BIKES,5,5,5,4,6,6,8,9,8,9,12,11,10,9,7,7,8,10,8,8,8,10,10,9,10,9
1076,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
1076,MOUNTAIN BIKES,3,3,3,4,5,6,7,6,6,6,7,6,6,6,6,7,6,7,7,6,6,6,6,5,5,5
1077,12IN BIKES,1,1,1,2,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2
1077,16IN BIKES,2,2,2,3,4,4,5,5,4,5,6,5,4,4,4,4,4,5,4,4,4,5,5,5,4,4
1077,18IN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1077,20IN BIKES,4,4,4,5,6,6,8,8,7,9,12,10,8,7,7,7,7,8,8,7,7,8,8,8,7,7
1077,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1077,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,MOUNTAIN BIKES,3,3,3,4,5,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5
1077,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1078,12IN BIKES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,16IN BIKES,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1078,18IN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,20IN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1
1078,MOUNTAIN BIKES,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1079,12IN BIKES,2,2,2,3,4,4,5,5,5,5,6,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3
1079,16IN BIKES,3,3,3,5,6,6,7,7,6,6,8,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6
1079,18IN BIKES,1,1,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1079,20IN BIKES,4,4,4,5,6,6,7,8,6,9,11,10,9,8,7,7,7,8,7,7,8,9,9,8,9,8
1079,BEACH CRUISERS,2,3,3,3,4,4,4,5,4,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,4,3
1079,MOUNTAIN BIKES,4,5,5,5,6,7,8,8,8,8,9,8,8,7,8,8,7,9,8,7,8,7,7,7,6,6
1079,MULTI USE BIKES,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1
1080,12IN BIKES,1,1,1,2,3,3,3,4,3,3,5,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2
1080,16IN BIKES,1,1,2,2,3,3,4,4,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1080,18IN BIKES,1,1,1,2,2,2,2,2,2,2,4,3,3,3,2,2,2,3,2,3,3,3,3,2,2,1
1080,20IN BIKES,3,3,4,5,6,6,7,9,7,10,12,10,9,9,7,7,6,8,9,8,8,10,9,9,8,8
1080,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1080,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,MOUNTAIN BIKES,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3
1080,MULTI USE BIKES,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1081,12IN BIKES,2,2,2,5,5,5,6,6,6,7,8,6,6,6,6,6,6,5,5,5,6,6,5,5,5,5
1081,16IN BIKES,3,4,4,6,7,7,9,9,7,9,11,9,8,8,7,8,8,8,7,7,7,8,8,9,8,7
1081,18IN BIKES,1,1,2,2,3,3,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1081,20IN BIKES,7,7,7,9,12,11,14,16,14,17,23,19,18,17,15,12,14,18,16,17,17,19,19,17,17,16
1081,BEACH CRUISERS,2,3,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,3,4,3,4,3,3,3
1081,MOUNTAIN BIKES,9,10,10,13,16,16,18,19,20,18,21,19,19,19,19,19,18,21,19,18,19,18,17,18,15,17
1081,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,12IN BIKES,1,2,2,3,3,4,4,4,3,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3
1082,16IN BIKES,2,2,2,3,4,4,5,5,4,5,6,5,4,4,4,4,4,5,4,4,4,5,5,5,4,4
1082,18IN BIKES,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1082,20IN BIKES,5,6,7,9,11,11,14,16,13,14,20,16,14,14,14,14,13,15,14,12,12,14,15,16,12,12
1082,BEACH CRUISERS,2,2,2,2,3,3,4,4,3,3,4,3,3,4,4,3,3,4,3,3,4,4,4,3,3,3
1082,MOUNTAIN BIKES,5,5,5,6,8,8,10,11,9,8,10,8,9,9,8,9,8,10,10,8,9,8,8,8,8,8
1082,MULTI USE BIKES,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
1083,12IN BIKES,2,3,2,5,5,6,7,7,6,7,8,6,6,6,5,6,6,6,6,5,5,5,5,5,5,4
1083,16IN BIKES,2,3,3,5,6,5,7,7,6,7,9,7,6,6,5,6,6,6,6,5,6,6,6,7,6,5
1083,18IN BIKES,1,2,2,2,3,3,4,4,3,4,5,4,4,4,3,4,3,4,3,4,4,4,4,3,3,3
1083,20IN BIKES,5,6,6,8,10,9,11,12,10,12,16,13,11,10,10,10,10,11,12,9,9,11,11,12,11,10
1083,BEACH CRUISERS,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,3,3,4,3,3,4,4,4,3,3,2
1083,MOUNTAIN BIKES,6,7,7,8,11,12,13,14,13,13,15,13,13,12,13,14,13,16,14,13,13,12,12,12,11,12
1083,MULTI USE BIKES,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1084,12IN BIKES,2,3,3,4,4,4,5,5,5,6,7,6,5,5,5,5,5,4,4,4,5,5,5,5,5,4
1084,16IN BIKES,2,2,3,3,4,4,5,5,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1084,18IN BIKES,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1084,20IN BIKES,4,5,6,6,7,8,9,9,7,9,11,10,9,8,7,8,8,9,10,8,9,9,9,9,10,9
1084,BEACH CRUISERS,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
1084,MOUNTAIN BIKES,8,8,9,11,13,13,15,15,15,15,17,15,15,15,15,16,15,16,16,15,16,15,15,14,13,14
1085,12IN BIKES,1,2,2,3,3,4,4,5,4,5,6,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4
1085,16IN BIKES,2,3,3,4,5,5,6,7,5,6,8,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5
1085,18IN BIKES,1,1,1,2,2,2,3,3,2,3,4,3,2,2,2,2,2,3,2,3,3,3,3,2,2,2
1085,20IN BIKES,5,6,6,7,9,10,12,12,10,12,16,13,12,11,9,9,10,13,12,10,11,11,10,10,11,11
1085,BEACH CRUISERS,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2
1085,MOUNTAIN BIKES,10,11,12,13,16,16,18,19,18,17,20,17,17,17,17,18,20,20,18,17,18,17,17,15,13,14
1085,MULTI USE BIKES,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1086,12IN BIKES,3,4,5,7,8,8,10,10,9,10,12,9,9,8,8,8,8,9,8,8,8,8,8,8,8,7
1086,16IN BIKES,4,4,5,6,7,7,9,9,8,9,12,9,8,8,8,8,8,9,8,7,7,8,8,8,8,7
1086,18IN BIKES,2,2,3,4,4,4,5,5,4,5,6,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4
1086,20IN BIKES,8,9,10,12,14,14,16,16,13,15,18,16,14,13,12,12,13,16,17,14,14,14,14,14,14,13
1086,BEACH CRUISERS,3,4,4,4,6,5,5,6,5,5,6,5,6,6,7,5,5,5,5,5,5,5,5,4,4,4
1086,MOUNTAIN BIKES,12,13,14,15,18,19,21,22,20,21,22,20,21,21,20,21,20,24,22,21,21,20,20,19,16,17
1086,MULTI USE BIKES,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1087,12IN BIKES,3,3,3,6,6,6,8,8,7,8,10,8,7,7,7,7,7,7,6,6,6,7,6,6,6,6
1087,16IN BIKES,5,6,7,9,11,12,13,15,14,15,21,16,14,14,12,14,14,14,12,13,13,14,14,14,13,13
1087,18IN BIKES,1,1,1,1,2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2
1087,20IN BIKES,9,11,14,11,13,14,17,18,14,16,21,18,15,15,13,14,14,17,19,15,15,17,15,16,16,15
1087,BEACH CRUISERS,6,7,8,8,10,9,9,10,9,9,11,9,10,10,11,9,8,10,9,9,10,8,8,7,6,6
1087,MOUNTAIN BIKES,14,16,16,18,25,25,28,28,27,29,30,28,26,25,25,27,27,30,26,26,25,24,25,22,20,20
1087,MULTI USE BIKES,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2
1088,12IN BIKES,1,1,1,3,4,4,5,5,5,6,7,6,5,5,5,5,5,5,5,4,4,5,4,5,4,4
1088,16IN BIKES,2,2,2,4,5,5,6,6,6,7,9,7,6,6,5,6,6,6,6,5,6,6,6,6,5,5
1088,18IN BIKES,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1
1088,20IN BIKES,3,3,3,4,5,6,8,8,9,9,11,9,9,9,6,6,8,8,7,8,8,8,8,7,8,7
1088,BEACH CRUISERS,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1
1088,MOUNTAIN BIKES,4,4,5,5,7,7,8,8,8,9,9,9,9,8,8,9,8,9,8,8,8,7,8,8,7,7
1088,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1089,12IN BIKES,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1
1089,16IN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1089,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1089,20IN BIKES,1,1,1,2,2,2,3,3,3,4,5,4,3,3,3,4,3,3,3,3,4,4,4,4,3,2
1089,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1089,MOUNTAIN BIKES,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3
1089,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1090,12IN BIKES,1,1,1,1,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
1090,16IN BIKES,2,2,2,3,4,4,5,5,4,5,7,5,5,5,4,5,4,5,4,4,4,5,5,5,4,4
1090,18IN BIKES,1,1,1,2,2,2,3,2,2,3,4,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2
1090,20IN BIKES,3,4,3,5,6,6,8,8,7,9,11,9,8,7,6,6,7,8,7,7,7,8,8,7,7,7
1090,BEACH CRUISERS,1,1,1,1,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,3,3,2,1,2
1090,MOUNTAIN BIKES,4,4,5,6,7,8,9,9,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,7,7
1090,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1091,12IN BIKES,2,2,3,3,4,4,5,6,4,5,7,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4
1091,16IN BIKES,2,2,2,3,4,4,5,6,5,6,8,6,6,6,5,6,5,6,5,5,5,6,6,6,5,4
1091,18IN BIKES,1,1,1,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
1091,20IN BIKES,4,4,3,5,6,6,7,9,7,9,11,9,8,7,7,10,8,9,8,8,8,9,8,8,7,7
1091,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1091,MOUNTAIN BIKES,3,3,3,3,4,5,5,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4
1091,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,12IN BIKES,1,1,1,1,1,2,2,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,2,2
1093,16IN BIKES,1,1,1,1,1,1,2,3,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2
1093,18IN BIKES,1,1,1,1,2,2,2,3,3,3,5,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2
1093,20IN BIKES,3,3,2,2,3,4,5,6,5,6,9,7,6,5,5,5,5,8,7,6,7,7,7,7,6,5
1093,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1093,MOUNTAIN BIKES,2,2,2,2,3,3,3,4,3,3,4,3,3,3,4,4,4,5,5,4,4,4,4,4,4,3
1093,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1094,12IN BIKES,1,1,1,2,2,2,3,4,4,4,5,4,4,4,3,4,4,4,4,3,3,4,3,4,3,3
1094,16IN BIKES,1,1,1,1,2,2,3,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3
1094,18IN BIKES,1,1,1,2,2,3,3,3,3,4,5,4,4,4,3,3,2,4,2,2,2,3,2,2,2,2
1094,20IN BIKES,2,2,2,2,3,3,3,5,5,5,7,6,5,5,5,4,4,7,5,5,5,6,4,4,5,4
1094,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1094,MOUNTAIN BIKES,2,2,2,3,4,5,5,6,5,6,7,5,5,5,6,6,5,7,7,5,5,5,4,5,4,4
1094,MULTI USE BIKES,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
1095,12IN BIKES,1,1,1,1,1,1,2,2,2,3,3,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2
1095,16IN BIKES,1,1,1,1,1,1,2,3,3,3,5,4,4,3,3,3,3,4,4,3,3,4,4,3,3,3
1095,18IN BIKES,1,1,1,2,2,2,2,2,2,3,4,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2
1095,20IN BIKES,1,2,1,2,2,3,3,4,4,5,6,6,5,4,4,5,5,5,5,5,5,5,6,5,4,3
1095,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
1095,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,MOUNTAIN BIKES,2,2,2,2,2,3,3,5,5,5,6,5,5,5,5,6,6,7,6,6,7,6,6,5,4,5
1095,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1096,12IN BIKES,1,2,2,2,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1096,16IN BIKES,2,2,2,2,3,3,4,4,4,4,6,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
1096,18IN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
1096,20IN BIKES,2,2,3,3,4,4,5,6,5,6,7,7,5,5,5,5,4,5,6,4,5,6,5,5,4,4
1096,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1096,MOUNTAIN BIKES,2,2,2,3,4,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3
1096,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,12IN BIKES,1,2,2,3,3,3,4,4,4,5,6,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4
1097,16IN BIKES,2,3,3,4,5,6,6,7,7,8,10,8,7,7,6,7,7,7,8,7,7,8,7,7,7,6
1097,18IN BIKES,1,2,1,3,3,3,3,4,3,4,5,4,3,3,3,3,3,4,3,3,3,4,3,3,3,2
1097,20IN BIKES,5,5,6,8,9,9,10,12,11,13,15,12,9,10,10,11,10,11,13,10,11,11,12,10,10,10
1097,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2
1097,MOUNTAIN BIKES,3,3,4,5,6,6,7,7,6,6,7,7,7,7,6,7,7,7,8,7,7,7,7,7,6,6
1097,MULTI USE BIKES,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,12IN BIKES,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2
1098,16IN BIKES,1,1,1,2,2,2,3,3,2,3,4,3,3,2,2,3,2,3,3,2,2,3,3,3,2,2
1098,18IN BIKES,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1098,20IN BIKES,2,2,2,2,3,3,4,3,3,3,4,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3
1098,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1098,MOUNTAIN BIKES,2,2,2,2,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
1098,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,12IN BIKES,1,1,1,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
1099,16IN BIKES,2,2,2,2,3,3,4,5,4,5,7,5,5,5,4,5,4,5,4,4,4,5,5,5,4,4
1099,18IN BIKES,1,1,1,2,1,2,3,3,2,3,4,3,4,2,3,3,2,3,2,2,2,2,2,2,1,1
1099,20IN BIKES,3,3,2,3,5,5,9,9,8,10,11,10,9,9,7,7,8,9,9,8,9,9,8,9,7,6
1099,BEACH CRUISERS,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1
1099,MOUNTAIN BIKES,3,3,4,4,6,6,9,9,8,8,9,7,7,8,7,9,8,8,8,7,8,7,7,6,6,6
1099,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1100,16IN BIKES,1,1,1,2,2,2,2,3,2,3,4,3,2,2,2,3,2,3,3,2,2,3,3,3,3,2
1100,18IN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,20IN BIKES,1,1,1,1,1,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2
1100,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,MOUNTAIN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1101,12IN BIKES,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1101,16IN BIKES,1,1,1,2,2,2,3,4,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1101,18IN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
1101,20IN BIKES,2,2,2,3,3,3,4,5,5,6,7,6,6,6,5,5,5,6,5,6,6,7,6,5,5,5
1101,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1101,MOUNTAIN BIKES,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4
1101,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,12IN BIKES,1,1,1,2,2,2,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1102,16IN BIKES,2,2,2,3,4,4,5,5,5,6,7,6,5,5,5,5,5,5,5,4,5,5,5,5,4,4
1102,18IN BIKES,1,1,1,2,3,2,3,3,3,3,4,3,3,4,3,4,3,3,2,2,2,2,2,2,2,2
1102,20IN BIKES,4,5,5,5,8,9,11,11,12,12,15,12,12,10,9,10,12,11,11,10,12,11,11,10,10,8
1102,BEACH CRUISERS,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1
1102,MOUNTAIN BIKES,4,3,4,4,5,6,7,7,8,8,8,7,6,6,6,7,7,7,7,6,6,6,6,6,5,5
1102,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1103,12IN BIKES,2,2,2,4,4,4,6,6,6,6,8,6,6,5,5,5,5,5,5,4,5,5,5,5,5,4
1103,16IN BIKES,2,3,3,4,5,5,7,8,7,7,10,7,7,6,6,6,6,6,6,5,5,6,6,7,6,6
1103,18IN BIKES,2,2,3,5,6,5,7,6,6,6,8,7,9,9,7,7,5,8,4,4,4,4,4,4,4,3
1103,20IN BIKES,3,4,5,7,8,8,12,11,9,11,14,11,10,9,9,10,10,10,10,8,8,9,9,9,8,8
1103,BEACH CRUISERS,1,1,1,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2
1103,MOUNTAIN BIKES,6,6,7,7,8,10,12,12,11,11,11,10,10,10,10,11,11,12,12,11,12,11,10,10,10,10
1103,MULTI USE BIKES,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1
1104,12IN BIKES,1,1,1,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
1104,16IN BIKES,2,3,3,4,4,5,6,6,5,5,8,5,5,5,5,5,5,6,5,4,5,5,5,6,5,4
1104,18IN BIKES,1,2,2,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1104,20IN BIKES,6,7,7,9,11,12,14,14,13,14,19,16,15,13,12,11,12,16,14,13,14,14,14,14,14,13
1104,BEACH CRUISERS,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2
1104,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1
1104,MOUNTAIN BIKES,6,7,8,8,10,11,12,13,11,11,13,12,12,12,13,13,12,13,12,11,12,12,11,10,9,10
1104,MULTI USE BIKES,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1
