Store Nbr,Dept Subcategory Description,WK51,WK52,WK01,WK02,WK03,WK04,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24
5,MOUNTAIN BIKES,4,4,4,6,8,8,10,11,10,10,11,10,9,9,10,9,10,10,10,10,9,8,9,8,7,8
5,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,12IN BIKES,1,1,1,2,2,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2
7,16IN BIKES,1,1,1,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
7,18IN BIKES,1,0,0,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,20IN BIKES,2,2,2,3,4,4,5,7,5,6,7,5,5,5,5,6,6,6,7,5,5,5,5,5,5,4
7,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,MOUNTAIN BIKES,2,2,2,2,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
7,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12IN BIKES,1,1,1,1,2,2,2,3,2,3,4,3,3,3,2,3,2,3,3,2,2,2,2,2,2,2
8,16IN BIKES,1,1,1,2,2,3,3,4,3,3,5,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3
8,18IN BIKES,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0
8,20IN BIKES,2,2,2,2,3,3,4,6,5,6,8,6,6,5,4,4,5,7,5,6,6,7,6,5,6,5
8,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MOUNTAIN BIKES,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3
9,12IN BIKES,1,1,1,2,3,3,4,5,4,5,7,5,5,5,4,4,4,6,4,4,4,4,4,4,3,3
9,16IN BIKES,2,2,2,3,4,4,5,7,7,7,10,8,7,6,6,6,7,7,7,6,6,7,7,6,6,6
9,18IN BIKES,1,1,1,2,2,2,2,3,2,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
9,20IN BIKES,3,4,4,5,7,8,9,10,9,11,13,10,10,9,10,12,10,9,12,8,9,10,9,12,8,7
9,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
9,MOUNTAIN BIKES,2,2,3,3,4,4,4,5,4,5,6,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4
9,MULTI USE BIKES,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,12IN BIKES,1,1,1,2,3,3,4,4,4,4,5,4,4,4,3,4,3,4,4,3,4,4,3,3,3,3
10,16IN BIKES,2,2,2,3,4,4,6,6,5,6,7,5,5,5,5,5,5,6,6,4,5,5,5,5,5,5
10,18IN BIKES,1,1,1,4,3,4,6,5,4,5,6,5,5,3,4,5,3,5,3,3,3,3,3,3,2,2
10,20IN BIKES,3,3,2,3,4,5,8,8,7,9,11,9,9,8,7,6,7,8,8,8,9,8,8,9,7,6
10,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,MOUNTAIN BIKES,2,2,2,2,3,4,6,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4
10,MULTI USE BIKES,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0
11,12IN BIKES,2,2,2,4,5,5,6,7,6,8,10,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5
11,16IN BIKES,2,2,2,3,4,4,5,7,5,5,7,5,5,5,4,5,5,5,5,4,5,5,5,6,5,4
11,18IN BIKES,1,1,1,2,2,2,3,4,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2
11,20IN BIKES,4,4,4,5,7,7,10,13,10,11,15,12,10,10,9,9,11,12,11,12,11,11,11,10,11,9
11,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,MOUNTAIN BIKES,3,3,3,4,5,6,7,7,7,6,7,6,6,6,6,6,5,7,6,6,6,6,6,6,5,5
11,MULTI USE BIKES,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0
12,12IN BIKES,2,2,2,3,4,4,5,6,6,6,7,6,6,6,5,5,5,6,6,5,6,6,5,5,5,4
12,16IN BIKES,2,2,2,3,4,4,6,7,5,6,8,6,5,5,5,5,5,6,6,5,5,6,5,5,4,4
12,18IN BIKES,1,1,1,2,2,2,3,3,3,3,4,3,3,2,3,3,2,3,2,2,2,2,2,2,2,1
12,20IN BIKES,4,4,3,5,6,7,10,11,9,11,14,11,10,10,9,8,10,11,9,10,10,11,10,10,9,8
12,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,MOUNTAIN BIKES,2,2,2,3,4,5,7,7,6,7,7,5,5,5,5,7,6,6,5,5,6,5,5,5,5,5
12,MULTI USE BIKES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13,12IN BIKES,1,1,1,2,3,3,3,4,3,4,5,4,4,4,4,4,3,4,3,3,3,3,3,3,3,2
13,16IN BIKES,1,1,2,2,3,3,4,4,4,4,5,4,4,3,3,4,3,4,4,3,3,4,4,4,3,3
13,18IN BIKES,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1
13,20IN BIKES,2,2,2,3,4,4,6,7,5,6,8,6,6,5,5,6,6,8,7,6,6,6,6,6,6,5
13,BEACH CRUISERS,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,MOUNTAIN BIKES,2,2,2,2,3,3,4,5,4,4,4,4,3,3,4,3,3,4,3,3,4,4,4,3,3,3
14,12IN BIKES,1,1,1,2,3,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,3,4,3,3
14,16IN BIKES,1,1,1,2,3,3,4,5,4,5,7,5,5,5,4,5,5,5,5,4,4,5,5,5,4,4
14,18IN BIKES,1,1,1,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
14,20IN BIKES,4,4,4,4,7,7,8,9,8,10,12,11,9,9,9,10,9,9,11,9,9,10,9,10,10,9
14,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,MOUNTAIN BIKES,2,2,2,3,4,4,5,6,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4
14,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12IN BIKES,2,2,2,4,5,5,6,8,6,7,9,7,7,6,6,7,7,7,8,6,6,6,6,5,5,4
15,16IN BIKES,2,2,2,2,4,4,4,6,5,5,8,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4
15,18IN BIKES,1,1,1,2,3,3,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,3,3
15,20IN BIKES,3,3,3,4,6,6,8,10,9,10,11,9,8,8,7,8,8,10,8,7,7,8,7,7,7,6
15,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MOUNTAIN BIKES,2,2,3,3,4,5,6,7,5,6,7,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
15,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12IN BIKES,1,1,1,1,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,16IN BIKES,1,1,1,2,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
16,18IN BIKES,1,1,1,1,1,2,3,3,3,3,4,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2
16,20IN BIKES,3,3,3,3,5,6,7,8,7,8,8,6,6,6,6,6,5,7,6,6,6,6,6,6,6,5
16,BEACH CRUISERS,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
16,MOUNTAIN BIKES,2,2,2,3,4,5,6,6,6,6,6,5,5,5,5,5,4,5,4,4,4,5,5,4,4,4
16,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,12IN BIKES,2,2,2,3,4,4,5,5,5,5,6,5,5,5,5,5,4,5,5,4,4,4,4,4,4,3
17,16IN BIKES,2,2,2,3,4,4,5,7,5,5,8,5,5,5,5,5,5,6,6,5,5,5,5,6,5,4
17,18IN BIKES,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,20IN BIKES,4,4,4,4,6,6,7,9,7,8,11,8,8,7,7,7,8,9,9,8,8,9,8,8,8,7
17,BEACH CRUISERS,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,MOUNTAIN BIKES,2,2,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4
18,12IN BIKES,1,1,1,1,2,2,2,3,2,3,4,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2
18,16IN BIKES,1,1,1,1,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,20IN BIKES,2,2,2,2,3,3,4,6,4,5,6,4,4,4,4,4,5,5,5,5,4,4,4,4,5,4
18,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,MOUNTAIN BIKES,2,2,2,2,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
18,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12IN BIKES,3,3,3,4,7,6,8,9,8,9,11,9,8,8,7,8,8,9,8,7,7,7,7,7,6,5
19,16IN BIKES,2,2,2,3,5,5,6,8,7,8,11,7,7,6,6,7,7,8,8,6,6,7,7,7,7,6
19,18IN BIKES,1,1,1,2,3,2,3,4,3,3,5,4,3,3,3,3,3,4,4,3,4,4,3,4,3,3
19,20IN BIKES,7,7,7,8,13,12,15,19,17,19,25,19,17,16,17,19,17,19,20,17,16,18,16,18,17,15
19,BEACH CRUISERS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,MOUNTAIN BIKES,4,4,5,6,8,8,10,12,9,10,13,10,9,10,10,11,10,12,10,9,9,9,10,9,9,9
19,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12IN BIKES,1,1,1,2,3,3,3,4,3,4,5,4,3,3,3,3,4,4,4,3,3,3,3,3,3,2
20,16IN BIKES,1,2,2,2,3,3,4,5,4,4,6,5,4,4,4,5,4,5,5,4,4,4,4,4,4,4
20,18IN BIKES,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
20,20IN BIKES,3,3,3,3,5,5,6,8,7,8,12,9,8,8,8,8,7,10,8,8,8,10,8,9,8,7
20,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
20,MOUNTAIN BIKES,2,2,2,2,3,4,4,5,4,5,5,4,4,4,4,4,5,6,5,4,4,5,4,5,4,4
20,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12IN BIKES,1,1,2,2,3,3,4,5,4,4,6,4,4,4,3,4,4,5,4,4,3,3,3,4,3,2
21,16IN BIKES,2,2,2,3,4,4,5,7,6,6,9,6,6,5,5,6,6,7,6,5,6,6,6,6,6,5
21,18IN BIKES,1,1,1,1,2,2,2,3,3,3,4,3,3,3,3,2,2,3,3,2,3,2,2,2,2,2
21,20IN BIKES,3,3,3,4,5,6,7,9,8,9,11,10,8,8,8,8,8,10,9,9,9,10,9,9,8,8
21,BEACH CRUISERS,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,MOUNTAIN BIKES,3,2,3,3,5,4,5,5,5,5,6,5,4,5,5,4,5,7,6,4,5,4,5,5,4,5
21,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,12IN BIKES,1,1,1,2,3,3,3,4,4,4,5,4,4,4,3,4,3,4,4,3,3,3,3,3,3,3
22,16IN BIKES,1,1,1,2,2,2,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
22,18IN BIKES,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,20IN BIKES,3,3,2,3,4,5,7,8,7,9,11,9,8,8,7,6,7,9,8,8,8,8,8,8,7,6
22,BEACH CRUISERS,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,MOUNTAIN BIKES,2,2,2,2,3,3,5,5,4,4,5,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3
22,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12IN BIKES,2,2,2,3,4,4,6,7,5,6,7,5,5,5,4,5,5,5,5,5,4,4,4,4,4,3
23,16IN BIKES,2,2,2,3,4,4,5,6,5,5,7,5,5,5,4,5,5,5,5,5,5,5,5,6,5,4
23,18IN BIKES,1,1,1,2,2,3,4,5,4,5,5,4,4,3,3,3,3,4,4,3,3,3,3,3,2,2
23,20IN BIKES,5,5,4,4,5,6,8,11,9,10,12,9,8,8,8,8,9,10,10,9,8,9,8,8,8,7
23,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,MOUNTAIN BIKES,4,4,5,4,5,5,6,7,7,6,7,6,6,6,6,6,6,7,7,6,7,7,7,7,6,6
23,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,12IN BIKES,2,2,2,4,5,5,6,7,6,7,9,7,6,6,6,6,6,6,6,6,5,6,5,6,5,4
24,16IN BIKES,2,2,2,3,4,4,4,5,4,5,6,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4
24,18IN BIKES,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,20IN BIKES,3,3,3,4,6,6,8,11,9,10,12,9,8,7,8,9,9,10,11,9,8,8,8,8,9,7
24,BEACH CRUISERS,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,MOUNTAIN BIKES,3,3,3,3,5,5,6,7,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4
24,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12IN BIKES,1,1,1,2,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3
25,16IN BIKES,1,1,1,2,3,3,3,4,4,4,5,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3
25,18IN BIKES,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,20IN BIKES,1,1,1,2,3,3,3,6,5,5,7,6,6,6,5,5,5,7,5,6,6,7,6,6,5,5
25,BEACH CRUISERS,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
25,MOUNTAIN BIKES,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1
25,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12IN BIKES,2,2,2,2,3,4,5,7,5,5,7,5,5,5,4,6,5,7,6,5,4,5,4,5,4,3
26,16IN BIKES,1,1,1,2,3,3,4,6,5,6,7,5,5,4,4,5,4,6,5,4,4,5,5,5,5,4
26,18IN BIKES,1,1,1,2,2,3,3,4,3,3,5,3,3,3,3,5,3,4,3,3,2,2,2,2,2,2
26,20IN BIKES,3,4,3,3,5,5,7,9,8,11,14,10,10,9,9,12,12,11,11,9,9,11,10,11,9,9
26,BEACH CRUISERS,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,MOUNTAIN BIKES,3,3,3,4,5,5,7,8,7,7,9,8,8,7,8,8,8,9,8,7,7,8,7,7,7,7
26,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12IN BIKES,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,16IN BIKES,1,1,1,1,2,2,2,3,3,3,4,3,3,2,2,3,2,3,3,2,2,3,3,3,2,2
27,18IN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,20IN BIKES,1,1,1,1,2,3,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,5,3,3
27,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MOUNTAIN BIKES,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1
28,12IN BIKES,2,2,2,3,4,4,5,5,5,5,6,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4
28,16IN BIKES,2,2,2,3,4,4,5,6,5,5,7,5,5,5,5,5,5,6,5,5,4,5,5,5,5,4
